LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2014,CLA_started2015,CLA_started2016,CLA_started2017,CLA_started2018,CLA_taken2018,CLA_taken2018_pc,SCLA_male,SCLA_female,SCLA_male_pc,SCLA_female_pc,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_U1_pc,SCLA_1to4_pc,SCLA_5to9_pc,SCLA_10to15_pc,SCLA_16over_pc,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_AbNeg_pc,SCLA_Cdisab_pc,SCLA_ParIll_pc,SCLA_FAcSt_pc,SCLA_FD_pc,SCLA_SUB_pc,SCLA_LI_pc,SCLA_AbsPar_pc,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,SCLA_ICO_pc,SCLA_FCO_pc,SCLA_PlaceO_pc,SCLA_S20_pc,SCLA_UPP_pc,SCLA_SEPO_pc,SCLA_UCAO_pc,SCLA_ONCT_pc,SCLA_PACE_pc,SCLA_SORR_pc
1,E92000001,NATIONAL,999,ENGLAND,30730,31350,32160,32940,32050,15180,47,17990,14060,56,44,6160,5670,5680,8830,5710,19,18,18,28,18,19420,690,950,2420,4320,940,70,3240,61,2,3,8,13,3,0,10,10700,420,50,15990,3420,640,10,810,20,x,33,1,0,50,11,2,0,3,0,x
2,E12000001,REGION,A,NORTH EAST,2000,1930,2090,2570,2250,840,38,1190,1060,53,47,540,530,490,560,130,24,24,22,25,6,1460,40,30,180,400,70,x,60,65,2,2,8,18,3,x,3,630,60,x,1380,140,10,0,20,0,0,28,3,x,61,6,1,0,1,0,0
15,E12000002,REGION,B,NORTH WEST,4770,4780,4620,5160,5380,3030,56,2890,2480,54,46,1070,1120,1060,1440,680,20,21,20,27,13,3720,110,100,360,680,120,x,290,69,2,2,7,13,2,x,5,2410,20,x,2250,520,80,x,90,x,x,45,0,x,42,10,2,x,2,x,x
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2720,2750,2870,3230,3160,1830,58,1700,1470,54,46,730,630,620,830,350,23,20,20,26,11,2320,40,80,130,360,50,x,190,73,1,2,4,11,2,x,6,1410,30,x,1240,370,30,0,90,0,0,45,1,x,39,12,1,0,3,0,0
55,E12000004,REGION,D,EAST MIDLANDS,2290,2470,2410,2420,2380,1130,48,1340,1040,56,44,520,470,420,580,390,22,20,18,25,16,1520,60,90,150,340,40,10,180,64,2,4,6,14,2,1,7,890,30,x,1200,190,20,0,50,x,0,37,1,x,50,8,1,0,2,x,0
65,E12000005,REGION,E,WEST MIDLANDS,3620,3770,3410,3470,3610,1830,51,2000,1620,55,45,760,670,700,930,560,21,18,19,26,16,2200,70,110,330,520,110,10,270,61,2,3,9,14,3,0,8,1280,40,x,1670,460,70,0,100,10,0,35,1,x,46,13,2,0,3,0,0
80,E12000006,REGION,F,EAST OF ENGLAND,2740,2720,2900,3000,2930,1380,47,1690,1240,58,42,530,480,480,830,600,18,16,16,28,21,1800,80,80,220,310,60,x,380,62,3,3,7,11,2,x,13,960,60,10,1490,280,70,x,50,x,0,33,2,0,51,10,2,x,2,x,0
92,E12000007,REGION,G,LONDON,5820,5770,5790,5860,5330,2020,38,3160,2170,59,41,700,570,700,1640,1730,13,11,13,31,32,2630,110,210,440,520,360,10,1050,49,2,4,8,10,7,0,20,990,80,10,2970,840,110,x,320,x,x,19,2,0,56,16,2,x,6,x,x
93,E12000007,REGION,H,INNER LONDON,2410,2290,2320,2470,2310,820,36,1400,910,61,39,290,220,290,670,850,13,9,12,29,37,1030,60,120,200,220,180,10,500,45,3,5,8,10,8,0,22,420,40,x,1320,310,60,0,160,x,x,18,2,x,57,13,2,0,7,x,x
108,E12000007,REGION,I,OUTER LONDON,3410,3480,3480,3390,3020,1200,40,1760,1260,58,42,410,350,410,970,880,14,12,14,32,29,1600,60,100,240,300,180,10,550,53,2,3,8,10,6,0,18,570,50,10,1650,530,60,x,150,x,x,19,1,0,55,18,2,x,5,x,x
128,E12000008,REGION,J,SOUTH EAST,4070,4340,5120,4520,4370,1990,46,2570,1800,59,41,760,710,750,1290,860,17,16,17,29,20,2180,120,120,390,850,90,20,600,50,3,3,9,19,2,0,14,1360,70,10,2290,420,140,0,80,x,x,31,2,0,52,10,3,0,2,x,x
148,E12000009,REGION,K,SOUTH WEST,2680,2830,2950,2710,2650,1130,42,1470,1190,55,45,550,510,470,730,400,21,19,18,28,15,1600,70,130,220,350,40,10,230,60,3,5,8,13,2,0,9,770,40,10,1490,210,110,0,20,0,0,29,1,1,56,8,4,0,1,0,0
95,E09000001,LA,201,City of London,x,x,9,6,14,x,x,14,0,100,0,0,0,x,x,x,0,0,x,x,x,0,0,0,0,0,x,0,x,0,0,0,0,0,x,0,x,0,0,0,x,x,0,0,0,0,0,0,0,0,x,x,0,0,0,0,0
94,E09000007,LA,202,Camden,120,85,100,103,104,19,18,83,21,80,20,13,x,x,34,49,13,x,x,33,47,25,x,7,x,6,x,0,58,24,x,7,x,6,x,0,56,17,x,0,78,0,0,0,x,0,0,16,x,0,75,0,0,0,x,0,0
117,E09000011,LA,203,Greenwich,270,259,232,240,233,107,46,136,97,58,42,38,32,29,88,46,16,14,12,38,20,113,8,12,17,38,28,0,17,48,3,5,7,16,12,0,7,50,x,0,110,53,0,0,x,0,0,21,x,0,47,23,0,0,x,0,0
