LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2014,CLA_cease2015,CLA_cease2016,CLA_cease2017,CLA_cease2018,CEA_male,CEA_female,CEA_male_pc,CEA_female_pc,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_18over,CEA_U1_pc,CEA_1to4_pc,CEA_5to9_pc,CEA_10to15_pc,CEA_16_pc,CEA_17_pc,CEA_18over_pc,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO1,CEA_SGO2,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other,CEA_Adop_pc
1,E92000001,NATIONAL,999,ENGLAND,30600,31350,31850,31410,29860,16900,12950,57,43,2240,6430,3980,4680,1560,1700,9260,7,22,13,16,5,6,31,1990,1830,50,560,6250,1390,1510,1170,1850,1580,3780,690,600,440,160,260,90,5670,13
2,E12000001,REGION,A,NORTH EAST,2010,1940,2010,2180,2110,1130,980,53,47,200,620,400,370,90,90,350,9,29,19,18,4,4,16,190,120,x,10,590,100,140,220,220,90,190,30,30,20,x,x,x,160,14
15,E12000002,REGION,B,NORTH WEST,4400,4640,4630,4580,4610,2440,2170,53,47,320,1170,760,770,200,200,1180,7,25,16,17,4,4,26,290,330,x,40,980,170,190,190,320,390,350,150,80,50,20,20,10,1030,13
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2820,2930,2940,2830,2760,1490,1270,54,46,230,700,390,430,110,120,780,8,25,14,16,4,4,28,220,210,10,10,590,90,190,150,200,110,270,50,50,60,10,20,10,520,16
55,E12000004,REGION,D,EAST MIDLANDS,2280,2370,2390,2290,2140,1230,910,57,43,180,530,270,300,100,120,650,9,25,12,14,4,6,30,200,100,x,10,480,70,90,120,140,80,390,60,40,30,10,40,x,280,14
65,E12000005,REGION,E,WEST MIDLANDS,3480,3600,3580,3310,3110,1760,1350,57,43,160,750,410,470,140,160,1020,5,24,13,15,4,5,33,230,320,x,30,660,130,180,100,200,20,400,30,60,60,10,30,20,630,18
80,E12000006,REGION,F,EAST OF ENGLAND,2730,2990,2780,2940,2880,1700,1190,59,41,240,600,320,410,160,170,990,8,21,11,14,5,6,34,230,180,x,60,460,140,140,120,140,190,430,90,70,40,10,20,20,540,14
92,E12000007,REGION,G,LONDON,5920,6000,6030,5940,5470,3260,2210,60,40,340,710,540,910,400,450,2120,6,13,10,17,7,8,39,190,130,10,200,1140,320,250,90,200,300,800,130,120,140,60,60,20,1320,6
93,E12000007,REGION,H,INNER LONDON,2510,2510,2510,2350,2330,1390,940,60,40,160,270,210,380,170,190,960,7,12,9,16,7,8,41,60,40,x,90,510,150,150,40,70,120,260,20,20,70,20,40,10,660,4
108,E12000007,REGION,I,OUTER LONDON,3420,3500,3520,3590,3140,1860,1270,59,41,190,440,330,540,230,260,1170,6,14,10,17,7,8,37,130,90,10,110,640,170,100,40,130,190,540,110,100,70,40,20,10,650,7
128,E12000008,REGION,J,SOUTH EAST,4050,4090,4640,4650,4300,2580,1720,60,40,300,810,550,650,260,280,1450,7,19,13,15,6,7,34,250,290,x,190,820,190,230,120,250,250,730,120,110,30,20,50,10,660,12
148,E12000009,REGION,K,SOUTH WEST,2910,2800,2850,2690,2480,1330,1160,53,47,260,550,340,380,100,120,730,10,22,14,15,4,5,29,200,160,x,20,530,170,110,80,180,160,230,40,50,10,x,20,x,530,14
95,E09000001,LA,201,City of London,x,x,6,x,16,x,x,x,x,0,0,x,x,x,x,9,0,0,x,x,x,x,56,0,0,0,7,x,0,0,0,0,0,0,0,0,0,0,x,0,x,0
94,E09000007,LA,202,Camden,158,123,102,98,104,77,27,74,26,7,7,x,8,12,x,61,7,7,x,8,12,x,59,0,x,x,10,13,x,x,x,0,6,0,0,0,x,x,0,0,62,x
117,E09000011,LA,203,Greenwich,312,288,239,266,239,142,97,59,41,23,42,19,56,20,10,69,10,18,8,23,8,4,29,12,10,x,0,56,19,10,7,24,15,35,x,x,7,x,x,x,28,9
96,E09000012,LA,204,Hackney,165,163,209,214,208,103,105,50,50,9,27,19,48,12,11,82,4,13,9,23,6,5,39,x,x,x,x,49,34,x,6,x,9,0,0,0,x,x,x,0,84,6
97,E09000013,LA,205,Hammersmith and Fulham,156,118,108,99,111,64,47,58,42,x,7,12,18,x,12,52,x,6,11,16,x,11,47,x,x,0,x,20,6,10,x,x,x,41,x,0,x,x,0,0,15,x
99,E09000019,LA,206,Islington,158,177,204,217,189,119,70,63,37,10,21,13,22,12,19,92,5,11,7,12,6,10,49,x,x,0,7,7,x,x,x,10,17,x,0,x,7,x,0,0,118,4
