LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2014,CLA_Mar2015,CLA_Mar2016,CLA_Mar2017,CLA_Mar2018,CLA_Pop2014,CLA_Pop2015,CLA_Pop2016,CLA_Pop2017,CLA_Pop2018,CLA_Rate2014,CLA_Rate2015,CLA_Rate2016,CLA_Rate2017,CLA_Rate2018,CLA_2014,CLA_2015,CLA_2016,CLA_2017,CLA_2018,CLA_stp2014,CLA_stp2015,CLA_stp2016,CLA_stp2017,CLA_stp2018,CLA_male,CLA_female,CLA_male_pc,CLA_female_pc,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_U1_pc,CLA_1to4_pc,CLA_5to9_pc,CLA_10to15_pc,CLA_16over_pc,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_White_pc,CLA_Mixed_pc,CLA_Asian_pc,CLA_Black_pc,CLA_EOTH_pc,CLA_Oth_pc,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_Fost_pc,CLA_Adopt_pc,CLA_Parent_pc,CLA_Ocom_pc,CLA_Secure_pc,CLA_Ores_pc,CLA_RSch_pc,CLA_Oth_Pl_pc,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_ICO_pc,CLA_FCO_pc,CLA_FrAd_pc,CLA_PlaceO_pc,CLA_S20_pc,CLA_CPG_pc,CLA_YJLS_pc,CLA_UASC2014,CLA_UASC2015,CLA_UASC2016,CLA_UASC2017,CLA_UASC2018,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_LTE20,CLA_GT20,CLA_NoInfo,CLA_InLA,CLA_OutLA,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_LTE20_pc,CLA_GT20_pc,CLA_NoInfo_pc,CLA_InLA_pc,CLA_OutLA_pc,CLA_InLA_LTE20_pc,CLA_OutLA_LTE20_pc,CLA_InLA_GT20_pc,CLA_OutLA_GT20_pc,CLA_InLA_NoInfo_pc,CLA_OutLA_NoInfo_pc,CLA_IntPl_pc,CLA_ExtPl_pc,CLA_3_Pl,CLA_3_Pl_pc,CLA_2andhalfyears,CLA_SamePl_2years,CLA_SamePl_2years_pc,CLA_NewPl_All_Place,CLA_NewPl_InLA_LTE20,CLA_NewPl_OutLA_LTE20,CLA_NewPl_InLA_GT20,CLA_NewPl_OutLA_GT20,CLA_NewPl_NoInfo,CLA_NewPl_InLA_LTE20_pc,CLA_NewPl_OutLA_LTE20_pc,CLA_NewPl_InLA_GT20_pc,CLA_NewPl_OutLA_GT20_pc,CLA_NewPl_NoInfo_pc,CLA_RPC_All_Place,CLA_RPC_CarePlan,CLA_RPC_Resign,CLA_RPC_Alleg,CLA_RPC_Standards,CLA_RPC_Approval,CLA_RPC_CarerBehav,CLA_RPC_CarerOther,CLA_RPC_Child,CLA_RPC_Auth,CLA_RPC_Status,CLA_RPC_Other,CLA_RPC_CarePlan_pc,CLA_RPC_Resign_pc,CLA_RPC_Alleg_pc,CLA_RPC_Standards_pc,CLA_RPC_Approval_pc,CLA_RPC_CarerBehav_pc,CLA_RPC_CarerOther_pc,CLA_RPC_Child_pc,CLA_RPC_Auth_pc,CLA_RPC_Status_pc,CLA_RPC_Other_pc
1,E92000001,NATIONAL,999,ENGLAND,68810,69470,70400,72590,75420,11506450,11591700,11677860,11785280,11866960,60,60,60,62,64,98090,99410,100910,102660,104100,3470,2770,2300,1740,1560,42320,33100,56,44,4280,9810,14290,29710,17330,6,13,19,39,23,56300,7150,3400,5370,2530,670,75,9,5,7,3,1,55200,2230,4700,3100,8530,1230,130,300,73,3,6,4,11,2,-,-,11750,43490,0,5360,14500,30,290,16,58,0,7,19,-,-,2060,2760,4340,4690,4480,39670,940,430,25550,3830,4700,300,55740,14590,5090,44680,30740,39040,16700,3240,11350,2400,2690,74400,44660,29740,-1020,74,19,7,59,41,52,22,4,15,3,4,60,40,7890,10,24680,17230,70,83020,42290,17390,3970,12590,6790,51,21,5,15,8,51270,18420,370,510,660,180,6310,2790,2230,1140,6780,11880,36,1,1,1,-,12,5,4,2,13,23
2,E12000001,REGION,A,NORTH EAST,4240,4270,4400,4830,5020,525100,524980,524370,525640,527410,81,81,84,92,95,6180,6130,6320,6910,7020,270,250,240,200,170,2730,2280,54,46,360,840,1050,1920,840,7,17,21,38,17,4590,140,90,100,70,30,92,3,2,2,1,-,3860,170,280,90,540,50,x,30,77,3,6,2,11,1,x,1,780,2870,0,350,1010,0,10,15,57,0,7,20,0,-,20,10,20,60,50,3270,50,30,1000,360,280,30,4370,550,100,3100,1920,2980,1390,80,470,40,70,4930,3090,1840,-90,87,11,2,62,38,59,28,2,9,1,1,63,37,440,9,1500,1100,73,5300,3290,1320,80,510,100,62,25,1,10,2,2940,840,50,50,50,20,340,200,90,50,870,380,28,2,2,2,1,12,7,3,2,29,13
15,E12000002,REGION,B,NORTH WEST,12260,12490,12550,13220,14070,1509760,1514980,1521580,1533440,1543280,81,82,82,86,91,16480,16950,17030,17640,18540,660,470,320,200,190,7690,6390,55,45,750,2240,3100,5530,2450,5,16,22,39,17,11800,960,480,470,250,120,84,7,3,3,2,1,9700,350,1840,460,1370,250,20,90,69,2,13,3,10,2,-,1,2450,9340,0,840,1410,x,20,17,66,0,6,10,x,-,60,70,120,210,290,7200,220,60,4140,530,1840,90,11790,1970,320,8810,5270,8210,3580,440,1530,160,160,13930,8810,5130,-140,84,14,2,63,37,58,25,3,11,1,1,63,37,1400,10,5140,3630,71,14400,8260,3330,480,1860,470,57,23,3,13,3,9140,2610,40,120,150,80,1170,530,350,130,1220,2730,29,-,1,2,1,13,6,4,1,13,30
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,7380,7260,7250,7720,8190,1137760,1141040,1145520,1152400,1158480,65,64,63,67,71,10100,10090,10090,10420,10850,460,350,280,130,180,4480,3710,55,45,550,1260,1670,3200,1520,7,15,20,39,19,6650,730,310,190,240,70,81,9,4,2,3,1,6090,270,610,290,790,110,10,20,74,3,7,4,10,1,-,-,1450,5110,0,610,990,0,30,18,62,0,7,12,0,-,50,70,130,220,260,4940,110,40,1850,620,610,20,6560,1320,310,5480,2720,5070,1480,190,1130,220,100,7960,5480,2480,-240,80,16,4,67,33,62,18,2,14,3,1,69,31,870,11,2930,2060,70,8730,5530,1380,250,1110,470,63,16,3,13,5,5590,2040,40,70,50,30,710,340,250,90,830,1160,36,1,1,1,1,13,6,5,2,15,21
55,E12000004,REGION,D,EAST MIDLANDS,4950,5100,5170,5360,5630,961070,965750,971510,980660,988740,51,53,53,55,57,7110,7350,7470,7550,7700,410,370,340,310,300,3120,2510,55,45,350,830,1080,2140,1240,6,15,19,38,22,4340,590,240,220,170,80,77,10,4,4,3,1,4210,190,180,320,630,60,10,20,75,3,3,6,11,1,-,-,1130,2980,0,480,1020,0,20,20,53,0,9,18,0,-,140,190,280,280,280,3030,80,30,2100,200,180,20,3980,1370,290,3470,2160,2920,1060,400,970,150,140,6130,3470,2660,500,71,24,5,62,38,52,19,7,17,3,2,57,43,480,8,1780,1340,76,5710,2990,920,430,1010,370,52,16,7,18,6,3290,1250,x,20,20,10,370,140,100,70,310,990,38,x,1,1,-,11,4,3,2,9,30
65,E12000005,REGION,E,WEST MIDLANDS,9130,9360,9250,9490,10050,1251160,1257090,1262410,1272350,1282900,73,74,73,75,78,12480,12810,12680,12640,13040,230,160,160,110,70,5560,4490,55,45,590,1460,2100,3870,2030,6,15,21,39,20,7230,1210,610,570,290,140,72,12,6,6,3,1,7420,290,710,320,1060,160,10,80,74,3,7,3,11,2,-,1,1490,6190,0,760,1570,10,30,15,62,0,8,16,-,-,130,170,380,490,480,4910,90,60,3830,370,710,80,7920,1580,550,5860,4190,5370,2550,240,1350,250,300,10060,5860,4200,10,79,16,5,58,42,53,25,2,13,2,3,58,42,1070,11,3720,2550,68,10300,5550,2330,280,1490,650,54,23,3,14,6,6630,3250,50,60,100,10,680,240,240,200,1060,750,49,1,1,1,-,10,4,4,3,16,11
80,E12000006,REGION,F,EAST OF ENGLAND,6350,6150,6340,6450,6550,1274070,1286690,1299960,1313770,1324440,50,48,49,49,49,8990,9010,9000,9270,9320,190,130,110,100,90,3770,2780,58,42,370,650,1150,2710,1680,6,10,17,41,26,5030,610,210,370,270,50,77,9,3,6,4,1,4860,250,180,400,740,90,10,20,74,4,3,6,11,1,-,-,890,3650,0,560,1430,x,20,14,56,0,9,22,x,-,190,300,460,530,490,3290,60,30,2630,350,180,20,4090,1910,550,4210,2340,3200,890,700,1220,310,240,6550,4210,2340,0,62,29,8,64,36,49,14,11,19,5,4,64,36,630,10,2100,1460,69,7240,3420,880,790,1310,840,47,12,11,18,12,4240,1240,20,30,60,10,640,290,280,80,590,1010,29,-,1,1,-,15,7,7,2,14,24
92,E12000007,REGION,G,LONDON,10110,9980,9860,9900,9890,1887380,1920210,1951740,1981780,2001360,54,52,51,50,49,15750,15700,15620,15590,15120,330,330,270,230,190,5830,4060,59,41,460,770,1300,3800,3540,5,8,13,38,36,3750,1700,1000,2800,600,50,38,17,10,28,6,-,7080,190,230,600,1480,270,30,x,72,2,2,6,15,3,-,x,1310,4750,0,450,3250,x,130,13,48,0,5,33,x,1,980,1240,1490,1590,1500,4220,130,110,4660,540,230,x,6470,1850,1560,3570,6320,2900,3580,10,1840,660,900,8380,3560,4820,-1510,65,19,16,36,64,29,36,-,19,7,9,43,57,1100,11,2640,1790,68,11900,3620,4660,10,1840,1780,30,39,-,15,15,6640,2410,40,60,90,10,900,310,340,140,580,1780,36,1,1,1,-,14,5,5,2,9,27
93,E12000007,REGION,H,INNER LONDON,4380,4210,4060,4230,4260,688760,702370,716590,728770,737550,64,60,57,58,58,6780,6600,6450,6480,6480,110,110,110,100,80,2500,1760,59,41,200,320,560,1670,1520,5,7,13,39,36,1180,820,340,1610,280,30,28,19,8,38,7,1,3020,90,110,280,590,150,10,0,71,2,3,7,14,3,-,0,520,2150,0,220,1300,x,70,12,51,0,5,31,x,2,240,320,400,500,560,1770,40,70,2020,240,110,0,2880,790,590,1200,3060,1030,1850,x,790,160,430,2470,1190,1280,-1790,68,19,14,28,72,24,43,x,19,4,10,48,52,460,11,1170,790,68,5020,1200,2290,x,740,780,24,46,x,15,16,2690,650,20,20,20,10,350,110,120,70,280,1030,24,1,1,1,-,13,4,5,3,10,38
108,E12000007,REGION,I,OUTER LONDON,5730,5770,5810,5670,5630,1198620,1217840,1235150,1253010,1263810,48,47,47,45,45,8970,9110,9170,9100,8640,210,220,170,140,110,3330,2300,59,41,270,450,750,2140,2030,5,8,13,38,36,2570,870,660,1190,320,20,46,16,12,21,6,-,4060,100,120,320,890,130,20,x,72,2,2,6,16,2,-,x,790,2600,0,240,1940,x,60,14,46,0,4,35,x,1,740,920,1080,1090,940,2450,80,40,2640,300,120,x,3590,1060,980,2370,3260,1860,1730,x,1050,500,470,5910,2370,3540,280,64,19,17,42,58,33,31,x,19,9,8,40,60,640,11,1480,990,67,6880,2420,2370,x,1100,1000,35,34,x,16,14,3950,1760,10,30,70,x,540,200,220,70,300,750,44,-,1,2,x,14,5,5,2,8,19
