LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_EET17&18,CL_Act_EET17,CL_Act_EET18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET17&18,CL_Act_NEET17,CL_Act_NEET18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Act_EET17&18_pc,CL_Act_EET17_pc,CL_Act_EET18_pc,CL_Act_HE17&18_pc,CL_Act_HE17_pc,CL_Act_HE18_pc,CL_Act_OE17&18_pc,CL_Act_OE17_pc,CL_Act_OE18_pc,CL_Act_TE17&18_pc,CL_Act_TE17_pc,CL_Act_TE18_pc,CL_Act_NEET17&18_pc,CL_Act_NEET17_pc,CL_Act_NEET18_pc,CL_Act_NEET_ill17&18_pc,CL_Act_NEET_ill17_pc,CL_Act_NEET_ill18_pc,CL_Act_NEET_oth17&18_pc,CL_Act_NEET_oth17_pc,CL_Act_NEET_oth18_pc,CL_Act_NEET_preg17&18_pc,CL_Act_NEET_preg17_pc,CL_Act_NEET_preg18_pc,CL_Act_NoInf17&18_pc,CL_Act_NoInf17_pc,CL_Act_NoInf18_pc,CL_Acc_Total_SUIT17&18,CL_Acc_Total_SUIT17,CL_Acc_Total_SUIT18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_SUIT17&18_pc,CL_Acc_SUIT17_pc,CL_Acc_SUIT18_pc,CL_Acc_NotSUIT17&18_pc,CL_Acc_NotSUIT17_pc,CL_Acc_NotSUIT18_pc,CL_Acc_NoSUITInfo17&18_pc,CL_Acc_NoSUITInfo17_pc,CL_Acc_NoSUITInfo18_pc,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_Acc_P17&18_pc,CL_Acc_P17_pc,CL_Acc_P18_pc,CL_Acc_CH17&18_pc,CL_Acc_CH17_pc,CL_Acc_CH18_pc,CL_Acc_SITA17&18_pc,CL_Acc_SITA17_pc,CL_Acc_SITA18_pc,CL_Acc_SL17&18_pc,CL_Acc_SL17_pc,CL_Acc_SL18_pc,CL_Acc_GA17&18_pc,CL_Acc_GA17_pc,CL_Acc_GA18_pc,CL_Acc_Dep17&18_pc,CL_Acc_Dep17_pc,CL_Acc_Dep18_pc,CL_Acc_OL17&18_pc,CL_Acc_OL17_pc,CL_Acc_OL18_pc,CL_Acc_NK17&18_pc,CL_Acc_NK17_pc,CL_Acc_NK18_pc,CL_Acc_NFA17&18_pc,CL_Acc_NFA17_pc,CL_Acc_NFA18_pc,CL_Acc_F17&18_pc,CL_Acc_F17_pc,CL_Acc_F18_pc,CL_Acc_IL17&18_pc,CL_Acc_IL17_pc,CL_Acc_IL18_pc,CL_Acc_EA17&18_pc,CL_Acc_EA17_pc,CL_Acc_EA18_pc,CL_Acc_BB17&18_pc,CL_Acc_BB17_pc,CL_Acc_BB18_pc,CL_Acc_Cust17&18_pc,CL_Acc_Cust17_pc,CL_Acc_Cust18_pc,CL_Acc_FFC17&18_pc,CL_Acc_FFC17_pc,CL_Acc_FFC18_pc,CL_Acc_OTH17&18_pc,CL_Acc_OTH17_pc,CL_Acc_OTH18_pc,CL_Acc_NoInf17&18_pc,CL_Acc_NoInf17_pc,CL_Acc_NoInf18_pc,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_InTouch_IT17&18_pc,CL_InTouch_IT17_pc,CL_InTouch_IT18_pc,CL_InTouch_Refu17&18_pc,CL_InTouch_Refu17_pc,CL_InTouch_Refu18_pc,CL_InTouch_NoServ17&18_pc,CL_InTouch_NoServ17_pc,CL_InTouch_NoServ18_pc,CL_InTouch_Not17&18_pc,CL_InTouch_Not17_pc,CL_InTouch_Not18_pc,CL_Stayput_18,CL_Stayput_FFC_18,CL_Stayput_FFC_18_pc
1,E92000001,NATIONAL,999,ENGLAND,11080,620,10460,7110,310,6800,350,10,340,4900,210,4700,1860,90,1770,3270,180,3090,450,20,430,2540,140,2400,290,20,270,700,140,560,64,49,65,3,2,3,44,33,45,17,14,17,30,28,30,4,3,4,23,22,23,3,3,3,6,23,5,11010,620,10390,9780,420,9370,540,70,480,680,140,540,89,67,90,5,10,5,6,23,5,1500,270,1240,480,10,480,2800,60,2740,820,20,800,10,x,10,x,0,x,130,10,120,60,0,60,60,0,60,340,10,330,1420,30,1400,50,x,50,10,0,10,330,50,270,1940,0,1940,450,30,420,680,140,540,14,43,12,4,1,5,25,9,26,7,3,8,-,x,-,x,0,x,1,1,1,1,0,1,-,0,1,3,2,3,13,5,13,-,x,-,-,0,-,3,9,3,17,0,19,4,5,4,6,23,5,10300,470,9830,70,10,60,150,40,110,560,100,460,93,76,94,1,2,1,1,6,1,5,16,4,3310,1800,55
2,E12000001,REGION,A,NORTH EAST,520,60,470,340,40,310,20,x,10,200,20,180,130,20,110,170,10,150,30,x,30,120,10,110,20,x,20,10,10,10,66,64,66,3,x,3,38,33,39,25,27,24,32,25,33,5,x,5,24,20,24,3,x,3,2,11,1,520,60,470,490,40,440,20,10,20,10,10,10,93,78,95,5,11,4,2,11,1,130,30,100,20,0,20,60,x,60,50,x,50,0,0,0,0,0,0,10,x,x,0,0,0,0,0,0,20,x,20,80,10,70,x,0,x,0,0,0,20,x,20,100,0,100,30,x,30,10,10,10,25,51,21,4,0,5,12,x,13,9,x,10,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,3,x,3,14,11,15,x,0,x,0,0,0,4,x,3,19,0,21,7,x,7,2,11,1,510,50,460,0,0,0,x,x,x,10,10,x,97,85,98,0,0,0,x,x,x,2,13,x,150,80,56
15,E12000002,REGION,B,NORTH WEST,1450,110,1340,880,60,820,40,x,40,550,40,500,290,20,280,520,30,480,80,x,80,400,30,370,40,x,40,60,20,40,60,54,61,3,x,3,38,37,38,20,15,21,36,30,36,5,x,6,28,27,28,3,x,3,4,16,3,1450,110,1330,1310,90,1220,80,10,70,60,20,40,90,75,92,6,10,5,4,16,3,300,60,240,70,0,70,280,20,260,100,x,100,x,0,x,0,0,0,10,0,10,x,0,x,10,0,10,30,x,30,210,x,210,x,0,x,x,0,x,50,10,40,260,0,260,60,10,50,60,20,40,20,48,18,5,0,5,19,15,19,7,x,8,x,0,x,0,0,0,1,0,1,x,0,x,1,0,1,2,x,2,15,x,16,x,0,x,x,0,x,3,9,3,18,0,20,4,7,4,4,16,3,1390,100,1290,10,x,x,10,x,10,50,10,30,96,84,97,-,x,x,1,x,1,3,11,2,400,250,62
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,920,50,870,630,20,610,20,0,20,400,10,390,210,10,200,230,10,220,40,x,40,170,10,160,20,0,20,50,10,40,69,47,70,2,0,2,44,21,45,23,26,23,25,30,25,4,x,4,19,26,18,2,0,3,6,23,5,920,50,870,830,30,790,40,x,30,50,10,40,90,68,91,4,x,4,6,23,5,120,20,100,60,x,50,160,x,160,60,0,60,x,0,x,0,0,0,10,x,x,0,0,0,x,0,x,10,0,10,130,x,130,x,0,x,0,0,0,30,x,20,200,0,200,80,x,80,50,10,40,13,43,12,6,x,6,18,x,18,7,0,7,x,0,x,0,0,0,1,x,x,0,0,0,x,0,x,1,0,1,14,x,15,x,0,x,0,0,0,3,x,3,22,0,23,9,x,9,6,23,5,860,40,820,x,0,x,10,0,10,40,10,30,94,77,95,x,0,x,1,0,1,5,23,4,300,180,62
55,E12000004,REGION,D,EAST MIDLANDS,800,50,750,490,10,470,40,0,40,300,10,290,150,x,150,260,20,240,60,x,50,190,20,170,20,x,10,60,20,40,61,26,63,4,0,5,37,15,39,19,x,20,32,38,32,7,x,7,23,32,23,2,x,2,7,36,5,790,50,750,690,20,660,50,10,50,60,20,40,86,50,89,7,13,6,7,37,5,100,10,80,50,x,50,210,x,210,80,x,80,x,x,0,0,0,0,10,x,10,x,0,x,x,0,x,10,0,10,100,x,90,x,0,x,x,0,x,30,x,30,110,0,110,30,x,30,60,20,40,12,30,11,6,x,6,26,x,28,10,x,10,x,x,0,0,0,0,2,x,1,x,0,x,x,0,x,2,0,2,12,x,12,x,0,x,x,0,x,4,x,4,14,0,15,4,x,4,7,36,5,740,30,710,x,x,x,20,10,10,30,10,30,93,64,94,x,x,x,3,15,2,4,15,3,200,110,52
65,E12000005,REGION,E,WEST MIDLANDS,1200,60,1140,780,30,750,40,x,40,540,20,520,200,10,190,360,20,340,50,x,40,280,10,270,40,x,30,60,10,50,65,52,65,3,x,3,45,34,46,17,16,17,30,33,30,4,x,4,23,21,24,3,x,3,5,15,4,1190,60,1120,1060,40,1020,70,10,60,60,10,50,89,69,90,6,16,5,5,15,4,180,30,150,50,0,50,250,10,240,100,x,100,x,0,x,0,0,0,x,0,x,10,0,10,10,0,10,50,0,50,170,x,160,x,0,x,x,0,x,40,10,40,210,0,210,70,x,60,60,10,50,15,43,14,4,0,4,21,13,21,8,x,9,x,0,x,0,0,0,x,0,x,1,0,1,1,0,1,4,0,5,14,x,14,x,0,x,x,0,x,4,13,3,17,0,18,6,x,6,5,15,4,1130,50,1080,x,0,x,10,0,10,60,10,50,94,84,95,x,0,x,1,0,1,5,16,4,350,200,58
80,E12000006,REGION,F,EAST OF ENGLAND,1170,70,1110,760,30,730,10,x,10,590,20,570,160,x,160,340,20,320,40,x,40,260,10,250,40,x,40,80,20,60,64,42,66,1,x,1,50,34,51,14,x,14,29,34,29,3,x,3,22,20,22,4,x,3,6,25,5,1160,70,1090,1040,40,1000,50,10,50,70,20,50,90,68,91,4,9,4,6,23,5,150,30,120,50,0,50,310,x,310,80,x,80,0,0,0,0,0,0,20,0,20,10,0,10,10,0,10,60,x,60,140,x,140,10,0,10,x,0,x,30,x,20,190,0,190,50,x,40,70,20,50,13,45,11,4,0,5,27,x,28,7,x,7,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,5,x,6,12,x,12,1,0,1,x,0,x,2,x,2,16,0,17,4,x,4,6,23,5,1090,50,1040,x,0,x,10,10,10,70,10,60,93,72,94,x,0,x,1,9,1,6,18,5,300,160,54
92,E12000007,REGION,G,LONDON,2440,120,2320,1580,50,1530,120,x,120,1190,40,1150,270,10,260,660,30,630,30,x,30,560,20,540,60,x,60,200,40,160,65,44,66,5,x,5,49,36,50,11,7,11,27,25,27,1,x,1,23,20,23,3,x,2,8,31,7,2420,120,2300,2110,70,2040,120,20,110,190,40,150,87,55,89,5,14,5,8,30,7,210,50,160,70,x,60,1010,10,1000,80,x,80,x,x,x,0,0,0,10,0,10,10,0,10,10,0,10,40,0,40,240,x,240,20,x,20,x,0,x,90,20,70,410,0,410,50,x,50,190,40,150,9,38,7,3,x,3,41,7,43,3,x,3,x,x,x,0,0,0,-,0,-,1,0,1,-,0,-,1,0,2,10,x,10,1,x,1,x,0,x,4,13,3,17,0,18,2,x,2,8,30,6,2210,80,2130,20,10,10,30,10,30,170,30,150,91,66,92,1,6,1,1,6,1,7,23,6,740,380,52
93,E12000007,REGION,H,INNER LONDON,1070,50,1010,710,30,680,70,x,70,510,20,490,130,x,130,310,20,290,10,x,10,260,10,250,30,x,30,50,10,40,67,50,68,7,x,7,48,44,48,12,x,12,29,30,29,1,x,1,25,19,25,3,x,3,5,20,4,1060,50,1000,930,30,900,80,20,70,50,10,40,88,53,90,8,28,7,4,19,4,110,20,90,30,0,30,490,x,490,40,x,40,x,x,x,0,0,0,x,0,x,10,0,10,x,0,x,10,0,10,30,0,30,x,0,x,0,0,0,60,10,40,210,0,210,30,x,30,50,10,40,10,43,8,3,0,3,46,x,48,4,x,4,x,x,x,0,0,0,x,0,x,1,0,1,x,0,x,1,0,1,3,0,3,x,0,x,0,0,0,5,26,4,19,0,21,3,x,3,4,19,4,990,40,950,10,x,x,10,x,10,60,10,50,93,72,94,1,x,x,1,x,1,5,19,5,340,200,57
108,E12000007,REGION,I,OUTER LONDON,1370,70,1300,870,30,850,50,x,50,680,20,670,140,10,130,350,10,340,20,0,20,300,10,290,30,0,30,150,30,120,64,39,65,4,x,4,50,29,51,10,9,10,26,21,26,2,0,2,22,21,22,2,0,2,11,39,9,1360,70,1300,1180,40,1140,40,x,40,140,30,110,87,58,88,3,x,3,10,39,9,100,20,80,40,x,40,520,x,510,40,0,40,x,0,x,0,0,0,10,0,10,10,0,10,x,0,x,20,0,20,210,x,210,20,x,20,x,0,x,30,x,30,200,0,200,20,x,20,140,30,110,7,35,6,3,x,3,38,x,39,3,0,3,x,0,x,0,0,0,-,0,-,-,0,-,x,0,x,2,0,2,16,x,16,2,x,2,x,0,x,2,x,2,15,0,15,2,x,2,10,39,9,1220,40,1180,10,x,10,20,x,20,120,20,100,89,61,90,1,x,1,2,x,1,8,26,8,390,190,48
