LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Acc_Total_SUIT19to21,CL_Acc_Total_SUIT19,CL_Acc_Total_SUIT20,CL_Acc_Total_SUIT21,CL_Acc_SUIT19to21,CL_Acc_SUIT19,CL_Acc_SUIT20,CL_Acc_SUIT21,CL_Acc_NotSUIT19to21,CL_Acc_NotSUIT19,CL_Acc_NotSUIT20,CL_Acc_NotSUIT21,CL_Acc_NoSUITInfo19to21,CL_Acc_NoSUITInfo19,CL_Acc_NoSUITInfo20,CL_Acc_NoSUITInfo21,CL_Acc_SUIT19to21_pc,CL_Acc_SUIT19_pc,CL_Acc_SUIT20_pc,CL_Acc_SUIT21_pc,CL_Acc_NotSUIT19to21_pc,CL_Acc_NotSUIT19_pc,CL_Acc_NotSUIT20_pc,CL_Acc_NotSUIT21_pc,CL_Acc_NoSUITInfo19to21_pc,CL_Acc_NoSUITInfo19_pc,CL_Acc_NoSUITInfo20_pc,CL_Acc_NoSUITInfo21_pc,CL_Acc_P19to21,CL_Acc_P19,CL_Acc_P20,CL_Acc_P21,CL_Acc_CH19to21,CL_Acc_CH19,CL_Acc_CH20,CL_Acc_CH21,CL_Acc_SITA19to21,CL_Acc_SITA19,CL_Acc_SITA20,CL_Acc_SITA21,CL_Acc_SL19to21,CL_Acc_SL19,CL_Acc_SL20,CL_Acc_SL21,CL_Acc_GA19to21,CL_Acc_GA19,CL_Acc_GA20,CL_Acc_GA21,CL_Acc_Dep19to21,CL_Acc_Dep19,CL_Acc_Dep20,CL_Acc_Dep21,CL_Acc_OL19to21,CL_Acc_OL19,CL_Acc_OL20,CL_Acc_OL21,CL_Acc_NK19to21,CL_Acc_NK19,CL_Acc_NK20,CL_Acc_NK21,CL_Acc_NFA19to21,CL_Acc_NFA19,CL_Acc_NFA20,CL_Acc_NFA21,CL_Acc_F19to21,CL_Acc_F19,CL_Acc_F20,CL_Acc_F21,CL_Acc_IL19to21,CL_Acc_IL19,CL_Acc_IL20,CL_Acc_IL21,CL_Acc_EA19to21,CL_Acc_EA19,CL_Acc_EA20,CL_Acc_EA21,CL_Acc_BB19to21,CL_Acc_BB19,CL_Acc_BB20,CL_Acc_BB21,CL_Acc_Cust19to21,CL_Acc_Cust19,CL_Acc_Cust20,CL_Acc_Cust21,CL_Acc_FFC19to21,CL_Acc_FFC19,CL_Acc_FFC20,CL_Acc_FFC21,CL_Acc_OTH19to21,CL_Acc_OTH19,CL_Acc_OTH20,CL_Acc_OTH21,CL_Acc_NoInf19to21,CL_Acc_NoInf19,CL_Acc_NoInf20,CL_Acc_NoInf21,CL_Acc_P19to21_pc,CL_Acc_P19_pc,CL_Acc_P20_pc,CL_Acc_P21_pc,CL_Acc_CH19to21_pc,CL_Acc_CH19_pc,CL_Acc_CH20_pc,CL_Acc_CH21_pc,CL_Acc_SITA19to21_pc,CL_Acc_SITA19_pc,CL_Acc_SITA20_pc,CL_Acc_SITA21_pc,CL_Acc_SL19to21_pc,CL_Acc_SL19_pc,CL_Acc_SL20_pc,CL_Acc_SL21_pc,CL_Acc_GA19to21_pc,CL_Acc_GA19_pc,CL_Acc_GA20_pc,CL_Acc_GA21_pc,CL_Acc_Dep19to21_pc,CL_Acc_Dep19_pc,CL_Acc_Dep20_pc,CL_Acc_Dep21_pc,CL_Acc_OL19to21_pc,CL_Acc_OL19_pc,CL_Acc_OL20_pc,CL_Acc_OL21_pc,CL_Acc_NK19to21_pc,CL_Acc_NK19_pc,CL_Acc_NK20_pc,CL_Acc_NK21_pc,CL_Acc_NFA19to21_pc,CL_Acc_NFA19_pc,CL_Acc_NFA20_pc,CL_Acc_NFA21_pc,CL_Acc_F19to21_pc,CL_Acc_F19_pc,CL_Acc_F20_pc,CL_Acc_F21_pc,CL_Acc_IL19to21_pc,CL_Acc_IL19_pc,CL_Acc_IL20_pc,CL_Acc_IL21_pc,CL_Acc_EA19to21_pc,CL_Acc_EA19_pc,CL_Acc_EA20_pc,CL_Acc_EA21_pc,CL_Acc_BB19to21_pc,CL_Acc_BB19_pc,CL_Acc_BB20_pc,CL_Acc_BB21_pc,CL_Acc_Cust19to21_pc,CL_Acc_Cust19_pc,CL_Acc_Cust20_pc,CL_Acc_Cust21_pc,CL_Acc_FFC19to21_pc,CL_Acc_FFC19_pc,CL_Acc_FFC20_pc,CL_Acc_FFC21_pc,CL_Acc_OTH19to21_pc,CL_Acc_OTH19_pc,CL_Acc_OTH20_pc,CL_Acc_OTH21_pc,CL_Acc_NoInf19to21_pc,CL_Acc_NoInf19_pc,CL_Acc_NoInf20_pc,CL_Acc_NoInf21_pc,CL_Stayput_19&20,CL_Stayput_19,CL_Stayput_20,CL_Stayput_FFC_19&20,CL_Stayput_FFC_19,CL_Stayput_FFC_20,CL_Stayput_FFC_19&20_pc,CL_Stayput_FFC_19_pc,CL_Stayput_FFC_20_pc
1,E92000001,NATIONAL,999,ENGLAND,28510,10090,9430,8980,28000,9930,9240,8830,23510,8640,7800,7070,1860,580,640,640,2630,720,800,1120,84,87,84,80,7,6,7,7,9,7,9,13,3420,1280,1120,1020,1150,400,370,380,3560,1780,1090,690,1230,570,410,250,50,10,20,20,60,10,30,20,590,180,210,190,390,140,150,110,320,110,120,100,670,280,240,160,9900,2770,3410,3730,140,50,50,50,80,30,30,20,1080,330,370,380,2180,1060,690,420,1050,370,340,350,2630,720,800,1120,12,13,12,11,4,4,4,4,12,18,12,8,4,6,4,3,-,-,-,-,-,-,-,-,2,2,2,2,1,1,2,1,1,1,1,1,2,3,3,2,35,27,36,41,1,1,-,1,-,-,-,-,4,3,4,4,8,11,7,5,4,4,4,4,9,7,9,12,6340,3180,3160,1620,970,650,26,31,21
2,E12000001,REGION,A,NORTH EAST,1340,460,480,400,1330,460,470,400,1210,430,440,350,60,20,20,20,60,10,20,30,91,93,92,88,4,4,3,5,5,3,5,7,220,80,80,60,40,20,10,10,100,60,30,10,70,30,30,10,0,0,0,0,0,0,0,0,50,10,20,10,10,x,x,x,10,x,x,x,40,20,10,10,510,140,190,190,x,0,0,x,x,x,x,0,40,10,10,20,140,60,50,30,50,20,20,20,60,10,20,30,16,17,16,16,3,3,3,3,8,12,7,3,6,7,6,3,0,0,0,0,0,0,0,0,4,3,5,3,-,x,x,x,-,x,x,x,3,4,2,3,38,30,39,46,x,0,0,x,x,x,x,0,3,3,2,4,10,14,10,6,4,4,4,4,5,3,5,7,300,140,150,90,50,40,29,31,27
15,E12000002,REGION,B,NORTH WEST,3590,1250,1150,1190,3560,1250,1130,1180,3100,1110,980,1010,260,90,90,90,190,50,60,90,87,89,87,85,7,7,8,7,5,4,5,7,650,250,200,200,150,50,50,50,220,90,70,60,180,70,70,40,x,0,x,x,x,0,0,x,110,30,30,50,30,10,10,10,40,10,20,10,50,20,20,10,1280,370,410,500,20,10,x,10,10,10,0,x,160,50,50,60,380,190,110,80,140,50,50,40,190,50,60,90,18,20,18,17,4,4,4,4,6,7,6,5,5,6,6,3,x,0,x,x,x,0,0,x,3,2,3,4,1,1,1,1,1,1,1,1,1,1,2,1,36,29,36,42,1,1,x,1,-,-,0,x,4,4,5,5,10,15,9,7,4,4,5,4,5,4,5,7,790,410,390,280,180,100,35,43,26
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2230,800,720,720,2220,790,720,710,1950,720,640,590,120,40,40,40,150,30,40,80,88,91,89,83,6,5,5,6,7,4,6,11,270,110,80,90,120,40,40,40,170,100,40,30,110,60,40,20,x,0,x,x,x,x,0,0,20,x,10,x,10,x,x,x,20,10,10,x,20,10,10,10,900,260,300,350,10,x,x,x,x,x,x,0,90,30,30,30,240,120,80,50,90,30,30,30,150,30,40,80,12,14,11,12,5,5,6,5,8,12,6,5,5,8,5,2,x,0,x,x,x,x,0,0,1,x,1,x,-,x,x,x,1,1,1,x,1,1,1,1,40,32,42,48,-,x,x,x,x,x,x,0,4,4,4,4,11,14,11,7,4,4,5,4,7,4,6,11,550,290,270,190,110,80,34,38,29
55,E12000004,REGION,D,EAST MIDLANDS,2050,720,700,630,2000,700,680,620,1710,620,590,500,130,40,50,40,160,40,40,80,85,88,87,80,7,6,7,7,8,6,5,13,220,90,70,60,110,40,40,30,220,120,70,30,130,60,50,30,x,0,x,x,0,0,0,0,30,10,10,10,50,20,20,10,20,10,10,x,10,x,x,x,770,210,280,280,10,x,x,x,x,x,x,0,90,30,40,30,130,60,50,30,110,40,30,40,160,40,40,80,11,12,10,10,5,6,5,5,10,16,10,5,6,8,7,4,x,0,x,x,0,0,0,0,1,1,2,1,2,2,3,1,1,1,1,x,1,x,x,x,38,29,40,44,-,x,x,x,x,x,x,0,4,4,5,5,6,8,7,4,5,6,4,6,8,6,5,13,420,210,210,100,60,40,23,26,20
65,E12000005,REGION,E,WEST MIDLANDS,3140,1090,1060,990,3090,1070,1040,980,2600,930,880,790,210,60,80,70,280,80,80,120,84,87,85,81,7,6,7,7,9,7,8,12,420,140,160,130,130,50,40,40,230,120,60,50,120,50,40,30,x,x,x,0,x,0,0,x,20,x,10,10,40,20,10,10,40,10,10,10,90,40,30,20,1220,360,430,430,10,x,x,x,x,x,x,0,140,40,50,50,250,130,70,50,140,50,50,40,280,80,80,120,13,13,15,13,4,4,4,4,7,11,6,5,4,5,4,3,x,x,x,0,x,0,0,x,1,x,1,1,1,1,1,1,1,1,1,1,3,4,3,2,39,33,41,43,-,x,x,x,x,x,x,0,4,4,5,5,8,12,7,5,4,4,4,4,9,7,8,12,630,310,320,190,120,70,30,40,21
80,E12000006,REGION,F,EAST OF ENGLAND,2910,1010,950,950,2840,990,920,930,2340,850,740,740,230,70,90,60,270,70,80,120,82,86,81,80,8,7,10,7,10,7,9,13,340,130,100,110,120,40,30,50,290,160,80,40,100,50,30,20,10,x,x,x,10,0,x,x,70,20,30,20,60,20,20,20,70,20,30,20,100,40,30,20,1010,270,350,390,20,10,10,10,10,x,x,x,70,20,30,20,220,110,70,50,140,50,40,50,270,70,80,120,12,13,11,12,4,4,3,6,10,16,9,4,3,5,3,2,-,x,x,x,-,0,x,x,2,2,3,2,2,2,2,2,2,2,3,2,3,4,3,3,35,27,37,41,1,1,1,1,-,x,x,x,2,2,3,2,8,10,7,5,5,5,4,5,9,7,9,13,610,280,330,160,90,70,26,31,21
92,E12000007,REGION,G,LONDON,6350,2280,2080,1990,6130,2210,1990,1920,4950,1870,1620,1460,450,140,140,170,730,210,230,300,81,85,81,76,7,6,7,9,12,9,11,15,480,170,160,150,170,60,60,60,1590,790,500,300,190,90,50,50,20,x,10,10,50,10,20,20,150,40,50,50,150,50,60,40,60,10,20,20,90,40,30,20,1740,430,590,720,30,20,10,10,20,10,x,x,320,100,110,110,380,190,120,70,170,60,60,50,730,210,230,300,8,8,8,7,3,3,3,3,25,34,24,15,3,4,2,2,-,x,-,-,1,1,1,1,2,2,2,3,2,2,3,2,1,-,1,1,1,2,1,1,27,19,28,36,1,1,-,-,-,-,x,x,5,4,5,6,6,8,6,4,3,3,3,3,11,9,11,15,1410,730,690,290,170,120,20,24,17
93,E12000007,REGION,H,INNER LONDON,2690,920,910,860,2610,900,880,840,2120,760,720,640,240,70,80,90,260,70,90,100,81,85,82,77,9,8,9,11,10,8,10,12,220,70,80,70,60,20,20,20,820,390,270,170,70,40,20,10,10,x,x,x,10,x,x,x,90,30,40,20,70,20,30,20,30,x,10,10,60,20,20,20,540,80,190,280,x,x,x,0,x,x,0,x,170,50,60,60,180,80,70,40,110,40,40,40,260,70,90,100,8,8,8,8,2,2,2,2,31,42,29,20,3,4,2,1,-,x,x,x,-,x,x,x,3,3,4,3,2,2,3,2,1,x,1,1,2,2,2,2,20,8,20,33,x,x,x,0,x,x,0,x,6,6,6,7,7,9,7,4,4,4,4,5,9,7,9,12,580,280,300,140,80,60,24,27,21
108,E12000007,REGION,I,OUTER LONDON,3650,1360,1170,1130,3520,1320,1120,1080,2830,1110,910,820,210,70,70,80,470,140,140,190,81,84,81,75,6,5,6,7,13,10,13,18,270,100,90,80,110,40,40,40,770,400,240,130,120,50,30,40,10,x,x,10,40,10,20,10,60,10,10,30,90,30,30,20,30,10,10,10,30,20,10,10,1200,360,410,440,30,20,10,10,10,10,x,x,150,50,50,60,200,100,60,40,60,30,20,10,470,140,140,190,7,7,7,7,3,3,3,3,21,29,20,12,3,4,3,3,-,x,x,1,1,1,1,1,2,1,1,3,2,2,3,2,1,-,1,1,1,2,1,1,33,26,35,39,1,1,1,1,-,-,x,x,4,3,4,5,5,8,5,3,2,2,2,1,13,10,12,17,830,440,390,150,100,60,18,22,14
