LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_19to21,CL_All_19,CL_All_20,CL_All_21,CL_Act_EET19to21,CL_Act_EET19,CL_Act_EET20,CL_Act_EET21,CL_Act_HE19to21,CL_Act_HE19,CL_Act_HE20,CL_Act_HE21,CL_Act_OE19to21,CL_Act_OE19,CL_Act_OE20,CL_Act_OE21,CL_Act_TE19to21,CL_Act_TE19,CL_Act_TE20,CL_Act_TE21,CL_Act_NEET19to21,CL_Act_NEET19,CL_Act_NEET20,CL_Act_NEET21,CL_Act_NEET_ill19to21,CL_Act_NEET_ill19,CL_Act_NEET_ill20,CL_Act_NEET_ill21,CL_Act_NEET_oth19to21,CL_Act_NEET_oth19,CL_Act_NEET_oth20,CL_Act_NEET_oth21,CL_Act_NEET_preg19to21,CL_Act_NEET_preg19,CL_Act_NEET_preg20,CL_Act_NEET_preg21,CL_Act_NoInf19to21,CL_Act_NoInf19,CL_Act_NoInf20,CL_Act_NoInf21,CL_Act_EET19to21_pc,CL_Act_EET19_pc,CL_Act_EET20_pc,CL_Act_EET21_pc,CL_Act_HE19to21_pc,CL_Act_HE19_pc,CL_Act_HE20_pc,CL_Act_HE21_pc,CL_Act_OE19to21_pc,CL_Act_OE19_pc,CL_Act_OE20_pc,CL_Act_OE21_pc,CL_Act_TE19to21_pc,CL_Act_TE19_pc,CL_Act_TE20_pc,CL_Act_TE21_pc,CL_Act_NEET19to21_pc,CL_Act_NEET19_pc,CL_Act_NEET20_pc,CL_Act_NEET21_pc,CL_Act_NEET_ill19to21_pc,CL_Act_NEET_ill19_pc,CL_Act_NEET_ill20_pc,CL_Act_NEET_ill21_pc,CL_Act_NEET_oth19to21_pc,CL_Act_NEET_oth19_pc,CL_Act_NEET_oth20_pc,CL_Act_NEET_oth21_pc,CL_Act_NEET_preg19to21_pc,CL_Act_NEET_preg19_pc,CL_Act_NEET_preg20_pc,CL_Act_NEET_preg21_pc,CL_Act_NoInf19to21_pc,CL_Act_NoInf19_pc,CL_Act_NoInf20_pc,CL_Act_NoInf21_pc,CL_InTouch_IT19to21,CL_InTouch_IT19,CL_InTouch_IT20,CL_InTouch_IT21,CL_InTouch_Refu19to21,CL_InTouch_Refu19,CL_InTouch_Refu20,CL_InTouch_Refu21,CL_InTouch_NoServ19to21,CL_InTouch_NoServ19,CL_InTouch_NoServ20,CL_InTouch_NoServ21,CL_InTouch_Not19to21,CL_InTouch_Not19,CL_InTouch_Not20,CL_InTouch_Not21,CL_InTouch_IT19to21_pc,CL_InTouch_IT19_pc,CL_InTouch_IT20_pc,CL_InTouch_IT21_pc,CL_InTouch_Refu19to21_pc,CL_InTouch_Refu19_pc,CL_InTouch_Refu20_pc,CL_InTouch_Refu21_pc,CL_InTouch_NoServ19to21_pc,CL_InTouch_NoServ19_pc,CL_InTouch_NoServ20_pc,CL_InTouch_NoServ21_pc,CL_InTouch_Not19to21_pc,CL_InTouch_Not19_pc,CL_InTouch_Not20_pc,CL_InTouch_Not21_pc
1,E92000001,NATIONAL,999,ENGLAND,28510,10090,9430,8980,14640,5740,4750,4150,1750,510,620,630,5710,2980,1670,1060,7180,2250,2470,2460,11100,3600,3820,3670,2840,760,1020,1060,6350,2320,2140,1890,1910,520,660,720,2770,760,860,1160,51,57,50,46,6,5,7,7,20,30,18,12,25,22,26,27,39,36,41,41,10,7,11,12,22,23,23,21,7,5,7,8,10,7,9,13,25130,9180,8380,7560,570,150,190,230,760,180,200,380,2050,580,660,820,88,91,89,84,2,2,2,3,3,2,2,4,7,6,7,9
2,E12000001,REGION,A,NORTH EAST,1340,460,480,400,700,260,250,180,90,30,40,30,200,100,70,20,410,130,140,130,580,190,200,190,160,40,70,60,300,120,90,90,110,30,40,40,60,10,20,30,52,57,53,46,7,6,8,6,15,22,15,6,31,29,30,33,43,40,43,47,12,8,15,14,22,26,19,22,9,6,9,10,5,3,5,7,1260,450,450,360,10,x,x,x,30,x,10,20,40,10,10,20,94,96,94,91,1,x,x,x,2,x,2,4,3,3,3,4
15,E12000002,REGION,B,NORTH WEST,3590,1250,1150,1190,1810,680,560,560,220,60,80,80,580,300,160,120,1000,320,320,360,1580,520,520,540,500,150,180,170,780,280,250,250,310,90,90,120,200,50,60,90,50,54,49,47,6,5,7,7,16,24,14,10,28,26,28,30,44,42,46,45,14,12,16,14,22,22,22,21,9,7,8,10,6,4,5,8,3320,1180,1060,1080,40,10,10,20,50,10,10,30,180,50,70,70,92,94,92,91,1,1,1,1,1,1,1,2,5,4,6,6
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,2230,800,720,720,1180,470,380,340,130,40,60,40,450,220,140,90,600,210,180,200,900,300,300,310,280,90,90,100,470,160,160,150,150,40,50,60,150,30,40,80,53,59,52,47,6,5,8,6,20,28,19,13,27,26,26,28,40,37,42,43,13,12,12,14,21,20,22,20,7,5,8,8,7,4,6,10,2050,760,660,630,30,10,10,10,50,10,10,30,110,20,40,50,92,95,92,88,1,1,1,2,2,1,2,4,5,3,5,7
55,E12000004,REGION,D,EAST MIDLANDS,2050,720,700,630,1000,380,360,260,100,30,30,40,360,170,130,60,540,180,200,160,870,290,290,280,280,80,90,100,470,180,160,140,120,30,50,40,180,50,50,90,49,53,51,41,5,5,4,6,18,24,18,10,26,24,29,26,42,40,42,45,13,11,13,16,23,25,23,22,6,4,6,6,9,7,7,14,1840,670,640,530,20,x,x,10,110,30,20,60,80,20,30,30,90,93,92,84,1,x,x,1,5,4,3,10,4,2,4,5
65,E12000005,REGION,E,WEST MIDLANDS,3140,1090,1060,990,1560,600,520,440,190,60,70,60,570,300,150,130,800,240,300,260,1300,420,450,430,310,80,110,130,720,260,250,210,270,80,100,90,280,80,90,120,50,55,50,44,6,6,7,6,18,27,14,13,25,22,29,26,41,38,42,44,10,7,10,13,23,24,23,21,8,7,9,9,9,7,8,12,2820,1000,960,860,70,10,30,30,50,10,10,30,210,60,70,80,90,92,91,86,2,1,2,3,2,1,1,3,7,6,6,8
80,E12000006,REGION,F,EAST OF ENGLAND,2910,1010,950,950,1470,580,470,420,170,50,60,60,590,330,170,100,720,200,250,260,1160,360,390,410,290,70,100,120,650,230,220,200,220,60,70,90,280,70,90,130,51,57,50,44,6,5,6,6,20,32,18,10,25,20,27,28,40,36,41,43,10,7,10,13,22,23,23,21,7,6,7,9,10,7,9,13,2500,910,810,780,40,10,10,20,50,10,20,20,330,90,100,140,86,90,86,82,1,1,1,2,2,1,2,2,11,9,10,15
92,E12000007,REGION,G,LONDON,6350,2280,2080,1990,3350,1320,1060,970,530,150,180,210,1560,780,470,310,1260,390,420,460,2200,730,770,700,250,60,90,100,1640,580,560,490,300,90,110,100,800,230,250,310,53,58,51,49,8,7,8,10,25,34,23,16,20,17,20,23,35,32,37,35,4,3,4,5,26,26,27,25,5,4,5,5,13,10,12,16,5320,2000,1760,1570,160,40,60,70,240,60,70,120,620,180,200,240,84,88,85,79,3,2,3,3,4,3,3,6,10,8,10,12
93,E12000007,REGION,H,INNER LONDON,2690,920,910,860,1440,540,470,430,250,80,90,90,570,280,170,110,620,190,210,220,980,300,350,330,100,20,40,40,750,240,260,250,130,40,50,40,280,80,90,110,53,59,52,49,9,8,10,11,21,30,19,13,23,20,23,26,36,33,38,38,4,2,4,4,28,26,29,29,5,4,5,5,10,8,10,13,2280,820,780,680,60,20,20,20,130,30,40,60,230,60,80,100,85,89,86,79,2,2,2,2,5,3,4,7,9,6,8,11
108,E12000007,REGION,I,OUTER LONDON,3650,1360,1170,1130,1910,780,590,550,280,80,90,120,990,500,300,200,640,200,200,230,1220,430,420,370,160,40,50,70,890,340,300,240,170,50,70,60,520,150,160,210,52,57,50,49,8,6,8,10,27,37,25,18,18,15,17,21,33,32,36,33,4,3,5,6,24,25,26,22,5,3,6,6,14,11,14,18,3050,1180,980,890,110,30,40,40,110,30,30,60,390,130,120,140,83,87,84,79,3,2,3,4,3,2,3,5,11,9,11,12
