LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,OC2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
1,E92000001,NATIONAL,999,ENGLAND,52180,36760,1510,4,1940,890,690,4,46,36,44520,43730,46050,85,84,88,5390,4580,85,39590,30730,78,15040,3830,11850,49,12,39,14.2
2,E12000001,REGION,A,NORTH EAST,3380,2240,110,5,80,50,30,2,64,33,3150,3020,3180,93,89,94,430,390,90,2560,2080,81,1000,260,820,48,13,39,14.1
15,E12000002,REGION,B,NORTH WEST,10020,6410,290,5,280,150,100,3,53,35,9050,8640,8940,90,86,89,1320,1010,77,7700,6150,80,3360,740,2050,55,12,33,13.2
39,E12000003,REGION,C,YORKSHIRE AND THE HUMBER,5760,3840,190,5,160,80,70,3,47,45,4850,4840,5340,84,84,93,730,680,94,4350,3090,71,1410,360,1320,46,12,43,14.9
55,E12000004,REGION,D,EAST MIDLANDS,3850,2660,100,4,120,80,30,3,64,22,3590,3160,3440,93,82,89,460,420,93,2860,2280,80,1040,270,970,46,12,42,14.9
65,E12000005,REGION,E,WEST MIDLANDS,7210,4770,150,3,170,60,90,2,35,50,5870,5970,6180,81,83,86,890,730,82,5490,4350,79,2240,550,1550,52,13,36,13.7
80,E12000006,REGION,F,EAST OF ENGLAND,4490,3420,130,4,270,50,50,6,17,20,3820,3470,3680,85,77,82,290,220,76,3510,2570,73,1100,350,1130,43,14,44,15.3
92,E12000007,REGION,G,LONDON,6470,5200,220,4,440,230,140,7,53,33,5070,5350,5850,78,83,90,410,380,92,4680,3860,82,2070,500,1290,54,13,33,13
93,E12000007,REGION,H,INNER LONDON,2790,2220,90,4,210,150,50,7,74,24,2100,2270,2500,75,81,90,190,170,90,2030,1600,79,870,210,520,54,13,32,12.9
108,E12000007,REGION,I,OUTER LONDON,3680,2980,130,4,230,80,90,6,33,41,2970,3080,3350,81,84,91,220,210,94,2650,2260,85,1200,290,770,53,13,34,13.1
128,E12000008,REGION,J,SOUTH EAST,6910,5120,200,4,210,100,100,3,46,46,5530,5840,5910,80,85,86,580,560,95,5240,3750,72,1710,490,1550,46,13,41,14.8
148,E12000009,REGION,K,SOUTH WEST,4100,3110,120,4,210,110,90,5,50,42,3600,3450,3540,88,84,86,290,200,69,3220,2600,81,1120,300,1180,43,12,46,15.4
95,E09000001,LA,201,City of London,x,x,0,0,0,0,0,0,.,.,x,x,x,x,x,x,0,0,.,x,x,x,x,0,0,x,0,0,3.5
