LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_started2015,CLA_started2016,CLA_started2017,CLA_started2018,CLA_started2019,CLA_taken2019,CLA_taken2019_pc,SCLA_male,SCLA_female,SCLA_male_pc,SCLA_female_pc,SCLA_U1,SCLA_1to4,SCLA_5to9,SCLA_10to15,SCLA_16over,SCLA_U1_pc,SCLA_1to4_pc,SCLA_5to9_pc,SCLA_10to15_pc,SCLA_16over_pc,SCLA_AbNeg,SCLA_Cdisab,SCLA_ParIll,SCLA_FAcSt,SCLA_FD,SCLA_SUB,SCLA_LI,SCLA_AbsPar,SCLA_AbNeg_pc,SCLA_Cdisab_pc,SCLA_ParIll_pc,SCLA_FAcSt_pc,SCLA_FD_pc,SCLA_SUB_pc,SCLA_LI_pc,SCLA_AbsPar_pc,SCLA_ICO,SCLA_FCO,SCLA_PlaceO,SCLA_S20,SCLA_UPP,SCLA_SEPO,SCLA_UCAO,SCLA_ONCT,SCLA_PACE,SCLA_SORR,SCLA_ICO_pc,SCLA_FCO_pc,SCLA_PlaceO_pc,SCLA_S20_pc,SCLA_UPP_pc,SCLA_SEPO_pc,SCLA_UCAO_pc,SCLA_ONCT_pc,SCLA_PACE_pc,SCLA_SORR_pc,Started_CLA_Rate2015,Started_CLA_Rate2016,Started_CLA_Rate2017,Started_CLA_Rate2018,Started_CLA_Rate2019
1,E92000001,NATIONAL,999,ENGLAND,31360,32170,32940,32190,31680,14950,47,18110,13570,57,43,6010,5440,5320,8540,6370,19,17,17,27,20,18810,650,870,2380,4060,880,60,3970,59,2,3,8,13,3,-,13,10750,400,30,15900,3070,720,c,780,20,c,34,1,-,50,10,2,c,2,-,c,27,28,28,27,27
2,E12000001,REGION,A,NORTH EAST,1930,2090,2570,2280,2400,980,41,1270,1130,53,47,550,590,530,580,150,23,24,22,24,6,1600,30,40,180,400,70,c,80,67,1,2,7,17,3,c,4,780,30,c,1400,160,10,0,10,0,0,33,1,c,58,7,-,0,-,0,0,37,40,49,43,45
15,E12000002,REGION,B,NORTH WEST,4780,4620,5160,5390,5140,2940,57,2820,2320,55,45,1100,1010,980,1330,720,21,20,19,26,14,3550,110,100,430,560,90,c,310,69,2,2,8,11,2,c,6,2340,50,c,2090,470,70,c,110,c,c,46,1,c,41,9,1,c,2,c,c,32,30,34,35,33
39,E12000003,REGION,C,YORKSHIRE AND HUMBER,2750,2870,3230,3170,3170,1750,55,1720,1450,54,46,690,670,580,780,450,22,21,18,25,14,2340,50,70,130,280,50,c,250,74,2,2,4,9,2,c,8,1390,10,c,1340,290,60,0,80,c,0,44,-,c,42,9,2,0,2,c,0,24,25,28,27,27
55,E12000004,REGION,D,EAST MIDLANDS,2470,2410,2420,2390,2310,1100,48,1330,990,57,43,500,420,370,600,420,22,18,16,26,18,1410,50,80,120,310,70,30,230,61,2,4,5,14,3,1,10,840,40,c,1140,210,20,0,70,0,0,36,2,c,49,9,1,0,3,0,0,26,25,25,24,23
65,E12000005,REGION,E,WEST MIDLANDS,3770,3410,3470,3640,3440,1800,52,1960,1480,57,43,720,610,640,920,550,21,18,19,27,16,2120,90,80,280,440,100,10,320,62,3,2,8,13,3,-,9,1250,40,c,1530,410,90,0,100,10,c,36,1,c,44,12,3,0,3,-,c,30,27,27,28,27
80,E12000006,REGION,F,EAST OF ENGLAND,2720,2900,3000,2940,2920,1360,46,1740,1180,60,40,540,460,450,760,720,18,16,16,26,25,1740,60,60,200,300,70,c,480,60,2,2,7,10,2,c,17,980,50,10,1490,250,80,c,60,c,0,34,2,-,51,8,3,c,2,c,0,21,22,23,22,22
92,E12000007,REGION,G,LONDON,5770,5790,5860,5360,5480,1860,34,3430,2040,63,37,640,570,620,1600,2040,12,10,11,29,37,2370,100,220,440,580,300,c,1470,43,2,4,8,11,5,c,27,1010,60,10,3340,660,120,0,260,c,0,19,1,-,61,12,2,0,5,c,0,30,30,30,27,27
93,E13000001,REGION,H,INNER LONDON,2290,2320,2470,2320,2340,830,36,1460,880,63,37,290,250,260,650,890,12,11,11,28,38,1030,40,110,160,240,150,c,610,44,1,5,7,10,6,c,26,450,40,c,1380,270,70,0,120,c,0,19,2,c,59,12,3,0,5,c,0,33,32,34,31,31
108,E13000002,REGION,I,OUTER LONDON,3480,3480,3390,3040,3140,1030,33,1970,1170,63,37,350,310,360,960,1150,11,10,12,30,37,1340,60,110,280,340,150,c,860,43,2,3,9,11,5,c,28,560,20,c,1960,390,50,0,140,c,0,18,1,c,62,12,2,0,5,c,0,29,28,27,24,25
