LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_cease2015,CLA_cease2016,CLA_cease2017,CLA_cease2018,CLA_cease2019,CEA_male,CEA_female,CEA_male_pc,CEA_female_pc,CEA_U1,CEA_1to4,CEA_5to9,CEA_10to15,CEA_16,CEA_17,CEA_16over,CEA_18over,CEA_U1_pc,CEA_1to4_pc,CEA_5to9_pc,CEA_10to15_pc,CEA_16_pc,CEA_17_pc,CEA_16over_pc,CEA_18over_pc,CEA_Adop1,CEA_Adop2,CEA_Died,CEA_Taken,CEA_ParPlan,CEA_ParNPlan,CEA_NoPar,CEA_CAO,CEA_SGO_FFC_Rel,CEA_SGO_FFC_Oth,CEA_SGO_Car_Rel,CEA_SGO_Car_Oth,CEA_IndLiv1,CEA_IndLiv2,CEA_Residential,CEA_Custody,CEA_RemEnd,CEA_AgeAssmt,CEA_Abroad,CEA_Other,CEA_Adop_PC,CEA_Died_pc,CEA_Taken_pc,CEA_ParPlan_pc,CEA_ParNPlan_pc,CEA_NoPar_pc,CEA_CAO_pc,CEA_SGO_FFC_Rel_pc,CEA_SGO_FFC_Oth_pc,CEA_SGO_Car_Rel_pc,CEA_SGO_Car_Oth_pc,CEA_IndLiv1_pc,CEA_IndLiv2_pc,CEA_Residential_pc,CEA_Custody_pc,CEA_RemEnd_pc,CEA_AgeAssmt_pc,CEA_Abroad_pc,CEA_Other_pc,Ceased_CLA_Rate2015,Ceased_CLA_Rate2016,Ceased_CLA_Rate2017,Ceased_CLA_Rate2018,Ceased_CLA_Rate2019
1,E92000001,NATIONAL,999,ENGLAND,31350,31860,31400,30050,29460,16670,12790,57,43,2230,6480,3850,4350,1420,1530,12550,9610,8,22,13,15,5,5,43,33,1920,1650,50,570,5760,1280,1660,1120,2250,350,1190,50,4000,680,570,430,190,240,80,5430,12,-,2,20,4,6,4,8,1,4,-,14,2,2,1,1,1,-,18,27,27,27,25,25
2,E12000001,REGION,A,NORTH EAST,1940,2010,2180,2110,2130,1110,1020,52,48,200,670,380,320,60,100,560,390,9,32,18,15,3,5,26,18,190,100,c,c,480,80,170,220,280,10,110,c,200,50,20,10,c,c,c,190,13,c,c,23,4,8,10,13,1,5,c,10,2,1,1,c,c,c,9,37,38,41,40,40
15,E12000002,REGION,B,NORTH WEST,4640,4620,4580,4650,4630,2510,2120,54,46,360,1170,730,730,160,180,1650,1310,8,25,16,16,3,4,36,28,310,250,10,40,920,160,170,170,510,50,280,c,310,180,60,60,30,30,10,1070,12,-,1,20,3,4,4,11,1,6,c,7,4,1,1,1,1,-,23,31,30,30,30,30
39,E12000003,REGION,C,YORKSHIRE AND HUMBER,2930,2940,2830,2770,2830,1550,1280,55,45,210,750,420,410,100,120,1040,820,7,27,15,15,4,4,37,29,210,200,c,30,560,100,200,160,240,40,70,c,290,40,40,40,20,20,10,550,15,c,1,20,4,7,6,8,1,2,c,10,1,1,2,1,1,-,19,26,26,25,24,24
55,E12000004,REGION,D,EAST MIDLANDS,2370,2390,2290,2170,2160,1200,960,56,44,160,540,300,280,70,100,890,720,7,25,14,13,3,5,41,33,200,120,c,c,480,70,90,90,150,30,70,c,470,70,30,30,10,10,10,240,15,c,c,22,3,4,4,7,1,3,c,22,3,1,2,1,-,-,11,25,25,23,22,22
65,E12000005,REGION,E,WEST MIDLANDS,3600,3580,3310,3130,2990,1670,1320,56,44,170,650,420,430,110,130,1320,1080,6,22,14,14,4,4,44,36,170,270,10,20,610,120,170,90,190,50,40,c,380,40,40,50,20,20,c,690,15,-,1,20,4,6,3,6,2,1,c,13,1,1,2,1,1,c,23,29,28,26,24,23
80,E12000006,REGION,F,EAST OF ENGLAND,2990,2780,2940,2910,2760,1610,1160,58,42,230,590,330,370,180,140,1250,930,8,21,12,13,7,5,45,34,260,160,10,110,350,110,240,100,160,70,100,20,430,90,60,30,20,20,10,420,15,-,4,13,4,9,4,6,2,4,1,16,3,2,1,1,1,-,15,23,21,22,22,21
92,E12000007,REGION,G,LONDON,6000,6020,5940,5510,5420,3330,2090,61,39,330,740,480,830,430,410,3050,2200,6,14,9,15,8,8,56,41,160,140,c,280,1060,350,260,90,210,50,220,c,950,110,150,140,50,70,20,1100,6,c,5,19,7,5,2,4,1,4,c,18,2,3,2,1,1,-,20,31,31,30,28,27
93,E13000001,REGION,H,INNER LONDON,2510,2510,2350,2350,2410,1490,920,62,38,160,320,220,340,210,210,1380,960,7,13,9,14,9,8,57,40,70,60,c,170,450,180,120,40,90,30,80,c,310,20,20,70,20,50,10,640,6,c,7,19,7,5,1,4,1,3,c,13,1,1,3,1,2,1,26,36,35,32,32,32
108,E13000002,REGION,I,OUTER LONDON,3500,3520,3590,3170,3010,1840,1160,61,39,170,420,260,490,220,210,1680,1250,6,14,9,16,7,7,56,41,90,80,0,110,610,180,140,50,120,30,140,c,650,100,130,70,30,30,10,460,5,0,4,20,6,5,2,4,1,5,c,21,3,4,2,1,1,-,15,29,28,29,25,24
128,E12000008,REGION,J,SOUTH EAST,4090,4650,4650,4310,4140,2410,1740,58,42,320,860,480,650,200,220,1830,1420,8,21,11,16,5,5,44,34,250,260,10,40,880,170,240,110,280,30,180,c,720,70,120,40,30,60,10,640,12,-,1,21,4,6,3,7,1,4,c,17,2,3,1,1,1,-,16,21,24,24,22,21
148,E12000009,REGION,K,SOUTH WEST,2800,2850,2690,2500,2400,1280,1120,53,47,250,510,330,350,100,140,970,730,10,21,14,15,4,6,40,30,170,160,c,50,430,120,120,90,240,20,120,c,240,40,40,10,c,10,c,540,14,c,2,18,5,5,4,10,1,5,c,10,2,2,1,c,-,c,22,26,26,25,23,22
95,E09000001,LA,201,City of London,c,6,c,16,18,c,c,c,c,0,c,0,c,c,6,16,c,0,c,0,c,c,33,89,c,0,0,0,10,0,0,0,0,0,0,0,0,c,0,0,0,0,0,0,c,0,0,56,0,0,0,0,0,0,0,0,c,0,0,0,0,0,0,c,c,59,c,128,124
94,E09000007,LA,202,Camden,123,102,98,104,100,66,34,66,34,11,12,c,8,8,c,66,55,11,12,c,8,8,c,66,55,c,c,0,9,7,c,c,0,9,0,c,0,0,0,0,0,0,0,0,55,9,0,9,7,c,c,0,9,0,c,0,0,0,0,0,0,0,0,55,28,22,20,21,20
117,E09000011,LA,203,Greenwich,288,239,266,239,206,105,101,51,49,17,37,20,33,13,13,99,73,8,18,10,16,6,6,48,35,c,11,0,0,56,13,c,c,20,c,c,0,41,c,c,c,c,9,c,27,8,0,0,27,6,c,c,10,c,c,0,20,c,c,c,c,4,c,13,44,36,40,35,30
96,E09000012,LA,204,Hackney,163,209,214,205,195,103,92,53,47,17,32,15,31,9,22,100,69,9,16,8,16,5,11,51,35,6,6,0,0,45,22,6,c,15,c,c,0,c,0,0,8,c,c,c,72,6,0,0,23,11,3,c,8,c,c,0,c,0,0,4,c,c,c,37,27,34,34,33,31
97,E09000013,LA,205,Hammersmith and Fulham,118,108,99,118,151,100,51,66,34,7,13,19,21,16,12,91,63,5,9,13,14,11,8,60,42,0,c,0,9,16,17,10,0,c,c,8,0,23,c,c,c,c,c,c,45,1,0,6,11,11,7,0,c,c,5,0,15,c,c,c,c,c,c,30,35,31,28,33,41
99,E09000019,LA,206,Islington,177,204,217,193,179,115,64,64,36,c,26,c,20,20,14,117,83,c,15,c,11,11,8,65,46,9,8,c,14,c,0,c,c,c,c,15,0,6,0,9,6,c,c,0,94,9,c,8,c,0,c,c,c,c,8,0,3,0,5,3,c,c,0,53,45,51,53,47,43
100,E09000020,LA,207,Kensington and Chelsea,66,75,78,79,59,41,18,69,31,c,6,c,7,9,c,44,31,c,10,c,12,15,c,75,53,c,0,0,c,10,c,0,c,c,0,0,0,9,0,c,0,c,0,0,28,2,0,c,17,c,0,c,c,0,0,0,15,0,c,0,c,0,0,47,24,26,27,28,21
101,E09000022,LA,208,Lambeth,326,277,216,205,227,151,76,67,33,19,20,14,29,25,18,145,102,8,9,6,13,11,8,64,45,c,7,0,23,33,17,22,0,9,c,6,c,42,c,c,7,7,7,c,32,5,0,10,15,7,10,0,4,c,3,c,19,c,c,3,3,3,c,14,52,44,35,33,36
102,E09000023,LA,209,Lewisham,273,261,238,221,227,126,101,56,44,23,27,33,27,6,15,117,96,10,12,15,12,3,7,52,42,c,c,0,c,49,32,6,10,c,0,9,0,83,c,c,11,c,c,0,0,4,0,c,22,14,3,4,c,0,4,0,37,c,c,5,c,c,0,0,41,39,35,32,33
104,E09000028,LA,210,Southwark,284,266,250,242,244,151,93,62,38,17,28,27,42,16,15,130,99,7,11,11,17,7,6,53,41,c,8,0,7,81,9,43,6,6,c,6,0,61,0,0,c,0,c,0,c,5,0,3,33,4,18,2,2,c,2,0,25,0,0,c,0,c,0,c,46,42,39,38,37
105,E09000030,LA,211,Tower Hamlets,221,209,203,186,168,96,72,57,43,9,26,19,16,11,14,98,73,5,15,11,10,7,8,58,43,c,13,0,c,27,8,c,7,7,0,c,0,17,c,c,10,c,c,0,59,10,0,c,16,5,c,4,4,0,c,0,10,c,c,6,c,c,0,35,35,32,30,27,24
106,E09000032,LA,212,Wandsworth,140,161,146,180,195,105,90,54,46,10,36,28,37,8,11,84,65,5,18,14,19,4,6,43,33,12,0,0,c,40,22,6,0,22,0,8,0,c,0,0,c,c,24,c,51,6,0,c,21,11,3,0,11,0,4,0,c,0,0,c,c,12,c,26,23,26,24,29,31
107,E09000033,LA,213,Westminster,96,110,132,141,172,129,43,75,25,11,15,7,19,39,30,120,51,6,9,4,11,23,17,70,30,6,c,0,51,18,10,c,0,0,c,c,0,22,c,c,c,c,c,0,44,4,0,30,10,6,c,0,0,c,c,0,13,c,c,c,c,c,0,26,24,26,30,31,36
109,E09000002,LA,301,Barking and Dagenham,277,253,205,199,197,121,76,61,39,14,38,22,44,8,17,79,54,7,19,11,22,4,9,40,27,c,14,0,c,22,c,46,12,19,6,7,c,36,c,9,7,c,c,0,0,8,0,c,11,c,23,6,10,3,4,c,18,c,5,4,c,c,0,0,47,42,33,32,31
