LA_order,New_geog_code,geog_l,geog_c,geog_n,CLA_Mar2015,CLA_Mar2016,CLA_Mar2017,CLA_Mar2018,CLA_Mar2019,CLA_Pop2014,CLA_Pop2015,CLA_Pop2016,CLA_Pop2017,CLA_Pop2018,CLA_Rate2015,CLA_Rate2016,CLA_Rate2017,CLA_Rate2018,CLA_Rate2019,CLA_2015,CLA_2016,CLA_2017,CLA_2018,CLA_2019,CLA_stp2015,CLA_stp2016,CLA_stp2017,CLA_stp2018,CLA_stp2019,CLA_male,CLA_female,CLA_male_pc,CLA_female_pc,CLA_U1,CLA_1to4,CLA_5to9,CLA_10to15,CLA_16over,CLA_U1_pc,CLA_1to4_pc,CLA_5to9_pc,CLA_10to15_pc,CLA_16over_pc,CLA_White,CLA_Mixed,CLA_Asian,CLA_Black,CLA_EOTH,CLA_Oth,CLA_White_pc,CLA_Mixed_pc,CLA_Asian_pc,CLA_Black_pc,CLA_EOTH_pc,CLA_Oth_pc,CLA_Fost,CLA_Adopt,CLA_Parent,CLA_Ocom,CLA_Secure,CLA_Ores,CLA_RSch,CLA_OthPl,CLA_Fost_pc,CLA_Adopt_pc,CLA_Parent_pc,CLA_OCom_pc,CLA_Secure_pc,CLA_Ores_pc,CLA_RSch_pc,CLA_OthPl_pc,CLA_ICO,CLA_FCO,CLA_FrAd,CLA_PlaceO,CLA_S20,CLA_CPG,CLA_YJLS,CLA_ICO_pc,CLA_FCO_pc,CLA_FrAd_pc,CLA_PlaceO_pc,CLA_S20_pc,CLA_CPG_pc,CLA_YJLS_pc,CLA_UASC2015,CLA_UASC2016,CLA_UASC2017,CLA_UASC2018,CLA_UASC2019,CLA_UASC2015_pc,CLA_UASC2016_pc,CLA_UASC2017_pc,CLA_UASC2018_pc,CLA_UASC2019_pc,CLA_OwnP,CLA_OthLA,CLA_OthPP,CLA_Priv,CLA_Vol,CLA_Par,CLA_Nrep,CLA_OwnP_pc,CLA_OthLA_pc,CLA_OthPP_pc,CLA_Priv_pc,CLA_Vol_pc,CLA_Par_pc,CLA_Nrep_pc,CLA_LTE20,CLA_GT20,CLA_NoInfo,CLA_InLA,CLA_OutLA,CLA_InLA_LTE20,CLA_OutLA_LTE20,CLA_InLA_GT20,CLA_OutLA_GT20,CLA_InLA_NoInfo,CLA_OutLA_NoInfo,CLA_LAPl,CLA_IntPl,CLA_ExtPl,CLA_NetGain,CLA_LTE20_pc,CLA_GT20_pc,CLA_NoInfo_pc,CLA_InLA_pc,CLA_OutLA_pc,CLA_InLA_LTE20_pc,CLA_OutLA_LTE20_pc,CLA_InLA_GT20_pc,CLA_OutLA_GT20_pc,CLA_InLA_NoInfo_pc,CLA_OutLA_NoInfo_pc,CLA_IntPl_pc,CLA_ExtPl_pc,CLA_3_Pl,CLA_3_Pl_pc,CLA_2andhalfyears,CLA_SamePl_2years,CLA_SamePl_2years_pc,CLA_NewPl_All_Place,CLA_NewPl_InLA_LTE20,CLA_NewPl_OutLA_LTE20,CLA_NewPl_InLA_GT20,CLA_NewPl_OutLA_GT20,CLA_NewPl_NoInfo,CLA_NewPl_InLA_LTE20_pc,CLA_NewPl_OutLA_LTE20_pc,CLA_NewPl_InLA_GT20_pc,CLA_NewPl_OutLA_GT20_pc,CLA_NewPl_NoInfo_pc,CLA_RPC_All_Place,CLA_RPC_CarePlan,CLA_RPC_Resign,CLA_RPC_Alleg,CLA_RPC_Standards,CLA_RPC_Approval,CLA_RPC_CarerBehav,CLA_RPC_CarerOther,CLA_RPC_Custody,CLA_RPC_Child,CLA_RPC_Auth,CLA_RPC_Status,CLA_RPC_Other,CLA_RPC_CarePlan_pc,CLA_RPC_Resign_pc,CLA_RPC_Alleg_pc,CLA_RPC_Standards_pc,CLA_RPC_Approval_pc,CLA_RPC_CarerBehav_pc,CLA_RPC_CarerOther_pc,CLA_RPC_Custody_pc,CLA_RPC_Child_pc,CLA_RPC_Auth_pc,CLA_RPC_Status_pc,CLA_RPC_Other_pc
1,E92000001,NATIONAL,999,ENGLAND,69470,70410,72610,75370,78150,11591700,11677860,11785280,11866960,11954620,60,60,62,64,65,99410,100920,102670,104250,106550,2770,2290,1730,1550,1300,44010,34140,56,44,4090,10490,14420,30780,18380,5,13,18,39,24,57780,7560,3480,5930,2780,620,74,10,4,8,4,1,56160,2190,5210,3400,9500,1150,110,440,72,3,7,4,12,1,-,1,12420,45840,0,5450,14130,60,240,16,59,0,7,18,-,-,2760,4340,4700,4550,5070,4,6,6,6,6,39140,890,500,27190,4790,5210,440,50,1,1,35,6,7,1,57230,15360,5570,45940,32210,39830,17400,3360,11990,2750,2820,77240,45940,31300,-910,73,20,7,59,41,51,22,4,15,4,4,59,41,8110,10,25750,17680,69,87500,43760,18020,4150,13670,7900,50,21,5,16,9,56080,18730,510,430,670,310,6350,3030,160,2290,1450,8810,13350,33,1,1,1,1,11,5,-,4,3,16,24
2,E12000001,REGION,A,NORTH EAST,4270,4400,4830,5050,5350,524980,524370,525640,527410,529680,81,84,92,96,101,6130,6320,6910,7050,7390,250,240,200,170,150,2940,2410,55,45,340,930,1150,2070,850,6,17,22,39,16,4860,170,100,110,90,20,91,3,2,2,2,-,3940,160,430,70,600,40,0,90,74,3,8,1,11,1,0,2,930,3180,0,380,860,0,0,17,59,0,7,16,0,0,10,20,60,50,40,-,1,1,1,1,3320,40,30,1070,360,430,90,62,1,1,20,7,8,2,4700,550,100,3280,2060,3190,1510,70,480,30,70,5310,3280,2030,-40,88,10,2,0,39,60,28,1,9,-,1,62,38,530,10,1630,1130,69,6010,3800,1490,80,520,120,63,25,1,9,2,3560,1150,80,40,40,60,420,220,0,110,70,670,710,32,2,1,1,2,12,6,0,3,2,19,20
15,E12000002,REGION,B,NORTH WEST,12490,12550,13220,14050,14660,1514980,1521580,1533440,1543280,1553150,82,82,86,91,94,16950,17030,17640,18560,19140,470,320,200,190,150,8020,6640,55,45,760,2310,3100,5840,2660,5,16,21,40,18,12180,1010,530,510,330,110,83,7,4,3,2,1,9860,440,1870,520,1650,180,10,130,67,3,13,4,11,1,-,1,2460,9800,0,930,1430,10,30,17,67,0,6,10,-,-,70,120,200,290,370,1,1,2,2,3,7400,190,70,4430,580,1870,130,50,1,-,30,4,13,1,12140,2120,400,9080,5580,8420,3730,450,1660,220,190,14490,9080,5410,-170,83,14,3,0,38,57,25,3,11,1,1,63,37,1520,10,5490,3790,69,15230,8640,3520,490,1990,600,57,23,3,13,4,10100,2770,60,110,180,160,1170,600,30,490,110,1560,2870,27,1,1,2,2,12,6,-,5,1,15,28
39,E12000003,REGION,C,YORKSHIRE AND HUMBER,7260,7250,7720,8190,8580,1141040,1145520,1152400,1158480,1165390,64,63,67,71,74,10090,10090,10420,10860,11330,350,280,130,170,160,4670,3910,54,46,500,1420,1700,3320,1650,6,17,20,39,19,6840,770,370,250,290,60,80,9,4,3,3,1,6300,240,710,370,850,80,0,30,73,3,8,4,10,1,0,-,1600,5360,0,640,960,0,20,19,62,0,7,11,0,-,70,130,220,270,310,1,2,3,3,4,5100,80,50,2030,590,710,30,59,1,1,24,7,8,-,6860,1350,370,5710,2870,5260,1600,210,1140,240,130,8440,5710,2730,-140,80,16,4,0,33,61,19,2,13,3,1,68,32,900,11,2930,1990,68,9260,5730,1450,260,1250,570,62,16,3,14,6,6110,2120,40,50,90,30,680,360,20,270,80,930,1460,35,1,1,1,-,11,6,-,4,1,15,24
55,E12000004,REGION,D,EAST MIDLANDS,5110,5170,5360,5620,5820,965750,971510,980660,988740,996350,53,53,55,57,58,7350,7470,7550,7710,7900,370,330,310,310,270,3260,2560,56,44,370,860,1070,2270,1250,6,15,18,39,21,4520,580,230,250,170,80,78,10,4,4,3,1,4270,200,220,320,710,70,10,30,73,3,4,5,12,1,-,-,1090,3180,0,500,1020,0,30,19,55,0,9,18,0,-,190,280,280,280,310,4,5,5,5,5,3090,40,30,2240,170,220,30,53,1,-,38,3,4,-,4110,1390,320,3540,2280,2970,1130,380,1010,180,140,6320,3540,2780,500,71,24,6,0,39,51,19,7,17,3,2,56,44,490,8,1870,1360,73,5990,3140,940,410,1090,420,52,16,7,18,7,3620,1230,40,40,40,10,430,180,10,140,70,410,1030,34,1,1,1,-,12,5,-,4,2,11,28
65,E12000005,REGION,E,WEST MIDLANDS,9360,9250,9490,10060,10560,1257090,1262410,1272350,1282900,1292340,74,73,75,78,82,12810,12680,12630,13060,13440,160,160,110,70,10,5880,4680,56,44,540,1670,2170,4030,2140,5,16,21,38,20,7540,1370,630,640,290,100,71,13,6,6,3,1,7700,280,820,330,1180,150,10,90,73,3,8,3,11,1,-,1,1580,6730,0,760,1450,10,40,15,64,0,7,14,-,-,170,380,490,500,500,2,4,5,5,5,3860,110,80,4140,1450,820,90,37,1,1,39,14,8,1,8310,1700,550,6110,4450,5600,2710,270,1440,240,300,10560,6110,4450,c,79,16,5,0,42,53,26,3,14,2,3,58,42,1090,10,3860,2630,68,11400,6090,2640,310,1650,710,53,23,3,14,6,7990,3060,40,50,50,10,580,250,10,190,560,2140,1040,38,1,1,1,-,7,3,-,2,7,27,13
80,E12000006,REGION,F,EAST OF ENGLAND,6150,6340,6450,6530,6740,1286690,1299960,1313770,1324440,1335880,48,49,49,49,50,9010,9010,9270,9330,9410,130,110,100,80,80,3910,2830,58,42,350,700,1090,2770,1840,5,10,16,41,27,5090,630,210,440,290,70,76,9,3,7,4,1,4920,220,180,470,810,100,10,30,73,3,3,7,12,1,-,-,960,3780,0,540,1430,10,20,14,56,0,8,21,-,-,300,460,530,500,580,5,7,8,8,9,3270,60,40,2810,360,180,30,49,1,1,42,5,3,-,4040,2090,610,4280,2460,3130,910,770,1320,380,230,6660,4280,2380,-80,60,31,9,0,36,46,13,11,20,6,3,64,36,700,10,2120,1490,70,8060,3620,930,1040,1520,950,45,12,13,19,12,5070,1380,40,30,60,10,660,270,20,190,80,670,1670,27,1,1,1,-,13,5,-,4,2,13,33
92,E12000007,REGION,G,LONDON,9980,9870,9910,9870,10030,1920210,1951740,1981780,2001360,2022020,52,51,50,49,50,15700,15630,15590,15150,15250,330,270,230,180,170,5990,4050,60,40,410,780,1280,3870,3700,4,8,13,39,37,3690,1740,940,2960,680,30,37,17,9,29,7,-,7060,190,240,680,1580,250,20,10,70,2,2,7,16,3,-,-,1390,4800,0,420,3330,10,90,14,48,0,4,33,-,1,1240,1490,1600,1520,1740,12,15,16,15,17,4260,130,130,4790,470,240,10,42,1,1,48,5,2,-,6440,1790,1800,3610,6420,2850,3590,10,1780,750,1050,8740,3610,5130,-1290,64,18,18,0,64,28,36,-,18,7,10,41,59,1060,11,2680,1840,68,12390,3580,4700,20,1810,2290,29,38,-,15,18,6940,2750,50,50,80,10,840,320,50,340,130,790,1550,40,1,1,1,-,12,5,1,5,2,11,22
93,E13000001,REGION,H,INNER LONDON,4210,4060,4230,4260,4220,702370,716590,728770,737550,749200,60,57,58,58,56,6590,6450,6480,6500,6550,110,100,90,80,70,2490,1720,59,41,180,320,530,1680,1510,4,8,13,40,36,1120,820,340,1650,280,10,26,20,8,39,7,-,2980,70,130,230,660,130,10,10,71,2,3,5,16,3,-,-,580,2160,0,170,1260,10,40,14,51,0,4,30,-,1,320,400,500,570,620,8,10,12,13,15,1730,50,60,2050,190,130,10,41,1,2,49,5,3,-,2840,730,650,1170,3050,990,1850,10,720,180,470,2470,1170,1300,-1740,67,17,15,0,72,23,44,-,17,4,11,47,53,430,10,1220,860,70,5190,1270,2300,0,720,890,25,44,0,14,17,2840,970,10,20,20,10,330,110,30,150,40,330,840,34,-,1,1,-,12,4,1,5,1,12,30
108,E13000002,REGION,I,OUTER LONDON,5770,5810,5680,5620,5820,1217840,1235150,1253010,1263810,1272830,47,47,45,44,46,9110,9180,9100,8660,8700,220,170,140,100,100,3490,2320,60,40,220,460,750,2190,2190,4,8,13,38,38,2570,920,600,1310,400,20,44,16,10,22,7,-,4080,120,110,450,920,120,20,0,70,2,2,8,16,2,-,0,810,2640,0,240,2070,10,50,14,45,0,4,36,-,1,920,1080,1100,960,1120,16,19,19,17,19,2530,90,70,2750,280,110,0,43,1,1,47,5,2,0,3600,1060,1150,2440,3370,1860,1740,10,1050,570,580,6270,2440,3830,450,62,18,20,42,58,32,30,-,18,10,10,39,61,630,11,1460,980,67,7210,2300,2400,10,1090,1400,32,33,-,15,19,4100,1780,40,40,50,10,510,210,20,190,90,460,710,43,1,1,1,-,12,5,1,5,2,11,17
