LA_order,New_geog_code,geog_l,geog_c,geog_n,CL_All_17&18,CL_All_17,CL_All_18,CL_Act_EET17&18,CL_Act_EET17,CL_Act_EET18,CL_Act_HE17&18,CL_Act_HE17,CL_Act_HE18,CL_Act_OE17&18,CL_Act_OE17,CL_Act_OE18,CL_Act_TE17&18,CL_Act_TE17,CL_Act_TE18,CL_Act_NEET17&18,CL_Act_NEET17,CL_Act_NEET18,CL_Act_NEET_ill17&18,CL_Act_NEET_ill17,CL_Act_NEET_ill18,CL_Act_NEET_oth17&18,CL_Act_NEET_oth17,CL_Act_NEET_oth18,CL_Act_NEET_preg17&18,CL_Act_NEET_preg17,CL_Act_NEET_preg18,CL_Act_NoInf17&18,CL_Act_NoInf17,CL_Act_NoInf18,CL_Act_EET17&18_pc,CL_Act_EET17_pc,CL_Act_EET18_pc,CL_Act_HE17&18_pc,CL_Act_HE17_pc,CL_Act_HE18_pc,CL_Act_OE17&18_pc,CL_Act_OE17_pc,CL_Act_OE18_pc,CL_Act_TE17&18_pc,CL_Act_TE17_pc,CL_Act_TE18_pc,CL_Act_NEET17&18_pc,CL_Act_NEET17_pc,CL_Act_NEET18_pc,CL_Act_NEET_ill17&18_pc,CL_Act_NEET_ill17_pc,CL_Act_NEET_ill18_pc,CL_Act_NEET_oth17&18_pc,CL_Act_NEET_oth17_pc,CL_Act_NEET_oth18_pc,CL_Act_NEET_preg17&18_pc,CL_Act_NEET_preg17_pc,CL_Act_NEET_preg18_pc,CL_Act_NoInf17&18_pc,CL_Act_NoInf17_pc,CL_Act_NoInf18_pc,CL_Acc_Total_SUIT17&18,CL_Acc_Total_SUIT17,CL_Acc_Total_SUIT18,CL_Acc_SUIT17&18,CL_Acc_SUIT17,CL_Acc_SUIT18,CL_Acc_NotSUIT17&18,CL_Acc_NotSUIT17,CL_Acc_NotSUIT18,CL_Acc_NoSUITInfo17&18,CL_Acc_NoSUITInfo17,CL_Acc_NoSUITInfo18,CL_Acc_SUIT17&18_pc,CL_Acc_SUIT17_pc,CL_Acc_SUIT18_pc,CL_Acc_NotSUIT17&18_pc,CL_Acc_NotSUIT17_pc,CL_Acc_NotSUIT18_pc,CL_Acc_NoSUITInfo17&18_pc,CL_Acc_NoSUITInfo17_pc,CL_Acc_NoSUITInfo18_pc,CL_Acc_P17&18,CL_Acc_P17,CL_Acc_P18,CL_Acc_CH17&18,CL_Acc_CH17,CL_Acc_CH18,CL_Acc_SITA17&18,CL_Acc_SITA17,CL_Acc_SITA18,CL_Acc_SL17&18,CL_Acc_SL17,CL_Acc_SL18,CL_Acc_GA17&18,CL_Acc_GA17,CL_Acc_GA18,CL_Acc_Dep17&18,CL_Acc_Dep17,CL_Acc_Dep18,CL_Acc_OL17&18,CL_Acc_OL17,CL_Acc_OL18,CL_Acc_NK17&18,CL_Acc_NK17,CL_Acc_NK18,CL_Acc_NFA17&18,CL_Acc_NFA17,CL_Acc_NFA18,CL_Acc_F17&18,CL_Acc_F17,CL_Acc_F18,CL_Acc_IL17&18,CL_Acc_IL17,CL_Acc_IL18,CL_Acc_EA17&18,CL_Acc_EA17,CL_Acc_EA18,CL_Acc_BB17&18,CL_Acc_BB17,CL_Acc_BB18,CL_Acc_Cust17&18,CL_Acc_Cust17,CL_Acc_Cust18,CL_Acc_FFC17&18,CL_Acc_FFC17,CL_Acc_FFC18,CL_Acc_OTH17&18,CL_Acc_OTH17,CL_Acc_OTH18,CL_Acc_NoInf17&18,CL_Acc_NoInf17,CL_Acc_NoInf18,CL_Acc_P17&18_pc,CL_Acc_P17_pc,CL_Acc_P18_pc,CL_Acc_CH17&18_pc,CL_Acc_CH17_pc,CL_Acc_CH18_pc,CL_Acc_SITA17&18_pc,CL_Acc_SITA17_pc,CL_Acc_SITA18_pc,CL_Acc_SL17&18_pc,CL_Acc_SL17_pc,CL_Acc_SL18_pc,CL_Acc_GA17&18_pc,CL_Acc_GA17_pc,CL_Acc_GA18_pc,CL_Acc_Dep17&18_pc,CL_Acc_Dep17_pc,CL_Acc_Dep18_pc,CL_Acc_OL17&18_pc,CL_Acc_OL17_pc,CL_Acc_OL18_pc,CL_Acc_NK17&18_pc,CL_Acc_NK17_pc,CL_Acc_NK18_pc,CL_Acc_NFA17&18_pc,CL_Acc_NFA17_pc,CL_Acc_NFA18_pc,CL_Acc_F17&18_pc,CL_Acc_F17_pc,CL_Acc_F18_pc,CL_Acc_IL17&18_pc,CL_Acc_IL17_pc,CL_Acc_IL18_pc,CL_Acc_EA17&18_pc,CL_Acc_EA17_pc,CL_Acc_EA18_pc,CL_Acc_BB17&18_pc,CL_Acc_BB17_pc,CL_Acc_BB18_pc,CL_Acc_Cust17&18_pc,CL_Acc_Cust17_pc,CL_Acc_Cust18_pc,CL_Acc_FFC17&18_pc,CL_Acc_FFC17_pc,CL_Acc_FFC18_pc,CL_Acc_Oth17&18_pc,CL_Acc_Oth17_pc,CL_Acc_Oth18_pc,CL_Acc_NoInf17&18_pc,CL_Acc_NoInf17_pc,CL_Acc_NoInf18_pc,CL_InTouch_IT17&18,CL_InTouch_IT17,CL_InTouch_IT18,CL_InTouch_Refu17&18,CL_InTouch_Refu17,CL_InTouch_Refu18,CL_InTouch_NoServ17&18,CL_InTouch_NoServ17,CL_InTouch_NoServ18,CL_InTouch_Not17&18,CL_InTouch_Not17,CL_InTouch_Not18,CL_InTouch_IT17&18_pc,CL_InTouch_IT17_pc,CL_InTouch_IT18_pc,CL_InTouch_Refu17&18_pc,CL_InTouch_Refu17_pc,CL_InTouch_Refu18_pc,CL_InTouch_NoServ17&18_pc,CL_InTouch_NoServ17_pc,CL_InTouch_NoServ18_pc,CL_InTouch_Not17&18_pc,CL_InTouch_Not17_pc,CL_InTouch_Not18_pc,CL_Stayput_18,CL_Stayput_FFC_18,CL_Stayput_FFC_18_pc
1,E92000001,NATIONAL,999,ENGLAND,11270,490,10770,7160,240,6910,330,c,330,4840,160,4680,1980,80,1910,3370,130,3240,370,20,360,2640,100,2540,360,20,350,740,120,620,64,50,64,3,c,3,43,33,43,18,15,18,30,27,30,3,3,3,23,21,24,3,3,3,7,24,6,11200,490,10710,9890,310,9580,590,60,530,720,110,600,88,64,89,5,13,5,6,23,6,1470,210,1260,460,10,460,2960,30,2920,810,20,790,10,c,10,c,0,c,110,c,100,50,c,50,60,c,60,340,10,340,1380,30,1360,30,0,30,20,0,20,370,50,320,2120,0,2120,360,20,340,720,110,600,13,43,12,4,1,4,26,7,27,7,3,7,-,c,-,c,0,c,1,c,1,-,c,-,-,c,1,3,1,3,12,5,13,-,0,-,-,0,-,3,10,3,19,0,20,3,4,3,6,23,6,10440,370,10070,70,10,60,100,30,70,660,90,570,93,75,93,1,2,1,1,5,1,6,18,5,3450,1970,57
2,E12000001,REGION,A,NORTH EAST,560,40,520,350,20,330,c,0,c,210,10,190,140,10,130,190,10,180,30,c,20,120,10,120,40,c,40,20,c,10,63,53,64,c,0,c,37,37,37,25,16,26,34,37,34,5,c,4,22,18,22,7,c,8,3,c,2,560,40,520,520,30,490,20,c,20,20,c,10,93,82,94,4,c,3,3,c,2,121,14,107,15,2,13,119,3,116,29,1,28,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,9,1,8,83,7,76,0,0,0,0,0,0,12,3,9,130,0,130,16,3,13,16,4,12,22,37,21,3,c,3,21,c,22,5,c,5,0,0,0,0,0,0,c,0,c,0,0,0,c,0,c,2,c,2,15,18,15,0,0,0,0,0,0,2,c,2,23,0,25,3,c,3,3,c,2,530,30,500,c,0,c,10,c,10,10,c,10,96,89,97,c,0,c,2,c,1,2,c,2,160,110,70
15,E12000002,REGION,B,NORTH WEST,1570,90,1480,930,40,890,50,c,50,570,20,550,310,10,300,550,30,510,70,c,70,420,30,390,60,c,60,100,20,80,59,43,60,3,c,3,36,27,37,20,15,20,35,37,35,5,c,5,27,31,26,4,c,4,6,20,5,1560,90,1480,1380,60,1320,90,10,80,90,20,80,88,64,89,6,16,5,6,20,5,280,40,240,60,0,60,330,10,320,110,c,110,c,0,c,0,0,0,10,0,10,c,0,c,10,c,10,50,c,50,220,c,210,c,0,c,c,0,c,50,10,40,290,0,290,60,c,50,90,20,80,18,45,16,4,0,4,21,7,22,7,c,7,c,0,c,0,0,0,1,0,1,c,0,c,1,c,-,3,c,3,14,c,14,c,0,c,c,0,c,3,12,3,18,0,19,4,c,4,6,20,5,1470,70,1400,10,c,10,10,c,c,90,20,70,93,78,94,1,c,-,-,c,c,6,20,5,430,260,61
39,E12000003,REGION,C,YORKSHIRE AND HUMBER,950,40,910,630,20,610,10,0,10,390,20,380,220,c,220,270,10,260,40,0,40,200,10,190,40,c,30,50,10,40,66,49,67,1,0,2,42,38,42,23,c,24,29,26,29,4,0,4,21,18,21,4,c,4,5,26,4,950,40,910,870,20,840,40,10,30,50,10,40,92,56,93,4,18,3,5,26,4,130,10,110,40,0,40,170,c,170,90,c,80,0,0,0,0,0,0,c,0,c,c,0,c,c,0,c,10,0,10,210,c,200,c,0,c,0,0,0,30,10,20,200,0,200,20,c,20,50,10,40,13,33,12,4,0,4,18,c,19,9,c,9,0,0,0,0,0,0,c,0,c,c,0,c,c,0,c,1,0,1,22,c,22,c,0,c,0,0,0,3,18,2,21,0,22,2,c,2,5,26,4,900,30,870,c,0,c,10,c,c,40,10,30,95,72,96,c,0,c,1,c,c,4,15,3,310,190,61
55,E12000004,REGION,D,EAST MIDLANDS,840,40,800,490,20,470,10,0,10,320,10,310,160,c,150,270,10,260,30,c,30,210,10,200,30,c,20,80,10,70,58,44,59,1,0,1,38,33,38,19,c,19,32,31,32,4,c,4,25,19,25,3,c,3,10,25,9,840,40,800,710,20,680,50,c,40,80,10,70,84,61,86,6,c,5,10,25,9,100,10,90,50,0,50,250,10,240,60,0,60,0,0,0,0,0,0,c,c,c,c,0,c,10,0,10,20,0,20,100,c,100,0,0,0,c,0,c,30,c,20,120,0,120,20,c,20,80,10,70,12,33,11,6,0,6,29,19,30,7,0,7,0,0,0,0,0,0,c,c,c,c,0,c,1,0,1,3,0,3,12,c,12,0,0,0,c,0,c,3,c,3,15,0,15,2,c,2,10,25,9,760,30,730,10,c,10,10,0,10,70,10,60,90,75,91,1,c,1,1,0,1,8,22,7,220,120,52
65,E12000005,REGION,E,WEST MIDLANDS,1260,50,1210,810,30,780,60,0,60,530,20,510,230,10,220,390,10,380,40,c,40,300,10,300,50,c,40,60,10,50,65,63,65,4,0,5,42,38,42,18,25,18,31,17,31,3,c,3,24,13,24,4,c,4,5,19,4,1260,50,1200,1110,30,1080,80,10,70,60,10,50,89,60,90,7,21,6,5,19,4,170,20,150,70,c,70,270,c,270,90,c,90,0,0,0,0,0,0,c,0,c,10,0,10,10,0,10,60,0,60,180,c,180,c,0,c,c,0,c,60,10,50,220,0,220,50,c,50,60,10,50,13,40,12,6,c,6,21,c,22,7,c,7,0,0,0,0,0,0,c,0,c,-,0,-,-,0,-,5,0,5,14,c,15,c,0,c,c,0,c,5,19,4,18,0,18,4,c,4,5,19,4,1190,40,1150,10,c,c,10,c,10,50,c,50,95,79,95,1,c,c,1,c,1,4,c,4,370,220,58
80,E12000006,REGION,F,EAST OF ENGLAND,1080,50,1030,720,30,690,30,c,30,500,20,490,180,10,170,310,10,300,30,c,30,260,10,250,30,c,30,50,10,40,66,56,67,3,c,3,47,29,47,17,23,17,29,25,29,2,c,2,24,19,24,3,c,3,5,19,4,1070,50,1020,960,30,920,60,10,50,50,10,40,90,67,91,5,14,5,5,20,4,150,30,130,50,c,50,300,c,290,80,c,80,c,c,c,0,0,0,10,0,10,10,0,10,c,0,c,30,0,30,100,c,100,c,0,c,c,0,c,40,c,30,210,0,210,40,c,30,50,10,40,14,54,12,4,c,5,28,c,29,8,c,8,c,c,c,0,0,0,1,0,1,1,0,1,c,0,c,2,0,3,9,c,10,c,0,c,c,0,c,3,c,3,19,0,20,3,c,3,5,19,4,1000,40,960,c,c,c,10,c,10,70,10,60,93,75,94,c,c,c,1,c,1,6,15,6,310,190,61
92,E12000007,REGION,G,LONDON,2480,90,2390,1610,50,1570,90,c,90,1220,40,1180,300,10,290,690,20,670,50,0,50,570,20,550,70,c,70,170,20,150,65,53,66,4,c,4,49,43,50,12,9,12,28,22,28,2,0,2,23,19,23,3,c,3,7,25,6,2460,90,2370,2160,60,2100,140,10,130,160,20,140,88,63,89,6,13,5,7,25,6,220,40,170,60,c,60,1020,c,1020,90,c,90,c,0,c,c,0,c,c,0,c,20,0,20,10,0,10,40,c,40,230,c,220,10,0,10,0,0,0,110,10,100,460,0,460,50,c,50,160,20,140,9,50,7,3,c,3,41,c,43,3,c,4,c,0,c,c,0,c,c,0,c,1,0,1,-,0,-,1,c,2,9,c,9,-,0,-,0,0,0,4,13,4,19,0,19,2,c,2,7,25,6,2280,70,2210,10,0,10,30,10,20,150,20,140,92,75,93,-,0,1,1,7,1,6,18,6,790,440,55
93,E13000001,REGION,H,INNER LONDON,1080,40,1040,720,20,700,40,0,40,560,20,550,120,c,110,310,10,300,20,0,20,260,10,250,40,0,40,50,10,40,67,60,67,4,0,4,52,51,52,11,c,11,29,20,29,1,0,1,24,20,24,3,0,3,5,20,4,1070,40,1040,950,20,930,80,10,70,50,10,40,88,63,89,7,17,7,4,20,4,100,20,80,20,0,20,500,c,500,30,c,30,c,0,c,0,0,0,0,0,0,c,0,c,c,0,c,30,c,30,30,0,30,c,0,c,0,0,0,60,10,60,210,0,210,30,c,30,50,10,40,9,49,8,2,0,2,46,c,48,3,c,3,c,0,c,0,0,0,0,0,0,c,0,c,c,0,c,3,c,3,2,0,2,c,0,c,0,0,0,6,17,6,20,0,20,3,c,3,4,20,4,1010,30,990,c,0,c,10,c,c,50,c,50,94,80,94,c,0,c,1,c,c,5,c,5,340,200,60
108,E13000002,REGION,I,OUTER LONDON,1400,50,1340,900,30,870,50,c,50,660,20,640,190,c,180,380,10,370,30,0,30,310,10,300,40,c,30,120,20,110,64,49,65,4,c,4,47,38,47,13,c,13,27,23,27,2,0,2,22,19,23,3,c,2,9,28,8,1380,50,1330,1210,30,1170,60,c,c,110,20,100,87,62,88,4,c,c,8,28,7,120,30,90,50,c,c,520,c,520,50,0,50,c,0,c,c,0,c,c,0,c,10,0,10,10,0,10,10,0,10,200,c,200,c,0,c,0,0,0,50,c,40,250,0,250,20,c,20,110,20,100,8,51,7,3,c,c,37,c,39,4,0,4,c,0,c,c,0,c,c,0,c,1,0,1,-,0,-,1,0,1,14,c,15,c,0,c,0,0,0,3,c,3,18,0,19,1,c,1,8,28,7,1270,40,1230,10,0,10,20,c,20,100,10,90,91,72,91,1,0,1,2,c,1,7,23,7,460,240,52
