LA_order,New_geog_code,geog_l,geog_c,geog_n,Miss_Miss_DuringYear,Miss_Miss_DuringYear_pc,Miss_Miss_Incs,Miss_Miss_Incs_av,Miss_Miss_MoreOnce,Miss_Miss_31Mar,Miss_Away_DuringYear,Miss_Away_DuringYear_pc,Miss_Away_Incs,Miss_Away_Incs_av,Miss_Away_MoreOnce,Miss_Away_31Mar
1,E92000001,NATIONAL,999,ENGLAND,11830,11,73470,6.2,7670,290,3650,3,13800,3.8,1920,50
2,E12000001,REGION,A,NORTH EAST,720,10,4530,6.3,500,10,100,1,180,1.9,40,c
15,E12000002,REGION,B,NORTH WEST,2060,11,14060,6.8,1370,30,640,3,2200,3.4,350,c
39,E12000003,REGION,C,YORKSHIRE AND HUMBER,1260,11,8110,6.5,810,30,260,2,620,2.4,120,0
55,E12000004,REGION,D,EAST MIDLANDS,640,8,3310,5.1,400,10,210,3,800,3.8,110,c
65,E12000005,REGION,E,WEST MIDLANDS,1090,8,6000,5.5,660,40,240,2,610,2.5,100,10
80,E12000006,REGION,F,EAST OF ENGLAND,1200,13,7050,5.9,770,40,190,2,460,2.4,80,c
92,E12000007,REGION,G,LONDON,2170,14,15240,7,1450,80,1420,9,7300,5.2,870,20
93,E13000001,REGION,H,INNER LONDON,940,14,6530,6.9,640,20,610,9,3400,5.5,390,10
108,E13000002,REGION,I,OUTER LONDON,1220,14,8710,7.1,800,50,800,9,3900,4.9,480,10
128,E12000008,REGION,J,SOUTH EAST,1730,12,9940,5.7,1100,40,430,3,1220,2.8,180,10
148,E12000009,REGION,K,SOUTH WEST,970,11,5230,5.4,600,10,160,2,410,2.6,80,c
95,E09000001,LA,201,City of London,c,c,25,8.3,c,0,0,.,0,.,0,0
94,E09000007,LA,202,Camden,37,13,239,6.5,27,0,29,10,146,5,22,0
117,E09000011,LA,203,Greenwich,86,13,694,8.1,61,c,98,14,781,8,76,c
96,E09000012,LA,204,Hackney,86,15,485,5.6,54,6,41,7,82,2,16,0
97,E09000013,LA,205,Hammersmith and Fulham,55,14,158,2.9,27,0,34,9,62,1.8,13,0
99,E09000019,LA,206,Islington,94,19,657,7,61,c,43,9,108,2.5,20,0
