LA_order,New_geog_code,geog_l,geog_c,geog_n,OC2_12mths,OC2_10to17,OC2_convicted,OC2_convicted_pc,OC2_submisuse,OC2_subint,OC2_suboffint,OC2_submisuse_pc,OC2_subint_pc,OC2_suboffint_pc,OC2_immunisation,OC2_teethcheck,OC2_healthassmt,OC2_immunisation_pc,OC2_teethcheck_pc,OC2_healthassmt_pc,OC2_4andunder,OC2_devassmt,oc2_devassmt_pc,OC2_5to16,OC2_SDQ,OC2_SDQ_pc,OC2_SDQnormal,OC2_SDQborderline,OC2_SDQconcern,OC2_SDQnormal_pc,OC2_SDQborderline_pc,OC2_SDQconcern_pc,OC2_SDQaverage
1,E92000001,NATIONAL,999,ENGLAND,54590,38110,1290,3,2010,920,830,4,46,41,47410,46670,49080,87,85,90,6150,5420,88,41140,32130,78,15600,4140,12390,49,13,39,14.2
2,E12000001,REGION,A,NORTH EAST,3610,2360,100,4,150,100,50,4,67,31,3390,3120,3420,94,87,95,510,450,87,2730,2000,73,960,290,760,48,15,38,14.1
15,E12000002,REGION,B,NORTH WEST,10740,6900,220,3,390,180,140,4,47,36,9770,9150,9640,91,85,90,1490,1190,80,8170,6130,75,3310,730,2100,54,12,34,13.2
39,E12000003,REGION,C,YORKSHIRE AND HUMBER,6120,4000,140,3,140,60,60,2,43,40,5370,5500,5720,88,90,93,880,850,97,4580,3420,75,1610,430,1390,47,12,41,14.2
55,E12000004,REGION,D,EAST MIDLANDS,4040,2740,80,3,110,70,40,3,60,35,3690,3320,3680,91,82,91,500,460,91,3040,2430,80,1150,300,980,47,12,40,14.5
65,E12000005,REGION,E,WEST MIDLANDS,7770,4990,160,3,210,70,120,3,35,55,6450,6780,6830,83,87,88,1140,1050,93,5740,4510,79,2160,570,1780,48,13,39,14.3
80,E12000006,REGION,F,EAST OF ENGLAND,4620,3550,100,3,150,50,70,3,32,42,3990,3830,4090,86,83,89,330,290,90,3580,2970,83,1280,410,1280,43,14,43,15.2
92,E12000007,REGION,G,LONDON,6360,5150,190,4,370,160,150,6,43,41,5140,5230,5850,81,82,92,380,350,93,4640,3960,85,2180,520,1260,55,13,32,12.9
93,E13000001,REGION,H,INNER LONDON,2750,2240,90,4,150,100,50,5,66,32,2220,2230,2550,80,81,93,150,140,93,2050,1670,81,910,230,530,54,14,32,13
108,E13000002,REGION,I,OUTER LONDON,3610,2910,100,3,220,60,110,6,27,47,2920,3000,3300,81,83,91,220,210,94,2590,2300,89,1280,290,740,56,12,32,12.9
128,E12000008,REGION,J,SOUTH EAST,7050,5230,180,3,280,130,120,4,45,42,5870,6160,6090,83,87,86,550,500,91,5410,4170,77,1890,560,1720,45,13,41,14.7
148,E12000009,REGION,K,SOUTH WEST,4290,3200,120,4,210,100,100,5,49,45,3750,3580,3760,88,84,88,380,270,72,3250,2530,78,1060,340,1140,42,13,45,15.5
95,E09000001,LA,201,City of London,c,c,0,0,0,0,0,0,.,.,c,c,c,c,c,c,0,0,.,c,c,c,c,0,0,c,0,0,5
94,E09000007,LA,202,Camden,120,110,c,c,13,13,0,11,100,0,94,99,99,78,83,83,c,c,c,80,76,95,46,10,20,61,13,26,12.4
117,E09000011,LA,203,Greenwich,360,291,11,4,32,7,23,9,22,72,333,324,359,93,90,100,12,12,100,282,265,94,153,35,77,58,13,29,12.4
96,E09000012,LA,204,Hackney,258,202,9,4,27,9,18,10,33,67,181,184,236,70,71,91,11,11,100,198,157,79,78,21,58,50,13,37,14.7
97,E09000013,LA,205,Hammersmith and Fulham,136,109,0,0,0,0,0,0,c,.,123,125,124,90,92,91,10,9,c,101,101,100,90,c,c,89,c,c,3.5
99,E09000019,LA,206,Islington,211,175,10,6,16,16,0,8,100,0,204,182,210,97,86,100,9,9,c,168,149,89,74,19,56,50,13,38,13.8
100,E09000020,LA,207,Kensington and Chelsea,49,45,c,c,c,c,0,c,c,0,45,49,47,92,100,96,c,c,c,33,29,88,16,c,c,55,c,c,12.9
101,E09000022,LA,208,Lambeth,254,211,20,9,22,15,6,9,68,27,167,155,221,66,61,87,10,9,c,196,69,35,43,8,18,62,12,26,12
102,E09000023,LA,209,Lewisham,330,259,14,5,25,23,c,8,92,c,286,273,325,87,83,98,25,25,100,245,200,82,106,23,71,53,12,36,13.6
104,E09000028,LA,210,Southwark,343,284,c,c,15,11,c,4,73,c,309,270,322,90,79,94,11,9,82,267,240,90,119,36,85,50,15,35,13.9
105,E09000030,LA,211,Tower Hamlets,182,148,11,7,16,7,8,9,44,50,125,141,155,69,77,85,12,9,75,134,59,44,32,6,21,54,10,36,13.7
106,E09000032,LA,212,Wandsworth,186,134,9,7,c,c,c,c,c,c,159,155,165,85,83,89,15,15,100,129,102,79,36,43,23,35,42,23,14.3
107,E09000033,LA,213,Westminster,124,108,c,c,0,0,0,0,c,.,108,117,121,87,94,98,c,c,c,88,88,100,51,15,22,58,17,25,11.9
109,E09000002,LA,301,Barking and Dagenham,269,201,7,3,c,0,0,c,0,0,248,244,251,92,91,93,20,20,100,203,167,82,90,30,47,54,18,28,12.8
110,E09000003,LA,302,Barnet,200,170,0,0,c,0,0,c,0,0,175,156,200,88,78,100,9,9,c,140,140,100,97,10,33,69,7,24,13.3
111,E09000004,LA,303,Bexley,153,133,0,0,6,c,c,4,c,c,136,137,147,89,90,96,7,7,c,109,106,97,49,18,39,46,17,37,14.4
112,E09000005,LA,304,Brent,193,165,14,8,17,c,14,9,c,82,142,160,186,74,83,96,10,10,c,140,123,88,74,24,25,60,20,20,11.7
113,E09000006,LA,305,Bromley,202,163,7,4,25,8,16,12,32,64,175,183,184,87,91,91,7,7,c,163,159,98,81,19,59,51,12,37,13.4
114,E09000008,LA,306,Croydon,467,369,20,5,25,0,c,5,0,c,318,280,427,68,60,91,35,34,97,308,221,72,136,26,59,62,12,27,11.8
115,E09000009,LA,307,Ealing,230,192,c,c,28,15,11,12,54,39,203,196,216,88,85,94,15,15,100,170,164,96,96,17,51,59,10,31,12.8
116,E09000010,LA,308,Enfield,227,171,c,c,c,0,0,c,0,0,194,182,205,85,80,90,13,12,92,158,144,91,93,18,33,65,13,23,10.8
98,E09000014,LA,309,Haringey,299,234,c,c,7,c,c,2,c,c,279,255,291,93,85,97,32,29,91,222,221,100,110,22,89,50,10,40,14.7
118,E09000015,LA,310,Harrow,84,73,c,c,10,c,c,12,c,c,67,77,81,80,92,96,c,c,c,61,53,87,23,c,c,43,c,c,14.8
119,E09000016,LA,311,Havering,163,127,c,c,16,6,9,10,38,56,150,147,148,92,90,91,11,11,100,117,115,98,59,14,42,51,12,37,13.7
120,E09000017,LA,312,Hillingdon,164,130,0,0,c,0,0,c,0,0,135,134,153,82,82,93,13,12,92,114,92,81,49,9,34,53,10,37,13.2
121,E09000018,LA,313,Hounslow,167,136,c,c,c,c,0,c,c,0,135,160,146,81,96,87,10,9,c,124,115,93,52,13,50,45,11,43,13.9
122,E09000021,LA,314,Kingston upon Thames,86,73,c,c,9,c,c,10,c,c,72,77,81,84,90,94,c,c,c,58,40,69,16,7,17,40,18,43,15.3
123,E09000024,LA,315,Merton,104,81,c,c,c,0,c,c,0,c,83,87,92,80,84,88,8,7,c,74,69,93,35,8,26,51,12,38,12.8
103,E09000025,LA,316,Newham,256,217,c,c,0,0,0,0,c,.,130,223,227,51,87,89,16,15,94,187,173,93,105,19,49,61,11,28,12.3
124,E09000026,LA,317,Redbridge,136,103,0,0,c,0,0,c,0,0,60,110,98,44,81,72,11,7,64,100,72,72,35,7,30,49,10,42,13.8
125,E09000027,LA,318,Richmond upon Thames,64,55,c,c,c,c,c,c,c,c,51,53,53,80,83,83,6,c,c,40,32,80,15,0,17,47,0,53,14.9
126,E09000029,LA,319,Sutton,153,119,c,c,19,0,0,12,0,0,143,129,145,93,84,95,7,7,c,111,102,92,55,11,36,54,11,35,13.5
127,E09000031,LA,320,Waltham Forest,189,154,7,5,16,10,6,8,63,38,103,165,131,54,87,69,21,17,81,122,119,98,68,15,36,57,13,30,12.3
66,E08000025,LA,330,Birmingham,1469,979,46,5,39,12,26,3,31,67,1359,1308,1320,93,89,90,212,179,84,1052,954,91,512,98,344,54,10,36,13.3
67,E08000026,LA,331,Coventry,478,325,13,4,49,13,36,10,27,73,421,396,425,88,83,89,75,75,100,338,271,80,127,39,105,47,14,39,14.3
68,E08000027,LA,332,Dudley,505,323,9,3,18,10,7,4,56,39,479,433,451,95,86,89,66,66,100,391,212,54,109,29,74,51,14,35,13.9
70,E08000028,LA,333,Sandwell,615,335,15,4,c,c,c,c,c,c,506,543,551,82,88,90,128,122,95,428,320,75,174,42,104,54,13,33,12.7
72,E08000029,LA,334,Solihull,313,200,c,c,16,6,c,5,38,c,284,295,310,91,94,99,40,40,100,228,177,78,97,18,62,55,10,35,13.5
