
"Population estimates - local authority based by five year age band"
"ONS Crown Copyright Reserved [from Nomis on 20 April 2023]"
"Analysis   :","standard"
"Sex        :","Total"
"Age        :","Aged 0 - 15"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"

"Darlington","E06000005",-,-,20200,20200,20200,20100,20100,20100,20100,20200,20200,20100,19700
"County Durham","E06000047",-,-,88200,88500,88300,88500,88600,89100,89900,90800,91100,91300,88000
"Hartlepool","E06000001",-,-,17800,17800,17700,17600,17600,17700,17800,17900,18000,18000,17600
"Middlesbrough","E06000002",-,-,28000,28000,28100,28300,28600,28900,29100,29400,29700,30000,29900
"Northumberland","E06000057",-,-,53700,53500,53000,52600,52100,52000,52200,52400,52400,52100,51700
"Redcar and Cleveland","E06000003",-,-,24200,24100,24100,24100,24200,24200,24500,24800,24800,24700,24200
"Stockton-on-Tees","E06000004",-,-,37100,37300,37600,37800,38200,38400,38800,39200,39400,39400,38500
"Gateshead","E08000037",-,-,35500,35300,35100,35200,35100,35500,35400,35200,35100,35000,34400
"Newcastle upon Tyne","E08000021",-,-,47900,48500,49300,50000,50600,51100,51600,52200,52600,53100,51700
"North Tyneside","E08000022",-,-,35700,35700,35800,35800,35900,36300,36700,37200,37600,37700,37300
"South Tyneside","E08000023",-,-,25800,25700,25700,25700,25800,26200,26500,26900,27100,27100,26500
"Sunderland","E08000024",-,-,48000,48200,48000,48000,48100,48300,48600,49000,49200,49100,48000
"Blackburn with Darwen","E06000008",-,-,34300,34300,34200,34100,34200,34400,34700,34500,34600,34500,35200
"Blackpool","E06000009",-,-,25400,25600,25500,25400,25400,25400,25700,26000,26200,26100,24600
"Cheshire East","E06000049",-,-,65700,66100,66000,66100,66200,66800,67400,68400,69100,69500,69400
"Cheshire West and Chester","E06000050",-,-,58000,58300,58300,58300,58600,59200,60100,61000,61700,61900,61600
"Halton","E06000006",-,-,24900,24900,25100,25200,25200,25300,25500,25700,25900,26000,24500
"Warrington","E06000007",-,-,38800,39000,39100,39400,39500,39600,39800,39700,39600,39400,38100
"Cumbria","E10000006",-,-,83300,82700,82100,81800,81800,82000,82200,82200,82300,81900,79700
"Bolton","E08000001",-,-,57200,57800,58100,58300,58800,59600,60500,60900,61700,62000,63500
"Bury","E08000002",-,-,37100,37500,37600,37900,38000,38400,38800,38800,38900,38700,38800
"Manchester","E08000003",-,-,97700,99900,101700,103600,106200,108800,110100,111100,111800,112500,113500
"Oldham","E08000004",-,-,50400,50500,50900,51400,52100,52600,53000,53200,53300,53300,54800
"Rochdale","E08000005",-,-,44800,44700,44700,44800,45200,46000,46900,47400,48200,48600,48800
"Salford","E08000006",-,-,45200,46000,46700,47600,48500,49600,50500,51500,52400,53200,53000
"Stockport","E08000007",-,-,53400,53700,53900,54500,55200,55700,56300,56800,57200,57400,55900
"Tameside","E08000008",-,-,42700,43000,43200,43400,43700,44200,44700,45300,45800,46000,45900
"Trafford","E08000009",-,-,45900,46600,47200,47900,48400,49200,50000,50500,50700,50700,48900
"Wigan","E08000010",-,-,59900,59800,59900,60200,60300,60600,60800,61200,61800,62000,60500
"Lancashire","E10000017",-,-,214200,214700,215100,216100,217500,219300,221000,223400,225300,226300,222100
"Knowsley","E08000011",-,-,28600,28500,28400,28400,28800,29100,29500,30100,30500,31200,30300
"Liverpool","E08000012",-,-,78000,78700,79000,79900,81100,82500,84100,85800,87000,87500,83100
"Sefton","E08000014",-,-,47300,47100,46800,46800,46900,47200,47500,47900,48300,48200,46900
"St. Helens","E08000013",-,-,31900,32100,31900,32100,32100,32200,32700,33000,33200,33100,32600
"Wirral","E08000015",-,-,59200,59500,59400,59700,59800,60100,60300,60400,60300,60100,58000
"East Riding of Yorkshire","E06000011",-,-,55800,55800,55300,55200,54900,55200,55300,55700,56000,56100,54000
"Kingston upon Hull, City of","E06000010",-,-,48300,48700,49100,49400,49900,50800,51300,51800,52200,52200,52900
"North East Lincolnshire","E06000012",-,-,30200,30400,30400,30400,30500,30600,30900,31100,31000,31000,29400
"North Lincolnshire","E06000013",-,-,31300,31300,31300,31300,31500,31600,31800,32000,32000,31900,30100
"York","E06000014",-,-,31800,32000,32200,32400,32500,32600,32700,32700,32800,32700,30700
"North Yorkshire","E10000023",-,-,103500,103300,103000,102500,102400,102900,103400,103800,103600,103400,99300
"Barnsley","E08000016",-,-,43000,43300,43400,43700,44100,44500,45100,45700,46000,46300,44800
"Doncaster","E08000017",-,-,57400,57400,57500,57800,58100,58700,59200,59800,60300,60600,57200
"Rotherham","E08000018",-,-,49400,49500,49600,50000,50000,50300,50900,51300,51600,51400,50200
"Sheffield","E08000019",-,-,100700,101700,102300,102600,103300,104000,104600,105700,105800,106100,100000
"Bradford","E08000032",-,-,122300,123100,123800,124600,125200,126200,127100,127600,127900,127800,124500
"Calderdale","E08000033",-,-,40100,40300,40400,40400,40600,40900,41200,41300,41400,41000,39900
"Kirklees","E08000034",-,-,86200,86600,87000,87500,88000,88600,89500,89800,89700,89400,86600
"Leeds","E08000035",-,-,137700,139400,141300,143600,145900,148500,150400,152400,153600,154400,153200
"Wakefield","E08000036",-,-,60100,60300,60800,61400,62000,62900,64300,65800,66800,67500,65900
"Derby","E06000015",-,-,50700,51300,51600,52200,52800,53400,53700,54000,54000,53600,52200
"Leicester","E06000016",-,-,69400,70300,71200,72500,73800,75100,75800,76000,76100,75900,77100
"Nottingham","E06000018",-,-,55700,56500,57200,58200,59200,60600,61500,62100,62500,62600,59200
"Rutland","E06000017",-,-,6600,6500,6500,6500,6500,6500,6600,6700,6800,6700,6700
"Derbyshire","E10000007",-,-,136600,136300,135700,135100,134800,134800,135900,136700,137700,137800,134700
"Leicestershire","E10000018",-,-,117200,117900,118600,118900,119500,121100,122900,125200,126800,127400,124700
"Lincolnshire","E10000019",-,-,121900,122300,123300,124300,125300,127000,128600,130300,131300,131900,128000
"Nottinghamshire","E10000024",-,-,142200,143000,143400,144100,144500,145700,147900,149600,150600,150900,145800
"North Northamptonshire","E06000061",-,-,63800,64900,65500,66400,67300,68700,69900,71100,71700,71900,70400
"West Northamptonshire","E06000062",-,-,74600,75500,76300,76900,78100,79400,80900,82100,83000,83600,82200
"Herefordshire, County of","E06000019",-,-,31400,31500,31700,31700,31700,31700,31900,32200,32200,32100,29800
"Shropshire","E06000051",-,-,52900,52700,52300,52000,51800,52000,52400,52900,53000,53100,51300
"Stoke-on-Trent","E06000021",-,-,48400,49000,49300,49900,50500,51100,51800,52300,52600,52700,52300
"Telford and Wrekin","E06000020",-,-,34300,34500,34400,34600,35000,35300,35900,36500,37100,37600,36900
"Staffordshire","E10000028",-,-,150000,149800,149400,148900,148800,149200,150000,151200,152000,152400,149800
"Warwickshire","E10000031",-,-,98400,98600,98600,99300,99900,100700,102000,103700,105500,106700,106400
"Birmingham","E08000025",-,-,245000,247800,250100,252100,254200,256900,259000,259800,258800,257100,254300
"Coventry","E08000026",-,-,63000,64000,65200,66500,67800,69200,70200,71600,72300,73000,68300
"Dudley","E08000027",-,-,59500,59300,59600,60100,60400,60800,61500,62000,62400,62200,60800
"Sandwell","E08000028",-,-,66500,67500,68800,69600,70700,72200,73200,74000,74500,74900,75500
"Solihull","E08000029",-,-,39200,39500,39700,40000,40200,40700,41500,42000,42600,42800,41700
"Walsall","E08000030",-,-,56100,56400,56800,57400,58000,59200,60300,61300,62000,62300,61000
"Wolverhampton","E08000031",-,-,49500,50000,50400,51300,52100,53200,54200,55500,56500,57100,55400
"Worcestershire","E10000034",-,-,100500,100700,101100,101100,101700,102900,104200,105300,106400,106600,104100
"Bedford","E06000055",-,-,31600,31900,32400,33100,33600,34500,35100,36000,36500,36900,37100
"Central Bedfordshire","E06000056",-,-,49800,50600,51400,52100,53300,54500,55300,56300,57500,58800,57700
"Luton","E06000032",-,-,46800,47500,48300,49300,50600,51500,51900,52100,52100,52700,52400
"Peterborough","E06000031",-,-,39300,40200,41000,41900,43100,44400,45500,46600,47400,48000,48200
"Southend-on-Sea","E06000033",-,-,33200,33400,33500,34000,34200,34700,35100,35600,35900,35900,34100
"Thurrock","E06000034",-,-,34400,34900,35300,36000,36900,37900,38900,39900,40700,41200,39500
"Cambridgeshire","E10000003",-,-,112800,114100,115000,116600,118000,119500,120600,121800,122500,123200,119300
"Essex","E10000012",-,-,259900,261800,263600,265700,268500,272100,275100,279000,282300,284100,279500
"Hertfordshire","E10000015",-,-,224000,227300,229900,233200,236000,239200,241400,243600,245400,246600,239300
"Norfolk","E10000020",-,-,144700,145500,146000,147200,148600,150300,151600,153000,154100,154200,149000
"Suffolk","E10000029",-,-,133000,132800,132100,133300,134300,134800,136400,137000,137700,136200,130200
"Camden","E09000007",-,-,35400,37100,38700,40200,42000,43400,44300,45800,47100,48500,32200
