
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Aged 10-14"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"

"Darlington","E06000005",6401,6340,6191,5987,5887,5911,5953,6148,6268,6410,6505,6674,6651
"County Durham","E06000047",28788,28405,27708,26850,26149,25783,25935,26554,27517,28558,29209,30024,29547
"Hartlepool","E06000001",5923,5760,5619,5365,5305,5188,5146,5240,5459,5600,5812,5982,5947
"Middlesbrough","E06000002",8734,8550,8409,8014,7866,7868,7925,8125,8369,8579,8744,9031,9501
"Northumberland","E06000057",18299,18023,17651,17253,16867,16657,16545,16747,16732,17198,17344,17580,17414
"Redcar and Cleveland","E06000003",8272,8015,7718,7411,7183,7047,7027,7280,7527,7768,7877,7990,8025
"Stockton-on-Tees","E06000004",11881,11590,11368,11013,10884,10875,10979,11291,11728,12213,12615,13032,13064
"Gateshead","E08000037",11268,11102,10837,10493,10253,10111,10129,10369,10622,10734,11119,11327,11261
"Newcastle upon Tyne","E08000021",14573,14490,14398,14133,14033,14107,14079,14271,14700,15246,15771,16469,16481
"North Tyneside","E08000022",11221,11097,10826,10563,10391,10394,10573,10965,11231,11601,11908,12162,12096
"South Tyneside","E08000023",8879,8644,8182,7847,7677,7575,7609,7826,7997,8272,8447,8594,8633
"Sunderland","E08000024",15949,15616,15197,14627,14264,14188,14072,14279,14788,15184,15405,15738,16032
"Blackburn with Darwen","E06000008",10737,10571,10283,10137,10124,10076,10127,10321,10517,10687,10959,11055,11747
"Blackpool","E06000009",8285,8194,7990,7668,7483,7380,7400,7474,7551,7763,7986,7944,7893
"Cheshire East","E06000049",21962,21627,21304,20775,20347,20179,20206,20636,21314,22020,22415,22672,22923
"Cheshire West and Chester","E06000050",19387,19011,18603,18066,17671,17482,17605,17880,18509,19177,19511,19672,20421
"Halton","E06000006",7675,7618,7570,7425,7256,7187,7266,7543,7775,8148,8379,8625,8070
"Warrington","E06000007",12494,12414,12200,12079,11919,11828,11831,11943,12076,12351,12601,12721,12869
"Cumbria","E10000006",28628,28014,27137,26211,25609,25252,25310,25618,26015,26606,26914,27281,26815
"Bolton","E08000001",17955,17924,17647,17334,16980,16722,16839,17242,17822,18349,18785,19343,20971
"Bury","E08000002",11668,11515,11323,11133,10965,10988,11103,11372,11642,12001,12190,12350,12834
"Manchester","E08000003",26318,26652,26682,26464,26598,26773,27505,28920,30269,31354,32426,33375,36366
"Oldham","E08000004",15403,15407,15297,15093,15146,15137,15408,15728,15920,16354,16655,16788,17994
"Rochdale","E08000005",14329,14035,13755,13284,12861,12729,12902,13231,13748,14315,14672,15011,15790
"Salford","E08000006",13311,13163,12960,12673,12484,12475,12812,13291,13899,14642,15068,15442,16107
"Stockport","E08000007",17143,16924,16677,16089,15829,15910,16002,16368,16956,17562,17935,18197,17917
"Tameside","E08000008",13564,13212,12892,12537,12322,12138,12313,12622,12820,13425,13735,14202,14873
