
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Age 15"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"

"Darlington","E06000005",1338,1314,1306,1304,1305,1276,1202,1126,1149,1203,1288,1247,1272
"County Durham","E06000047",6079,5822,5871,5950,5843,5632,5421,5184,5005,5265,5318,5646,5697
"Hartlepool","E06000001",1309,1280,1205,1217,1108,1118,1127,1082,988,1039,1031,1092,1160
"Middlesbrough","E06000002",1911,1800,1794,1785,1682,1610,1617,1604,1517,1521,1621,1653,1799
"Northumberland","E06000057",3779,3760,3774,3692,3612,3624,3420,3294,3356,3272,3444,3376,3432
"Redcar and Cleveland","E06000003",1817,1744,1720,1656,1581,1578,1521,1425,1403,1394,1498,1472,1599
"Stockton-on-Tees","E06000004",2611,2464,2326,2416,2270,2316,2249,2152,2091,2222,2319,2380,2465
"Gateshead","E08000037",2214,2288,2438,2341,2247,2213,2037,2088,2037,2005,1983,2089,2074
"Newcastle upon Tyne","E08000021",2915,3027,2943,3090,2988,2793,2919,2916,2838,2850,2819,2878,2986
"North Tyneside","E08000022",2328,2261,2374,2295,2273,2148,2106,2092,2069,2112,2193,2313,2416
"South Tyneside","E08000023",1904,1842,1900,1818,1702,1662,1602,1486,1500,1541,1597,1629,1592
"Sunderland","E08000024",3514,3298,3276,3259,3184,3037,2961,2859,2722,2832,2966,2877,3035
"Blackburn with Darwen","E06000008",2125,2171,2227,2172,2050,2026,2046,1947,2047,2076,2015,2114,2304
"Blackpool","E06000009",1724,1696,1697,1790,1641,1642,1595,1434,1468,1457,1524,1634,1532
"Cheshire East","E06000049",4650,4493,4356,4524,4407,4337,4231,4053,3963,4070,4276,4343,4436
"Cheshire West and Chester","E06000050",3934,3918,3905,3959,3902,3758,3620,3594,3421,3548,3691,3841,3928
"Halton","E06000006",1680,1593,1537,1526,1541,1529,1490,1449,1414,1416,1488,1568,1651
"Warrington","E06000007",2629,2521,2577,2583,2459,2543,2469,2333,2424,2305,2422,2443,2409
"Cumbria","E10000006",6384,5863,6038,5972,5643,5481,5260,5138,5088,5088,5314,5291,5370
"Bolton","E08000001",3726,3584,3674,3747,3599,3655,3485,3374,3328,3292,3550,3502,3973
