
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Age 15"

"local authority: county / unitary (as of April 2021)","mnemonic","2021"

"Darlington","E06000005",1272
"County Durham","E06000047",5697
"Hartlepool","E06000001",1160
"Middlesbrough","E06000002",1799
"Northumberland","E06000057",3432
"Redcar and Cleveland","E06000003",1599
"Stockton-on-Tees","E06000004",2465
"Gateshead","E08000037",2074
"Newcastle upon Tyne","E08000021",2986
"North Tyneside","E08000022",2416
"South Tyneside","E08000023",1592
"Sunderland","E08000024",3035
"Blackburn with Darwen","E06000008",2304
"Blackpool","E06000009",1532
"Cheshire East","E06000049",4436
"Cheshire West and Chester","E06000050",3928
"Halton","E06000006",1651
"Warrington","E06000007",2409
"Cumbria","E10000006",5370
"Bolton","E08000001",3973
"Bury","E08000002",2481
"Manchester","E08000003",6826
"Oldham","E08000004",3511
"Rochdale","E08000005",3016
"Salford","E08000006",2983
"Stockport","E08000007",3383
"Tameside","E08000008",2775
"Trafford","E08000009",3050
"Wigan","E08000010",3849
"Lancashire","E10000017",14347
"Knowsley","E08000011",1830
"Liverpool","E08000012",4744
"Sefton","E08000014",2986
"St. Helens","E08000013",2041
"Wirral","E08000015",3730
"East Riding of Yorkshire","E06000011",3551
"Kingston upon Hull, City of","E06000010",3149
"North East Lincolnshire","E06000012",1895
"North Lincolnshire","E06000013",1986
"York","E06000014",1959
"North Yorkshire","E10000023",6680
"Barnsley","E08000016",2696
"Doncaster","E08000017",3477
"Rotherham","E08000018",3144
"Sheffield","E08000019",5986
"Bradford","E08000032",7918
"Calderdale","E08000033",2558
"Kirklees","E08000034",5587
"Leeds","E08000035",8955
"Wakefield","E08000036",3963
"Derby","E06000015",3138
"Leicester","E06000016",4914
"Nottingham","E06000018",3486
"Rutland","E06000017",645
"Derbyshire","E10000007",8664
"Leicestershire","E10000018",7992
"Lincolnshire","E10000019",8231
"Nottinghamshire","E10000024",9103
"North Northamptonshire","E06000061",4491
"West Northamptonshire","E06000062",5037
"Herefordshire, County of","E06000019",1871
"Shropshire","E06000051",3423
"Stoke-on-Trent","E06000021",2981
"Telford and Wrekin","E06000020",2279
"Staffordshire","E10000028",9470
"Warwickshire","E10000031",6590
"Birmingham","E08000025",15906
"Coventry","E08000026",4068
"Dudley","E08000027",3765
