
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Aged 5-9"

"local authority: county / unitary (as of April 2021)","mnemonic","2021"

"Darlington","E06000005",6328
"County Durham","E06000047",28220
"Hartlepool","E06000001",5540
"Middlesbrough","E06000002",9715
"Northumberland","E06000057",16655
"Redcar and Cleveland","E06000003",7809
"Stockton-on-Tees","E06000004",12373
"Gateshead","E08000037",11048
"Newcastle upon Tyne","E08000021",16711
"North Tyneside","E08000022",11964
"South Tyneside","E08000023",8544
"Sunderland","E08000024",15203
"Blackburn with Darwen","E06000008",11137
"Blackpool","E06000009",7873
"Cheshire East","E06000049",22113
"Cheshire West and Chester","E06000050",19802
"Halton","E06000006",7870
"Warrington","E06000007",12309
"Cumbria","E10000006",25276
"Bolton","E08000001",20323
"Bury","E08000002",12429
"Manchester","E08000003",36399
"Oldham","E08000004",17356
"Rochdale","E08000005",15506
"Salford","E08000006",16715
"Stockport","E08000007",18047
"Tameside","E08000008",14679
"Trafford","E08000009",15959
"Wigan","E08000010",19209
"Lancashire","E10000017",70843
"Knowsley","E08000011",9506
"Liverpool","E08000012",26766
"Sefton","E08000014",15095
"St. Helens","E08000013",10315
"Wirral","E08000015",18697
"East Riding of Yorkshire","E06000011",17331
"Kingston upon Hull, City of","E06000010",17209
"North East Lincolnshire","E06000012",9507
"North Lincolnshire","E06000013",9606
"York","E06000014",9873
"North Yorkshire","E10000023",31334
"Barnsley","E08000016",14277
"Doncaster","E08000017",18088
"Rotherham","E08000018",15991
"Sheffield","E08000019",31995
"Bradford","E08000032",39428
"Calderdale","E08000033",12796
"Kirklees","E08000034",27460
"Leeds","E08000035",49562
"Wakefield","E08000036",21037
"Derby","E06000015",16835
"Leicester","E06000016",24780
"Nottingham","E06000018",19267
"Rutland","E06000017",1984
"Derbyshire","E10000007",42906
"Leicestershire","E10000018",39977
"Lincolnshire","E10000019",41090
"Nottinghamshire","E10000024",47024
"North Northamptonshire","E06000061",22391
"West Northamptonshire","E06000062",26343
"Herefordshire, County of","E06000019",9495
"Shropshire","E06000051",16218
"Stoke-on-Trent","E06000021",16871
"Telford and Wrekin","E06000020",11821
"Staffordshire","E10000028",47653
"Warwickshire","E10000031",34018
"Birmingham","E08000025",81012
"Coventry","E08000026",21890
