
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 5 October 2022]"
"Gender     :","Total"
"Age        :","Age 0 - 4"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"

"Darlington","E06000005",6440,6562,6565,6624,6634,6501,6409,6370,6105,5917,5790,5692
"County Durham","E06000047",27615,28143,28661,28851,28797,28820,28411,27933,27585,27021,26347,25658
"Hartlepool","E06000001",5634,5732,5765,5798,5762,5658,5527,5484,5403,5297,5229,5147
"Middlesbrough","E06000002",9170,9426,9479,9649,9788,9911,9942,9826,9821,9657,9583,9431
"Northumberland","E06000057",15721,15873,15938,16191,15830,15711,15309,15098,14985,14910,14765,14506
"Redcar and Cleveland","E06000003",7619,7587,7604,7729,7819,7921,7938,7710,7554,7348,7106,6954
"Stockton-on-Tees","E06000004",11871,12141,12341,12466,12544,12476,12415,12119,11914,11648,11462,11077
"Gateshead","E08000037",11242,11516,11858,11859,11750,11588,11515,11337,11075,10857,10508,10174
"Newcastle upon Tyne","E08000021",15637,16099,16517,16929,17197,17382,17204,17078,16833,16630,16526,16383
"North Tyneside","E08000022",11574,11692,11718,11762,11707,11642,11446,11467,11439,11471,11415,11256
"South Tyneside","E08000023",8049,8173,8167,8291,8366,8332,8298,8452,8296,8359,8239,8130
"Sunderland","E08000024",15505,15569,15380,15686,15591,15645,15606,15507,15086,14954,14774,14370
"Blackburn with Darwen","E06000008",11294,11292,11261,11349,11246,11085,11043,11032,10826,10576,10575,10307
"Blackpool","E06000009",8179,8279,8212,8476,8483,8401,8543,8549,8485,8365,8262,7995
"Cheshire East","E06000049",20047,20131,20182,20402,20356,20388,20420,20454,20214,20262,20307,20193
"Cheshire West and Chester","E06000050",18180,18264,18114,18332,18334,18581,18724,18851,18765,18571,18284,18059
"Halton","E06000006",8085,8301,8270,8270,8286,8210,8001,7914,7813,7676,7580,7374
"Warrington","E06000007",11976,12191,12386,12514,12596,12618,12612,12477,12206,11933,11596,11267
"Cumbria","E10000006",25172,25295,25303,25358,25225,25192,25101,24907,24566,24066,23638,23018
"Bolton","E08000001",18333,18780,18897,19292,19478,19502,19491,19542,19468,19294,19162,18984
"Bury","E08000002",11957,12039,12235,12541,12485,12489,12438,12344,12109,11819,11688,11454
"Manchester","E08000003",34510,35640,36517,37486,37838,38306,38807,39288,38464,37768,37112,36158
"Oldham","E08000004",16370,16440,16458,16553,16584,16673,16911,16933,16930,16792,16535,16184
"Rochdale","E08000005",14638,14871,14823,14965,14955,14978,14997,15154,15236,15123,15157,14978
