Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","0-4"

"Year","Mid-2008","Mid-2009","Mid-2010","Mid-2011","Mid-2012","Mid-2013","Mid-2014","Mid-2015","Mid-2016","Mid-2017","Mid-2018","Mid-2019","Mid-2020",
"National - Regional - LAs",
"County Durham",27323,27615,28143,28661,28851,28797,28820,28411,27933,27585,27021,26347,25658,
"Darlington",6392,6440,6562,6565,6624,6634,6501,6409,6370,6105,5917,5790,5692,
"Hartlepool",5566,5634,5732,5765,5798,5762,5658,5527,5484,5403,5297,5229,5147,
"Middlesbrough",9128,9170,9426,9479,9649,9788,9911,9942,9826,9821,9657,9583,9431,
"Northumberland",15829,15721,15873,15938,16191,15830,15711,15309,15098,14985,14910,14765,14506,
"Redcar and Cleveland",7619,7619,7587,7604,7729,7819,7921,7938,7710,7554,7348,7106,6954,
"Stockton-on-Tees",11597,11871,12141,12341,12466,12544,12476,12415,12119,11914,11648,11462,11077,
"Gateshead",10861,11242,11516,11858,11859,11750,11588,11515,11337,11075,10857,10508,10174,
"Newcastle upon Tyne",15094,15637,16099,16517,16929,17197,17382,17204,17078,16833,16630,16526,16383,
"North Tyneside",11361,11574,11692,11718,11762,11707,11642,11446,11467,11439,11471,11415,11256,
"South Tyneside",7962,8049,8173,8167,8291,8366,8332,8298,8452,8296,8359,8239,8130,
"Sunderland",15367,15505,15569,15380,15686,15591,15645,15606,15507,15086,14954,14774,14370,
"Blackburn with Darwen",11024,11294,11292,11261,11349,11246,11085,11043,11032,10826,10576,10575,10307,
"Blackpool",8107,8179,8279,8212,8476,8483,8401,8543,8549,8485,8365,8262,7995,
"Cheshire East",19909,20047,20131,20182,20402,20356,20388,20420,20454,20214,20262,20307,20193,
"Cheshire West and Chester",18178,18180,18264,18114,18332,18334,18581,18724,18851,18765,18571,18284,18059,
"Halton",7968,8085,8301,8270,8270,8286,8210,8001,7914,7813,7676,7580,7374,
"Warrington",11728,11976,12191,12386,12514,12596,12618,12612,12477,12206,11933,11596,11267,
"Allerdale",4690,4755,4886,4930,4958,4903,4837,4771,4691,4676,4654,4527,4395,
