Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","15"

"Year","Mid-2008","Mid-2009","Mid-2010","Mid-2011","Mid-2012","Mid-2013","Mid-2014","Mid-2015","Mid-2016","Mid-2017","Mid-2018","Mid-2019","Mid-2020",
"National - Regional - LAs",
"County Durham",6227,6079,5822,5871,5950,5843,5632,5421,5184,5005,5265,5318,5646,
"Darlington",1291,1338,1314,1306,1304,1305,1276,1202,1126,1149,1203,1288,1247,
"Hartlepool",1264,1309,1280,1205,1217,1108,1118,1127,1082,988,1039,1031,1092,
"Middlesbrough",1865,1911,1800,1794,1785,1682,1610,1617,1604,1517,1521,1621,1653,
"Northumberland",3864,3779,3760,3774,3692,3612,3624,3420,3294,3356,3272,3444,3376,
"Redcar and Cleveland",1880,1817,1744,1720,1656,1581,1578,1521,1425,1403,1394,1498,1472,
"Stockton-on-Tees",2631,2611,2464,2326,2416,2270,2316,2249,2152,2091,2222,2319,2380,
"Gateshead",2361,2214,2288,2438,2341,2247,2213,2037,2088,2037,2005,1983,2089,
"Newcastle upon Tyne",3170,2915,3027,2943,3090,2988,2793,2919,2916,2838,2850,2819,2878,
"North Tyneside",2389,2328,2261,2374,2295,2273,2148,2106,2092,2069,2112,2193,2313,
"South Tyneside",1973,1904,1842,1900,1818,1702,1662,1602,1486,1500,1541,1597,1629,
"Sunderland",3506,3514,3298,3276,3259,3184,3037,2961,2859,2722,2832,2966,2877,
"Blackburn with Darwen",2062,2125,2171,2227,2172,2050,2026,2046,1947,2047,2076,2015,2114,
"Blackpool",1781,1724,1696,1697,1790,1641,1642,1595,1434,1468,1457,1524,1634,
"Cheshire East",4771,4650,4493,4356,4524,4407,4337,4231,4053,3963,4070,4276,4343,
"Cheshire West and Chester",4146,3934,3918,3905,3959,3902,3758,3620,3594,3421,3548,3691,3841,
"Halton",1682,1680,1593,1537,1526,1541,1529,1490,1449,1414,1416,1488,1568,
"Warrington",2642,2629,2521,2577,2583,2459,2543,2469,2333,2424,2305,2422,2443,
"Allerdale",1211,1282,1187,1172,1198,1094,1150,1035,1009,1026,1023,973,1026,
"Barrow-in-Furness",973,989,871,888,820,846,790,734,770,720,648,728,746,
"Carlisle",1315,1270,1159,1193,1250,1116,1102,1078,1109,1033,1094,1196,1139,
"Copeland",895,878,847,851,836,807,735,699,683,662,703,713,658,
"Eden",583,629,578,644,649,592,577,588,497,524,509,569,554,
"South Lakeland",1326,1336,1221,1290,1219,1188,1127,1126,1070,1123,1111,1135,1168,
"Bolton",3634,3726,3584,3674,3747,3599,3655,3485,3374,3328,3292,3550,3502,
"Bury",2477,2464,2351,2361,2373,2337,2306,2192,2155,2197,2211,2258,2352,
"Manchester",5421,5134,5171,5536,5520,5392,5471,5431,5385,5354,5611,5540,6034,
"Oldham",3197,3093,3064,3097,3211,3040,3112,3031,3010,3150,3075,3088,3262,
"Rochdale",3054,2921,2949,2978,2924,2843,2789,2564,2617,2553,2544,2724,2763,
"Salford",2791,2669,2735,2767,2776,2659,2625,2577,2565,2470,2494,2706,2859,
"Stockport",3570,3615,3501,3478,3592,3398,3265,3367,3206,3137,3115,3375,3460,
"Tameside",2910,2878,2834,2750,2774,2644,2676,2454,2436,2464,2381,2564,2594,
"Trafford",2912,3001,2848,2778,2902,2916,2845,2861,2727,2872,2947,2970,3157,
"Wigan",4079,4089,3870,3934,3891,3626,3707,3582,3589,3484,3556,3716,3807,
"Burnley",1206,1117,1054,1099,1039,1071,1005,957,982,936,994,1035,1108,
"Chorley",1320,1258,1285,1322,1297,1259,1263,1181,1261,1138,1208,1352,1346,
"Fylde",877,890,812,806,854,822,828,828,836,786,784,790,911,
"Hyndburn",1134,1122,1112,1117,1055,1017,982,968,953,904,981,941,1003,
"Lancaster",1652,1661,1524,1615,1639,1552,1635,1521,1539,1349,1423,1416,1493,
"Pendle",1169,1163,1055,1119,1129,1031,1049,997,1122,1075,951,1057,1127,
"Preston",1732,1653,1558,1617,1688,1592,1584,1498,1509,1495,1512,1678,1639,
"Ribble Valley",805,800,740,764,827,791,787,794,801,673,750,777,731,
"Rossendale",951,938,941,855,849,851,816,831,767,813,849,770,861,
"South Ribble",1396,1416,1279,1332,1387,1299,1244,1255,1208,1204,1147,1282,1221,
"West Lancashire",1482,1381,1422,1336,1419,1344,1380,1279,1276,1190,1195,1279,1265,
"Wyre",1326,1296,1309,1247,1275,1199,1159,1153,1165,1051,1117,1150,1244,
"Knowsley",2078,2111,1984,2006,1986,1873,1851,1731,1706,1589,1656,1566,1810,
"Liverpool",5562,5229,5298,5318,5259,4864,4886,4699,4583,4372,4532,4538,4530,
