geog_l,geog_c,geog_n,CINThro1011,CINStarting1011,CINEnding1011,CINAt310311,CINRatePer10K,CINThro1011DCI,CINStarting1011DCI,CINEnding1011DCI,CINAt310311DCI,CINAt310311UnbornUnknown,CINAt310311MaleUnder1,CINAt310311Male1-4yrs,CINAt310311Male5-9yrs,CINAt310311Male10-15yrs,CINAt310311Male16+yrs,CINAt310311MaleUnknownAge,CINAt310311TotalMales,CINAt310311FemaleUnder1,CINAt310311Female1-4yrs,CINAt310311Female5-9yrs,CINAt310311Female10-15yrs,CINAt310311Female16+yrs,CINAt310311FemaleUnknownAge,CINAt310311TotalFemales,CINat310311AgeGenderDCI,CINEnding1011RCmissing,%CINEnding1011RCmissing,CINEnding1011RCAd,%CINEnding1011RCAd,CINEnding1011RCDied,%CINEnding1011RCDied,CINEnding1011ResidenceOrder,%CINEnding1011ResidenceOrder,CINEnding1011SpecialGuardianship,%CINEnding1011SpecialGuardianship,CINEnding1011TransferToLA,%CINEnding1011TransferToLA,CINEnding1011TransferToAdultServices,%CINEnding1011TransferToAdultServices,CINEnding1011Other/NotInNeed,%CINEnding1011Other/NotInNeed,CINEnding1011RCDCI,CINAt310311EthnicityMissing,CINAt310311White,CINAt310311Mixed,CINAt310311AsianOrAsianBritish,CINAt310311BlackorBlackBritish,CINAt310311Other,CINAt310311Refused/NotObtained,CINAt310311EthnicityDCI,CINAt310311NoDisabled,%CINAt310311Disabled,%CINAt310311Autism/Asperger,%CINAt310311Behaviour,%CINAt310311Communication,%CINAt310311Consciousness,%CINAt310311HandFunction,%CINAt310311Hearing,%CINAt310311Incontinence,%CINAt310311Learning,%CINAt310311Mobility,%CINAt310311PersonalCare,%CINAt310311Vision,%CINAt310311OtherDisability,CINAt310311DisabilitiesDCI,CINAt310311PrimaryNeedMissingUnknown,CINAt310311IAPriNeedAbuse/Neglect,CINAt310311IAPriNeedChildDisability/Illness,CINAt310311IAPriNeedParentDisability/Illness,CINAt310311IAPRiNeedFamilyStress,CINAt310311IAPriNeedFamilyDysfunction,CINAt310311IAPriNeedUnacceptableBehaviour,CINAt310311IAPriNeedLowInc,CINAt310311IAPriNeedAbsentParent,CINAt310311PriNeedOther,CINAt310311IAPriNeedNotStated,CINAt310311PrimaryNeedDCI,CINEnding1011DurationUnknown,%CINEnding1011DurationUnknown,CINEnding1011Duration<3mths,%CINEnding1011Duration<3mths,CINEnding1011Duration3-6mths,%CINEnding1011Duration3-6mths,CINEnding1011Duration6mths-1yr,%CINEnding1011Duration6mths-1yr,CINEnding1011Duration1-2yr,%CINEnding1011Duration1-2yr,CINEnding1011Duration2+yrs,%CINEnding1011Duration2+yrs,CINEnding1011DurationDCI,CINAt310311OCDuration<3mths,%CINAt310311OCDuration<3mths,CINAt310311OCDuration3-6mths,%CINAt310311OCDuration3-6mths,CINAt310311OCDuration6mths-1yr,%CINAt310311OCDuration6mths-1yr,CINAt310311OCDuration1-2yrs,%CINAt310311OCDuration1-2yrs,CINAt310311OCDuration2+yrs,%CINAt310311OCDuration2+yrs,CINAt310311OCDurationDCI,Referrals1011,Referrals1011Rate,IAs1011,IAs1011Rate,IAs%OfReferrals1011,IAsWithin7wd1011,%IAsWithin7wd1011,IAsWithin10wd1011,%IAsWithin10wd1011,Referrals1011DCI,IAs1011DCI,IAsWithin7wd1011DCI,IAs%OfReferrals1011DCI,ReferralsWithin12mths1011,%ReferralsWithin12mths1011,CAs1011,CAsWithin35wd1011,%CAsWithin35wd1011,CAs1011DCI,CAsWithin35wd1011DCI,S47in1011,ICPCin1011,ICPC15daysofS471011,%ICPC15daysofS471011,S47in1011DCI,ICPCin1011DCI,CPPIn1011,CPPCeased1011,CPPAt310311,CPPAt310311RatePer10k,CPPIn1011DCI,CPPCeased1011DCI,CPPAt310311DCI,CPPin1011InitialAbuseNeglect,CPPin1011InitialAbusePhysical,CPPin1011InitialAbuseSexual,CPPin1011InitialAbuseEmotional,CPPin1011InitialAbuseMultiple,CPPin1011InitialAbuseMissing,CPPin1011LatestAbuseNeglect,CPPin1011LatestAbusePhysical,CPPin1011LatestAbuseSexual,CPPin1011LatestAbuseEmotional,CPPin1011LatestAbuseMultiple,CPPin1011LatestAbuseMissing,CPPin1011AbuseDCI,CPPat310311InitialAbuseNeglect,CPPat310311InitialAbusePhysical,CPPat310311InitialAbuseSexual,CPPat310311InitialAbuseEmotional,CPPat310311InitialAbuseMultiple,CPPat310311InitialAbuseMissing,CPPat310311LatestAbuseNeglect,CPPat310311LatestAbusePhysical,CPPat310311LatestAbuseSexual,CPPat310311LatestAbuseEmotional,CPPat310311LatestAbuseMultiple,CPPat310311LatestAbuseMissing,CPPat310311AbuseDCI,CPPat310311UnknownGender,CPPat310311Male<1yr,CPPat310311Male1-4yrs,CPPat310311Male5-9yrs,CPPat310311Male10-15yrs,CPPat310311Male16+yrs,CPPat310311MaleUnknownAge,CPPat310311TotalMales,CPPat310311Female<1yr,CPPat310311Female1-4yrs,CPPat310311Female5-9yrs,CPPat310311Female10-15yrs,CPPat310311Female16+yrs,CPPat310311FemaleUnknownAge,CPPat310311TotalFemales,CPPat310311AgeGenderDCI,CPPAt310311EthnicityMissing,CPPAt310311White,CPPAt310311Mixed,CPPAt310311AsianOrAsianBritish,CPPAt310311BlackorBlackBritish,CPPAt310311OtherEthnicity,CPPAt310311EthnicityRefusedNO,CPPAt310311EthnicityDCI,CPPin1011UnknownGender,CPPin1011Male<1yr,CPPin1011Male1-4yrs,CPPin1011Male5-9yrs,CPPin1011Male10-15yrs,CPPin1011Male16+yrs,CPPin1011MaleUnknownAge,CPPin1011TotalMales,CPPin1011Female<1yr,CPPin1011Female1-4yrs,CPPin1011Female5-9yrs,CPPin1011Female10-15yrs,CPPin1011Female16+yrs,CPPin1011FemaleUnknownAge,CPPin1011TotalFemales,CPPin1011AgeGenderDCI,CPPin1011SecondTime,%CPPin1011SecondTime,CPPin1011SecondTimeDCI,CPPCeased1011Duration<3mths,%CPPCeased1011Duration<3mths,CPPCeased1011Duration3-6mths,%CPPCeased1011Duration3-6mths,CPPCeased1011Duration6mths-1yr,%CPPCeased1011Duration6mths-1yr,CPPCeased1011Duration1-2yrs,%CPPCeased1011Duration1-2yrs,CPPCeased1011Duration2+yrs,%CPPCeased1011Duration2+yrs,CPPCeased1011DurationDCI,CPPat310311For3+mths,CPPsReviewedinTimescales,%CPPsReviewedinTimescales,CPPReviewedinTimescalesDCI,Mid2010Pop0-17
National,921,England,"735,500","393,000","359,000","382,400",346.2,,,,,"6,800","9,600","42,000","49,000","63,700","39,000",100,"203,400","8,800","37,700","40,600","53,800","31,300",0,"172,300",,"58,780",16.4,"1,880",0.5,710,0.2,660,0.2,610,0.2,"6,680",1.9,"2,070",0.6,"287,630",80.1,,0,"280,400","24,200","21,200","26,300","8,900","21,400",,"54,100",14,26,22,23,7,6,5,9,48,23,16,9,18,,"3,600","168,300","44,600","12,800","38,200","65,400","8,200","1,800","13,500","5,000","21,000",,200,0,"190,200",53,"58,300",16,"44,700",13,"34,300",10,"31,300",9,,"83,900",22,"42,300",11,"56,900",15,"67,400",18,131900,34.5,,"615,000",556.8,"439,800",398.2,71.5,"281,400",64,"339,700",77.2,,,,,157400,25.6,185400,139100,75,,,111700,53000,36700,69.2,,,49000,45500,42700,38.7,,,,20800,6400,2700,13400,5700,0,20800,6200,2600,13800,5600,0,,18600,4800,2400,11400,5500,0,18700,4500,2300,12100,5000,0,,860,2360,6980,6130,5510,430,10,21420,2200,6430,5850,5360,580,10,20430,,0,32820,3240,2280,2310,530,1530,,1040,3730,7680,6680,5820,560,10,24470,3570,7000,6350,5800,750,0,23470,,6500,13.3,,8900,19.5,4300,9.5,17400,38.2,12200,26.8,2700,6,,30200,29300,97.1,,11045369
LA,201,City of London,75,21,19,56,580.9,3,3,3,3,0,x,x,8,x,23,0,40,0,x,x,x,9,0,16,1,x,x,x,x,0,0,0,0,0,0,x,x,0,0,x,84.2,3,0,10,7,9,20,10,0,3,x,x,0,0,0,100,0,0,100,0,100,0,0,100,1,0,15,6,0,x,x,0,0,28,0,x,2,0,0,7,36.8,0,0,x,x,x,x,x,x,3,x,x,x,x,x,x,7,12.5,35,62.5,3,x,311.2,x,269.7,86.7,x,96.2,x,96.2,3,3,3,3,x,x,23,23,100,3,3,11,x,x,25,1,2,x,x,x,20.7,3,3,3,x,0,0,0,0,0,x,0,0,0,0,0,2,x,0,0,0,0,0,x,0,0,0,0,0,2,0,x,0,0,x,0,0,x,0,0,0,0,0,0,0,1,0,x,0,x,0,0,0,3,0,x,x,0,x,0,0,x,0,0,0,0,0,0,0,1,0,0,3,x,x,0,0,0,0,0,0,0,0,3,x,0,0,..,964
LA,202,Camden,"4,084","1,772","1,992","2,092",525.7,3,3,3,3,50,64,204,279,328,218,0,"1,093",48,192,203,260,246,0,949,3,0,0,9,0.5,x,x,10,0.5,x,x,133,6.7,9,0.5,1820,91.4,3,0,722,353,344,559,83,31,3,468,22.4,17.9,24.4,31.4,2.8,5.1,6.4,0.6,69.7,16.9,5.3,5.8,14.3,3,0,812,242,185,302,333,53,x,145,0,x,3,0,0,721,36.2,348,17.5,217,10.9,238,11.9,468,23.5,3,361,17.3,176,8.4,297,14.2,348,16.6,910,43.5,3,"2,357",592.3,"1,730",434.7,73.4,"1,548",89.5,"1,631",94.3,3,3,3,3,233,9.9,1047,853,81.5,3,3,580,327,279,85.3,2,3,267,257,261,65.6,3,3,3,62,18,x,185,0,0,68,x,x,180,0,0,3,64,x,x,170,0,0,63,x,x,179,0,0,3,8,11,33,33,46,0,0,123,x,44,41,31,x,0,130,3,0,75,37,88,53,8,0,3,8,21,36,40,32,0,0,129,x,43,37,29,x,0,130,3,42,15.7,3,36,14,29,11.3,78,30.4,79,30.7,35,13.6,3,166,166,100,3,39796
LA,203,Greenwich,"4,644","2,048",1476,"3,168",586.6,3,3,3,3,78,95,349,381,487,384,0,"1,696",73,268,303,366,384,0,"1,394",3,1142,77.4,x,x,x,x,0,0,0,0,83,5.6,0,0,224,15.2,3,0,"1,699",330,121,786,115,117,3,461,14.6,34.3,12.1,3.3,5.2,1.7,2.8,0,26,14.8,0.4,2.4,35.8,3,0,625,372,98,138,314,52,82,141,0,"1,346",3,0,0,553,37.5,319,21.6,277,18.8,170,11.5,157,10.6,3,516,16.3,244,7.7,564,17.8,761,24,1083,34.2,3,"2,948",545.8,"2,326",430.7,78.9,978,42,"1,665",71.6,3,3,3,3,439,14.9,1492,1071,71.8,2,2,781,467,375,80.3,2,2,410,339,349,64.6,3,3,3,208,x,x,125,63,0,208,x,x,131,57,0,3,171,x,x,113,55,0,183,x,x,113,45,0,3,9,x,59,47,48,x,0,177,x,43,59,49,x,0,163,3,0,253,32,x,45,x,10,3,9,x,60,53,57,x,0,208,x,49,61,54,x,0,193,3,63,15.4,3,48,14.2,30,8.8,149,44,76,22.4,36,10.6,3,252,252,100,3,54009
LA,204,Hackney,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,360",644.7,"2,400",460.5,71.4,"1,595",66.5,..,..,A,A,A,A,342,10.2,1573,1242,79,A,A,837,175,148,84.6,A,A,143,258,128,24.6,A,A,A,50,8,8,24,53,0,..,..,..,..,..,..,A,50,8,6,20,44,0,..,..,..,..,..,..,A,x,x,18,23,15,0,0,59,x,15,20,19,x,0,66,A,0,37,19,7,59,x,x,A,28,x,x,26,16,0,0,59,x,x,17,18,x,0,56,A,17,11.9,A,..,..,..,..,..,..,..,..,27,10.5,A,104,104,100,A,52117
LA,205,Hammersmith and Fulham,"2,579","1,014",988,"1,591",498.3,3,3,3,3,15,28,160,217,272,205,0,882,19,148,154,208,165,0,694,3,x,99.9,0,0,x,x,0,0,0,0,0,0,0,0,0,0,3,0,493,305,68,446,132,147,3,191,12,36.1,2.1,0,1.6,0,2.1,0,7.9,11,0,4.7,39.8,2,0,759,0,45,132,213,12,15,71,25,319,2,0,0,424,42.9,172,17.4,85,8.6,154,15.6,153,15.5,3,261,16.4,129,8.1,208,13.1,294,18.5,699,43.9,3,"1,855",581,"1,584",496.1,85.4,"1,193",75.3,"1,410",89,3,2,2,2,331,17.8,770,649,84.3,3,3,237,190,27,14.2,2,2,138,225,151,47.3,3,3,3,54,x,x,40,21,0,52,x,x,38,30,0,3,52,x,x,45,22,0,47,x,x,42,41,0,3,x,x,27,24,29,x,0,84,x,x,18,29,0,0,64,3,0,44,32,x,47,15,x,3,x,x,18,27,25,x,0,79,x,12,16,19,x,0,56,3,40,29,3,34,15.1,29,12.9,89,39.6,62,27.6,11,4.9,3,119,113,95,3,31926
LA,206,Islington,"4,167","2,350","2,389","1,778",518.4,3,3,3,3,36,57,131,213,254,271,0,926,53,151,170,233,209,0,816,3,0,0,x,x,x,x,10,0.4,18,0.8,89,3.7,24,1,2239,93.7,3,0,672,348,90,535,61,72,3,272,15.3,25.7,11.8,4.4,0,0.7,2.9,0,34.6,15.4,0.4,8.5,16.5,3,0,815,203,58,171,235,64,x,208,x,0,2,0,0,1421,59.5,333,13.9,249,10.4,183,7.7,203,8.5,3,428,24.1,187,10.5,201,11.3,211,11.9,751,42.2,3,"2,404",700.9,"2,146",625.7,89.3,"1,776",82.8,"2,038",95,3,3,1,3,496,20.6,1080,901,83.4,3,3,369,176,103,58.5,3,3,148,168,112,32.7,3,3,3,78,x,x,61,0,0,78,x,x,61,0,0,2,62,x,x,40,0,0,61,x,x,43,0,0,3,x,9,17,16,x,0,0,53,x,18,19,x,0,0,57,3,0,60,33,x,12,x,x,3,x,16,23,19,10,0,0,68,17,20,24,x,x,0,77,3,23,15.5,3,31,18.5,x,x,70,41.7,44,26.2,x,x,3,79,79,100,3,34297
LA,207,Kensington and Chelsea,"2,536","1,318","1,480","1,056",348.1,3,3,3,3,21,25,106,131,184,128,0,574,24,84,91,167,95,0,461,3,18,1.2,x,x,x,x,0,0,x,x,76,5.1,14,0.9,1362,92,3,0,291,208,47,246,123,141,3,176,16.7,35.8,47.7,60.8,11.9,12.5,10.2,26.1,83.5,23.3,39.2,12.5,5.7,3,0,343,191,63,148,159,83,9,54,0,6,3,0,0,637,43,258,17.4,203,13.7,141,9.5,241,16.3,3,297,28.1,82,7.8,159,15.1,148,14,370,35,3,"1,908",628.9,"1,501",494.7,78.7,"1,321",88,"1,461",97.3,3,3,3,3,431,22.6,868,731,84.2,3,3,326,110,108,98.2,3,3,100,95,92,30.3,3,3,3,52,x,x,32,0,0,52,x,x,32,0,0,2,55,x,x,28,0,0,55,x,x,28,0,0,2,x,x,19,x,15,0,0,51,6,12,13,9,0,0,40,3,0,31,19,7,21,9,x,3,x,x,19,12,18,x,0,56,x,13,10,13,x,0,43,3,30,30,3,17,17.9,x,x,46,48.4,27,28.4,x,x,3,x,x,98.5,2,30340
LA,208,Lambeth,"5,551","2,748","2,242","3,309",607.4,3,3,3,3,275,6,413,401,536,317,0,"1,673",0,311,338,428,284,0,"1,361",1,1377,61.4,8,0.4,x,x,x,x,x,x,112,5,x,x,735,32.8,3,0,649,457,110,"1,815",196,82,3,163,4.9,44.2,0,0,4.9,0,4.9,0,45.4,9.2,1.2,5.5,0.6,2,0,1357,269,252,539,408,122,85,200,0,77,3,0,0,824,36.8,561,25,419,18.7,264,11.8,174,7.8,3,765,23.1,372,11.2,646,19.5,680,20.6,846,25.6,3,"4,491",824.3,"4,034",740.4,89.8,"2,787",69.1,"3,190",79.1,3,3,3,3,851,18.9,1954,1865,95.4,1,1,561,335,330,98.5,3,1,392,346,336,61.7,3,3,3,214,46,9,123,0,0,217,38,10,127,0,0,3,206,30,10,84,6,0,209,20,9,98,0,0,3,43,x,51,53,58,x,0,169,0,39,x,42,x,0,124,1,0,89,64,6,161,11,x,3,74,x,58,x,57,x,0,174,0,46,47,44,7,0,144,1,42,10.7,3,75,21.7,37,10.7,161,46.5,63,18.2,10,2.9,3,265,265,100,3,54481
LA,209,Lewisham,"5,313","2,918","2,885","2,428",407.9,3,3,3,3,40,54,212,317,419,288,0,"1,290",49,230,234,311,274,0,"1,098",3,0,0,17,0.6,x,x,6,0.2,x,x,191,6.6,29,1,2635,91.3,3,0,785,375,116,935,66,151,3,348,14.3,32.8,23.3,35.3,10.6,1.1,4.3,4.9,39.1,21.8,8.9,6.9,0.6,3,0,"1,011",314,110,201,528,x,47,171,0,x,3,0,0,1805,62.6,454,16,254,8.8,139,4.8,233,8.1,3,483,19.9,214,8.8,253,10.4,388,16,1090,44.9,3,"3,020",507.4,"2,512",422,83.2,"2,139",85.2,"2,239",89.1,3,3,3,3,635,21,1588,1325,83.4,3,3,860,234,162,69.2,3,3,199,182,212,35.6,3,3,3,123,25,x,37,x,0,122,25,x,38,x,0,3,124,21,8,52,7,0,124,17,8,54,9,0,3,x,x,26,31,30,x,0,98,x,35,37,26,x,0,109,3,0,94,45,14,46,10,x,3,x,x,21,22,23,x,0,82,27,33,28,x,x,0,112,3,14,7,3,36,19.8,13,7.1,51,28,61,33.5,21,11.5,3,x,x,98.7,3,59522
