geog_l,geog_c,new_la_code,geog_n,CINThro1213,CINStarting1213,CINEnding1213,CINAt310313,CINThroRatePer10K,CINStartingRatePer10k,CINEndingRatePer10k,CINAt310313RatePer10k,CINThro1213DCI,CINStarting1213DCI,CINEnding1213DCI,CINAt310313DCI,CINAt310313NoDisabled,%CINAt310313Disabled,%CINAt310313Autism/Asperger,%CINAt310313Behaviour,%CINAt310313Communication,%CINAt310313Consciousness,%CINAt310313HandFunction,%CINAt310313Hearing,%CINAt310313Incontinence,%CINAt310313Learning,%CINAt310313Mobility,%CINAt310313PersonalCare,%CINAt310313Vision,%CINAt310313OtherDisability,CINAt310313DisabilitiesDCI,CINAt310313IAPriNeedAbuse/Neglect,CINAt310313IAPriNeedChildDisability/Illness,CINAt310313IAPriNeedParentDisability/Illness,CINAt310313IAPRiNeedFamilyStress,CINAt310313IAPriNeedFamilyDysfunction,CINAt310313IAPriNeedUnacceptableBehaviour,CINAt310313IAPriNeedLowInc,CINAt310313IAPriNeedAbsentParent,CINAt310313PriNeedOther,CINAt310313IAPriNeedNotStated,CINAt310313PrimaryNeedDCI,CINAt310313OCDuration<3mths,%CINAt310313OCDuration<3mths,CINAt310313OCDuration3-6mths,%CINAt310313OCDuration3-6mths,CINAt310313OCDuration6mths-1yr,%CINAt310313OCDuration6mths-1yr,CINAt310313OCDuration1-2yrs,%CINAt310313OCDuration1-2yrs,CINAt310313OCDuration2+yrs,%CINAt310313OCDuration2+yrs,CINAt310313OCDurationDCI,CINEnding1213Duration<3mths,%CINEnding1213Duration<3mths,CINEnding1213Duration3-6mths,%CINEnding1213Duration3-6mths,CINEnding1213Duration6mths-1yr,%CINEnding1213Duration6mths-1yr,CINEnding1213Duration1-2yr,%CINEnding1213Duration1-2yr,CINEnding1213Duration2+yrs,%CINEnding1213Duration2+yrs,CINEnding1213DurationDCI,CINEnding1213RCmissing,%CINEnding1213RCmissing,CINEnding1213RCAd,%CINEnding1213RCAd,CINEnding1213RCDied,%CINEnding1213RCDied,CINEnding1213ResidenceOrder,%CINEnding1213ResidenceOrder,CINEnding1213SpecialGuardianship,%CINEnding1213SpecialGuardianship,CINEnding1213TransferToLA,%CINEnding1213TransferToLA,CINEnding1213TransferToAdultServices,%CINEnding1213TransferToAdultServices,CINEnding1213Other/NotInNeed,%CINEnding1213Other/NotInNeed,CINEnding1213RCDCI,Referrals1213,Referrals1213Rate,IAs1213,IAs1213Rate,IAs%OfReferrals1213,IAsStartEndSameDay1213,IAs1-5days1213,IAs6-10days1213,IAs11-15days1213,IAs16-20days1213,IAs21+days1213,IAs25thPercentile1213,IAsMedian1213,IAs75thPercentile1213,Referrals1213DCI,IAs1213DCI,IAsDuration1213DCI,IAs%ofReferrals1213DCI,ReferralsWithin12mths1213,%ReferralsWithin12mths1213,ReferralsNFA1213,%ReferralsNFA1213,ReferralsIANotInNeed1213,%ReferralsIANotInNeed1213,Rereferrals1213DCI,CAs1213,CAsRate1213,CAs0-10days1213,CAs11-20days1213,CAs21-30days1213,CAs31-35days1213,CAs36-40days1213,CAs41-50days1213,CAs51-60days1213,CAs61+days1213,CAs25thPercentile1213,CAsMedian1213,CAs75thPercentile1213,CAs1213DCI,CAsDuration1213DCI,S471213,S47Rate1213,ICPC1213,ICPCRate1213,ICPC0-10days1213,ICPC11-15days1213,ICPC16-20days1213,ICPC21+days1213,ICPC25thPercentile1213,ICPCMedian1213,ICPC75thPercentile,S471213DCI,ICPC1213DCI,ICPCDuration1213DCI,CPPStart1213,CPPStartRate1213,CPPCeased1213,CPPCeasedRate1213,CPPAt310313,CPPAt310313Rate,CPPStart1213DCI,CPPCeased1213DCI,CPPAt310313DCI,CPPStart1213InitialAbuseNeglect,CPPStart1213InitialAbusePhysical,CPPStart1213InitialAbuseSexual,CPPStart1213InitialAbuseEmotional,CPPStart1213InitialAbuseMultiple,CPPStart1213LatestAbuseNeglect,CPPStart1213LatestAbusePhysical,CPPStart1213LatestAbuseSexual,CPPStart1213LatestAbuseEmotional,CPPStart1213LatestAbuseMultiple,CPPStart1213AbuseDCI,CPPStart1213SecondTime,%CPPStart1213SecondTime,CPPStart1213SecondTimeDCI,CPPat310313InitialAbuseNeglect,CPPat310313InitialAbusePhysical,CPPat310313InitialAbuseSexual,CPPat310313InitialAbuseEmotional,CPPat310313InitialAbuseMultiple,CPPat310313LatestAbuseNeglect,CPPat310313LatestAbusePhysical,CPPat310313LatestAbuseSexual,CPPat310313LatestAbuseEmotional,CPPat310313LatestAbuseMultiple,CPPat310313AbuseDCI,CPPAt310313Duration<3mths,%CPPAt310313Duration<3mths,CPPAt310313Duration3-6mths,%CPPAt310313Duration3-6mths,CPPAt310313Duration6mths-1yr,%CPPAt310313Duration6mths-1yr,CPPAt310313Duration1-2yrs,%CPPAt310313Duration1-2yrs,CPPAt310313Duration2+yrs,%CPPAt310313Duration2+yrs,CPPAt310313DurationDCI,CPPAt310313For3+mths,CPPsReviewedinTimescales,%CPPsReviewedinTimescales,CPPReviewedinTimescalesDCI,CPPCeased1213Duration<3mths,%CPPCeased1213Duration<3mths,CPPCeased1213Duration3-6mths,%CPPCeased1213Duration3-6mths,CPPCeased1213Duration6mths-1yr,%CPPCeased1213Duration6mths-1yr,CPPCeased1213Duration1-2yrs,%CPPCeased1213Duration1-2yrs,CPPCeased1213Duration2+yrs,%CPPCeased1213Duration2+yrs,CPPCeased1213DurationDCI,CPPCeased6mths1213,CPPCeased6mthsDuration<3mths1213,%CPPCeased6mthsDuration<3mths1213,CPPCeased6mthsDurationAnotherLA,%CPPCeased6mthsDurationAnotherLA,CPPCeased6mthsDuration3-6mths1213,%CPPCeased6mthsDuration3-6mths1213,CPPCeased6mthsDuration>6mths1213,%CPPCeased6mthsDuration>6mths1213,CPPCeased6mthsDuration1213DCI,Mid2012Pop0-17
National,,E06000046,England,"736,100","395,100","355,800","378,600",645.8,346.6,312.2,332.2,,,,,"52,300",13.8,28.8,23.4,24,5.9,5.8,5.8,10,47.2,23.2,15.4,9,20.1,,"179,090","43,530","11,760","38,540","68,030","6,990","2,130","11,160","3,590","13,640",,"86,500",22.9,"45,900",12.1,"56,400",14.9,"60,100",15.9,"129,600",34.2,,"184,200",51.8,"60,300",17,"43,900",12.3,"34,700",9.8,"32,700",9.2,,"26,610",7.5,"2,870",0.8,680,0.2,"1,070",0.3,"1,540",0.4,"7,410",2.1,"4,000",1.1,"311,600",87.6,,"593,500",520.7,"441,500",387.4,74.4,"65,900","92,100","175,200","39,200","19,800","49,200",3,7,10,,,,,"147,700",24.9,"85,800",14.5,"112,600",19,,"232,720",204.2,"47,300","34,200","34,840","62,060","13,870","13,650","7,790","18,950",13,31,35,,,"127,060",111.5,"60,080",52.7,"12,970","29,090","6,120","11,600",11,14,17,,,,"52,700",46.2,"52,100",45.7,"43,100",37.9,,,,"21,600","6,150","2,530","16,690","5,710","21,390","5,950","2,550","17,590","5,210",,"7,870",14.9,,"17,930","4,670","2,030","13,640","4,870","17,980","4,280","2,030","14,730","4,120",,"12,390",28.7,"10,780",25,"11,610",26.9,"6,970",16.2,"1,400",3.2,,"30,900","29,700",96.2,,"10,080",19.3,"5,270",10.1,"20,320",39,"13,760",26.4,"2,690",5.2,,"24,710","6,050",24.5,930,15.3,"4,500",18.2,"14,160",57.3,,"11,397,500"
LA,201,E09000001,City of London,62,17,19,43,866.9,237.7,265.6,601.2,2,2,2,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,13,x,0,x,x,0,0,17,x,x,2,x,x,x,x,8,18.6,x,x,26,60.5,2,x,x,x,x,x,x,x,x,8,42.1,2,x,x,0,0,0,0,0,0,0,0,x,x,0,0,14,73.7,2,19,265.6,16,223.7,84.2,x,x,9,0,0,0,5,6,8,2,2,2,2,0,0,0,0,x,x,2,6,83.9,x,0,0,x,x,0,0,0,32,36,36,3,3,6,83.9,6,83.9,x,0,0,x,36,36,36,2,3,3,6,83.9,7,97.9,x,x,3,2,3,x,x,0,0,x,x,x,0,0,x,2,x,x,3,x,x,0,0,0,x,x,0,0,0,2,x,x,x,x,0,0,0,0,0,0,3,x,x,x,2,x,x,0,0,0,0,x,x,0,0,2,x,x,x,x,x,0,0,x,x,2,700
LA,202,E09000007,Camden,"3,639","1,752","1,612","2,027",924.7,445.2,409.6,515.1,3,3,3,3,382,18.8,26.7,25.9,35.9,1.8,5,6,x,65.2,17.3,6.3,5.5,12.3,3,880,236,167,253,292,47,16,128,8,0,3,378,18.6,257,12.7,325,16,321,15.8,746,36.8,3,587,36.4,368,22.8,222,13.8,189,11.7,246,15.3,3,x,x,18,1.1,x,x,16,1,15,0.9,51,3.2,11,0.7,"1,493",92.6,3,"1,961",498.3,"1,382",351.2,70.5,356,444,224,67,37,254,0,4,11,3,1,1,1,239,12.2,176,9,33,1.7,3,"1,206",306.4,581,229,148,80,32,34,24,78,4,11,27,3,3,490,124.5,280,71.1,82,122,41,35,9,13,16,3,3,3,208,52.9,224,56.9,205,52.1,3,3,3,106,12,x,85,x,111,12,x,80,x,3,49,23.6,3,102,11,9,83,0,107,10,9,79,0,3,53,25.9,51,24.9,50,24.4,29,14.1,22,10.7,3,152,150,98.7,3,22,9.8,18,8,84,37.5,71,31.7,29,12.9,3,132,20,15.2,x,x,16,12.1,96,72.7,3,"39,400"
LA,203,E09000011,Greenwich,"6,025","3,597","2,017","4,008",972.6,580.7,325.6,647,3,3,3,3,424,10.6,45.3,10.8,7.8,0,x,4.2,1.7,36.3,19.1,1.7,5.7,30,3,"1,175",328,150,212,484,77,179,130,0,"1,273",3,962,24,721,18,841,21,613,15.3,871,21.7,3,691,34.3,800,39.7,245,12.1,146,7.2,135,6.7,3,432,21.4,28,1.4,x,x,x,x,12,0.6,12,0.6,0,0,"1,520",75.4,3,"4,432",715.5,"3,465",559.4,78.2,681,"1,354","1,196",133,57,44,1,4,7,3,1,1,1,806,18.2,30,0.7,805,18.2,3,"2,638",425.9,419,375,630,841,173,125,51,24,17,29,34,3,3,"1,338",216,529,85.4,164,228,45,92,10,13,16,3,3,3,460,74.3,426,68.8,412,66.5,3,2,3,191,x,x,143,100,192,20,6,158,84,3,76,16.5,3,153,x,x,147,82,154,18,6,166,68,3,91,22.1,116,28.2,121,29.4,64,15.5,20,4.9,3,321,320,99.7,2,61,14.3,45,10.6,163,38.3,139,32.6,18,4.2,2,184,49,26.6,0,0,14,7.6,121,65.8,2,"61,900"
LA,204,E09000012,Hackney,"4,288","1,880","2,082","2,206",749,328.4,363.7,385.3,3,3,3,3,187,8.5,8.6,3.7,x,x,0,4.3,x,57.2,25.1,x,6.4,12.3,2,"1,325",126,86,100,190,49,18,68,40,204,3,495,22.4,295,13.4,312,14.1,421,19.1,683,31,2,759,36.5,554,26.6,408,19.6,229,11,132,6.3,3,986,47.4,10,0.5,x,x,13,0.6,x,x,141,6.8,19,0.9,902,43.3,3,"2,907",507.8,..,..,..,..,..,..,..,..,..,..,..,..,3,P,P,P,381,13.1,0,0,"1,027",35.3,3,..,..,..,..,..,..,..,..,..,..,..,..,..,P,P,994,173.6,291,50.8,54,121,26,88,12,15,24,3,1,1,276,48.2,241,42.1,225,39.3,3,3,3,87,21,6,45,117,87,21,6,45,117,2,47,17,3,81,15,6,30,93,81,15,6,30,93,2,53,23.6,75,33.3,71,31.6,20,8.9,6,2.7,3,172,163,94.8,2,44,18.3,33,13.7,101,41.9,47,19.5,16,6.6,3,113,17,15,11,64.7,25,22.1,71,62.8,2,"57,300"
LA,205,E09000013,Hammersmith and Fulham,"3,020","1,780","1,465","1,555",907.1,534.6,440,467.1,3,3,3,3,102,6.6,40.2,x,0,x,0,x,0,6.9,7.8,0,x,34.3,2,609,151,50,138,197,24,11,65,56,254,3,355,22.8,172,11.1,233,15,186,12,609,39.2,3,985,67.2,168,11.5,43,2.9,83,5.7,186,12.7,2,53,3.6,0,0,x,x,0,0,0,0,6,0.4,x,x,"1,403",95.8,3,"1,887",566.8,..,..,..,..,..,..,..,..,..,..,..,..,2,P,P,P,324,17.2,54,2.9,53,2.8,2,..,..,..,..,..,..,..,..,..,..,..,..,..,P,P,516,155,197,59.2,22,72,34,69,13,16,23,3,3,3,165,49.6,159,47.8,142,42.7,3,3,3,37,11,17,63,37,33,8,17,56,51,3,22,13.3,3,21,12,15,65,29,17,6,15,58,46,3,41,28.9,32,22.5,51,35.9,18,12.7,0,0,2,101,100,99,3,29,18.2,15,9.4,47,29.6,47,29.6,21,13.2,3,73,x,x,x,x,x,x,56,76.7,2,"33,300"
LA,206,E09000019,Islington,"4,448","2,456","2,437","2,011",1210.9,668.6,663.4,547.5,3,3,3,3,253,12.6,27.7,9.5,5.5,0,x,4.3,0,32.4,16.2,x,6.3,20.9,2,948,194,55,213,308,51,7,216,19,0,3,532,26.5,240,11.9,192,9.5,238,11.8,809,40.2,3,"1,403",57.6,479,19.7,270,11.1,158,6.5,127,5.2,3,x,x,20,0.8,x,x,13,0.5,19,0.8,96,3.9,9,0.4,"2,277",93.4,3,"2,576",701.3,..,..,..,..,..,..,..,..,..,..,..,..,3,P,P,P,466,18.1,120,4.7,0,0,3,..,..,..,..,..,..,..,..,..,..,..,..,..,P,P,383,104.3,164,44.6,35,64,27,38,11,14,20,3,2,2,134,36.5,158,43,117,31.9,3,2,3,67,10,x,54,x,67,10,x,54,x,2,14,10.4,3,59,6,x,49,x,60,6,x,48,x,3,45,38.5,13,11.1,38,32.5,12,10.3,9,7.7,3,72,72,100,3,24,15.2,22,13.9,63,39.9,40,25.3,9,5.7,2,84,27,32.1,13,48.1,11,13.1,46,54.8,2,"36,700"
LA,207,E09000020,Kensington and Chelsea,"2,545","1,479","1,547",998,926.7,538.6,563.3,363.4,3,3,3,3,105,10.5,25.7,43.8,58.1,11.4,15.2,6.7,28.6,78.1,31.4,40,14.3,6.7,3,267,142,74,160,157,89,6,99,x,x,3,208,20.8,120,12,141,14.1,181,18.1,348,34.9,3,925,59.8,193,12.5,198,12.8,104,6.7,127,8.2,3,0,0,x,x,6,0.4,x,x,x,x,106,6.9,11,0.7,"1,418",91.7,3,"1,956",712.2,..,..,..,..,..,..,..,..,..,..,..,..,3,P,P,P,382,19.5,477,24.4,0,0,3,..,..,..,..,..,..,..,..,..,..,..,..,..,P,P,339,123.4,117,42.6,57,49,x,x,8,11,13,3,2,2,100,36.4,106,38.6,73,26.6,2,3,2,54,7,x,35,x,58,7,6,29,0,2,11,11,2,47,x,x,21,0,49,x,x,19,0,2,13,17.8,14,19.2,25,34.2,14,19.2,7,9.6,2,60,60,100,2,30,28.3,x,x,34,32.1,22,20.8,x,x,3,59,15,25.4,14,93.3,14,23.7,30,50.8,3,"27,500"
LA,208,E09000022,Lambeth,"5,755","2,682","2,045","3,710",949.2,442.4,337.3,611.9,3,3,3,3,154,4.2,41.6,9.1,9.7,x,x,7.1,7.1,45.5,13.6,27.3,7.1,0,2,"1,541",239,253,916,438,128,35,160,0,0,3,666,18,558,15,688,18.5,718,19.4,"1,080",29.1,3,714,34.9,505,24.7,391,19.1,250,12.2,185,9,3,633,31,11,0.5,x,x,x,x,10,0.5,141,6.9,x,x,"1,241",60.7,3,"4,252",701.3,"3,379",557.3,79.5,0,"1,296","1,589",244,107,143,4,7,9,3,3,3,2,748,17.6,511,12,"1,059",24.9,3,"1,735",286.2,283,367,531,425,46,59,24,0,15,25,32,3,3,694,114.5,284,46.8,54,213,0,17,12,13,15,3,3,3,263,43.4,276,45.5,299,49.3,3,3,3,163,31,6,63,0,164,30,6,63,0,3,33,12.5,3,200,31,8,60,0,208,25,7,59,0,3,63,21.1,61,20.4,81,27.1,70,23.4,24,8,3,236,235,99.6,3,28,10.1,17,6.2,93,33.7,94,34.1,44,15.9,2,136,30,22.1,25,83.3,12,8.8,94,69.1,3,"60,600"
LA,209,E09000023,Lewisham,"4,845","2,531","2,121","2,724",752,392.8,329.2,422.8,3,3,3,3,405,14.9,40.5,22.2,27.7,7.7,x,4,2.7,31.4,17.5,5.7,5.7,3,3,861,423,83,311,680,x,127,189,0,x,3,503,18.5,294,10.8,347,12.7,334,12.3,"1,246",45.7,3,"1,304",61.5,338,15.9,130,6.1,148,7,201,9.5,3,0,0,17,0.8,x,x,8,0.4,x,x,101,4.8,21,1,"1,970",92.9,3,"2,642",410.1,"2,188",339.6,82.8,195,404,"1,392",101,33,63,5,9,10,3,3,3,2,414,15.7,111,4.2,0,0,3,"1,888",293,398,207,219,831,103,63,20,47,14,33,35,3,3,836,129.8,325,50.4,149,123,20,33,7,11,14,3,3,3,283,43.9,247,38.3,235,36.5,3,3,3,130,45,7,86,15,129,47,7,84,16,3,25,8.8,3,98,34,x,81,x,96,35,6,78,20,3,72,30.6,56,23.8,54,23,37,15.7,16,6.8,3,163,162,99.4,3,57,23.1,32,13,91,36.8,46,18.6,21,8.5,3,121,34,28.1,22,64.7,21,17.4,66,54.5,3,"64,400"
