geog_l,geog_c,new_la_code,geog_n,CINThro1314,CINStarting1314,CINEnding1314,CINAt310314,CINThroRatePer10K,CINStartingRatePer10K,CINEndingRatePer10K,CINAt310314RatePer10K,CINThro1314DCI,CINStarting1314DCI,CINEnding1314DCI,CINAt310314DCI,CINAt310314NoDisabled,%CINAt310314Disabled,%CINAt310314AutismAsperger,%CINAt310314Behaviour,%CINAt310314Communication,%CINAt310314Consciousness,%CINAt310314HandFunction:,%CINAt310314Hearing,%CINAt310314Incontinence,%CINAt310314Learning,%CINAt310314Mobility,%CINAt310314PersonalCare,%CINAt310314Vision,%CINAt310314OtherDisability,CINAt310314DisabilitiesDCI,CINAt310314IAPriNeedAbuse/Neglect,CINAt310314IAPriNeedChildDisability/Illness,CINAt310314IAPriNeedParentDisability/Illness,CINAt310314IAPriNeedFamilyStress,CINAt310314IAPriNeedFamilyDysfunction,CINAt310314IAPriNeedUnacceptableBehaviour,CINAt310314IAPriNeedLowInc,CINAt310314IAPriNeedAbsentParent,CINAt310314PriNeedOther,CINAt310314IAPriNeedNotStated,CINAt310314PrimaryNeedDCI,CINAt310314OCDuration<3mths,%CINAt310314OCDuration<3mths,CINAt310314OCDuration3-6mths,%CINAt310314OCDuration3-6mths,CINAt310314OCDuration6mths-1yr,%CINAt310314OCDuration6mths-1yr,CINAt310314OCDuration1-2yr,%CINAt310314OCDuration1-2yr,CINAt310314OCDuration2+yrs,%CINAt310314OCDuration2+yrs,CINAt310314OCDurationDCI,CINEnding1314Duration<3mths,%CINEnding1314Duration<3mths,CINEnding1314Duration3-6mths,%CINEnding1314Duration3-6mths,CINEnding1314Duration6mths-1yr,%CINEnding1314Duration6mths-1yr,CINEnding1314Duration1-2yr,%CINEnding1314Duration1-2yr,CINEnding1314Duration2+yrs,%CINEnding1314Duration2+yrs,CINEnding1314DurationDCI,CINEnding1314RCmissing,%CINEnding1314RCmissing_A,CINEnding1314RCAd,%CINEnding1314RCAd,CINEnding1314RCDied,%CINEnding1314RCDied,CINEnding1314ResidenceOrder,%CINEnding1314ResidenceOrder,CINEnding1314SpecialGuardianship,%CINEnding1314SpecialGuardianship,CINEnding1314TransferToLA,%CINEnding1314TransferToLA,CINEnding1314TransferToAdultServices,%CINEnding1314TransferToAdultServices,CINEnding1314OtherNotInNeed,%CINEnding1314OtherNotInNeed,CINEnding1314RCDCI,Referrals1314,Referrals1314Rate,ReferralsWithin12mths1314,%ReferralsWithin12mths1314,ReferralsNFA1314,%ReferralsNFA1314,ReferralsIANotInNeed1314,%ReferralsIANotInNeed1314,Referrals1314DCI,Rereferrals1314DCI,IAs1314,IAsStartEndSameDay1314,IAs1-5days1314,IAs6-10days1314,IAs11-15days1314,IAs16-20days1314,IAs21+days1314,IAs25thpercentile1314,IAsMedian1314,IAs75thpercentile1314,IAs1314DCI,IAsDuration1314DCI,CAs1314,CAs0-10days1314,CAs11-20days1314,CAs21-30days1314,CAs31-35days1314,CAs36-40days1314,CAs41-50days1314,CAs51-60days1314,CAs61+days1314,CAs25thPercentile1314,CAsMedian1314,CAs75thPercentile1314,CAs1314DCI,CAsDuration1314DCI,SAs1314,SAsStartEndSameDay1314,SAs1-10days1314,SAs11-20days1314,SAs21-30days1314,SAs31-40days1314,SAs41-45days1314,SAs46-50days1314,SAs51-60days1314,SAs61+days1314,SAs25thPercentile1314,SAsMedian1314,SAs75thPercentile1314,SAs1314DCI,SAsDuration1314DCI,S471314,S47Rate1314,ICPCin1314,ICPCRate1314,ICPC0-10days1314,ICPC11-15days1314,ICPC16-20days1314,ICPC21+days1314,ICPC25thPercentile1314,ICPCMedian1314,ICPC75thPercentile1314,S471314DCI,ICPC1314DCI,ICPCDuration1314DCI,ReferralsReportingSource1314,Source1314Individual,Source1314Schools,Source1314EducationServices,Source1314HealthServices,Source1314Housing,Source1314LAServices,Source1314Police,Source1314OtherLegal,Source1314Other,Source1314Anonymous,Source1314Unknown,ReferralSource1314DCI,CPPStart1314,CPPStartRate1314,CPPCeased1314,CPPCeasedRate1314,CPPAt310314,CPPAt310314Rate,CPPStart1314DCI,CPPCeased1314DCI,CPPAt310314DCI,CPPStart1314InitialAbuseNeglect,CPPStart1314InitialAbusePhysical,CPPStart1314InitialAbuseSexual,CPPStart1314InitialAbuseEmotional,CPPStart1314InitialAbuseMultiple,CPPStart1314LatestAbuseNeglect,CPPStart1314LatestAbusePhysical,CPPStart1314LatestAbuseSexual,CPPStart1314LatestAbuseEmotional,CPPStart1314LatestAbuseMultiple,CPPStart1314AbuseDCI,CPPStart1314SecondTime,CPPStart1314SecondTime_A,CPPStart1314SecondTimeDCI,CPPat310314InitialAbuseNeglect,CPPat310314InitialAbusePhysical,CPPat310314InitialAbuseSexual,CPPat310314InitialAbuseEmotional,CPPat310314InitialAbuseMultiple,CPPat310314LatestAbuseNeglect,CPPat310314LatestAbusePhysical,CPPat310314LatestAbuseSexual,CPPat310314LatestAbuseEmotional,CPPat310314LatestAbuseMultiple,CPPat31031AbuseDCI,CPPAT310314Duration<3mths,%CPPAT310314Duration<3mths,CPPAT310314Duration3-6mths,%CPPAT310314Duration3-6mths,CPPAT310314Duration6mths-1yr,%CPPAT310314Duration6mths-1yr,CPPAT310314Duration1-2yrs,%CPPAT310314Duration1-2yrs,CPPAT310314Duration2+yrs,%CPPAT310314Duration2+yrs,CPPAT310314DurationDCI,CPPat310314For3mths,CPPsReviewedinTimescales,%CPPsReviewedinTimescales,CPPReviewedinTimescalesDCI,CPPCeased1314Duration<3mths,%CPPCeased1314Duration<3mths,CPPCeased1314Duration3-6mths,%CPPCeased1314Duration3-6mths,CPPCeased1314Duration6mths-1yr,%CPPCeased1314Duration6mths-1yr,CPPCeased1314Duration1-2yrs,%CPPCeased1314Duration1-2yrs,CPPCeased1314Duration2+yrs,%CPPCeased1314Duration2+yrs,CPPCeased1314DurationDCI,CPPCeased6mths1314,CPPCeased6mthsDuration3mths1314,%CPPCeased6mthsDuration3mths1314,CPPCeased6mthsDurationAnotherLA1314,%CPPCeased6mthsDurationAnotherLA1314,CPPCeased6mthsDuration36mths1314,%CPPCeased6mthsDuration36mths1314,CPPCeased6mthsDuration6mths1314,%CPPCeased6mthsDuration6mths1314,CPPCeased6mthsDuration1314DCI,CPPduring201314,SeenInAccordanceWithPlan1314,%SeenInAccordanceWithPlan1314,SeenInAccordanceWithPlan1314DCI,Mid2013Pop017
National,,E06000046,England,781200,427700,384100,397600,680.5,372.6,334.6,346.4,,,,,52600,13.2,29,21.9,23,5.2,5.3,5.4,8.9,44.3,21.1,13.9,8.4,20.7,,187710,41560,11570,38550,73840,7940,2360,10440,3850,19820,,98500,24.8,50200,12.6,63000,15.8,60200,15.1,125700,31.6,,187900,48.9,68800,17.9,51100,13.3,38900,10.1,37400,9.7,,38880,10.1,3610,0.9,670,0.2,1070,0.3,1880,0.5,8300,2.2,2280,0.6,327440,85.2,,657800,573,154000,23.4,92400,14.1,127800,19.4,,,308520,49250,55540,109840,30100,16570,47090,3,8,13,,,170640,33300,23440,23360,44200,11070,11920,6900,16360,14,32,37,,,175290,8820,32870,33960,26080,26980,15460,6940,8660,15500,11,25,42,,,142490,124.1,65190,56.8,11780,33390,6720,13180,12,14,18,,,,653300,68900,85600,19900,91700,10400,77900,156400,25400,46800,18600,51600,,59800,52.1,54400,47.4,48300,42.1,,,,25140,6500,2830,19750,5560,24740,5960,2710,21010,5360,,9450,15.8,,20970,4760,2210,15860,4500,20620,4050,2100,17200,4320,,15270,31.6,12240,25.3,12800,26.5,6760,14,1230,2.6,,33100,31300,94.6,,11060,20.3,5600,10.3,21960,40.4,13320,24.5,2450,4.5,,26420,6710,25.4,910,13.6,5300,20.1,14390,54.5,,102700,60000,58.4,,11478900
LA,201,E09000001,City of London,41,10,13,28,506.7,123.6,160.7,346,2,2,2,2,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,7,x,0,x,x,0,0,16,0,0,2,x,x,x,x,0,0,x,x,19,67.9,2,x,x,x,x,6,46.2,x,x,x,x,2,x,x,0,0,0,0,0,0,0,0,x,x,0,0,8,61.5,2,14,173,0,0,x,x,0,0,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,0,x,x,x,x,x,0,0,0,13,19,36,3,3,7,86.5,x,x,x,0,x,0,9,9,16,3,3,3,14,x,x,0,0,0,x,7,0,x,0,0,2,x,x,7,86.5,0,0,2,3,2,x,x,0,0,0,x,x,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,x,x,0,0,x,x,0,0,0,0,3,x,x,x,x,x,0,0,0,0,3,7,7,100,2,800
LA,202,E09000007,Camden,3342,1360,1218,2124,807.3,328.5,294.2,513.1,2,2,2,2,381,17.9,27.3,23.4,38.8,1.6,4.7,6.6,x,64.3,17.6,5.8,5.2,11.3,2,906,257,175,260,314,65,25,122,0,0,2,478,22.5,228,10.7,329,15.5,375,17.7,714,33.6,2,259,21.3,315,25.9,199,16.3,183,15,262,21.5,2,480,39.4,19,1.6,x,x,x,x,0,0,92,7.6,12,1,609,50,2,2215,535,318,14.4,26,1.2,829,37.4,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2168,71,265,238,359,566,122,87,126,334,19,34,46,3,3,642,155.1,343,82.9,97,158,45,43,10,13,16,3,3,3,2215,148,340,41,322,37,188,714,38,193,11,183,3,260,62.8,266,64.3,199,48.1,3,3,3,116,x,x,126,0,106,x,x,138,0,3,52,20,3,92,x,x,96,0,86,x,x,104,0,3,59,29.6,45,22.6,66,33.2,x,x,x,x,3,140,139,99.3,3,39,14.7,21,7.9,102,38.3,78,29.3,26,9.8,3,97,10,10.3,8,80,8,8.2,79,81.4,2,465,369,79.4,3,41400
LA,203,E09000011,Greenwich,5179,2638,1722,3457,819.5,417.4,272.5,547,2,2,3,2,335,9.7,48.4,9.9,9.6,0,x,5.1,x,36.1,18.8,2.7,6,29.9,2,972,256,143,179,408,62,147,71,15,1204,2,624,18.1,571,16.5,775,22.4,777,22.5,710,20.5,2,432,25.1,725,42.1,349,20.3,156,9.1,60,3.5,3,599,34.8,x,x,x,x,0,0,0,0,10,0.6,0,0,1108,64.3,3,4097,648.3,624,15.2,391,9.5,1068,26.1,3,3,1464,0,694,595,131,21,23,3,6,9,1,1,1278,255,233,303,380,34,39,10,24,13,27,33,3,3,1524,0,358,221,205,149,147,87,128,229,11,30,48,2,2,888,140.5,289,45.7,99,86,16,88,8,13,24,3,2,2,4097,358,754,80,788,86,523,1068,72,263,54,51,3,259,41,392,62,279,44.1,2,3,2,101,x,x,84,72,102,x,x,96,59,2,53,20.5,2,104,0,6,80,89,102,0,6,103,68,2,68,24.4,60,21.5,62,22.2,79,28.3,10,3.6,2,211,209,99.1,2,45,11.5,29,7.4,167,42.6,118,30.1,33,8.4,3,246,28,11.4,x,x,29,11.8,189,76.8,3,671,524,78.1,2,63200
LA,204,E09000012,Hackney,4347,2769,1882,2465,745.7,475,322.9,422.9,2,2,3,2,190,7.7,13.7,8.4,6.3,3.2,x,5.8,x,44.2,16.3,x,7.4,14.2,2,1243,133,135,242,257,96,74,94,54,137,2,666,27,299,12.1,346,14,494,20,660,26.8,2,1078,57.3,615,32.7,145,7.7,28,1.5,16,0.9,2,0,0,16,0.9,x,x,x,x,0,0,69,3.7,x,x,1790,95.1,3,2769,475,433,15.6,0,0,0,0,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2246,27,150,215,303,361,161,152,224,653,27,43,65,P,P,405,69.5,230,39.5,69,113,15,33,10,14,15,2,P,P,2769,825,553,13,306,17,389,132,81,81,12,360,3,227,38.9,225,38.6,221,37.9,2,3,2,96,33,14,74,10,91,36,14,74,12,2,32,14.1,2,101,27,11,71,11,96,33,11,74,7,2,66,29.9,36,16.3,48,21.7,65,29.4,6,2.7,2,155,145,93.5,2,51,22.7,x,x,83,36.9,73,32.4,x,x,3,96,x,x,x,x,x,x,85,88.5,2,446,..,..,..,58300
LA,205,E09000013,Hammersmith and Fulham,2925,1553,1466,1459,880.4,467.4,441.3,439.1,3,3,3,3,140,9.6,33.6,5,0,5.7,0,x,0,5.7,10.7,0,x,36.4,2,506,128,53,116,145,15,6,51,41,398,3,366,25.1,161,11,139,9.5,238,16.3,555,38,3,723,49.3,332,22.6,145,9.9,97,6.6,169,11.5,3,42,2.9,0,0,0,0,0,0,0,0,0,0,0,0,1424,97.1,3,1782,536.4,269,15.1,115,6.5,114,6.4,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1651,0,151,234,249,291,222,100,143,261,22,37,50,P,P,501,150.8,229,68.9,40,60,42,87,12,18,25,3,2,2,1782,147,250,16,328,18,145,411,27,169,31,240,3,198,59.6,179,53.9,161,48.5,3,3,3,66,29,x,93,x,63,23,x,94,x,3,32,16.2,3,51,15,x,81,x,47,x,x,80,20,3,56,34.8,45,28,35,21.7,25,15.5,0,0,2,105,105,100,3,37,20.7,8,4.5,86,48,48,26.8,0,0,2,88,21,23.9,0,0,12,13.6,55,62.5,3,340,330,97.1,3,33200
LA,206,E09000019,Islington,4444,2487,2406,2038,1169.4,654.4,633.1,536.3,3,3,3,3,219,10.7,29.2,9.1,5.9,0,x,4.1,0,29.7,15.1,x,5.9,20.1,2,886,206,60,195,332,52,8,195,31,73,3,531,26.1,218,10.7,285,14,241,11.8,763,37.4,3,1302,54.1,437,18.2,331,13.8,184,7.6,152,6.3,3,80,3.3,14,0.6,x,x,x,x,19,0.8,96,4,8,0.3,2183,90.7,3,2772,729.4,573,20.7,76,2.7,209,7.5,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2694,x,x,137,322,605,704,328,277,269,34,43,48,P,P,490,128.9,217,57.1,30,108,30,49,12,14,20,3,2,2,2772,233,464,18,379,108,450,812,80,178,39,11,3,179,47.1,159,41.8,137,36,2,3,2,85,x,0,68,x,85,x,0,69,x,2,36,20.1,2,63,x,0,62,x,64,x,0,62,x,2,56,40.9,26,19,39,28.5,x,x,x,x,2,81,81,100,2,36,22.6,12,7.5,75,47.2,27,17,9,5.7,3,77,30,39,7,23.3,8,10.4,39,50.6,3,296,246,83.1,2,38000
LA,207,E09000020,Kensington and Chelsea,2536,1543,1534,1002,929.3,565.4,562.1,367.2,3,3,3,3,106,10.6,30.2,40.6,52.8,11.3,14.2,x,27.4,69.8,26.4,36.8,14.2,15.1,3,298,136,64,144,178,73,16,89,x,x,3,270,26.9,132,13.2,143,14.3,108,10.8,349,34.8,3,900,58.7,226,14.7,165,10.8,109,7.1,134,8.7,3,0,0,x,x,x,x,0,0,x,x,56,3.7,16,1,1454,94.8,3,2406,881.6,537,22.3,863,35.9,0,0,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1200,7,606,143,145,244,20,9,7,19,9,10,30,P,P,391,143.3,120,44,45,56,7,12,10,12,14,3,P,P,2406,197,200,48,605,44,195,900,28,158,31,0,3,102,37.4,82,30,92,33.7,3,3,3,64,x,x,31,0,64,x,x,32,0,3,14,13.7,3,55,x,x,32,0,59,0,x,29,x,3,26,28.3,24,26.1,25,27.2,10,10.9,7,7.6,3,66,65,98.5,2,19,23.2,x,x,27,32.9,25,30.5,x,x,3,52,9,17.3,x,x,16,30.8,27,51.9,3,174,151,86.8,3,27300
LA,208,E09000022,Lambeth,5607,1952,1365,4242,909.8,316.7,221.5,688.3,2,2,2,2,40,0.9,65,x,x,0,x,x,x,32.5,x,x,x,0,1,1739,231,291,954,455,183,68,144,125,52,2,714,16.8,436,10.3,569,13.4,964,22.7,1559,36.8,2,267,19.6,302,22.1,337,24.7,347,25.4,112,8.2,2,753,55.2,x,x,0,0,0,0,x,x,66,4.8,x,x,535,39.2,2,3770,611.7,512,13.6,766,20.3,1052,27.9,3,2,20,0,0,0,0,0,20,48,81,120,1,1,11,x,x,x,x,0,x,x,x,30,50,61,3,3,2554,0,666,555,503,573,230,22,x,x,10,22,34,3,3,849,137.8,346,56.1,28,304,6,8,13,14,15,2,3,3,3770,551,619,9,1084,28,325,764,190,180,20,0,3,311,50.5,252,40.9,358,58.1,3,3,3,193,40,x,73,x,189,38,x,68,x,3,38,12.2,3,239,41,7,71,0,230,36,x,60,x,3,77,21.5,88,24.6,91,25.4,75,20.9,27,7.5,3,281,277,98.6,3,31,12.3,8,3.2,91,36.1,85,33.7,37,14.7,2,112,10,8.9,6,60,12,10.7,90,80.4,3,610,45,7.4,3,61600
LA,209,E09000023,Lewisham,4959,2292,1930,3029,759.1,350.9,295.4,463.7,3,3,3,3,424,14,43.9,21.5,24.5,6.4,x,3.5,2.1,26.4,18.4,5.7,4.5,3.3,3,950,448,99,348,671,57,252,204,0,0,3,475,15.7,250,8.3,445,14.7,569,18.8,1290,42.6,3,980,50.8,390,20.2,228,11.8,172,8.9,160,8.3,3,0,0,x,x,x,x,x,x,32,1.7,64,3.3,23,1.2,1795,93,3,2353,360.2,262,11.1,61,2.6,0,0,3,2,1307,202,271,731,53,19,31,2,7,9,3,3,1348,223,136,160,660,71,41,11,46,19,34,35,3,3,688,22,118,150,123,187,38,9,21,20,14,28,35,3,3,1039,159.1,365,55.9,157,107,57,44,8,11,16,3,3,3,2353,224,478,13,352,33,602,299,99,242,x,x,3,332,50.8,264,40.4,302,46.2,3,3,3,114,47,12,145,14,112,48,14,146,12,3,36,10.8,3,108,36,14,135,9,107,33,16,139,7,3,56,18.5,76,25.2,104,34.4,53,17.5,13,4.3,3,246,246,100,2,47,17.8,17,6.4,127,48.1,55,20.8,18,6.8,3,124,27,21.8,10,37,8,6.5,89,71.8,2,566,257,45.4,3,65300
LA,210,E09000028,Southwark,4422,1789,1495,2927,728.4,294.7,246.3,482.2,3,3,3,3,139,4.7,6.5,66.2,81.3,x,28.1,10.8,x,88.5,40.3,64,15.8,0,3,1361,117,217,305,415,89,89,148,0,186,3,491,16.8,257,8.8,351,12,568,19.4,1260,43,3,693,46.4,219,14.6,137,9.2,200,13.4,246,16.5,3,275,18.4,13,0.9,x,x,x,x,x,x,58,3.9,x,x,1140,76.3,3,3533,582,628,17.8,828,23.4,916,25.9,3,3,2305,542,703,791,66,74,129,1,5,7,3,2,921,180,137,211,302,29,32,x,x,14,29,33,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,648,106.7,384,63.3,63,199,49,73,12,14,18,3,3,3,3533,440,611,24,691,126,764,403,94,356,x,x,3,336,55.4,282,46.5,327,53.9,3,2,3,143,26,9,89,69,144,26,9,89,68,3,30,8.9,3,133,24,11,85,74,137,24,11,89,66,3,82,25.1,62,19,107,32.7,61,18.7,15,4.6,3,245,245,100,3,37,13.1,22,7.8,116,41.1,95,33.7,12,4.3,2,142,25,17.6,10,40,12,8.5,105,73.9,2,609,579,95.1,2,60700
LA,211,E09000030,Tower Hamlets,4640,2478,2096,2544,785.8,419.7,355,430.9,3,3,3,3,178,7,30.3,x,10.1,10.1,0,8.4,x,34.3,22.5,7.3,9,8.4,2,1062,128,140,149,219,45,13,51,17,720,3,591,23.2,349,13.7,435,17.1,372,14.6,797,31.3,3,855,40.8,459,21.9,183,8.7,221,10.5,378,18,3,x,x,14,0.7,0,0,x,x,8,0.4,12,0.6,x,x,2052,97.9,3,2549,431.7,271,10.6,71,2.8,0,0,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2424,7,497,381,305,354,293,98,171,318,14,31,45,3,3,986,167,339,57.4,71,106,53,109,11,15,22,3,3,3,2549,760,683,50,136,29,263,609,x,x,12,0,3,307,52,308,52.2,328,55.6,3,3,3,94,49,9,147,8,92,45,9,153,8,3,55,17.9,3,92,52,8,170,6,93,41,8,180,6,3,76,23.2,80,24.4,75,22.9,72,22,25,7.6,3,252,246,97.6,3,52,16.9,18,5.8,99,32.1,117,38,22,7.1,3,149,31,20.8,x,x,25,16.8,93,62.4,3,636,416,65.4,3,59000
LA,212,E09000032,Wandsworth,2953,1766,1314,1639,508.9,304.3,226.4,282.4,3,3,3,3,289,17.6,35.3,21.8,43.3,4.8,6.6,4.8,18.3,51.9,18.3,28.7,8.7,33.9,3,762,241,197,178,107,x,21,64,48,x,3,387,23.6,175,10.7,319,19.5,190,11.6,568,34.7,3,836,63.6,148,11.3,131,10,118,9,81,6.2,3,0,0,x,x,x,x,0,0,x,x,11,0.8,0,0,1293,98.4,3,1790,308.5,237,13.2,24,1.3,0,0,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1497,29,357,283,317,241,102,49,59,60,10,23,35,P,P,537,92.5,244,42,62,82,38,62,10,14,21,3,3,3,1790,123,272,19,368,39,342,473,x,134,12,x,3,209,36,186,32.1,170,29.3,3,3,3,49,23,12,89,36,47,23,10,107,22,3,21,10,3,42,19,11,67,31,40,20,9,91,10,3,50,29.4,52,30.6,47,27.6,x,x,x,x,3,120,106,88.3,3,43,23.1,15,8.1,73,39.2,45,24.2,10,5.4,3,107,18,16.8,x,x,24,22.4,65,60.7,3,356,179,50.3,3,58000
LA,213,E09000033,Westminster,3498,1451,1481,2017,910.1,377.5,385.3,524.8,3,3,3,3,238,11.8,32.8,15.5,17.6,x,6.3,x,0,34.9,17.2,8,4.6,37.4,3,553,x,130,107,555,84,x,80,234,198,3,355,17.6,181,9,242,12,402,19.9,837,41.5,3,464,31.3,315,21.3,231,15.6,246,16.6,225,15.2,3,x,x,x,x,x,x,0,0,x,x,x,x,0,0,1472,99.4,3,1545,402,90,5.8,94,6.1,0,0,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1473,18,74,234,257,393,99,48,93,257,22,35,48,P,P,317,82.5,139,36.2,29,28,32,50,11,18,23,3,P,P,1545,94,201,18,224,25,241,434,48,65,0,195,3,112,29.1,109,28.4,99,25.8,2,2,2,41,x,x,47,0,41,16,x,47,x,2,7,6.3,2,35,x,x,43,0,27,13,x,47,x,2,43,43.4,26,26.3,18,18.2,12,12.1,0,0,2,56,55,98.2,2,14,12.8,16,14.7,32,29.4,47,43.1,0,0,2,69,x,x,0,0,x,x,57,82.6,2,208,183,88,2,38400
