geog_l,geog_c,new_la_code,geog_n,CINThro1415,CINStarting1415,CINEnding1415,CINAt310315,CINThroRatePer10K,CINStartingRatePer10K,CINEndingRatePer10K,CINAt310314RatePer10K,CINThro1415DCI,CINStarting1415DCI,CINEnding1415DCI,CINAt310315DCI,CINAt310315NoDisabled,%CINAt310315Disabled,%CINAt310315AutismAsperger,%CINAt310315Behaviour,%CINAt310315Communication,%CINAt310315Consciousness,%CINAt310315HandFunction,%CINAt310315Hearing,%CINAt310315Incontinence,%CINAt310315Learning,%CINAt310315Mobility,%CINAt310315PersonalCare,%CINAt310315Vision,%CINAt310315OtherDisability,CINAt310315DisabilitiesDCI,CINAt310315APriNeedAbuse/Neglect,CINAt310315APriNeedChildDisability/Illness,CINAt310315APriNeedParentDisability/Illness,CINAt310315APriNeedFamilyStress,CINAt310315APriNeedFamilyDysfunction,CINAt310315APriNeedUnacceptableBehaviour,CINAt310315APriNeedLowInc,CINAt310315APriNeedAbsentParent,CINAt310315APriNeedOther,CINAt310315APriNeedNotStated,CINAt310315APrimaryNeedDCI,CINAt310315OCDuration<3mths,%CINAt310315OCDuration<3mths,CINAt310315OCDuration3-6mths,%CINAt310315OCDuration3-6mths,CINAt310315OCDuration6mths-1yr,%CINAt310315OCDuration6mths-1yr,CINAt310315OCDuration1-2yr,%CINAt310315OCDuration1-2yr,CINAt310315OCDuration2+yrs,%CINAt310315OCDuration2+yrs,CINAt310315OCDurationDCI,CINEnding1415Duration<3mths,%CINEnding1415Duration<3mths,CINEnding1415Duration3-6mths,%CINEnding1415Duration3-6mths,CINEnding1415Duration6mths-1yr,%CINEnding1415Duration6mths-1yr,CINEnding1415Duration1-2yr,%CINEnding1415Duration1-2yr,CINEnding1415Duration2+yrs,%CINEnding1415Duration2+yrs,CINEnding1415DurationDCI,CINEnding1415RCmissing,%CINEnding1415RCmissing,CINEnding1415RCAd,%CINEnding1415RCAd,CINEnding1415RCDied,%CINEnding1415RCDied,CINEnding1415ResidenceOrder,%CINEnding1415ResidenceOrder,CINEnding1415SpecialGuardianship,%CINEnding1415SpecialGuardianship,CINEnding1415TransferToLA,%CINEnding1415TransferToLA,CINEnding1415TransferToAdultServices,%CINEnding1415TransferToAdultServices,CINEnding1415OtherNotInNeed,%CINEnding1415OtherNotInNeed,CINEnding1415RCDCI,Referrals1415,Referrals1415Rate,ReferralsWithin12mths1415,%ReferralsWithin12mths1415,ReferralsNFA1415,%ReferralsNFA1415,ReferralsANotInNeed1415,%ReferralsANotInNeed1415,Referrals1415DCI,Rereferrals1415DCI,Assessments1415,AssessmentRatePer10k1415,AssessmentStartEndSameDay1415,Assessment1-10days1415,Assessment11-20days1415,Assessment21-30days1415,Assessment31-40days1415,Assessment41-45days1415,Assessment46-50days1415,Assessment51-60days1415,Assessment61+days1415,Assessment25thPercentile1415,AssessmentMedian1415,Assessment75thPercentile1415,Assessment1415DCI,AssessmentDuration1415DCI,Episodeswithfactors1415,Factor1415Alcoholmisuse,Factor1415Drugmisuse,Factor1415Domesticviolence,Factor1415Mentalhealth,Factor1415Learningdisability,Factor1415Physicaldisability,Factor1415Youngcarer,Factor1415Privatelyfostered,Factor1415Unaccompaniedasylumseeker,Factor1415Going/beingmissing,Factor1415Childsexualexploitation,Factor1415Trafficking,Factor1415Gangs,Factor1415Sociallyunacceptablebehaviour,Factor1415Self-harm,Factor1415Neglect,Factor1415Emotionalabuse,Factor1415Physicalabuse,Factor1415Sexualabuse,Factor1415Other,AssessmentFactor1415DCI,S471415,S47Rate1415,ICPCin1415,ICPCRate1415,ICPC0-10days1415,ICPC11-15days1415,ICPC16-20days1415,ICPC21+days1415,ICPC25thPercentile1415,ICPCMedian1415,ICPC75thPercentile1415,S471415DCI,ICPC1415DCI,ICPCDuration1415DCI,ReferralsReportingSource1415,Source1415Individual,Source1415Schools,Source1415EducationServices,Source1415HealthServices,Source1415Housing,Source1415LAServices,Source1415Police,Source1415OtherLegal,Source1415Other,Source1415Anonymous,Source1415Unknown,ReferralSource1415DCI,CPPStart1415,CPPStartRate1415,CPPCeased1415,CPPCeasedRate1415,CPPAt310315,CPPAt310315Rate,CPPStart1415DCI,CPPCeased1415DCI,CPPAt310315DCI,CPPStart1415InitialAbuseNeglect,CPPStart1415InitialAbusePhysical,CPPStart1415InitialAbuseSexual,CPPStart1415InitialAbuseEmotional,CPPStart1415InitialAbuseMultiple,CPPStart1415LatestAbuseNeglect,CPPStart1415LatestAbusePhysical,CPPStart1415LatestAbuseSexual,CPPStart1415LatestAbuseEmotional,CPPStart1415LatestAbuseMultiple,CPPStart1415AbuseDCI,CPPStart1415SecondTime,%CPPStart1415SecondTime,CPPStart1415SecondTimeDCI,CPPat310315InitialAbuseNeglect,CPPat310315InitialAbusePhysical,CPPat310315InitialAbuseSexual,CPPat310315InitialAbuseEmotional,CPPat310315InitialAbuseMultiple,CPPat310315LatestAbuseNeglect,CPPat310315LatestAbusePhysical,CPPat310315LatestAbuseSexual,CPPat310315LatestAbuseEmotional,CPPat310315LatestAbuseMultiple,CPPat31031AbuseDCI,CPPAT310315Duration<3mths,%CPPAT310315Duration<3mths,CPPAT310315Duration3-6mths,%CPPAT310315Duration3-6mths,CPPAT310315Duration6mths-1yr,%CPPAT310315Duration6mths-1yr,CPPAT310315Duration1-2yrs,%CPPAT310315Duration1-2yrs,CPPAT310315Duration2+yrs,%CPPAT310315Duration2+yrs,CPPAT310315DurationDCI,CPPat310315For3mths,CPPsReviewedinTimescales,%CPPsReviewedinTimescales,CPPReviewedinTimescalesDCI,CPPCeased1415Duration<3mths,%CPPCeased1415Duration<3mths,CPPCeased1415Duration3-6mths,%CPPCeased1415Duration3-6mths,CPPCeased1415Duration6mths-1yr,%CPPCeased1415Duration6mths-1yr,CPPCeased1415Duration1-2yrs,%CPPCeased1415Duration1-2yrs,CPPCeased1415Duration2+yrs,%CPPCeased1415Duration2+yrs,CPPCeased1415DurationDCI,CPPCeased6mths1415,CPPCeased6mthsDuration3mths1415,%CPPCeased6mthsDuration3mths1415,CPPCeased6mthsDurationAnotherLA1415,%CPPCeased6mthsDurationAnotherLA1415,CPPCeased6mthsDuration36mths1415,%CPPCeased6mthsDuration36mths1415,CPPCeased6mthsDuration6mths1415,%CPPCeased6mthsDuration6mths1415,CPPCeased6mthsDuration1415DCI,CPPduring201415,SeenInAccordanceWithPlan1415,%SeenInAccordanceWithPlan1415,SeenInAccordanceWithPlan1415DCI,Mid2014Pop017
National,,E06000046,England,"781,700","403,400","390,800","391,000",674.4,348.0,337.1,337.3,,,,,"50,800",13.0,30.5,23.0,23.7,5.3,5.1,5.6,8.9,45.7,21.5,13.7,8.8,20.1,,"192,940","39,790","11,110","36,040","70,010","7,740","1,990","10,100","3,440","17,610",,"98,600",25.2,"48,700",12.4,"58,300",14.9,"63,100",16.1,"122,200",31.3,,"181,200",46.4,"68,800",17.6,"57,400",14.7,"44,500",11.4,"38,800",9.9,,"56,730",14.5,"3,730",1.0,710,0.2,750,0.2,"2,070",0.5,"9,430",2.4,"2,190",0.6,"315,170",80.7,,"635,600",548.3,"152,400",24.0,"87,500",13.8,"146,300",23.0,,,"550,810",475.2,"23,080","97,770","96,070","82,440","94,460","55,090","21,320","25,660","54,920",12,28,43,,,"410,500","73,200","72,900","197,700","133,600","45,600","40,600","11,600","1,300","1,900","8,900","12,200","1,200","3,700","29,100","16,000","67,900","74,000","55,000","23,800","96,600",,"160,150",138.2,"71,410",61.6,"13,620","39,750","7,080","10,900",11,14,16,,,,"632,400","61,400","97,500","18,200","93,900","10,200","82,500","166,600","21,000","44,500","15,900","20,900",,"62,200",53.7,"60,400",52.1,"49,700",42.9,,,,"26,870","6,240","2,870","20,980","5,240","26,520","5,590","2,760","22,330","5,010",,"10,310",16.6,,"22,230","4,350","2,340","16,660","4,110","22,130","3,610","2,230","18,030","3,680",,"15,110",30.4,"12,520",25.2,"13,310",26.8,"7,620",15.3,"1,120",2.3,,"34,600","32,600",94.0,,"12,240",20.3,"6,490",10.7,"24,920",41.3,"14,500",24.0,"2,250",3.7,,"29,620","8,410",28.4,"1,100",13.0,"6,700",22.6,"14,500",48.9,,"110,100","70,200",63.7,,"11,591,700"
LA,201,E09000001,City of London,47,19,11,36,492.1,199.0,115.2,377.0,3,3,3,3,x,x,x,0.0,0.0,0.0,0.0,0.0,0.0,x,0.0,0.0,0.0,0.0,0,8,0,0,6,x,0,0,17,0,x,0,6,16.7,x,x,6,16.7,x,x,17,47.2,3,x,x,6,54.5,x,x,0,0.0,x,x,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,x,x,x,x,9,81.8,3,20,209.4,0,0.0,0,0.0,x,x,3,3,17,178.0,0,x,x,x,7,x,0,0,0,9,21,38,3,3,17,x,0,14,x,x,x,0,0,x,x,0,x,0,0,0,x,8,x,0,0,3,9,94.2,x,x,0,x,0,0,11,11,14,3,3,3,20,0,x,0,x,0,12,x,x,0,0,0,3,x,x,0,0.0,x,x,3,3,3,x,x,0,0,0,x,x,0,0,0,3,0,0.0,3,x,x,0,0,0,x,x,0,0,0,3,0,0.0,x,x,0,0.0,0,0.0,0,0.0,3,x,0,0.0,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0,0,0.0,0,0.0,0,0.0,0,0.0,3,x,0,0.0,3,"1,000"
LA,202,E09000007,Camden,"3,404","1,326","1,361","2,043",771.1,300.4,308.3,462.8,3,3,3,3,410,20.1,30.2,20.0,38.0,2.9,3.9,5.9,x,57.8,16.1,4.9,5.4,14.1,0,865,277,157,257,294,56,16,112,x,x,0,394,19.3,219,10.7,289,14.1,374,18.3,767,37.5,3,428,31.4,239,17.6,186,13.7,227,16.7,281,20.6,3,432,31.7,19,1.4,x,x,x,x,0,0.0,72,5.3,6,0.4,828,60.8,3,"2,076",470.3,328,15.8,113,5.4,637,30.7,3,3,"1,806",409.1,6,75,203,414,718,129,66,82,113,26,33,39,3,3,"1,495",194,273,564,511,184,143,24,x,x,57,37,x,52,132,37,140,209,159,22,262,3,779,176.5,342,77.5,103,143,59,37,9,13,16,3,3,3,"2,076",115,373,17,348,35,326,681,30,125,26,0,3,258,58.4,231,52.3,226,51.2,3,3,3,102,x,x,153,0,97,x,x,158,0,3,54,20.9,3,86,x,x,135,0,88,x,x,134,0,3,56,24.8,66,29.2,67,29.6,x,x,x,x,3,170,168,98.8,3,x,x,28,12.1,101,43.7,73,31.6,x,x,3,125,19,15.2,14,73.7,20,16.0,86,68.8,3,457,316,69.1,3,"44,100"
LA,203,E09000011,Greenwich,"4,445","1,831","2,034","2,411",687.3,283.1,314.5,372.8,3,3,3,3,173,7.2,43.4,15.6,7.5,0.0,x,4.0,x,37.0,20.2,x,4.6,35.8,0,"1,190",200,172,159,462,89,43,75,0,21,0,626,26.0,370,15.3,321,13.3,425,17.6,669,27.7,3,382,18.8,572,28.1,523,25.7,347,17.1,210,10.3,3,820,40.3,19,0.9,6,0.3,7,0.3,41,2.0,46,2.3,9,0.4,"1,086",53.4,3,"3,043",470.5,341,11.2,130,4.3,"1,082",35.6,3,2,"3,243",501.4,0,642,492,505,489,258,139,206,512,14,30,47,1,1,"2,850",519,571,"1,888","1,020",405,353,69,28,10,53,85,6,45,325,135,473,654,496,158,182,1,997,154.2,365,56.4,92,163,46,64,10,13,16,3,3,3,"3,043",178,707,48,511,122,398,782,91,170,30,6,3,319,49.3,326,50.4,272,42.1,3,2,3,102,8,7,139,63,112,10,8,154,35,3,37,11.6,3,93,8,8,107,56,108,10,11,125,18,3,76,27.9,61,22.4,88,32.4,35,12.9,12,4.4,3,196,196,100.0,3,44,13.5,22,6.7,137,42.0,95,29.1,28,8.6,2,158,35,22.2,x,x,48,30.4,75,47.5,2,598,487,81.4,2,"64,700"
LA,204,E09000012,Hackney,"6,001","3,551","3,153","2,848",1000.5,592.0,525.6,474.8,2,2,2,2,174,6.1,12.1,6.3,9.8,x,x,5.2,x,50.0,19.5,0.0,6.9,19.5,0,"1,421",155,190,316,267,178,85,92,82,62,0,790,27.7,277,9.7,399,14.0,521,18.3,861,30.2,2,"1,420",45.0,"1,148",36.4,226,7.2,162,5.1,197,6.2,2,0,0.0,9,0.3,7,0.2,0,0.0,x,x,108,3.4,x,x,"3,025",95.9,2,"3,551",592.0,468,13.2,0,0.0,0,0.0,2,2,"3,140",523.5,31,180,294,365,371,196,165,464,"1,074",29,50,67,P,P,"3,122",296,316,"1,235",695,311,103,0,x,x,65,38,13,146,220,96,"1,390",573,248,75,"1,261",3,694,115.7,300,50.0,56,165,28,51,11,13,16,2,P,P,"3,551",312,703,47,776,56,902,349,263,127,0,16,2,273,45.5,274,45.7,216,36.0,3,3,3,92,24,x,137,x,104,22,x,127,x,3,31,11.4,3,77,21,9,102,7,88,16,x,101,x,3,74,34.3,42,19.4,54,25.0,29,13.4,17,7.9,2,142,131,92.3,3,56,20.4,24,8.8,87,31.8,90,32.8,17,6.2,3,93,8,8.6,x,x,8,8.6,77,82.8,2,490,337,68.8,3,"60,000"
LA,205,E09000013,Hammersmith and Fulham,"2,727","1,173","1,168","1,559",807.4,347.3,345.8,461.6,3,3,3,3,177,11.4,28.2,4.0,0.0,21.5,0.0,x,0.0,9.6,19.2,0.0,6.2,44.1,0,685,143,71,145,160,x,x,79,31,218,0,389,25.0,131,8.4,184,11.8,259,16.6,596,38.2,3,460,39.4,275,23.5,154,13.2,125,10.7,154,13.2,3,206,17.6,12,1.0,0,0.0,x,x,9,0.8,x,x,21,1.8,913,78.2,3,"1,957",579.4,317,16.2,48,2.5,736,37.6,3,3,"1,892",560.1,15,91,191,285,433,441,109,102,225,27,39,45,P,P,"1,856",200,209,679,473,93,72,11,x,9,74,40,0,54,148,76,171,162,140,33,668,3,545,161.4,217,64.2,46,107,25,39,11,14,17,3,2,2,"1,957",101,279,20,361,20,211,627,43,218,50,27,3,192,56.8,183,54.2,169,50.0,2,3,2,101,13,6,72,0,82,x,x,71,30,2,32,16.7,2,82,9,x,74,x,66,x,x,68,29,2,36,21.3,43,25.4,52,30.8,x,x,x,x,2,133,132,99.2,2,27,14.8,x,x,84,45.9,45,24.6,x,x,3,79,18,22.8,0,0.0,13,16.5,48,60.8,3,352,285,81.0,2,"33,800"
LA,206,E09000019,Islington,"4,447","2,411","2,353","2,094",1137.5,616.7,601.9,535.6,3,3,3,3,226,10.8,35.4,8.8,4.9,0.0,x,3.5,0.0,27.9,12.8,x,5.3,19.9,0,"1,011",236,32,189,278,52,15,195,35,51,0,470,22.4,227,10.8,319,15.2,337,16.1,741,35.4,3,"1,254",53.3,443,18.8,296,12.6,174,7.4,186,7.9,3,x,x,7,0.3,x,x,x,x,17,0.7,80,3.4,16,0.7,"2,225",94.6,3,"2,482",634.8,309,12.4,66,2.7,x,x,3,2,"2,451",626.9,7,40,149,355,592,931,205,107,65,31,42,45,3,3,"2,391",464,536,"1,386",847,288,322,79,7,32,32,83,16,99,131,56,164,236,159,56,524,3,640,163.7,224,57.3,21,118,25,60,12,15,22,3,2,2,"2,482",193,0,534,287,156,378,666,99,x,106,x,3,187,47.8,153,39.1,171,43.7,2,3,2,92,7,x,80,x,92,7,x,81,x,2,26,13.9,2,81,13,x,74,x,80,13,x,75,x,2,52,30.4,38,22.2,54,31.6,x,x,x,x,2,119,119,100.0,2,25,16.3,x,x,66,43.1,47,30.7,x,x,3,76,15,19.7,x,x,12,15.8,49,64.5,3,324,216,66.7,2,"39,100"
LA,207,E09000020,Kensington and Chelsea,"2,482","1,488","1,471","1,011",893.8,535.8,529.7,364.1,3,3,3,3,98,9.7,28.6,38.8,46.9,9.2,10.2,x,23.5,67.3,23.5,29.6,10.2,11.2,0,296,126,53,148,200,75,9,100,x,x,0,257,25.4,162,16.0,127,12.6,170,16.8,295,29.2,3,821,55.8,269,18.3,175,11.9,85,5.8,121,8.2,3,0,0.0,6,0.4,0,0.0,x,x,x,x,84,5.7,17,1.2,"1,361",92.5,3,"2,305",830.1,595,25.8,817,35.4,0,0.0,3,3,"1,105",397.9,x,387,156,56,175,116,x,69,87,10,22,44,P,P,"1,105",42,69,243,209,24,23,0,x,0,6,x,x,0,86,33,0,0,0,0,999,3,392,141.2,100,36.0,50,7,9,34,5,10,33,3,P,P,"2,305",140,196,23,516,28,244,987,43,103,x,x,3,80,28.8,113,40.7,61,22.0,3,3,2,51,7,0,22,0,54,x,x,21,0,3,16,20.0,3,36,6,0,19,0,41,x,0,16,x,2,15,24.6,8,13.1,23,37.7,15,24.6,0,0.0,2,46,43,93.5,2,18,15.9,11,9.7,42,37.2,33,29.2,9,8.0,3,52,8,15.4,x,x,8,15.4,36,69.2,3,174,159,91.4,3,"27,800"
LA,208,E09000022,Lambeth,"5,030","1,598","1,681","3,349",809.2,257.1,270.4,538.8,3,3,3,3,94,2.8,57.4,x,x,x,x,11.7,x,21.3,x,9.6,17.0,0.0,0,"1,609",246,161,695,395,119,30,94,0,0,0,593,17.7,253,7.6,466,13.9,709,21.2,"1,328",39.7,3,381,22.7,296,17.6,274,16.3,320,19.0,410,24.4,3,713,42.4,22,1.3,7,0.4,x,x,32,1.9,60,3.6,x,x,835,49.7,3,"2,930",471.4,394,13.4,108,3.7,"1,224",41.8,3,3,"2,736",440.1,x,299,472,597,787,490,31,x,46,18,30,40,3,3,"2,736",36,48,284,119,57,53,10,x,13,13,24,x,40,54,14,93,117,73,31,"1,989",3,"1,148",184.7,439,70.6,39,290,52,58,12,15,16,3,3,3,"2,930",266,557,8,611,22,320,852,192,97,x,x,3,373,60.0,348,56.0,384,61.8,3,3,3,185,28,11,149,0,173,25,10,145,20,3,23,6.2,3,209,32,10,133,0,191,22,8,121,42,3,98,25.5,88,22.9,94,24.5,86,22.4,18,4.7,3,287,286,99.7,3,68,19.5,21,6.0,121,34.8,97,27.9,41,11.8,2,177,31,17.5,15,48.4,37,20.9,109,61.6,2,732,483,66.0,3,"62,200"
LA,209,E09000023,Lewisham,"5,738","2,816","3,018","2,720",859.3,421.7,451.9,407.3,2,2,2,2,440,16.2,46.1,19.1,23.6,6.1,x,2.7,2.3,23.6,16.4,4.8,5.0,6.6,0,"1,213",463,73,253,438,x,90,149,0,x,0,610,22.4,275,10.1,308,11.3,381,14.0,"1,146",42.1,2,"1,281",42.4,588,19.5,318,10.5,419,13.9,412,13.7,2,13,0.4,35,1.2,x,x,x,x,21,0.7,108,3.6,22,0.7,"2,809",93.1,2,"2,982",446.5,377,12.6,101,3.4,65,2.2,3,2,"2,782",416.6,24,390,492,322,"1,076",188,84,76,130,18,34,36,3,3,"2,434",356,490,"1,157",783,391,263,141,16,22,120,110,22,80,244,124,403,592,580,174,499,3,"1,375",205.9,410,61.4,123,74,58,155,9,16,28,3,3,3,"2,982",129,537,41,436,46,898,543,95,248,x,x,3,375,56.2,295,44.2,377,56.5,3,2,3,182,31,17,129,16,188,25,18,128,16,3,43,11.5,3,169,25,20,145,18,177,16,26,139,19,3,95,25.2,90,23.9,103,27.3,77,20.4,12,3.2,3,284,261,91.9,3,51,17.3,31,10.5,93,31.5,106,35.9,14,4.7,2,157,25,15.9,x,x,24,15.3,108,68.8,2,672,587,87.4,2,"66,800"
