geog_l,geog_c,new_la_code,geog_n,CINEpisodesThro1617,CINepisodesThroRatePer10K,CINChildrenThro1617,CINchildrenThroRatePer10K,CINEpisodesStarting1617,CINEpisodesStartingRatePer10K,CINchildrenStarting1617,CINchildrenStartingRatePer10K,CINEpisodesEnding1617,CINEpisodesEndingRatePer10K,CINChildrenEnding1617,CINChildrenEndingRatePer10K,CINAt310316,CINAt310316RatePer10K,CINAt310317NoDisabled,%CINAt310317Disabled,%CINAt310317AutismAsperger,%CINAt310317Behaviour,%CINAt310317Communication,%CINAt310317Consciousness,%CINAt310317HandFunction,%CINAt310317Hearing,%CINAt310317Incontinence,%CINAt310317Learning,%CINAt310317Mobility,%CINAt310317PersonalCare,%CINAt310317Vision,%CINAt310317OtherDisability,CINAt310317APriNeedAbuse/Neglect,CINAt310317APriNeedChildDisability/Illness,CINAt310317APriNeedParentDisability/Illness,CINAt310317APriNeedFamilyStress,CINAt310317APriNeedFamilyDysfunction,CINAt310317APriNeedUnacceptableBehaviour,CINAt310317APriNeedLowInc,CINAt310317APriNeedAbsentParent,CINAt310317APriNeedOther,CINAt310317APriNeedNotStated,CINAt310317OCDuration<3mths,%CINAt310317OCDuration<3mths,CINAt310317OCDuration3-6mths,%CINAt310317OCDuration3-6mths,CINAt310317OCDuration6mths-1yr,%CINAt310317OCDuration6mths-1yr,CINAt310317OCDuration1-2yr,%CINAt310317OCDuration1-2yr,CINAt310317OCDuration2+yrs,%CINAt310317OCDuration2+yrs,CINEnding1617Duration<3mths,%CINEnding1617Duration<3mths,CINEnding1617Duration3-6mths,%CINEnding1617Duration3-6mths,CINEnding1617Duration6mths-1yr,%CINEnding1617Duration6mths-1yr,CINEnding1617Duration1-2yr,%CINEnding1617Duration1-2yr,CINEnding1617Duration2+yrs,%CINEnding1617Duration2+yrs,CINEnding1617RCmissing,%CINEnding1617RCmissing,CINEnding1617RCAd,%CINEnding1617RCAd,CINEnding1617RCDied,%CINEnding1617RCDied,CINEnding1617ResidenceOrder,%CINEnding1617ResidenceOrder,CINEnding1617SpecialGuardianship,%CINEnding1617SpecialGuardianship,CINEnding1617TransferToLA,%CINEnding1617TransferToLA,CINEnding1617TransferToAdultServices,%CINEnding1617TransferToAdultServices,CINEnding1617OtherNotInNeed,%CINEnding1617OtherNotInNeed,Referrals1617,Referrals1617Rate,ReferralsWithin12mths1617,%ReferralsWithin12mths1617,ReferralsNFA1617,%ReferralsNFA1617,ReferralsANotInNeed1617,%ReferralsANotInNeed1617,ChildrenReferred1617,ChildrenReferred1617Rate,ChildrenReferredWithin12mths1617,%ChildrenReferredWithin12mths1617,Assessments1617,AssessmentRatePer10k1617,AssessmentStartEndSameDay1617,Assessment1-10days1617,Assessment11-20days1617,Assessment21-30days1617,Assessment31-40days1617,Assessment41-45days1617,Assessment46-50days1617,Assessment51-60days1617,Assessment61+days1617,Assessment25thPercentile1617,AssessmentMedian1617,Assessment75thPercentile1617,Episodeswithfactors1617,Factor1617Alcoholmisuse,Factor1617Drugmisuse,Factor1617Domesticviolence,Factor1617Mentalhealth,Factor1617Learningdisability,Factor1617Physicaldisability,Factor1617Youngcarer,Factor1617Privatelyfostered,Factor1617Unaccompaniedasylumseeker,Factor1617Going/beingmissing,Factor1617Childsexualexploitation,Factor1617Trafficking,Factor1617Gangs,Factor1617Sociallyunacceptablebehaviour,Factor1617Self-harm,Factor1617Neglect,Factor1617Emotionalabuse,Factor1617Physicalabuse,Factor1617Sexualabuse,Factor1617FGM,Factor1617AbuseLinkedFaith,Factor1617OtherFactors,S471617,S47Rate1617,S47Children1617,S47ChildrenRate1617,ICPCin1617,ICPCRate1617,ICPCChildrenin1617,ICPCChildrenRate1617,ICPC0-10days1617,ICPC11-15days1617,ICPC16-20days1617,ICPC21+days1617,ICPC25thPercentile1617,ICPCMedian1617,ICPC75thPercentile1617,Source1617Individual,Source1617Schools,Source1617EducationServices,Source1617HealthServices,Source1617Housing,Source1617LAServices,Source1617Police,Source1617OtherLegal,Source1617Other,Source1617Anonymous,Source1617Unknown,CPPEpisodesStart1617,CPPEpisodesStartRate1617,CPPChildrenStart1617,CPPChildrenStartRate1617,CPPEpisodesCeased1617,CPPEpisodesCeasedRate1617,CPPChildrenCeased1617,CPPChildrenCeasedRate1617,CPPEpisodeThru1617,CPPEpisodesThruRate1617,CPPChildrenthru1617,CPPChildrenthruRate1617,CPPAt310317,CPPAt310317Rate,CPPStart1617InitialAbuseNeglect,CPPStart1617InitialAbusePhysical,CPPStart1617InitialAbuseSexual,CPPStart1617InitialAbuseEmotional,CPPStart1617InitialAbuseMultiple,CPPStart1617LatestAbuseNeglect,CPPStart1617LatestAbusePhysical,CPPStart1617LatestAbuseSexual,CPPStart1617LatestAbuseEmotional,CPPStart1617LatestAbuseMultiple,CPPStart1617SecondTime,%CPPStart1617SecondTime,CPPat310317InitialAbuseNeglect,CPPat310317InitialAbusePhysical,CPPat310317InitialAbuseSexual,CPPat310317InitialAbuseEmotional,CPPat310317InitialAbuseMultiple,CPPat310317LatestAbuseNeglect,CPPat310317LatestAbusePhysical,CPPat310317LatestAbuseSexual,CPPat310317LatestAbuseEmotional,CPPat310317LatestAbuseMultiple,CPPAT310317Duration<3mths,%CPPAT310317Duration<3mths,CPPAT310317Duration3-6mths,%CPPAT310317Duration3-6mths,CPPAT310317Duration6mths-1yr,%CPPAT310317Duration6mths-1yr,CPPAT310317Duration1-2yrs,%CPPAT310317Duration1-2yrs,CPPAT310317Duration2+yrs,%CPPAT310317Duration2+yrs,CPPat310317For3mths,CPPsReviewedinTimescales,%CPPsReviewedinTimescales,CPPEnded1617Duration<3mths,%CPPEnded1617Duration<3mths,CPPEnded1617Duration3-6mths,%CPP1617Duration3-6mths,CPP1617Duration6mths-1yr,%CPP1617Duration6mths-1yr,CPPEnded1617Duration1-2yrs,%CPPEnded1617Duration1-2yrs,CPPEnded1617Duration2+yrs,%CPPEnded1617Duration2+yrs,CPPEnded6mths1617,CPPEnded6mthsDuration3mths1617,%CPPEnded6mthsDuration3mths1617,CPPEnded6mthsDurationAnotherLA1617,%CPPEndedd6mthsDurationAnotherLA1617,CPPEnded6mthsDuration36mths1617,%CPPEnded6mthsDuration36mths1617,CPPEnded6mthsDuration6mths1617,%CPPEnded6mthsDuration6mths1617,Mid2016Pop017
National,,E06000046,England,777850,660.0,721730,612.4,400160,339.5,374640,317.9,388420,329.6,367430,311.8,389430,330.4,50360,12.9,32.7,21.7,21.7,5.1,3.9,5.1,7.9,44.3,19.1,10.9,8.2,22.0,203760,36790,10870,36000,62340,7890,1670,12190,3590,14270,106210,27.3,46880,12.0,56560,14.5,60080,15.4,119700,30.7,181150,46.6,65520,16.9,58930,15.2,46650,12.0,36170,9.3,65890,17.0,3430,0.9,780,0.2,530,0.1,2300,0.6,11350,2.9,2390,0.6,301750,77.7,646120,548.2,141560,21.9,66040,10.2,179930,27.8,571000,485.0,117710,20.6,606920,515.0,17120,82910,113730,102200,109000,78350,28790,28280,46500,15,29,43,472450,84970,92980,235830,187610,59620,51060,15740,2300,2710,13690,18800,1410,6570,39660,19250,83380,96830,67160,29600,970,1460,105880,185450,157.4,167670,142.3,76930,65.3,75890,64.4,12360,47050,6950,10540,12,14,15,53120,114530,17030,93330,9970,88150,177470,22230,40770,14510,15010,66410,56.3,66180,56.2,65420,55.5,65200,55.3,116500,98.9,115210,97.8,51080,43.3,31000,5750,2900,22730,4020,30650,5120,2800,24190,3660,12420,18.7,24590,3950,2260,17280,3010,24390,3180,2130,18750,2630,16180,31.7,12730,24.9,13710,26.8,7390,14.5,1080,2.1,34960,32230,92.2,13240,20.2,7570,11.6,26710,40.8,15680,24.0,2230,3.4,32140,9760,30.4,1210,12.4,7640,23.8,14740,45.9,11785300
LA,201,E09000001,City of London,94,806.2,90,771.9,50,428.8,48,411.7,39,334.5,38,325.9,55,471.7,6,10.9,50.0,50.0,50.0,0.0,0.0,0.0,0.0,33.3,16.7,0.0,0.0,0.0,10,x,x,7,x,x,0,24,0,0,17,30.9,x,x,12,21.8,x,x,13,23.6,15,38.5,x,x,13,33.3,x,x,7,17.9,x,x,0,0.0,0,0.0,0,0.0,x,x,12,30.8,0,0.0,21,53.8,93,797.6,15,16.1,x,x,38,40.9,87,746.0,15,17.2,74,634.6,x,6,x,10,26,21,x,0,x,26,37,43,57,0,10,33,24,9,14,0,0,x,0,0,0,x,x,x,7,x,x,x,0,0,0,10,85.8,10,85.8,6,51.5,6,51.5,x,x,0,0,9,12,12,x,14,x,9,7,23,24,x,8,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,0,x,x,0,x,0,0,0.0,x,x,0,0,0,x,x,0,x,0,0,0.0,x,x,x,x,0,0.0,0,0.0,x,x,x,0,0.0,0,0.0,x,x,x,x,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,1200
LA,202,E09000007,Camden,3196,670.7,3068,643.8,1421,298.2,1384,290.4,1440,302.2,1420,298.0,1756,368.5,448,25.5,30.1,13.8,31.0,3.6,2.7,5.4,0.2,84.8,14.3,3.3,4.0,13.4,789,252,115,170,231,46,12,132,9,0,428,24.4,173,9.9,233,13.3,224,12.8,698,39.7,507,35.2,237,16.5,196,13.6,272,18.9,228,15.8,65,4.5,6,0.4,x,x,x,x,x,x,91,6.3,x,x,1265,87.8,1912,401.2,174,9.1,63,3.3,428,22.4,1816,381.0,156,8.6,1747,366.6,0,47,145,485,756,93,61,59,101,28,32,36,1536,203,218,621,640,222,163,30,6,40,54,35,11,54,123,75,204,252,231,31,x,13,253,720,151.1,679,142.5,337,70.7,329,69.0,120,137,22,58,8,12,15,108,373,x,313,25,286,604,61,116,15,x,272,57.1,270,56.7,270,56.7,269,56.4,527,110.6,516,108.3,257,53.9,113,26,7,126,0,117,25,6,124,0,73,26.8,101,14,11,131,0,117,8,x,124,x,71,27.6,68,26.5,57,22.2,54,21.0,7,2.7,186,183,98.4,56,20.7,22,8.1,102,37.8,72,26.7,18,6.7,148,50,33.8,15,30.0,36,24.3,62,41.9,47700
LA,203,E09000011,Greenwich,4558,676.3,4399,652.7,1925,285.6,1886,279.8,1759,261.0,1744,258.8,2799,415.3,485,17.3,47.6,15.1,7.4,0.2,0.4,3.3,1.0,33.2,19.6,2.3,6.0,24.7,1319,327,180,124,508,125,49,86,0,81,839,30.0,307,11.0,346,12.4,361,12.9,946,33.8,493,28.0,470,26.7,274,15.6,241,13.7,281,16.0,785,44.6,20,1.1,x,x,10,0.6,40,2.3,51,2.9,20,1.1,831,47.2,3459,513.2,440,12.7,105,3.0,1429,41.3,3260,484.0,418,12.8,3502,519.6,x,163,140,336,729,1672,162,x,205,35,43,45,3070,567,617,1990,1295,474,546,89,15,19,92,71,x,106,486,144,535,874,456,140,x,8,1073,1029,152.7,965,143.2,409,60.7,404,59.9,73,228,15,93,12,13,16,177,956,21,662,89,424,840,88,140,38,24,347,51.5,347,51.5,325,48.2,325,48.2,619,91.8,619,91.8,294,43.6,144,15,7,140,41,138,11,6,156,36,41,11.8,129,x,x,101,51,114,x,x,130,37,112,38.1,75,25.5,62,21.1,x,x,x,x,182,182,100.0,47,14.5,13,4.0,149,45.8,99,30.5,17,5.2,143,44,30.8,9,20.5,26,18.2,73,51.0,67400
LA,204,E09000012,Hackney,6466,1036.3,6046,969.0,3739,599.2,3535,566.6,3333,534.2,3180,509.7,3133,502.1,317,10.1,28.1,12.9,16.7,4.4,0.6,4.1,3.5,36.3,14.5,4.1,4.7,18.6,1516,183,258,428,298,234,42,106,49,19,894,28.5,406,13.0,477,15.2,485,15.5,871,27.8,1424,42.7,1009,30.3,356,10.7,275,8.3,269,8.1,17,0.5,19,0.6,6,0.2,x,x,12,0.4,180,5.4,17,0.5,3080,92.4,3940,631.5,526,13.4,0,0.0,201,5.1,3714,595.0,480,12.9,3667,587.7,48,191,363,437,647,277,307,518,879,28,43,60,3422,256,357,1452,1003,224,298,60,x,28,118,126,15,124,276,110,1665,396,570,193,0,x,1326,1045,167.5,983,157.5,469,75.2,467,74.8,66,272,34,97,12,14,18,288,857,13,796,31,444,1179,138,194,0,0,430,68.9,429,68.8,326,52.2,326,52.2,656,105.1,655,105.0,330,52.9,158,21,x,231,x,164,16,20,224,6,69,16.0,112,x,19,178,x,112,12,22,178,6,117,35.5,73,22.1,90,27.3,40,12.1,10,3.0,213,210,98.6,98,30.1,25,7.7,119,36.5,71,21.8,13,4.0,153,24,15.7,12,50.0,9,5.9,120,78.4,62400
LA,205,E09000013,Hammersmith and Fulham,2894,824.5,2806,799.5,1561,444.8,1521,433.4,1447,412.3,1416,403.4,1447,412.3,217,15.0,24.9,0.5,0.0,0.0,0.0,0.9,0.0,11.5,6.5,0.0,5.1,72.4,755,196,94,111,151,25,9,91,15,0,318,22.0,189,13.1,220,15.2,209,14.4,511,35.3,551,38.1,399,27.6,148,10.2,200,13.8,149,10.3,59,4.1,0,0.0,0,0.0,0,0.0,0,0.0,x,x,0,0.0,1387,95.9,1954,556.7,184,9.4,118,6.0,275,14.1,1892,539.0,180,9.5,1860,529.9,6,90,160,215,349,376,141,184,339,30,42,54,1487,130,184,490,418,137,100,54,x,20,40,43,x,45,94,60,127,115,176,14,0,0,429,628,178.9,595,169.5,188,53.6,188,53.6,27,60,25,76,13,17,27,88,392,x,334,68,291,555,42,109,48,x,131,37.3,131,37.3,143,40.7,143,40.7,235,67.0,235,67.0,92,26.2,51,9,x,70,x,47,8,0,76,0,23,17.6,33,10,x,48,x,36,x,x,50,0,25,27.2,23,25.0,27,29.3,9,9.8,8,8.7,67,63,94.0,26,18.2,16,11.2,68,47.6,22,15.4,11,7.7,62,12,19.4,0,0.0,9,14.5,41,66.1,35100
LA,206,E09000019,Islington,4602,1127.4,4149,1016.4,2652,649.7,2422,593.4,2499,612.2,2299,563.2,2103,515.2,281,13.4,43.4,7.5,3.9,0.4,0.4,5.7,0.7,44.1,13.9,0.4,4.6,20.3,1102,215,35,168,257,110,7,177,17,15,622,29.6,268,12.7,262,12.5,268,12.7,683,32.5,1375,55.0,396,15.8,336,13.4,168,6.7,224,9.0,158,6.3,14,0.6,x,x,x,x,21,0.8,107,4.3,15,0.6,2177,87.1,3076,753.6,667,21.7,98,3.2,326,10.6,2753,674.0,566,20.6,2788,683.0,21,183,230,516,718,746,159,122,93,27,37,43,2185,441,508,1342,1117,245,274,121,x,13,92,109,7,169,246,130,291,516,313,70,0,0,480,1371,335.9,1058,259.2,411,100.7,405,99.2,27,154,65,165,13,17,61,176,635,x,418,69,467,1033,83,129,55,x,247,60.5,247,60.5,203,49.7,200,49.0,408,100.0,403,98.7,205,50.2,118,36,7,77,9,110,33,7,81,16,30,12.1,104,20,x,70,x,99,17,7,71,11,62,30.2,55,26.8,59,28.8,x,x,x,x,143,138,96.5,45,22.2,20,9.9,75,36.9,52,25.6,11,5.4,92,38,41.3,8,21.1,12,13.0,42,45.7,40800
LA,207,E09000020,Kensington and Chelsea,2498,874.9,2246,786.6,1552,543.6,1415,495.6,1510,528.9,1410,493.8,988,346.0,105,10.6,36.2,50.5,33.3,8.6,6.7,2.9,16.2,42.9,19.0,26.7,7.6,3.8,307,61,59,180,182,84,6,105,x,x,263,26.6,152,15.4,137,13.9,140,14.2,296,30.0,793,52.5,238,15.8,221,14.6,133,8.8,125,8.3,0,0.0,x,x,0,0.0,0,0.0,7,0.5,74,4.9,15,1.0,1411,93.4,2642,925.3,623,23.6,1090,41.3,0,0.0,2255,790.0,512,22.7,1523,533.4,9,414,239,129,272,206,91,93,70,10,28,43,1497,81,121,355,335,52,219,23,18,0,24,29,x,13,122,59,0,0,0,0,18,x,1352,413,144.6,372,130.3,111,38.9,108,37.8,48,21,9,33,5,12,26,189,206,21,552,30,220,1208,33,146,37,0,90,31.5,89,31.2,89,31.2,86,30.1,156,54.6,153,53.6,67,23.5,53,7,x,27,x,50,6,x,31,x,25,27.8,41,x,0,24,x,42,0,0,25,0,27,40.3,17,25.4,13,19.4,x,x,x,x,40,39,97.5,31,34.8,x,x,24,27.0,26,29.2,x,x,40,9,22.5,x,x,14,35.0,17,42.5,28600
LA,208,E09000022,Lambeth,5126,810.9,4899,775.0,2711,428.9,2559,404.8,2333,369.1,2252,356.3,2793,441.8,315,11.3,48.9,22.2,48.9,8.6,22.2,7.9,29.5,68.3,29.5,50.8,14.6,34.0,960,204,121,451,264,100,23,105,58,507,415,14.9,255,9.1,438,15.7,486,17.4,1199,42.9,1269,54.4,467,20.0,155,6.6,244,10.5,198,8.5,1333,57.1,x,x,x,x,x,x,12,0.5,52,2.2,x,x,924,39.6,3405,538.7,542,15.9,377,11.1,317,9.3,3097,490.0,483,15.6,1579,249.8,86,510,230,229,204,75,39,56,150,2,19,37,1451,82,123,360,232,205,153,35,x,0,51,44,x,63,106,22,126,127,99,26,0,0,742,811,128.3,811,128.3,270,42.7,270,42.7,56,80,60,74,11,15,22,298,576,45,731,29,326,1075,163,147,15,0,229,36.2,229,36.2,369,58.4,368,58.2,527,83.4,526,83.2,158,25.0,105,38,10,76,0,99,31,9,71,19,43,18.8,74,25,11,48,0,68,20,10,47,13,37,23.4,43,27.2,44,27.8,24,15.2,10,6.3,121,113,93.4,60,16.3,31,8.4,125,33.9,123,33.3,30,8.1,175,20,11.4,9,45.0,48,27.4,107,61.1,63200
LA,209,E09000023,Lewisham,5137,752.6,4884,715.5,2563,375.5,2459,360.3,2456,359.8,2374,347.8,2681,392.8,417,15.6,50.4,17.3,20.1,5.0,1.0,2.4,1.7,23.3,12.7,3.1,7.9,10.1,1645,437,47,100,251,50,27,120,x,x,660,24.6,223,8.3,346,12.9,401,15.0,1051,39.2,1051,42.8,555,22.6,352,14.3,238,9.7,260,10.6,9,0.4,24,1.0,x,x,0,0.0,x,x,148,6.0,19,0.8,2252,91.7,2768,405.5,334,12.1,46,1.7,159,5.7,2633,386.0,319,12.1,2655,389.0,22,208,406,466,750,288,141,129,245,21,33,43,2244,363,469,964,958,444,295,156,17,10,81,99,x,82,184,134,440,571,313,123,30,20,513,1219,178.6,1073,157.2,466,68.3,458,67.1,97,171,91,107,11,14,20,41,431,x,433,28,829,596,67,320,13,x,380,55.7,379,55.5,408,59.8,408,59.8,711,104.2,710,104.0,303,44.4,187,17,x,161,x,176,16,x,176,x,57,15.0,157,17,x,115,x,143,11,x,136,x,86,28.4,76,25.1,84,27.7,48,15.8,9,3.0,217,199,91.7,74,18.1,45,11.0,139,34.1,123,30.1,27,6.6,213,64,30.0,21,32.8,48,22.5,101,47.4,68300
