time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,Referrals,Referrals_rate,Re_referrals,Re_referrals_percent,No_Further_Action,No_Further_Action_percent,Not_in_Need,Not_in_Need_percent,Referrals_child,Referrals_child_rate,Re_referrals_child,Re_referrals_child_percent
2020,Reporting year,National,E92000001,England,,,,,,Referrals and Re-referrals,642980,534.8,145390,22.6,40400,6.3,194190,30.2,568600,472.9,121150,21.3
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Referrals and Re-referrals,33960,638.2,7610,22.4,610,1.8,10800,31.8,30160,566.9,6450,21.4
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Referrals and Re-referrals,86500,553.2,19060,22,3910,4.5,24570,28.4,77130,493.3,16250,21.1
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Referrals and Re-referrals,72570,620.2,17240,23.8,4130,5.7,18340,25.3,63910,546.3,14450,22.6
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Referrals and Re-referrals,60160,600,15420,25.6,6250,10.4,22510,37.4,51830,516.9,12440,24
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Referrals and Re-referrals,68710,528.6,15770,23,4370,6.4,19960,29.1,61080,469.9,13260,21.7
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Referrals and Re-referrals,47730,354.5,9500,19.9,1980,4.1,17030,35.7,43100,320.1,8120,18.8
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Referrals and Re-referrals,110830,545.3,20890,18.8,8470,7.6,30070,27.1,100410,494,17910,17.8
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Referrals and Re-referrals,114440,581.1,29800,26,7800,6.8,35140,30.7,98170,498.5,23900,24.3
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Referrals and Re-referrals,48080,434.2,10100,21,2890,6,15780,32.8,42810,386.6,8370,19.5
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Referrals and Re-referrals,43210,573.3,7930,18.3,4270,9.9,11230,26,39280,521.2,6820,17.4
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Referrals and Re-referrals,67620,528.8,12960,19.2,4200,6.2,18840,27.9,61130,478,11090,18.1
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Referrals and Re-referrals,993,440.8,170,17.1,122,12.3,332,33.4,921,408.8,151,16.4
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Referrals and Re-referrals,5949,586.3,1661,27.9,0,0,2766,46.5,5180,510.5,1363,26.3
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Referrals and Re-referrals,1573,399.4,182,11.6,82,5.2,548,34.8,1502,381.3,168,11.2
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Referrals and Re-referrals,1554,774.9,280,18,c,c,272,17.5,1399,697.6,235,16.8
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Referrals and Re-referrals,3833,1168.8,931,24.3,93,2.4,1105,28.8,3263,995,753,23.1
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Referrals and Re-referrals,4526,774.3,1221,27,c,c,2086,46.1,3974,679.9,1032,26
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Referrals and Re-referrals,1590,379.9,239,15,c,c,401,25.2,1465,350.1,227,15.5
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Referrals and Re-referrals,3182,538.9,683,21.5,42,1.3,1069,33.6,2863,484.8,585,20.4
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Referrals and Re-referrals,2108,763.5,266,12.6,c,c,396,18.8,1936,701.2,247,12.8
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Referrals and Re-referrals,1918,635.8,428,22.3,125,6.5,539,28.1,1728,572.8,388,22.5
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Referrals and Re-referrals,3113,710,751,24.1,121,3.9,197,6.3,2681,611.4,612,22.8
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Referrals and Re-referrals,3617,659.4,799,22.1,15,0.4,1087,30.1,3252,592.9,690,21.2
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Referrals and Re-referrals,2026,522.9,438,21.6,89,4.4,664,32.8,1851,477.8,396,21.4
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Referrals and Re-referrals,3819,1307.2,1107,29,0,0,1329,34.8,3163,1082.7,880,27.8
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Referrals and Re-referrals,4207,615.2,944,22.4,810,19.3,606,14.4,3734,546,792,21.2
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Referrals and Re-referrals,2061,476.1,628,30.5,104,5,789,38.3,1771,409.1,506,28.6
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Referrals and Re-referrals,2543,329,402,15.8,92,3.6,718,28.2,2353,304.4,361,15.3
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Referrals and Re-referrals,2670,388.9,393,14.7,266,10,794,29.7,2466,359.2,363,14.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Referrals and Re-referrals,4091,442.1,846,20.7,359,8.8,1355,33.1,3646,394,755,20.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Referrals and Re-referrals,1575,547.4,236,15,31,2,330,21,1474,512.3,216,14.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Referrals and Re-referrals,1440,426,232,16.1,40,2.8,260,18.1,1335,394.9,215,16.1
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Referrals and Re-referrals,10649,424.2,2294,21.5,138,1.3,2437,22.9,9419,375.2,1893,20.1
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Referrals and Re-referrals,6503,677,1508,23.2,261,4,1244,19.1,5749,598.5,1307,22.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,Referrals and Re-referrals,7428,604.3,1457,19.6,185,2.5,1529,20.6,6936,564.3,1300,18.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,Referrals and Re-referrals,3871,649.6,912,23.6,0,0,1624,42,3480,584,789,22.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Referrals and Re-referrals,3671,688.8,850,23.2,255,6.9,976,26.6,3255,610.7,678,20.8
