time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Episodes_with_assessment_factor,Alcohol_Misuse_child,Alcohol_Misuse_parent,Alcohol_Misuse_person,Drug_Misuse_child,Drug_Misuse_parent,Drug_Misuse_person,Domestic_Violence_child,Domestic_Violence_parent,Domestic_Violence_person,Mental_Health_child,Mental_Health_parent,Mental_Health_person,Learning_Disability_child,Learning_Disability_parent,Learning_Disability_person,Physical_Disability_child,Physical_Disability_parent,Physical_Disability_person,Young_Carer,Privately_fostered,Unaccompanied_asylum_seeker,Going_missing,Child_sexual_exploitation,Trafficking,Gangs,Socially_unacceptable_behaviour,Self_harm,Neglect,Emotional_Abuse,Physical_Abuse,Sexual_Abuse,Female_Genital_Mutilation,Faith_linked_abuse,Other
2020,Reporting year,National,E92000001,England,,,,,,Factors identified at the end of assessment,522990,12900,72620,12690,29170,70870,18230,64500,169860,31360,75740,156140,22840,49730,13810,7020,25240,25360,6000,18670,2220,3200,18200,18700,3010,14700,45680,25830,91170,110300,70740,30460,1130,2080,105140
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Factors identified at the end of assessment,26770,900,4900,790,1460,5390,1150,3090,10460,1440,4880,10350,1420,2580,800,320,1410,1450,250,1180,80,40,1150,1170,150,410,2710,1730,5870,5840,4160,1980,50,70,6360
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Factors identified at the end of assessment,76920,1920,12640,1860,4840,12830,2720,9190,25550,3830,12500,26100,3070,8140,2300,1090,3560,4000,830,2680,240,290,3160,2840,400,2110,6430,4150,12990,17640,9600,4400,240,370,15470
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Factors identified at the end of assessment,66450,1090,8110,1110,2770,8100,1710,7660,18060,2860,6960,14910,1990,4010,1120,560,2140,1890,450,1460,250,250,2100,2190,380,1380,4100,2170,10770,14220,10690,5340,150,370,18270
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Factors identified at the end of assessment,46720,980,6160,980,2350,6180,1510,5290,15610,2610,6800,13660,1920,3880,1030,650,2370,2050,600,920,260,130,1240,1620,160,1080,4350,2010,7940,10690,7210,3340,100,150,7140
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Factors identified at the end of assessment,50870,1450,8390,1830,3100,7840,2190,6990,18980,4230,7180,16090,2690,4580,1660,760,2400,2570,600,1600,360,260,1990,2040,460,1650,4330,2670,9490,12950,6990,3070,180,260,10040
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Factors identified at the end of assessment,39760,820,6000,1080,2070,6380,1710,5700,14440,2780,6580,15400,2190,4510,1440,760,2170,2560,640,2110,160,300,1480,1670,240,1240,3780,2450,8680,9250,5270,2420,60,160,5240
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Factors identified at the end of assessment,88760,1090,8620,1140,4090,7600,1960,7900,26430,4370,10310,20640,2850,8730,1830,980,4160,4080,950,2770,360,1110,3160,2880,690,4100,8950,4120,11890,14900,11660,2930,220,390,19940
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Factors identified at the end of assessment,91410,3660,11400,2670,6200,10690,3540,14250,27360,6570,14630,25410,4390,9860,2270,1190,5020,4570,1150,3900,290,670,2550,2640,340,1860,7750,4370,15650,15980,10710,4860,80,190,17740
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Factors identified at the end of assessment,35330,980,6400,1230,2290,5860,1750,4450,12970,2660,5890,13600,2330,3430,1350,700,2020,2200,520,2060,210,160,1370,1660,200,870,3280,2180,7880,8830,4460,2130,50,120,4950
