time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Referrals,Individual,Schools,Education_Services,Health_Services,Housing,LA_Services,Police,Other_legal_agency,Other,Anonymous,Unknown
2020,Reporting year,National,E92000001,England,,,,,,Source of referral,642980,52290,117010,13630,96300,8300,90810,184760,25180,31630,13770,9300
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Source of referral,33960,2650,4400,1370,5570,370,5330,10390,1380,1390,960,140
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Source of referral,86500,6570,14600,1280,13080,1420,12970,24480,3700,4520,2080,1790
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Source of referral,72570,6790,11040,2260,9580,720,10100,22670,3780,3270,2090,270
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Source of referral,60160,6360,11560,820,9260,750,9030,15560,2550,2180,1280,820
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Source of referral,68710,6120,11760,2500,9500,800,7950,18690,2720,4480,2150,2020
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Source of referral,47730,3940,8850,1300,7040,570,7660,12060,2160,2460,910,790
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Source of referral,110830,6380,22910,1240,18740,1350,15140,34090,3470,5800,990,730
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Source of referral,114440,9440,22870,1700,16360,1660,15200,33890,4060,5690,2000,1600
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Source of referral,48080,4030,9030,1170,7170,660,7430,12920,1350,1840,1330,1150
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Source of referral,43210,2180,7910,740,7780,450,6030,13500,1000,2790,270,560
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Source of referral,67620,4200,15000,500,10960,900,9110,20590,2470,3010,720,170
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Source of referral,993,57,161,0,151,9,173,357,37,34,14,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Source of referral,5949,385,592,185,1018,54,943,2185,356,29,202,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Source of referral,1573,147,228,0,244,8,224,503,52,99,68,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Source of referral,1554,120,63,136,202,13,379,430,103,51,57,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Source of referral,3833,275,628,108,659,c,866,856,166,142,79,c
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Source of referral,4526,329,859,133,714,62,469,1431,136,177,89,127
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Source of referral,1590,219,122,87,221,10,268,451,45,142,19,6
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Source of referral,3182,283,515,c,566,c,586,994,41,81,93,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Source of referral,2108,133,427,8,364,31,388,543,109,65,40,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Source of referral,1918,187,293,c,305,25,272,500,50,153,114,c
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Source of referral,3113,270,0,549,493,32,424,888,104,270,83,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Source of referral,3617,246,511,141,630,59,338,1256,185,146,105,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Source of referral,2026,142,333,0,306,c,382,571,107,124,30,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Source of referral,3819,243,537,46,505,c,529,1566,126,179,60,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Source of referral,4207,322,941,66,601,74,320,1190,93,475,125,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Source of referral,2061,90,272,c,405,58,496,511,89,73,51,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Source of referral,2543,215,425,16,311,18,376,654,85,378,65,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Source of referral,2670,251,609,18,453,37,447,621,138,43,53,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Source of referral,4091,312,864,48,645,25,557,1107,143,235,155,0
