time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_start,CPP_start_rate,CPP_child_start,CPP_child_start_rate,CPP_end,CPP_end_rate,CPP_child_end,CPP_child_end_rate,CPP_anypoint,CPP_anypoint_rate,CPP_child_anypoint,CPP_child_anypoint_rate,CPP_At31,CPP_At31_rate
2020,Reporting year,National,E92000001,England,,,,,,Child Protection Plans,66380,55.2,66210,55.1,66970,55.7,66750,55.5,118480,98.5,117030,97.3,51510,42.8
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Child Protection Plans,5020,94.4,5010,94.1,4640,87.1,4620,86.9,8360,157.2,8260,155.2,3730,70
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Child Protection Plans,9710,62.1,9700,62,10580,67.7,10550,67.5,18460,118.1,18230,116.6,7880,50.4
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Child Protection Plans,8360,71.4,8340,71.3,7830,66.9,7810,66.8,14100,120.5,13950,119.3,6270,53.6
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Child Protection Plans,6180,61.6,6160,61.5,5820,58.1,5810,57.9,10610,105.8,10470,104.5,4790,47.8
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Child Protection Plans,7770,59.8,7760,59.7,7900,60.7,7850,60.4,13810,106.2,13590,104.5,5910,45.5
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Child Protection Plans,4780,35.5,4760,35.3,4930,36.6,4920,36.5,8480,63,8410,62.4,3540,26.3
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Child Protection Plans,8970,44.1,8940,44,9270,45.6,9250,45.5,16370,80.6,16200,79.7,7110,35
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Child Protection Plans,10280,52.2,10220,51.9,10270,52.1,10230,51.9,18370,93.3,18110,92,8110,41.2
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Child Protection Plans,5330,48.1,5320,48,5740,51.8,5710,51.6,9910,89.5,9800,88.5,4170,37.7
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Child Protection Plans,3460,45.9,3460,45.8,3460,45.9,3450,45.8,6180,81.9,6130,81.3,2720,36
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Child Protection Plans,5510,43.1,5490,42.9,5810,45.4,5790,45.3,10200,79.7,10070,78.8,4390,34.3
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Child Protection Plans,156,69.2,155,68.8,173,76.8,173,76.8,258,114.5,254,112.7,85,37.7
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Child Protection Plans,673,66.3,667,65.7,636,62.7,630,62.1,1079,106.3,1058,104.3,443,43.7
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Child Protection Plans,316,80.2,316,80.2,305,77.4,303,76.9,578,146.7,565,143.4,273,69.3
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Child Protection Plans,233,116.2,232,115.7,173,86.3,173,86.3,358,178.5,355,177,185,92.3
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Child Protection Plans,494,150.6,494,150.6,378,115.3,378,115.3,757,230.8,756,230.5,379,115.6
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Child Protection Plans,669,114.5,668,114.3,661,113.1,661,113.1,1248,213.5,1240,212.1,587,100.4
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Child Protection Plans,183,43.7,183,43.7,194,46.4,193,46.1,332,79.3,331,79.1,138,33
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Child Protection Plans,618,104.7,617,104.5,562,95.2,561,95,1033,174.9,1006,170.4,471,79.8
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Child Protection Plans,359,130,359,130,258,93.5,257,93.1,518,187.6,517,187.3,260,94.2
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Child Protection Plans,228,75.6,228,75.6,209,69.3,208,68.9,396,131.3,395,130.9,187,62
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Child Protection Plans,472,107.6,471,107.4,370,84.4,370,84.4,722,164.7,709,161.7,352,80.3
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Child Protection Plans,620,113,618,112.7,717,130.7,715,130.4,1084,197.6,1073,195.6,367,66.9
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Child Protection Plans,350,90.3,350,90.3,395,102,390,100.7,615,158.7,605,156.2,220,56.8
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Child Protection Plans,457,156.4,456,156.1,493,168.7,493,168.7,856,293,846,289.6,363,124.3
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Child Protection Plans,381,55.7,381,55.7,388,56.7,388,56.7,705,103.1,704,102.9,317,46.4
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Child Protection Plans,210,48.5,210,48.5,267,61.7,264,61,413,95.4,404,93.3,146,33.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Child Protection Plans,309,40,309,40,322,41.7,322,41.7,575,74.4,574,74.3,253,32.7
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Child Protection Plans,286,41.7,286,41.7,283,41.2,282,41.1,514,74.9,504,73.4,231,33.6
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Child Protection Plans,700,75.7,696,75.2,643,69.5,638,69,1263,136.5,1237,133.7,620,67
