time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_start,Neglect_Initial,Physical_Initial,Sexual_Initial,Emotional_Initial,Multiple_Initial,Neglect_Latest,Physical_Latest,Sexual_Latest,Emotional_Latest,Multiple_Latest
2020,Reporting year,National,E92000001,England,,,,,,Child Protection Plans by Initial and Latest Category of Abuse,66380,33120,5730,2600,23390,1550,32700,5200,2540,24450,1490
2020,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Child Protection Plans by Initial and Latest Category of Abuse,5020,3130,370,160,1350,20,3090,330,160,1440,10
2020,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Child Protection Plans by Initial and Latest Category of Abuse,9710,4420,750,450,3760,340,4240,640,420,3960,450
2020,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Child Protection Plans by Initial and Latest Category of Abuse,8360,3700,910,450,3150,140,3650,850,440,3300,120
2020,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Child Protection Plans by Initial and Latest Category of Abuse,6180,3080,840,220,1650,390,3130,790,240,1710,310
2020,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Child Protection Plans by Initial and Latest Category of Abuse,7770,3660,470,310,3190,140,3630,390,300,3310,150
2020,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Child Protection Plans by Initial and Latest Category of Abuse,4780,2950,210,110,1230,280,2930,180,110,1310,250
2020,Reporting year,Regional,E92000001,England,E12000007,London,,,,Child Protection Plans by Initial and Latest Category of Abuse,8970,3830,1010,280,3770,90,3770,930,270,3930,80
2020,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Child Protection Plans by Initial and Latest Category of Abuse,10280,5630,610,370,3530,140,5610,570,360,3620,120
2020,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Child Protection Plans by Initial and Latest Category of Abuse,5330,2720,570,270,1760,0,2670,530,250,1880,10
2020,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Child Protection Plans by Initial and Latest Category of Abuse,3460,1410,400,130,1480,30,1390,380,140,1540,10
2020,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Child Protection Plans by Initial and Latest Category of Abuse,5510,2420,600,140,2290,60,2380,540,130,2390,60
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Child Protection Plans by Initial and Latest Category of Abuse,156,64,20,9,63,0,65,20,8,63,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,Child Protection Plans by Initial and Latest Category of Abuse,673,526,27,18,95,7,523,24,25,101,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Child Protection Plans by Initial and Latest Category of Abuse,316,146,28,15,127,0,142,27,14,133,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Child Protection Plans by Initial and Latest Category of Abuse,233,142,10,c,78,c,141,10,c,79,c
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Child Protection Plans by Initial and Latest Category of Abuse,494,309,45,8,124,8,303,35,8,148,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Child Protection Plans by Initial and Latest Category of Abuse,669,287,70,38,268,6,287,65,c,284,c
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Child Protection Plans by Initial and Latest Category of Abuse,183,85,13,0,85,0,86,12,0,85,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Child Protection Plans by Initial and Latest Category of Abuse,618,466,28,25,99,0,464,28,26,100,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Child Protection Plans by Initial and Latest Category of Abuse,359,317,c,c,30,0,309,c,c,39,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Child Protection Plans by Initial and Latest Category of Abuse,228,153,c,c,58,0,152,c,c,59,0
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Child Protection Plans by Initial and Latest Category of Abuse,472,310,58,18,86,0,309,56,c,87,c
2020,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Child Protection Plans by Initial and Latest Category of Abuse,620,322,43,21,234,0,306,34,19,261,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Child Protection Plans by Initial and Latest Category of Abuse,350,167,12,17,154,0,156,c,14,167,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Child Protection Plans by Initial and Latest Category of Abuse,457,246,c,32,157,c,220,c,30,193,c
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Child Protection Plans by Initial and Latest Category of Abuse,381,180,20,28,136,17,164,17,29,160,11
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Child Protection Plans by Initial and Latest Category of Abuse,210,117,c,c,76,0,118,c,c,71,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Child Protection Plans by Initial and Latest Category of Abuse,309,230,36,20,23,0,229,31,22,27,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Child Protection Plans by Initial and Latest Category of Abuse,286,110,19,6,151,0,114,17,6,149,0
2020,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Child Protection Plans by Initial and Latest Category of Abuse,700,376,30,37,250,7,371,30,37,256,6
