time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,At31_episodes,N1_Abuse_or_neglect,N2_Childs_disability_or_illness,N3_Parents_disability_or_illness,N4_Family_in_acute_stress,N5_Family_dysfunction,N6_Socially_unacceptable_behaviour,N7_Low_income,N8_Absent_parenting,N9_Cases_other_than_CIN,N0_Not_stated
2021,Reporting year,National,E92000001,England,,,,,,Primary need at assessment,388490,219190,32140,9460,33120,53500,7730,1600,16410,4180,11160
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Primary need at assessment,24610,13890,1970,260,2520,4260,370,50,290,80,930
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Primary need at assessment,57670,37700,3750,870,4190,7910,960,100,1360,150,690
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary need at assessment,41200,29800,2590,480,2400,3140,450,130,950,330,920
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Primary need at assessment,29250,15920,1950,1130,2030,3510,520,120,850,1250,1980
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Primary need at assessment,44910,25640,3560,790,3890,6630,790,120,1510,610,1370
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Primary need at assessment,31000,18380,3820,540,2100,2930,420,180,1540,120,980
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,Primary need at assessment,69400,33940,7320,2790,7470,7070,2810,720,5730,580,980
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Primary need at assessment,59850,26830,5020,1500,5200,14240,950,110,3250,380,2390
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Primary need at assessment,30600,17100,2150,1090,3310,3830,480,80,940,690,930
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Primary need at assessment,28770,13390,2720,1480,3510,2670,1370,460,2320,260,600
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Primary need at assessment,40630,20550,4610,1310,3960,4400,1440,260,3410,320,380
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Primary need at assessment,3683,2918,189,31,159,187,58,0,46,25,70
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Primary need at assessment,861,546,98,c,37,164,c,0,6,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Primary need at assessment,1454,255,128,c,76,758,12,0,10,c,201
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Primary need at assessment,1438,913,277,47,33,83,22,c,17,c,40
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Primary need at assessment,2932,2413,123,9,85,274,8,6,8,6,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Primary need at assessment,2549,1202,205,44,219,311,92,25,64,0,387
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Primary need at assessment,1646,836,162,10,176,350,26,c,26,c,50
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Primary need at assessment,2253,437,220,14,740,808,c,c,21,0,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Primary need at assessment,1666,1064,145,42,117,223,c,c,34,30,0
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Primary need at assessment,1488,902,143,c,254,142,19,0,10,c,10
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Primary need at assessment,2327,943,146,16,521,441,67,c,20,c,167
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Primary need at assessment,2314,1456,137,26,98,520,40,c,25,c,8
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Primary need at assessment,1332,1012,98,c,71,115,c,0,26,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Primary need at assessment,2020,1430,98,63,95,80,16,0,12,21,205
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Primary need at assessment,2447,1941,174,29,82,123,c,c,72,0,0
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Primary need at assessment,1428,1097,107,21,106,31,c,0,25,c,27
2021,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Primary need at assessment,2082,1592,144,c,194,68,c,0,69,0,0
