time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Assessments_completed,Assessments_completed_rate,Same_day,1-10_days,11-20_days,21-30_days,31-40_days,41-45_days,46-50_days,51-60_days,61+_days,25th_Percentile_days,Median_days,75th_Percentile_days
2021,Reporting year,National,E92000001,England,,,,,,Duration of assessment,625960,517.6,9420,79680,120900,112630,128640,96920,29450,22640,25700,16,30,42
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Duration of assessment,35080,657.3,220,3350,5570,5140,5710,9180,2120,1540,2250,20,38,44
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Duration of assessment,95940,610.5,1200,10410,17500,16850,20830,16180,4710,3880,4400,18,32,43
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Duration of assessment,74110,631.1,1760,11430,13400,10970,12760,11500,3960,3440,4890,14,30,43
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Duration of assessment,52540,521.3,750,7050,14750,10590,9580,6080,1360,1130,1250,14,24,37
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Duration of assessment,71620,548.2,1540,13170,11760,10410,13150,11860,3720,2770,3230,13,29,43
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Duration of assessment,44470,327.9,530,4900,7160,8270,14070,5450,1730,1200,1140,19,32,39
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,Duration of assessment,95940,468.5,1220,7840,14880,20490,24480,16530,4430,3140,2930,21,32,42
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Duration of assessment,109820,553.9,1310,16220,27220,20070,19160,13410,5190,3730,3510,14,25,40
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Duration of assessment,46450,417.4,890,5320,8660,9830,8890,6730,2220,1810,2100,17,30,42
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Duration of assessment,37170,488.6,630,2960,5270,6460,9690,7230,2050,1400,1480,21,34,43
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Duration of assessment,58770,456.7,600,4870,9610,14030,14790,9300,2390,1740,1450,20,31,41
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Duration of assessment,5120,502.1,40,420,809,927,880,1470,257,150,167,21,36,44
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Duration of assessment,684,302.2,0,9,29,63,95,395,34,38,21,39,44,45
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Duration of assessment,2127,542.6,18,253,368,250,502,612,58,45,21,16,36,43
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Duration of assessment,1736,863.3,13,105,171,314,534,331,116,111,41,25,38,43
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Duration of assessment,6436,1942.7,28,358,806,843,836,1128,644,590,1203,26,43,54
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Duration of assessment,3751,636.6,24,904,1025,486,434,446,300,102,30,11,19,39
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Duration of assessment,1543,367.2,6,74,167,133,252,786,25,29,71,31,42,44
