time_period,time_identifier,geographic_level,country_code,country_name,category,category_type,number,rate,percent
2022,Reporting year,National,E92000001,England,Section 47,Section 47s in the year,217800,180.1,z
2022,Reporting year,National,E92000001,England,Section 47,Children subject to a Section 47 in the year,189430,156.6,z
2022,Reporting year,National,E92000001,England,ICPC,ICPCs in the year,73790,61,z
2022,Reporting year,National,E92000001,England,ICPC,Children subject to an ICPC in the year,72800,60.2,z
2022,Reporting year,National,E92000001,England,CPP,CPP at 31 March,50920,42.1,z
2022,Reporting year,National,E92000001,England,CPP,Children subject to a CPP for 3 months or more,34720,z,z
2022,Reporting year,National,E92000001,England,CPP,CPP for 3 months or more reviewed within timescales,30990,z,89.3
2022,Reporting year,National,E92000001,England,CPP,CPPs starting in the year,64390,53.2,z
2022,Reporting year,National,E92000001,England,CPP,CPPs starting which were a second or subsequent plan,14990,z,23.3
2022,Reporting year,National,E92000001,England,CPP,Children starting CPPs in the year,64170,53.1,z
2022,Reporting year,National,E92000001,England,CPP,CPPs ending in the year,63130,52.2,z
2022,Reporting year,National,E92000001,England,CPP,CPPs ending that had lasted two years or more,2360,z,3.7
2022,Reporting year,National,E92000001,England,CPP,Children ending CPPs in the year,62870,52,z
2021,Reporting year,National,E92000001,England,Section 47,Section 47s in the year,198790,164.4,z
2021,Reporting year,National,E92000001,England,Section 47,Children subject to a Section 47 in the year,174210,144.1,z
2021,Reporting year,National,E92000001,England,ICPC,ICPCs in the year,72580,60,z
2021,Reporting year,National,E92000001,England,ICPC,Children subject to an ICPC in the year,71740,59.3,z
2021,Reporting year,National,E92000001,England,CPP,CPP at 31 March,50010,41.4,z
2021,Reporting year,National,E92000001,England,CPP,Children subject to a CPP for 3 months or more,35450,z,z
2021,Reporting year,National,E92000001,England,CPP,CPP for 3 months or more reviewed within timescales,33050,z,93.2
2021,Reporting year,National,E92000001,England,CPP,CPPs starting in the year,63830,52.8,z
2021,Reporting year,National,E92000001,England,CPP,CPPs starting which were a second or subsequent plan,14090,z,22.1
2021,Reporting year,National,E92000001,England,CPP,Children starting CPPs in the year,63650,52.6,z
2021,Reporting year,National,E92000001,England,CPP,CPPs ending in the year,65200,53.9,z
2021,Reporting year,National,E92000001,England,CPP,CPPs ending that had lasted two years or more,2410,z,3.7
2021,Reporting year,National,E92000001,England,CPP,Children ending CPPs in the year,64970,53.7,z
2020,Reporting year,National,E92000001,England,Section 47,Section 47s in the year,201000,167.2,z
2020,Reporting year,National,E92000001,England,Section 47,Children subject to a Section 47 in the year,177840,147.9,z
2020,Reporting year,National,E92000001,England,ICPC,ICPCs in the year,77470,64.4,z
2020,Reporting year,National,E92000001,England,ICPC,Children subject to an ICPC in the year,76340,63.5,z
2020,Reporting year,National,E92000001,England,CPP,CPP at 31 March,51510,42.8,z
2020,Reporting year,National,E92000001,England,CPP,Children subject to a CPP for 3 months or more,35100,z,z
2020,Reporting year,National,E92000001,England,CPP,CPP for 3 months or more reviewed within timescales,32110,z,91.5
2020,Reporting year,National,E92000001,England,CPP,CPPs starting in the year,66380,55.2,z
2020,Reporting year,National,E92000001,England,CPP,CPPs starting which were a second or subsequent plan,14540,z,21.9
2020,Reporting year,National,E92000001,England,CPP,Children starting CPPs in the year,66210,55.1,z
2020,Reporting year,National,E92000001,England,CPP,CPPs ending in the year,66970,55.7,z
2020,Reporting year,National,E92000001,England,CPP,CPPs ending that had lasted two years or more,2400,z,3.6
2020,Reporting year,National,E92000001,England,CPP,Children ending CPPs in the year,66750,55.5,z
2019,Reporting year,National,E92000001,England,Section 47,Section 47s in the year,201170,168.3,z
2019,Reporting year,National,E92000001,England,Section 47,Children subject to a Section 47 in the year,179160,149.9,z
2019,Reporting year,National,E92000001,England,ICPC,ICPCs in the year,77440,64.8,z
2019,Reporting year,National,E92000001,England,ICPC,Children subject to an ICPC in the year,76360,63.9,z
2019,Reporting year,National,E92000001,England,CPP,CPP at 31 March,52260,43.7,z
2019,Reporting year,National,E92000001,England,CPP,Children subject to a CPP for 3 months or more,35570,z,z
2019,Reporting year,National,E92000001,England,CPP,CPP for 3 months or more reviewed within timescales,32640,z,91.8
2019,Reporting year,National,E92000001,England,CPP,CPPs starting in the year,66680,55.8,z
2019,Reporting year,National,E92000001,England,CPP,CPPs starting which were a second or subsequent plan,13860,z,20.8
2019,Reporting year,National,E92000001,England,CPP,Children starting CPPs in the year,66430,55.6,z
2019,Reporting year,National,E92000001,England,CPP,CPPs ending in the year,67910,56.8,z
