time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CINPlan_start,CINPlan_start_rate,CINPlan_child_start,CINPlan_child_start_rate,CINPlan_end,CINPlan_end_rate,CINPlan_child_end,CINPlan_child_end_rate,CINPlan_anypoint,CINPlan_anypoint_rate,CINPlan_child_anypoint,CINPlan_child_anypoint_rate,CINPlan_At31,CINPlan_At31_rate
2022,Reporting year,National,E92000001,England,,,,,,CIN Plans,202480,175.9,190710,165.7,194030,168.6,182660,158.7,299440,260.2,279530,242.9,104940,91.2
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,CIN Plans,11220,222.9,10900,216.6,11470,227.8,11180,222.1,18430,366.1,17660,350.7,6970,138.4
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,CIN Plans,33500,213.2,32000,203.6,33220,211.4,31840,202.6,48600,309.2,45630,290.3,15360,97.7
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,CIN Plans,24360,207.5,23040,196.2,23540,200.4,22330,190.1,34140,290.7,31890,271.6,10610,90.3
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,CIN Plans,16150,160.3,15670,155.5,15540,154.2,15150,150.4,23390,232.1,22400,222.3,7850,77.9
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,CIN Plans,15970,122.3,15650,119.8,15280,117,14990,114.7,26310,201.4,25470,195,11030,84.4
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,CIN Plans,11680,108,11350,104.9,11760,108.7,11470,106.1,18750,173.3,18020,166.6,6990,64.6
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,CIN Plans,29210,154.6,27240,144.2,26330,139.4,24590,130.2,44180,233.9,41220,218.2,17860,94.5
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,CIN Plans,44380,238.3,39240,210.7,42560,228.5,37080,199.1,62700,336.7,55200,296.4,19700,105.8
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,CIN Plans,16000,143.8,15620,140.4,14350,129,14030,126.1,22930,206.1,22040,198.1,8580,77.1
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,CIN Plans,13250,190.1,11630,166.9,12030,172.6,10550,151.4,19490,279.7,17350,249,7460,107
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,CIN Plans,15960,133.9,15600,130.9,14300,119.9,14040,117.7,24690,207.1,23870,200.2,10400,87.2
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,CIN Plans,2719,266.6,2605,255.4,2634,258.3,2524,247.5,3877,380.2,3653,358.2,1243,121.9
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,CIN Plans,380,167.9,371,163.9,382,168.8,380,167.9,711,314.1,687,303.5,329,145.4
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,CIN Plans,677,172.7,669,170.7,567,144.6,564,143.9,1108,282.6,1092,278.6,541,138
