time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Section47,Section47_rate,Section47_child,Section47_child_rate,ICPC,ICPC_rate,ICPC_child,ICPC_child_rate,Duration_0-10_days,Duration_11-15_days,Duration_16-20_days,Duration_21+_days,Duration_25th_Percentile,Duration_median,Duration_75th_Percentile
2022,Reporting year,National,E92000001,England,,,,,,Section 47s and Initial Child Protection Conferences,217800,180.1,189430,156.6,73790,61,72800,60.2,7040,51400,7060,8280,13,14,15
2022,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Section 47s and Initial Child Protection Conferences,14260,267.2,12470,233.7,5170,97,5120,95.9,240,4140,440,360,13,14,15
2022,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Section 47s and Initial Child Protection Conferences,29700,189,25170,160.1,10420,66.3,10260,65.3,1040,7190,1080,1120,12,14,15
2022,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Section 47s and Initial Child Protection Conferences,24000,204.4,20790,177,8360,71.2,8280,70.5,690,5310,1090,1280,13,14,17
2022,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Section 47s and Initial Child Protection Conferences,15850,157.3,13700,136,6250,62,6180,61.3,590,4670,460,530,12,14,14
2022,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Section 47s and Initial Child Protection Conferences,25600,196,22260,170.4,8170,62.5,8020,61.4,740,5950,640,840,13,14,15
2022,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Section 47s and Initial Child Protection Conferences,13550,99.9,11990,88.4,5230,38.6,5160,38.1,630,3780,390,440,12,14,15
2022,Reporting year,Regional,E92000001,England,E12000007,London,,,,Section 47s and Initial Child Protection Conferences,35590,173.8,31960,156.1,11580,56.6,11440,55.9,1670,7130,1070,1710,12,14,15
2022,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Section 47s and Initial Child Protection Conferences,41270,208.1,35540,179.3,12040,60.7,11870,59.9,890,8580,1240,1340,13,14,15
2022,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Section 47s and Initial Child Protection Conferences,17980,161.6,15550,139.8,6560,58.9,6460,58,540,4680,670,670,13,14,15
2022,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Section 47s and Initial Child Protection Conferences,13760,180.9,12240,160.9,4400,57.8,4360,57.2,890,2390,450,670,11,14,16
2022,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Section 47s and Initial Child Protection Conferences,21830,169.6,19710,153.2,7190,55.9,7080,55,780,4740,620,1040,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Section 47s and Initial Child Protection Conferences,2317,227.2,2036,199.6,720,70.6,719,70.5,9,540,71,100,13,14,14
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Section 47s and Initial Child Protection Conferences,633,279.7,557,246.1,178,78.6,175,77.3,c,137,25,c,14,15,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Section 47s and Initial Child Protection Conferences,747,190.6,684,174.5,398,101.5,395,100.8,18,344,24,12,14,15,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Section 47s and Initial Child Protection Conferences,796,395.9,723,359.6,252,125.3,252,125.3,29,215,c,c,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Section 47s and Initial Child Protection Conferences,2435,735,1967,593.7,541,163.3,533,160.9,16,430,52,43,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Section 47s and Initial Child Protection Conferences,1209,205.2,1029,174.6,442,75,441,74.8,84,268,51,39,12,13,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Section 47s and Initial Child Protection Conferences,489,116.4,466,110.9,294,70,288,68.5,6,258,15,15,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Section 47s and Initial Child Protection Conferences,1070,182,1003,170.6,619,105.3,617,104.9,24,519,34,42,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Section 47s and Initial Child Protection Conferences,1106,400.6,940,340.5,378,136.9,375,135.8,14,313,44,7,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Section 47s and Initial Child Protection Conferences,560,185.1,528,174.5,313,103.5,309,102.1,c,274,27,c,14,15,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Section 47s and Initial Child Protection Conferences,1533,348.2,1315,298.7,507,115.2,485,110.2,23,410,28,46,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,Section 47s and Initial Child Protection Conferences,1362,247.8,1221,222.1,532,96.8,529,96.2,12,427,64,29,15,15,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,889,E06000008,Blackburn with Darwen,Section 47s and Initial Child Protection Conferences,799,206.7,641,165.8,229,59.2,225,58.2,49,174,c,c,11,13,14
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Section 47s and Initial Child Protection Conferences,1145,393.3,920,316,410,140.8,406,139.5,19,267,52,72,13,14,18
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Section 47s and Initial Child Protection Conferences,1256,182.2,1006,145.9,517,75,504,73.1,112,383,6,16,11,12,13
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,Section 47s and Initial Child Protection Conferences,902,208.9,781,180.9,344,79.7,333,77.1,34,209,72,29,12,14,16
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,895,E06000049,Cheshire East,Section 47s and Initial Child Protection Conferences,1158,148.3,953,122.1,343,43.9,336,43,30,231,55,27,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,896,E06000050,Cheshire West and Chester,Section 47s and Initial Child Protection Conferences,933,134.9,812,117.4,417,60.3,416,60.1,20,302,71,24,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Section 47s and Initial Child Protection Conferences,1492,161.5,1346,145.7,711,77,704,76.2,35,597,50,29,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,Section 47s and Initial Child Protection Conferences,793,274.9,630,218.4,198,68.6,198,68.6,21,113,34,30,13,14,18
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Section 47s and Initial Child Protection Conferences,689,200.1,566,164.4,279,81,276,80.1,15,241,16,7,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Section 47s and Initial Child Protection Conferences,2238,88.5,1981,78.3,740,29.3,723,28.6,149,407,88,96,11,13,15
