Stat-Xplore

"Absolute Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Absolute Low Income"

Filters:
"Default Summation","Absolute Low Income"
"Age of Child (years and bands)","5-10"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"National - Regional - LA - OAs",
"County Durham",5656,,5246,,5459,,5268,,5659,,7150,,9007,,
"Darlington",1237,,1076,,1191,,1211,,1258,,1599,,1916,,
"Hartlepool",1242,,1085,,1184,,1237,,1220,,1560,,1812,,
"Middlesbrough",2437,,2412,,2748,,2806,,3362,,3870,,4519,,
"Northumberland",2773,,2570,,2743,,2751,,3021,,3652,,4535,,
"Redcar and Cleveland",1430,,1338,,1546,,1477,,1610,,2032,,2519,,
"Stockton-on-Tees",2252,,2084,,2225,,2219,,2391,,3018,,3581,,
"Gateshead",1983,,1741,,1932,,1918,,2107,,2633,,3371,,
"Newcastle upon Tyne",3665,,3624,,4075,,4055,,4345,,5110,,6036,,
"North Tyneside",1862,,1713,,1793,,1779,,1860,,2391,,2935,,
"South Tyneside",1730,,1673,,1773,,1810,,2020,,2489,,2768,,
"Sunderland",3328,,3027,,3286,,3031,,3333,,4030,,4933,,
"Blackburn with Darwen",3651,,3649,,3849,,4013,,4306,,3903,,3448,,
"Blackpool",1719,,1608,,1737,,1881,,1967,,1890,,1669,,
"Cheshire East",2355,,2256,,2274,,2516,,2575,,2440,,2357,,
"Cheshire West and Chester",2336,,2118,,2268,,2447,,2531,,2541,,2185,,
"Halton",1357,,1214,,1260,,1289,,1287,,1384,,1095,,
"Warrington",1557,,1554,,1543,,1768,,1705,,1664,,1540,,
"Cumbria",3890,,3640,,3810,,4095,,4237,,3805,,3430,,
"Bolton",5195,,5183,,5529,,6291,,6556,,6339,,5888,,
"Bury",2508,,2485,,2643,,2846,,2874,,2561,,2432,,
"Manchester",10204,,9926,,10785,,11946,,12724,,11865,,10786,,
"Oldham",5349,,5501,,5901,,6618,,6620,,6185,,5873,,
"Rochdale",3978,,3922,,4029,,4294,,4543,,4287,,3965,,
"Salford",3184,,3034,,3335,,3721,,3874,,3563,,3241,,
"Stockport",2301,,2196,,2265,,2484,,2642,,2488,,2239,,
"Tameside",2844,,2854,,3060,,3263,,3446,,3312,,2905,,
"Trafford",1940,,1848,,1894,,1935,,1909,,1713,,1625,,
"Wigan",3317,,3268,,3320,,3433,,3648,,3431,,3042,,
"Lancashire",13224,,12827,,13572,,14799,,15227,,14468,,13125,,
"Knowsley",1737,,1565,,1676,,1850,,1996,,1845,,1656,,
"Liverpool",5492,,5351,,5687,,6447,,7023,,6758,,6012,,
"Sefton",2111,,2091,,2163,,2371,,2445,,2309,,2126,,
"St. Helens",1705,,1658,,1634,,1744,,1937,,1741,,1545,,
"Wirral",2663,,2512,,2564,,2856,,2988,,2754,,2479,,
"East Riding of Yorkshire",2476,,2383,,2236,,2359,,2616,,2741,,2881,,
"Kingston upon Hull, City of",4437,,4330,,4355,,4549,,4883,,5189,,5421,,
"North East Lincolnshire",2156,,2078,,2096,,2087,,2359,,2522,,2472,,
"North Lincolnshire",1989,,1869,,1825,,1830,,2112,,2241,,2257,,
"York",1174,,1096,,1070,,1064,,1093,,1142,,1259,,
"North Yorkshire",3948,,3877,,3636,,3621,,3747,,4092,,4101,,
"Barnsley",2756,,2668,,2775,,2797,,2999,,3180,,3441,,
"Doncaster",4433,,4283,,4130,,4070,,4551,,4775,,4777,,
"Rotherham",3509,,3376,,3396,,3483,,3740,,3969,,4094,,
"Sheffield",7329,,7157,,6915,,7322,,7900,,8438,,8967,,
"Bradford",14260,,13665,,13069,,13443,,15074,,15588,,15875,,
"Calderdale",2787,,2660,,2542,,2703,,2904,,3087,,3076,,
"Kirklees",6896,,6483,,6292,,6560,,7478,,7863,,7955,,
