Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E06000047",19564,,20560,,23384,,23880,,24194,,28506,,31657,,27178,,
"E06000005",4229,,4318,,4961,,5343,,5272,,6316,,6989,,6070,,
"E06000001",4325,,4488,,5128,,5564,,5451,,6387,,6692,,5870,,
"E06000002",8234,,9154,,10967,,11833,,12530,,13987,,15259,,13432,,
"E06000057",9898,,10222,,11739,,12233,,12344,,14637,,16214,,13562,,
"E06000003",5165,,5425,,6607,,6766,,6808,,8152,,9338,,7933,,
"E06000004",7613,,8056,,9382,,9733,,9553,,11451,,12699,,10925,,
"E08000037",6825,,7044,,8330,,8814,,8945,,10767,,12139,,10183,,
"E08000021",12302,,13390,,16055,,16873,,17051,,19234,,20722,,18138,,
"E08000022",6360,,6638,,7767,,8174,,8280,,9927,,11061,,9239,,
"E08000023",6087,,6566,,7622,,8234,,8426,,9763,,10329,,8820,,
"E08000024",11476,,11692,,13489,,14101,,14281,,16663,,18545,,15812,,
"E06000008",12972,,13885,,15027,,15871,,16324,,15816,,14609,,15982,,
"E06000009",6534,,6677,,7359,,7929,,8221,,8141,,7844,,8559,,
"E06000049",8821,,8974,,9411,,10277,,10337,,10626,,10055,,11160,,
"E06000050",8761,,8708,,9441,,10223,,10184,,10911,,10061,,11379,,
"E06000006",4976,,4989,,5487,,5808,,5725,,5985,,5271,,6309,,
"E06000007",5831,,6127,,6573,,7252,,6900,,7129,,6596,,7186,,
"E10000006",14448,,14620,,15916,,17012,,17217,,16696,,15401,,16769,,
"E08000001",18231,,19418,,21375,,23682,,24257,,25129,,23907,,26101,,
"E08000002",8863,,9464,,10024,,10787,,10885,,10581,,10260,,10921,,
"E08000003",35245,,37098,,41857,,45921,,47354,,47103,,44870,,48555,,
"E08000004",18389,,20278,,22657,,24717,,24701,,24905,,23836,,25877,,
"E08000005",14257,,14818,,15979,,17114,,17721,,17599,,17009,,19163,,
"E08000006",11680,,11997,,13640,,14901,,15188,,15133,,14162,,16342,,
"E08000007",8538,,8758,,9490,,10215,,10369,,10342,,10010,,10864,,
"E08000008",10380,,10599,,11956,,12900,,13269,,13548,,12445,,13823,,
"E08000009",6988,,7172,,7664,,8015,,7964,,7624,,7340,,7666,,
"E08000010",11971,,12447,,13328,,13965,,14544,,14626,,13638,,14957,,
"E10000017",47818,,49522,,54625,,58535,,59168,,59783,,56337,,61895,,
"E08000011",6740,,6609,,7734,,8385,,8475,,8418,,7800,,8891,,
"E08000012",20279,,21468,,23597,,26447,,27341,,27718,,25803,,28846,,
"E08000014",8499,,8906,,9430,,10230,,10132,,9986,,9484,,10473,,
"E08000013",6419,,6653,,7072,,7607,,7889,,7767,,7137,,7985,,
"E08000015",10324,,10553,,11337,,12253,,12588,,12646,,11723,,13576,,
"E06000011",9104,,9214,,8958,,9719,,10115,,11434,,11489,,9904,,
"E06000010",15451,,16458,,16588,,17651,,18675,,20652,,20658,,17800,,
"E06000012",7417,,7709,,8071,,8558,,8987,,10142,,9878,,8363,,
"E06000013",6612,,6918,,7124,,7303,,7911,,8922,,8894,,7893,,
"E06000014",4350,,4356,,4296,,4407,,4495,,5025,,5192,,4416,,
"E10000023",14206,,14702,,14555,,14868,,15390,,17425,,17263,,14978,,
"E08000016",9865,,10207,,10714,,11228,,11759,,13258,,13460,,11432,,
"E08000017",14827,,15358,,15295,,16068,,17230,,18840,,18766,,16660,,
"E08000018",12069,,12557,,12999,,13548,,14172,,16112,,16202,,14148,,
"E08000019",24643,,26226,,26389,,28420,,30280,,33299,,34377,,29665,,
"E08000032",46314,,47891,,48678,,51688,,56186,,60592,,60349,,55038,,
"E08000033",9556,,9703,,10033,,10601,,11103,,12303,,12249,,10990,,
"E08000034",23195,,23828,,24379,,26024,,28431,,30928,,31174,,27839,,
"E08000035",30146,,32267,,34757,,37839,,40916,,45008,,45815,,39995,,
"E08000036",12520,,13079,,13590,,14405,,15637,,17506,,17614,,15001,,
"E06000015",13726,,16023,,17054,,16419,,14823,,15615,,14455,,21172,,
"E06000016",25348,,30786,,33040,,31259,,28321,,30305,,26806,,39566,,
"E06000061",11424,,13353,,14443,,13465,,11696,,13437,,12099,,18415,,
"E06000018",17211,,20981,,23052,,22750,,19626,,20947,,19074,,28981,,
"E06000017",650,,789,,775,,715,,605,,744,,705,,995,,
"E06000062",12196,,14213,,15133,,14415,,12903,,13946,,13860,,19817,,
"E10000007",23386,,26269,,27556,,26084,,22556,,24547,,22614,,36178,,
"E10000018",17029,,19080,,20394,,19297,,16883,,18863,,17785,,27553,,
"E10000019",24713,,28674,,30213,,28904,,25441,,27759,,24737,,39189,,
"E10000024",25433,,29435,,30727,,29251,,25770,,28030,,25812,,40998,,
"E06000019",5439,,5889,,5923,,6153,,6069,,6671,,6533,,6913,,
