Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","16"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E06000047",1082,,1135,,1214,,1259,,1227,,1494,,1742,,1498,,
"E06000005",259,,280,,245,,244,,299,,332,,373,,337,,
"E06000001",275,,243,,274,,263,,292,,361,,378,,356,,
"E06000002",420,,491,,557,,541,,597,,677,,816,,748,,
"E06000057",623,,584,,630,,693,,612,,799,,924,,789,,
"E06000003",283,,312,,334,,394,,339,,440,,528,,447,,
"E06000004",425,,468,,491,,496,,494,,603,,677,,610,,
"E08000037",355,,398,,456,,432,,458,,612,,644,,569,,
"E08000021",637,,692,,863,,875,,828,,1019,,1103,,1055,,
"E08000022",394,,388,,445,,442,,441,,576,,672,,585,,
"E08000023",329,,375,,401,,453,,434,,540,,554,,493,,
"E08000024",656,,654,,737,,715,,781,,902,,1006,,836,,
"E06000008",762,,776,,870,,925,,954,,902,,842,,955,,
"E06000009",390,,390,,399,,438,,417,,457,,499,,469,,
"E06000049",491,,521,,517,,568,,594,,599,,571,,656,,
"E06000050",523,,520,,552,,589,,540,,589,,582,,658,,
"E06000006",301,,284,,305,,319,,302,,321,,271,,360,,
"E06000007",320,,333,,343,,399,,377,,355,,377,,429,,
"E10000006",831,,867,,878,,932,,923,,958,,834,,1011,,
"E08000001",1046,,1055,,1100,,1234,,1235,,1311,,1389,,1467,,
"E08000002",482,,530,,513,,594,,596,,565,,623,,642,,
"E08000003",1904,,1927,,2217,,2340,,2409,,2475,,2573,,2779,,
"E08000004",988,,1124,,1205,,1299,,1331,,1368,,1367,,1460,,
"E08000005",782,,830,,901,,941,,943,,916,,973,,1067,,
"E08000006",615,,577,,682,,737,,726,,782,,734,,884,,
"E08000007",514,,522,,573,,582,,602,,585,,590,,644,,
"E08000008",567,,565,,656,,653,,650,,659,,663,,747,,
"E08000009",406,,459,,464,,497,,493,,408,,476,,509,,
"E08000010",640,,691,,708,,695,,756,,744,,717,,847,,
"E10000017",2670,,2823,,3062,,3178,,3164,,3256,,3226,,3631,,
