Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year by Age of Child (years and bands)"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"
"Age of Child (years and bands)","5-10"

"Year","2014/15","2014/15 - Annotations","2015/16","2015/16 - Annotations","2016/17","2016/17 - Annotations","2017/18","2017/18 - Annotations","2018/19","2018/19 - Annotations","2019/20","2019/20 - Annotations","2020/21","2020/21 - Annotations","2021/22 (p)","2021/22 - Annotations",
"National - Regional - LA - OAs",
"E06000047",5198,,5670,,6624,,6960,,7059,,8676,,9824,,8199,,
"E06000005",1129,,1168,,1416,,1588,,1573,,1913,,2163,,1821,,
"E06000001",1157,,1221,,1421,,1637,,1573,,1874,,2003,,1694,,
"E06000002",2262,,2583,,3250,,3625,,4013,,4524,,4950,,4282,,
"E06000057",2547,,2789,,3309,,3609,,3717,,4419,,4960,,4107,,
"E06000003",1295,,1428,,1893,,1970,,2023,,2433,,2869,,2410,,
"E06000004",2074,,2263,,2759,,2974,,2923,,3593,,3950,,3305,,
"E08000037",1772,,1887,,2345,,2592,,2610,,3212,,3749,,3032,,
"E08000021",3394,,3867,,4822,,5181,,5246,,5985,,6562,,5586,,
"E08000022",1679,,1834,,2159,,2335,,2338,,2888,,3238,,2635,,
"E08000023",1612,,1815,,2147,,2422,,2542,,2952,,3075,,2571,,
"E08000024",3056,,3264,,3967,,4101,,4115,,4857,,5563,,4594,,
"E06000008",3708,,4015,,4462,,4840,,4987,,4780,,4396,,4814,,
"E06000009",1713,,1765,,2050,,2297,,2385,,2329,,2251,,2554,,
"E06000049",2396,,2475,,2678,,3009,,3065,,3095,,2990,,3329,,
"E06000050",2356,,2308,,2655,,2964,,2996,,3202,,2877,,3337,,
"E06000006",1364,,1346,,1520,,1616,,1572,,1746,,1505,,1820,,
"E06000007",1570,,1743,,1871,,2115,,2054,,2122,,2001,,2126,,
"E10000006",3921,,4012,,4502,,5010,,5147,,4837,,4448,,4934,,
"E08000001",5230,,5695,,6376,,7332,,7580,,7823,,7427,,8133,,
"E08000002",2528,,2745,,3070,,3396,,3387,,3203,,3071,,3264,,
"E08000003",10159,,10994,,12656,,14396,,15035,,14721,,13900,,15010,,
"E08000004",5403,,5943,,6797,,7693,,7645,,7566,,7280,,7975,,
"E08000005",3994,,4261,,4689,,5115,,5313,,5290,,5027,,5805,,
"E08000006",3177,,3343,,3929,,4509,,4620,,4590,,4334,,4987,,
"E08000007",2286,,2396,,2654,,2959,,3083,,3100,,2927,,3229,,
"E08000008",2887,,3149,,3582,,3932,,4113,,4131,,3708,,4195,,
"E08000009",1955,,2030,,2214,,2296,,2261,,2178,,2042,,2178,,
"E08000010",3340,,3600,,3924,,4103,,4336,,4287,,4018,,4365,,
"E10000017",13337,,14092,,15881,,17591,,17883,,18031,,16819,,18595,,
"E08000011",1711,,1728,,2023,,2315,,2368,,2385,,2234,,2623,,
"E08000012",5426,,5892,,6661,,7702,,8230,,8403,,7925,,8959,,
"E08000014",2103,,2318,,2582,,2898,,2917,,2900,,2828,,3120,,
"E08000013",1681,,1832,,1958,,2158,,2328,,2268,,2092,,2319,,
"E08000015",2652,,2762,,3053,,3474,,3536,,3569,,3369,,3928,,
"E06000011",2397,,2490,,2481,,2784,,2992,,3341,,3433,,2922,,
"E06000010",4196,,4601,,4875,,5487,,5816,,6434,,6489,,5454,,
"E06000012",2031,,2178,,2345,,2499,,2773,,3155,,3048,,2503,,
"E06000013",1900,,1972,,2049,,2156,,2424,,2690,,2714,,2341,,
"E06000014",1128,,1145,,1180,,1224,,1270,,1455,,1539,,1232,,
"E10000023",3816,,4037,,3987,,4133,,4398,,5016,,4940,,4165,,
"E08000016",2614,,2841,,3140,,3321,,3514,,4000,,4157,,3386,,
"E08000017",4180,,4511,,4586,,4883,,5330,,5796,,5632,,4927,,
"E08000018",3364,,3549,,3752,,4060,,4309,,4850,,4885,,4154,,
"E08000019",7024,,7510,,7706,,8612,,9139,,10147,,10511,,9006,,
"E08000032",13734,,14263,,14324,,15392,,17027,,18396,,18408,,16726,,
"E08000033",2666,,2786,,2853,,3130,,3325,,3690,,3704,,3230,,
"E08000034",6588,,6792,,6950,,7613,,8537,,9448,,9481,,8275,,
"E08000035",8311,,9030,,10149,,11470,,12624,,13999,,14462,,12293,,
"E08000036",3399,,3582,,3851,,4220,,4622,,5268,,5357,,4499,,
"E06000015",4071,,4845,,5355,,5297,,4681,,4912,,4476,,6781,,
"E06000016",7100,,8809,,9720,,9291,,8307,,9012,,7822,,12440,,
"E06000061",3222,,3847,,4355,,4114,,3531,,3971,,3555,,5702,,
"E06000018",4750,,6281,,7092,,7203,,6114,,6501,,5835,,9441,,
"E06000017",192,,210,,216,,208,,175,,225,,199,,312,,
"E06000062",3428,,4176,,4510,,4323,,3910,,4198,,4226,,6002,,
"E10000007",6282,,7221,,7879,,7637,,6527,,7103,,6606,,11049,,
"E10000018",4695,,5293,,5995,,5650,,4778,,5456,,5116,,8211,,
"E10000019",6469,,7962,,8712,,8551,,7466,,8260,,7268,,12036,,
"E10000024",6931,,8242,,8958,,8798,,7684,,8312,,7541,,12810,,
"E06000019",1401,,1631,,1694,,1776,,1743,,1860,,1854,,2031,,
"E06000051",2232,,2474,,2601,,2788,,2795,,3231,,3176,,3493,,
"E06000021",4430,,5097,,5516,,6133,,6243,,7111,,6774,,7260,,
"E06000020",1690,,2082,,2258,,2484,,2584,,3146,,2953,,3200,,
"E10000028",6567,,7335,,7743,,8531,,8546,,10062,,9628,,10616,,
"E10000031",3773,,4251,,4375,,4761,,4682,,5314,,5136,,5449,,
"E08000025",24599,,28000,,29300,,32226,,33258,,36284,,34528,,37578,,
"E08000026",4270,,5201,,5517,,5979,,5973,,6729,,6431,,6968,,
"E08000027",3652,,4197,,4560,,5127,,5192,,5981,,5750,,6208,,
"E08000028",6123,,7164,,7637,,8695,,8891,,9826,,9125,,10196,,
"E08000029",1367,,1548,,1701,,1793,,1743,,2047,,2010,,2193,,
"E08000030",4501,,5175,,5678,,6313,,6671,,7492,,7197,,7716,,
"E08000031",3981,,4781,,5199,,5682,,5972,,6780,,6305,,6932,,
"E10000034",4415,,4938,,5107,,5577,,5621,,6577,,6518,,6981,,
"E06000055",1893,,1985,,2028,,2322,,2383,,2370,,2069,,2055,,
"E06000056",1857,,2043,,2201,,2270,,2216,,2429,,2338,,2288,,
"E06000032",4620,,5145,,5273,,5877,,5792,,6140,,5660,,5793,,
"E06000031",3482,,3914,,4085,,4895,,5051,,5026,,4380,,4641,,
"E06000033",1563,,1795,,1896,,2055,,2040,,2022,,1889,,1771,,
"E06000034",1960,,2204,,2234,,2525,,2509,,2524,,2368,,2305,,
"E10000003",4090,,4639,,4906,,5640,,5554,,5667,,4972,,4968,,
"E10000012",10902,,12156,,12380,,13742,,13749,,14127,,13242,,13090,,
"E10000015",7465,,8046,,8338,,9245,,9250,,9225,,8873,,8641,,
"E10000020",7706,,8653,,8980,,10248,,10454,,10576,,9106,,9246,,
"E10000029",6006,,6733,,6999,,8229,,8243,,8325,,7322,,7460,,
"E09000007",1783,,1858,,2007,,2466,,2550,,2669,,2385,,2340,,
"E09000001",15,,22,,20,,22,,17,,17,,21,,95,,
"E09000012",3195,,3365,,3514,,4334,,4627,,5060,,4454,,4280,,
"E09000013",1160,,1148,,1142,,1479,,1613,,1722,,1491,,1319,,
"E09000014",2717,,2794,,2885,,3549,,3735,,3785,,3283,,3093,,
"E09000019",1621,,1745,,1846,,2454,,2656,,2730,,2435,,2239,,
"E09000020",605,,660,,657,,846,,837,,795,,694,,707,,
"E09000022",2951,,2988,,3082,,3956,,3861,,4102,,3594,,3205,,
"E09000023",3351,,3336,,3404,,4272,,4542,,4590,,3979,,3540,,
"E09000025",6065,,6099,,6528,,7415,,7829,,8184,,7330,,6579,,
"E09000028",3380,,3532,,3573,,4100,,4147,,4408,,3900,,3537,,
"E09000030",4487,,4728,,4990,,6424,,6857,,7158,,6339,,5721,,
"E09000032",1623,,1752,,1842,,2285,,2555,,2784,,2591,,2312,,
"E09000033",1137,,1197,,1276,,1447,,1528,,1588,,1510,,1384,,
"E09000002",3993,,4345,,4811,,5681,,5839,,6289,,5661,,5177,,
"E09000003",2961,,3049,,3354,,3955,,3967,,4225,,3942,,3577,,
"E09000004",2163,,2215,,2300,,2716,,2869,,3032,,2731,,2486,,
"E09000005",3508,,3695,,3835,,4286,,4770,,5136,,4808,,4375,,
"E09000006",2218,,2195,,2292,,2692,,2743,,2820,,2651,,2255,,
"E09000008",3901,,4059,,4222,,4888,,5333,,5617,,4955,,4557,,
"E09000009",3568,,3717,,3983,,4640,,4828,,5097,,4622,,4215,,
"E09000010",3985,,4200,,4230,,4840,,4928,,5105,,4342,,4071,,
"E09000011",3607,,3574,,3805,,4707,,4846,,5201,,4598,,4181,,
"E09000015",1930,,2043,,2180,,2696,,3053,,3411,,3365,,2929,,
"E09000016",2155,,2139,,2371,,2822,,3002,,3315,,3221,,2754,,
"E09000017",2741,,2888,,3090,,3824,,4089,,4356,,4161,,3755,,
"E09000018",2767,,2876,,3250,,3776,,4113,,4412,,4047,,3596,,
"E09000021",924,,923,,955,,1173,,1170,,1233,,1135,,1023,,
"E09000024",2029,,1996,,2111,,2412,,2404,,2521,,2276,,1989,,
"E09000026",3749,,3838,,4031,,4621,,4860,,5233,,4714,,4261,,
"E09000027",730,,716,,758,,904,,868,,999,,949,,808,,
"E09000029",1525,,1609,,1531,,1724,,1889,,2076,,1890,,1631,,
"E09000031",3977,,4078,,4272,,5052,,5168,,5430,,4950,,4376,,
"E06000036",638,,677,,826,,840,,848,,879,,997,,1003,,
