FeatureCode,DateCode,Measurement,Units,Value,DCLG Homelessness Decsion Type Concept Scheme
E06000021,2013 Q2,Homelessness-Decisions,,26,Rejected not homeless
E06000021,2012 Q4,Homelessness-Decisions,,13,Rejected not homeless
E06000021,2015 Q3,Homelessness-Decisions,,45,Rejected not homeless
E06000021,2013 Q4,Homelessness-Decisions,,168,All
E06000021,2018 Q1,Homelessness-Decisions,,42,Rejected not homeless
E06000021,2017 Q4,Homelessness-Decisions,,44,Rejected not in priority need
E06000021,2012 Q4,Homelessness-Decisions,,61,All
E06000021,2014 Q3,Homelessness-Decisions,,77,Accepted Total
E06000021,2017 Q1,Homelessness-Decisions,,11,Rejected intentionally homeless
E06000021,2015 Q3,Homelessness-Decisions,,41,Accepted Total
E06000021,2014 Q1,Homelessness-Decisions,,74,Rejected not homeless
E06000021,2015 Q4,Homelessness-Decisions,,38,Accepted Total
E06000021,2017 Q2,Homelessness-Decisions,,11,Rejected intentionally homeless
E06000021,2014 Q4,Homelessness-Decisions,,41,Accepted Total
E06000021,2016 Q4,Homelessness-Decisions,,10,Rejected intentionally homeless
E06000021,2016 Q2,Homelessness-Decisions,,7,Rejected intentionally homeless
E06000021,2016 Q2,Homelessness-Decisions,,56,Accepted Total
E06000021,2012 Q2,Homelessness-Decisions,,75,Accepted Total
E06000021,2013 Q2,Homelessness-Decisions,,30,Rejected not in priority need
E06000021,2012 Q1,Homelessness-Decisions,,104,All
E06000021,2015 Q1,Homelessness-Decisions,,42,Rejected not in priority need
E06000021,2016 Q1,Homelessness-Decisions,,29,Rejected not homeless
E06000021,2013 Q4,Homelessness-Decisions,,58,Rejected not homeless
E06000021,2018 Q1,Homelessness-Decisions,,44,Accepted Total
E06000021,2014 Q2,Homelessness-Decisions,,11,Rejected intentionally homeless
E06000021,2011 Q3,Homelessness-Decisions,,20,Rejected not homeless
E06000021,2011 Q4,Homelessness-Decisions,,75,All
E06000021,2012 Q1,Homelessness-Decisions,,12,Rejected intentionally homeless
E06000021,2016 Q4,Homelessness-Decisions,,142,All
E06000021,2016 Q1,Homelessness-Decisions,,6,Rejected intentionally homeless
E06000021,2012 Q3,Homelessness-Decisions,,100,All
E06000021,2011 Q3,Homelessness-Decisions,,116,All
E06000021,2016 Q1,Homelessness-Decisions,,107,All
E06000021,2016 Q1,Homelessness-Decisions,,23,Rejected not in priority need
E06000021,2016 Q3,Homelessness-Decisions,,130,All
E06000021,2012 Q4,Homelessness-Decisions,,40,Accepted Total
E06000021,2011 Q2,Homelessness-Decisions,,110,All
E06000021,2016 Q4,Homelessness-Decisions,,44,Rejected not homeless
E06000021,2017 Q3,Homelessness-Decisions,,58,Rejected not homeless
E06000021,2014 Q1,Homelessness-Decisions,,194,All
E06000021,2017 Q1,Homelessness-Decisions,,48,Rejected not in priority need
E06000021,2015 Q1,Homelessness-Decisions,,125,All
E06000021,2014 Q3,Homelessness-Decisions,,54,Rejected not in priority need
E06000021,2013 Q4,Homelessness-Decisions,,65,Accepted Total
E06000021,2012 Q2,Homelessness-Decisions,,17,Rejected not homeless
E06000021,2012 Q1,Homelessness-Decisions,,5,Rejected not in priority need
E06000021,2017 Q3,Homelessness-Decisions,,8,Rejected intentionally homeless
E06000021,2013 Q2,Homelessness-Decisions,,14,Rejected intentionally homeless
E06000021,2018 Q1,Homelessness-Decisions,,63,Rejected not in priority need
E06000021,2014 Q2,Homelessness-Decisions,,48,Rejected not in priority need
E06000021,2014 Q2,Homelessness-Decisions,,71,Rejected not homeless
E06000021,2013 Q2,Homelessness-Decisions,,62,Accepted Total
E06000021,2013 Q2,Homelessness-Decisions,,132,All
E06000021,2017 Q3,Homelessness-Decisions,,54,Accepted Total
E06000021,2018 Q1,Homelessness-Decisions,,9,Rejected intentionally homeless
E06000021,2012 Q2,Homelessness-Decisions,,103,All
E06000021,2011 Q2,Homelessness-Decisions,,66,Accepted Total
E06000021,2013 Q4,Homelessness-Decisions,,35,Rejected not in priority need
E06000021,2016 Q4,Homelessness-Decisions,,37,Rejected not in priority need
E06000021,2015 Q2,Homelessness-Decisions,,139,All
E06000021,2014 Q1,Homelessness-Decisions,,52,Rejected not in priority need
E06000021,2014 Q3,Homelessness-Decisions,,70,Rejected not homeless
E06000021,2011 Q2,Homelessness-Decisions,,7,Rejected not in priority need
E06000021,2015 Q4,Homelessness-Decisions,,34,Rejected not homeless
E06000021,2011 Q2,Homelessness-Decisions,,24,Rejected not homeless
E06000021,2017 Q1,Homelessness-Decisions,,66,Rejected not homeless
E06000021,2016 Q2,Homelessness-Decisions,,116,All
E06000021,2014 Q4,Homelessness-Decisions,,134,All
E06000021,2011 Q2,Homelessness-Decisions,,13,Rejected intentionally homeless
E06000021,2017 Q2,Homelessness-Decisions,,48,Rejected not in priority need
E06000021,2013 Q4,Homelessness-Decisions,,10,Rejected intentionally homeless
E06000021,2011 Q3,Homelessness-Decisions,,83,Accepted Total
E06000021,2014 Q1,Homelessness-Decisions,,9,Rejected intentionally homeless
E06000021,2013 Q3,Homelessness-Decisions,,37,Rejected not in priority need
E06000021,2015 Q1,Homelessness-Decisions,,43,Accepted Total
E06000021,2014 Q4,Homelessness-Decisions,,45,Rejected not homeless
E06000021,2017 Q1,Homelessness-Decisions,,181,All
E06000021,2017 Q2,Homelessness-Decisions,,181,All
E06000021,2013 Q3,Homelessness-Decisions,,136,All
E06000021,2016 Q3,Homelessness-Decisions,,54,Accepted Total
E06000021,2015 Q3,Homelessness-Decisions,,12,Rejected intentionally homeless
E06000021,2017 Q2,Homelessness-Decisions,,56,Accepted Total
E06000021,2017 Q2,Homelessness-Decisions,,66,Rejected not homeless
E06000021,2013 Q3,Homelessness-Decisions,,6,Rejected intentionally homeless
E06000021,2013 Q3,Homelessness-Decisions,,53,Accepted Total
E06000021,2014 Q3,Homelessness-Decisions,,209,All
E06000021,2013 Q3,Homelessness-Decisions,,40,Rejected not homeless
E06000021,2012 Q1,Homelessness-Decisions,,21,Rejected not homeless
E06000021,2017 Q3,Homelessness-Decisions,,45,Rejected not in priority need
E06000021,2014 Q1,Homelessness-Decisions,,59,Accepted Total
E06000021,2011 Q4,Homelessness-Decisions,,19,Rejected not homeless
E06000021,2014 Q3,Homelessness-Decisions,,8,Rejected intentionally homeless
E06000021,2014 Q4,Homelessness-Decisions,,36,Rejected not in priority need
E06000021,2015 Q2,Homelessness-Decisions,,51,Accepted Total
E06000021,2018 Q1,Homelessness-Decisions,,158,All
E06000021,2015 Q2,Homelessness-Decisions,,45,Rejected not homeless
E06000021,2011 Q4,Homelessness-Decisions,,45,Accepted Total
E06000021,2017 Q4,Homelessness-Decisions,,129,All
E06000021,2016 Q4,Homelessness-Decisions,,51,Accepted Total
E06000021,2015 Q4,Homelessness-Decisions,,32,Rejected not in priority need
E06000021,2015 Q3,Homelessness-Decisions,,36,Rejected not in priority need
E06000021,2017 Q3,Homelessness-Decisions,,165,All
E06000021,2017 Q1,Homelessness-Decisions,,56,Accepted Total
E06000021,2013 Q1,Homelessness-Decisions,,17,Rejected not homeless
E06000021,2016 Q3,Homelessness-Decisions,,36,Rejected not homeless
E06000021,2014 Q4,Homelessness-Decisions,,12,Rejected intentionally homeless
E06000021,2013 Q1,Homelessness-Decisions,,71,Accepted Total
E06000021,2013 Q1,Homelessness-Decisions,,11,Rejected intentionally homeless
E06000021,2015 Q3,Homelessness-Decisions,,134,All
E06000021,2015 Q4,Homelessness-Decisions,,8,Rejected intentionally homeless
E06000021,2016 Q2,Homelessness-Decisions,,33,Rejected not homeless
E06000021,2015 Q4,Homelessness-Decisions,,112,All
E06000021,2013 Q1,Homelessness-Decisions,,125,All
E06000021,2016 Q2,Homelessness-Decisions,,20,Rejected not in priority need
E06000021,2013 Q1,Homelessness-Decisions,,26,Rejected not in priority need
E06000021,2016 Q3,Homelessness-Decisions,,34,Rejected not in priority need
E06000021,2016 Q3,Homelessness-Decisions,,6,Rejected intentionally homeless
E06000021,2012 Q1,Homelessness-Decisions,,66,Accepted Total
E06000021,2012 Q3,Homelessness-Decisions,,53,Accepted Total
E06000021,2017 Q4,Homelessness-Decisions,,41,Accepted Total
E06000021,2014 Q2,Homelessness-Decisions,,193,All
E06000021,2016 Q1,Homelessness-Decisions,,49,Accepted Total
E06000021,2012 Q3,Homelessness-Decisions,,16,Rejected not in priority need
E06000021,2012 Q3,Homelessness-Decisions,,17,Rejected not homeless
E06000021,2012 Q3,Homelessness-Decisions,,14,Rejected intentionally homeless
E06000021,2014 Q2,Homelessness-Decisions,,63,Accepted Total
E92000001,2013 Q4,Homelessness-Decisions,,7750,Rejected not homeless
E92000001,2012 Q1,Homelessness-Decisions,,13130,Accepted Total
E92000001,2015 Q1,Homelessness-Decisions,,5120,Rejected not in priority need
E92000001,2011 Q4,Homelessness-Decisions,,7820,Rejected not homeless
E92000001,2013 Q2,Homelessness-Decisions,,5160,Rejected not in priority need
E92000001,2011 Q4,Homelessness-Decisions,,27470,All
E92000001,2018 Q1,Homelessness-Decisions,,25690,All
E92000001,2011 Q4,Homelessness-Decisions,,12830,Accepted Total
E92000001,2017 Q4,Homelessness-Decisions,,6540,Rejected not homeless
E92000001,2012 Q2,Homelessness-Decisions,,7360,Rejected not homeless
E92000001,2016 Q2,Homelessness-Decisions,,2520,Rejected intentionally homeless
E92000001,2016 Q1,Homelessness-Decisions,,6760,Rejected not homeless
E92000001,2011 Q3,Homelessness-Decisions,,2010,Rejected intentionally homeless
E92000001,2013 Q4,Homelessness-Decisions,,12900,Accepted Total
E92000001,2011 Q4,Homelessness-Decisions,,2110,Rejected intentionally homeless
E92000001,2011 Q4,Homelessness-Decisions,,4710,Rejected not in priority need
E92000001,2016 Q4,Homelessness-Decisions,,27960,All
E92000001,2015 Q2,Homelessness-Decisions,,2150,Rejected intentionally homeless
E92000001,2014 Q1,Homelessness-Decisions,,7300,Rejected not homeless
E92000001,2017 Q3,Homelessness-Decisions,,4910,Rejected not in priority need
E92000001,2015 Q2,Homelessness-Decisions,,27440,All
E92000001,2015 Q1,Homelessness-Decisions,,2270,Rejected intentionally homeless
E92000001,2016 Q3,Homelessness-Decisions,,4890,Rejected not in priority need
E92000001,2014 Q1,Homelessness-Decisions,,27200,All
E92000001,2015 Q3,Homelessness-Decisions,,28960,All
E92000001,2015 Q2,Homelessness-Decisions,,6850,Rejected not homeless
E92000001,2017 Q2,Homelessness-Decisions,,4580,Rejected not in priority need
E92000001,2018 Q1,Homelessness-Decisions,,1930,Rejected intentionally homeless
E92000001,2012 Q1,Homelessness-Decisions,,1920,Rejected intentionally homeless
E92000001,2012 Q4,Homelessness-Decisions,,2230,Rejected intentionally homeless
E92000001,2014 Q2,Homelessness-Decisions,,4970,Rejected not in priority need
