FeatureCode,DateCode,Measurement,Units,Value,Households
E06000021,2000,Housing Waiting List,,3583,Total Households
E06000021,2003,Housing Waiting List,,2274,Total Households
E06000021,2010,Housing Waiting List,,5779,Total Households
E06000021,2015,Housing Waiting List,,1047,Total Households
E06000021,2005,Housing Waiting List,,4572,Total Households
E06000021,2009,Housing Waiting List,,5555,Total Households
E06000021,2017,Housing Waiting List,,2477,Total Households
E06000021,2008,Housing Waiting List,,5491,Total Households
E06000021,2014,Housing Waiting List,,1363,Total Households
E06000021,2006,Housing Waiting List,,6059,Total Households
E06000021,2001,Housing Waiting List,,2885,Total Households
E06000021,2004,Housing Waiting List,,3078,Total Households
E06000021,2016,Housing Waiting List,,2513,Total Households
E06000021,2002,Housing Waiting List,,1791,Total Households
E06000021,2013,Housing Waiting List,,2784,Total Households
E06000021,2007,Housing Waiting List,,5565,Total Households
E06000021,2011,Housing Waiting List,,6533,Total Households
E06000021,2012,Housing Waiting List,,2366,Total Households
E92000001,2015,Housing Waiting List,,1240860.0,Total Households
E92000001,2003,Housing Waiting List,,1268720.0,Total Households
E92000001,2000,Housing Waiting List,,1038720.0,Total Households
E92000001,2004,Housing Waiting List,,1437740.0,Total Households
E92000001,2011,Housing Waiting List,,1824830.0,Total Households
E92000001,2012,Housing Waiting List,,1851430.0,Total Households
E92000001,2008,Housing Waiting List,,1769940.0,Total Households
E92000001,2017,Housing Waiting List,,1155290.0,Total Households
E92000001,2013,Housing Waiting List,,1685800.0,Total Households
E92000001,2014,Housing Waiting List,,1368310.0,Total Households
E92000001,2001,Housing Waiting List,,1039270.0,Total Households
E92000001,2007,Housing Waiting List,,1674420.0,Total Households
E92000001,2006,Housing Waiting List,,1634300.0,Total Households
E92000001,2010,Housing Waiting List,,1741000.0,Total Households
E92000001,2016,Housing Waiting List,,1183780.0,Total Households
E92000001,2002,Housing Waiting List,,1093340.0,Total Households
E92000001,2009,Housing Waiting List,,1763140.0,Total Households
E92000001,2005,Housing Waiting List,,1547280.0,Total Households
E07000198,2008,Housing Waiting List,,433,Total Households
E07000198,2006,Housing Waiting List,,1500,Total Households
E07000198,2005,Housing Waiting List,,1596,Total Households
E07000198,2007,Housing Waiting List,,2127,Total Households
E07000198,2002,Housing Waiting List,,971,Total Households
E07000198,2009,Housing Waiting List,,1206,Total Households
E07000198,2016,Housing Waiting List,,921,Total Households
E07000198,2013,Housing Waiting List,,2434,Total Households
E07000198,2000,Housing Waiting List,,444,Total Households
E07000198,2001,Housing Waiting List,,456,Total Households
E07000198,2003,Housing Waiting List,,515,Total Households
E07000198,2004,Housing Waiting List,,637,Total Households
E07000198,2011,Housing Waiting List,,4261,Total Households
E07000198,2010,Housing Waiting List,,1423,Total Households
E07000198,2015,Housing Waiting List,,1149,Total Households
E07000198,2012,Housing Waiting List,,2354,Total Households
E07000198,2014,Housing Waiting List,,1448,Total Households
E07000198,2017,Housing Waiting List,,1101,Total Households
E07000193,2002,Housing Waiting List,,1133,Total Households
E07000193,2010,Housing Waiting List,,2208,Total Households
E07000193,2016,Housing Waiting List,,1943,Total Households
E07000193,2003,Housing Waiting List,,1315,Total Households
E07000193,2017,Housing Waiting List,,2026,Total Households
E07000193,2015,Housing Waiting List,,1804,Total Households
E07000193,2012,Housing Waiting List,,2961,Total Households
E07000193,2000,Housing Waiting List,,520,Total Households
E07000193,2006,Housing Waiting List,,2067,Total Households
E07000193,2009,Housing Waiting List,,2492,Total Households
E07000193,2007,Housing Waiting List,,2067,Total Households
E07000193,2005,Housing Waiting List,,1360,Total Households
E07000193,2014,Housing Waiting List,,2075,Total Households
E07000193,2001,Housing Waiting List,,663,Total Households
E07000193,2004,Housing Waiting List,,814,Total Households
E07000193,2011,Housing Waiting List,,1850,Total Households
E07000193,2013,Housing Waiting List,,2195,Total Households
E07000193,2008,Housing Waiting List,,2465,Total Households
E07000197,2015,Housing Waiting List,,1487,Total Households
E07000197,2004,Housing Waiting List,,2281,Total Households
E07000197,2002,Housing Waiting List,,2142,Total Households
E07000197,2001,Housing Waiting List,,1648,Total Households
E07000197,2009,Housing Waiting List,,2246,Total Households
E07000197,2000,Housing Waiting List,,1470,Total Households
E07000197,2006,Housing Waiting List,,1913,Total Households
E07000197,2010,Housing Waiting List,,3212,Total Households
E07000197,2013,Housing Waiting List,,1415,Total Households
E07000197,2007,Housing Waiting List,,1688,Total Households
E07000197,2016,Housing Waiting List,,1513,Total Households
E07000197,2008,Housing Waiting List,,1440,Total Households
E07000197,2017,Housing Waiting List,,1222,Total Households
E07000197,2003,Housing Waiting List,,1681,Total Households
E07000197,2011,Housing Waiting List,,2850,Total Households
E07000197,2005,Housing Waiting List,,2167,Total Households
E07000197,2012,Housing Waiting List,,1512,Total Households
E07000197,2014,Housing Waiting List,,1448,Total Households
E07000035,2017,Housing Waiting List,,967,Total Households
E07000035,2000,Housing Waiting List,,1674,Total Households
E07000035,2009,Housing Waiting List,,2708,Total Households
E07000035,2011,Housing Waiting List,,3000,Total Households
E07000035,2004,Housing Waiting List,,2600,Total Households
E07000035,2014,Housing Waiting List,,1137,Total Households
E07000035,2010,Housing Waiting List,,2936,Total Households
E07000035,2013,Housing Waiting List,,1305,Total Households
E07000035,2007,Housing Waiting List,,1591,Total Households
E07000035,2006,Housing Waiting List,,2600,Total Households
E07000035,2008,Housing Waiting List,,2219,Total Households
E07000035,2016,Housing Waiting List,,1339,Total Households
