FeatureCode,DateCode,Measurement,Units,Value,Households
E06000021,2000,Projections-Interim-2011-based,,102.823,Total Households
E06000021,2016,Projections-Interim-2011-based,,109.749,Total Households
E06000021,2018,Projections-Interim-2011-based,,110.708,Total Households
E06000021,2013,Projections-Interim-2011-based,,108.362,Total Households
E06000021,2014,Projections-Interim-2011-based,,108.823,Total Households
E06000021,1998,Projections-Interim-2011-based,,103.063,Total Households
E06000021,2012,Projections-Interim-2011-based,,107.899,Total Households
E06000021,2021,Projections-Interim-2011-based,,112.027,Total Households
E06000021,2015,Projections-Interim-2011-based,,109.309,Total Households
E06000021,1993,Projections-Interim-2011-based,,102.292,Total Households
E06000021,2017,Projections-Interim-2011-based,,110.239,Total Households
E06000021,1999,Projections-Interim-2011-based,,103.028,Total Households
E06000021,1992,Projections-Interim-2011-based,,101.889,Total Households
E06000021,1996,Projections-Interim-2011-based,,103.572,Total Households
E06000021,2001,Projections-Interim-2011-based,,102.857,Total Households
E06000021,1997,Projections-Interim-2011-based,,103.297,Total Households
E06000021,1994,Projections-Interim-2011-based,,103.023,Total Households
E06000021,2019,Projections-Interim-2011-based,,111.163,Total Households
E06000021,2011,Projections-Interim-2011-based,,107.452,Total Households
E06000021,1995,Projections-Interim-2011-based,,103.298,Total Households
E06000021,1991,Projections-Interim-2011-based,,101.546,Total Households
E06000021,2020,Projections-Interim-2011-based,,111.623,Total Households
E92000001,1996,Projections-Interim-2011-based,,19756,Total Households
E92000001,2021,Projections-Interim-2011-based,,24307.5,Total Households
E92000001,2015,Projections-Interim-2011-based,,22989.7,Total Households
E92000001,2019,Projections-Interim-2011-based,,23874.9,Total Households
E92000001,2012,Projections-Interim-2011-based,,22323.4,Total Households
E92000001,1991,Projections-Interim-2011-based,,19165.7,Total Households
E92000001,2013,Projections-Interim-2011-based,,22542.9,Total Households
E92000001,2020,Projections-Interim-2011-based,,24091.2,Total Households
E92000001,2017,Projections-Interim-2011-based,,23436.2,Total Households
E92000001,1999,Projections-Interim-2011-based,,20155.7,Total Households
E92000001,1994,Projections-Interim-2011-based,,19494,Total Households
E92000001,2011,Projections-Interim-2011-based,,22102.2,Total Households
E92000001,1992,Projections-Interim-2011-based,,19283.8,Total Households
E92000001,2014,Projections-Interim-2011-based,,22765.5,Total Households
E92000001,1995,Projections-Interim-2011-based,,19629.7,Total Households
E92000001,2001,Projections-Interim-2011-based,,20522.5,Total Households
E92000001,2016,Projections-Interim-2011-based,,23215.2,Total Households
E92000001,1997,Projections-Interim-2011-based,,19873.5,Total Households
E92000001,1993,Projections-Interim-2011-based,,19390.7,Total Households
E92000001,1998,Projections-Interim-2011-based,,19999.9,Total Households
E92000001,2018,Projections-Interim-2011-based,,23654.7,Total Households
E92000001,2000,Projections-Interim-2011-based,,20334.6,Total Households
E07000198,2019,Projections-Interim-2011-based,,43.554,Total Households
E07000198,2013,Projections-Interim-2011-based,,42.218,Total Households
E07000198,2011,Projections-Interim-2011-based,,41.804,Total Households
E07000198,2020,Projections-Interim-2011-based,,43.773,Total Households
E07000198,1996,Projections-Interim-2011-based,,37.611,Total Households
E07000198,1997,Projections-Interim-2011-based,,37.8029,Total Households
E07000198,1998,Projections-Interim-2011-based,,37.9717,Total Households
E07000198,1994,Projections-Interim-2011-based,,37.3922,Total Households
E07000198,2001,Projections-Interim-2011-based,,38.875,Total Households
E07000198,1992,Projections-Interim-2011-based,,37.3573,Total Households
E07000198,2021,Projections-Interim-2011-based,,44.007,Total Households
E07000198,2017,Projections-Interim-2011-based,,43.109,Total Households
E07000198,1993,Projections-Interim-2011-based,,37.4351,Total Households
E07000198,2000,Projections-Interim-2011-based,,38.4896,Total Households
E07000198,2015,Projections-Interim-2011-based,,42.655,Total Households
E07000198,1995,Projections-Interim-2011-based,,37.5067,Total Households
E07000198,2012,Projections-Interim-2011-based,,42.01,Total Households
E07000198,1991,Projections-Interim-2011-based,,37.277,Total Households
E07000198,2016,Projections-Interim-2011-based,,42.894,Total Households
E07000198,1999,Projections-Interim-2011-based,,38.1293,Total Households
E07000198,2018,Projections-Interim-2011-based,,43.333,Total Households
E07000198,2014,Projections-Interim-2011-based,,42.435,Total Households
E10000028,1995,Projections-Interim-2011-based,,315.335,Total Households
E10000028,1997,Projections-Interim-2011-based,,320.486,Total Households
E10000028,1996,Projections-Interim-2011-based,,316.834,Total Households
E10000028,1993,Projections-Interim-2011-based,,310.963,Total Households
E10000028,2001,Projections-Interim-2011-based,,328.664,Total Households
E10000028,2012,Projections-Interim-2011-based,,358.358,Total Households
E10000028,2014,Projections-Interim-2011-based,,363.754,Total Households
E10000028,1999,Projections-Interim-2011-based,,324.188,Total Households
E10000028,2021,Projections-Interim-2011-based,,381.945,Total Households
E10000028,2015,Projections-Interim-2011-based,,366.494,Total Households
E10000028,2017,Projections-Interim-2011-based,,371.842,Total Households
E10000028,2016,Projections-Interim-2011-based,,369.191,Total Households
E10000028,1991,Projections-Interim-2011-based,,306.586,Total Households
E10000028,2020,Projections-Interim-2011-based,,379.473,Total Households
E10000028,2011,Projections-Interim-2011-based,,355.692,Total Households
E10000028,1998,Projections-Interim-2011-based,,323.024,Total Households
E10000028,1994,Projections-Interim-2011-based,,312.755,Total Households
E10000028,2000,Projections-Interim-2011-based,,326.148,Total Households
E10000028,2019,Projections-Interim-2011-based,,376.974,Total Households
E10000028,1992,Projections-Interim-2011-based,,308.891,Total Households
E10000028,2013,Projections-Interim-2011-based,,361.035,Total Households
E10000028,2018,Projections-Interim-2011-based,,374.422,Total Households
E07000193,1993,Projections-Interim-2011-based,,38.9194,Total Households
E07000193,2000,Projections-Interim-2011-based,,42.1901,Total Households
E07000193,2021,Projections-Interim-2011-based,,52.207,Total Households
E07000193,2019,Projections-Interim-2011-based,,51.303,Total Households
E07000193,2011,Projections-Interim-2011-based,,47.355,Total Households
E07000193,1999,Projections-Interim-2011-based,,41.7283,Total Households
E07000193,2013,Projections-Interim-2011-based,,48.377,Total Households
E07000193,1996,Projections-Interim-2011-based,,40.258,Total Households
E07000193,2020,Projections-Interim-2011-based,,51.758,Total Households
E07000193,2014,Projections-Interim-2011-based,,48.871,Total Households
E07000193,2017,Projections-Interim-2011-based,,50.371,Total Households
E07000193,2015,Projections-Interim-2011-based,,49.384,Total Households
E07000193,1991,Projections-Interim-2011-based,,38.6738,Total Households
E07000193,2012,Projections-Interim-2011-based,,47.869,Total Households
E07000193,2018,Projections-Interim-2011-based,,50.844,Total Households
E07000193,1997,Projections-Interim-2011-based,,40.9958,Total Households
E07000193,2016,Projections-Interim-2011-based,,49.882,Total Households
E07000193,1994,Projections-Interim-2011-based,,39.314,Total Households
E07000193,1995,Projections-Interim-2011-based,,40.0275,Total Households
E07000193,2001,Projections-Interim-2011-based,,42.708,Total Households
E07000193,1998,Projections-Interim-2011-based,,41.7715,Total Households
E07000193,1992,Projections-Interim-2011-based,,38.7673,Total Households
E07000197,1996,Projections-Interim-2011-based,,48.6555,Total Households
E07000197,1997,Projections-Interim-2011-based,,49.3333,Total Households
E07000197,1998,Projections-Interim-2011-based,,49.5703,Total Households
E07000197,1995,Projections-Interim-2011-based,,48.163,Total Households
E07000197,2017,Projections-Interim-2011-based,,58.217,Total Households
E07000197,1991,Projections-Interim-2011-based,,46.5861,Total Households
E07000197,2001,Projections-Interim-2011-based,,50.106,Total Households
E07000197,1992,Projections-Interim-2011-based,,46.9809,Total Households
E07000197,1999,Projections-Interim-2011-based,,49.6049,Total Households
E07000197,2011,Projections-Interim-2011-based,,55.706,Total Households
