FeatureCode,DateCode,Measurement,Units,Value,DCLG Temporary Housing Types Concept Scheme
E06000021,2013 Q2,Households-Accommodated-By-LA,,16,Bed and breakfast
E06000021,2014 Q3,Households-Accommodated-By-LA,,8,Bed and breakfast
E06000021,2011 Q3,Households-Accommodated-By-LA,,8,Bed and breakfast
E06000021,2016 Q1,Households-Accommodated-By-LA,,9,LA / HA stock
E06000021,2012 Q3,Households-Accommodated-By-LA,,11,All temporary housing types
E06000021,2014 Q4,Households-Accommodated-By-LA,,11,Bed and breakfast
E06000021,2017 Q1,Households-Accommodated-By-LA,,15,All temporary housing types
E06000021,2016 Q1,Households-Accommodated-By-LA,,17,All temporary housing types
E06000021,2016 Q3,Households-Accommodated-By-LA,,12,LA / HA stock
E06000021,2014 Q3,Households-Accommodated-By-LA,,15,All temporary housing types
E06000021,2018 Q1,Households-Accommodated-By-LA,,12,Bed and breakfast
E06000021,2012 Q1,Households-Accommodated-By-LA,,16,Bed and breakfast
E06000021,2015 Q3,Households-Accommodated-By-LA,,6,Bed and breakfast
E06000021,2012 Q3,Households-Accommodated-By-LA,,7,Bed and breakfast
E06000021,2011 Q2,Households-Accommodated-By-LA,,13,All temporary housing types
E06000021,2015 Q3,Households-Accommodated-By-LA,,14,All temporary housing types
E06000021,2016 Q3,Households-Accommodated-By-LA,,22,All temporary housing types
E06000021,2017 Q4,Households-Accommodated-By-LA,,12,Bed and breakfast
E06000021,2014 Q2,Households-Accommodated-By-LA,,7,LA / HA stock
E06000021,2014 Q2,Households-Accommodated-By-LA,,5,Bed and breakfast
E06000021,2015 Q1,Households-Accommodated-By-LA,,18,All temporary housing types
E06000021,2011 Q4,Households-Accommodated-By-LA,,9,Bed and breakfast
E06000021,2014 Q3,Households-Accommodated-By-LA,,7,LA / HA stock
E06000021,2014 Q4,Households-Accommodated-By-LA,,10,LA / HA stock
E06000021,2016 Q1,Households-Accommodated-By-LA,,8,Bed and breakfast
E06000021,2015 Q2,Households-Accommodated-By-LA,,11,LA / HA stock
E06000021,2017 Q4,Households-Accommodated-By-LA,,23,All temporary housing types
E06000021,2018 Q1,Households-Accommodated-By-LA,,13,LA / HA stock
E06000021,2017 Q3,Households-Accommodated-By-LA,,8,Bed and breakfast
E06000021,2015 Q4,Households-Accommodated-By-LA,,8,LA / HA stock
E06000021,2013 Q2,Households-Accommodated-By-LA,,8,LA / HA stock
E06000021,2017 Q3,Households-Accommodated-By-LA,,12,LA / HA stock
E06000021,2014 Q1,Households-Accommodated-By-LA,,10,LA / HA stock
E06000021,2015 Q2,Households-Accommodated-By-LA,,12,All temporary housing types
E06000021,2013 Q3,Households-Accommodated-By-LA,,5,LA / HA stock
E06000021,2017 Q4,Households-Accommodated-By-LA,,11,LA / HA stock
E06000021,2013 Q3,Households-Accommodated-By-LA,,6,Bed and breakfast
E06000021,2012 Q2,Households-Accommodated-By-LA,,10,All temporary housing types
