FeatureCode,DateCode,Measurement,Units,Value,DCLG Dwelling Stock Tenure
E06000021,2013,Numbers of Dwellings,,0,Other Public Sector
E06000021,2014,Numbers of Dwellings,,18920,Local-Authority (incl. owned by other LAs)
E06000021,2010,Numbers of Dwellings,,85120,Private Sector
E06000021,2013,Numbers of Dwellings,,86110,Private Sector
E06000021,2016,Numbers of Dwellings,,0,Other Public Sector
E06000021,2015,Numbers of Dwellings,,7610,Private Registered Provider
E06000021,2012,Numbers of Dwellings,,19120,Local-Authority (incl. owned by other LAs)
E06000021,2016,Numbers of Dwellings,,7750,Private Registered Provider
E06000021,2011,Numbers of Dwellings,,111870,All tenure types
E06000021,2013,Numbers of Dwellings,,112430,All tenure types
E06000021,2015,Numbers of Dwellings,,0,Other Public Sector
E06000021,2011,Numbers of Dwellings,,0,Other Public Sector
E06000021,2016,Numbers of Dwellings,,87570,Private Sector
E06000021,2010,Numbers of Dwellings,,0,Other Public Sector
E06000021,2011,Numbers of Dwellings,,85660,Private Sector
E06000021,2014,Numbers of Dwellings,,0,Other Public Sector
E06000021,2013,Numbers of Dwellings,,7290,Private Registered Provider
E06000021,2010,Numbers of Dwellings,,19300,Local-Authority (incl. owned by other LAs)
E06000021,2016,Numbers of Dwellings,,18560,Local-Authority (incl. owned by other LAs)
E06000021,2014,Numbers of Dwellings,,112920,All tenure types
E06000021,2015,Numbers of Dwellings,,113430,All tenure types
E06000021,2012,Numbers of Dwellings,,7090,Private Registered Provider
E06000021,2011,Numbers of Dwellings,,7020,Private Registered Provider
E06000021,2012,Numbers of Dwellings,,112150,All tenure types
E06000021,2010,Numbers of Dwellings,,6797,Private Registered Provider
E06000021,2014,Numbers of Dwellings,,86630,Private Sector
E06000021,2012,Numbers of Dwellings,,85940,Private Sector
E06000021,2013,Numbers of Dwellings,,19030,Local-Authority (incl. owned by other LAs)
E06000021,2012,Numbers of Dwellings,,0,Other Public Sector
E06000021,2015,Numbers of Dwellings,,18710,Local-Authority (incl. owned by other LAs)
E06000021,2010,Numbers of Dwellings,,111210,All tenure types
E06000021,2016,Numbers of Dwellings,,113880,All tenure types
E06000021,2014,Numbers of Dwellings,,7370,Private Registered Provider
E06000021,2015,Numbers of Dwellings,,87110,Private Sector
E06000021,2011,Numbers of Dwellings,,19190,Local-Authority (incl. owned by other LAs)
E92000001,2010,Numbers of Dwellings,,65777,Other Public Sector
E92000001,2011,Numbers of Dwellings,,63237,Other Public Sector
E92000001,2016,Numbers of Dwellings,,23733000,All tenure types
E92000001,2014,Numbers of Dwellings,,1669000,Local-Authority (incl. owned by other LAs)
E92000001,2013,Numbers of Dwellings,,23236000,All tenure types
E92000001,2016,Numbers of Dwellings,,1612000,Local-Authority (incl. owned by other LAs)
E92000001,2016,Numbers of Dwellings,,19569000,Private Sector
E92000001,2011,Numbers of Dwellings,,2319511,Private Registered Provider
E92000001,2014,Numbers of Dwellings,,2407000,Private Registered Provider
E92000001,2013,Numbers of Dwellings,,19089000,Private Sector
E92000001,2014,Numbers of Dwellings,,64000,Other Public Sector
E92000001,2015,Numbers of Dwellings,,1643000,Local-Authority (incl. owned by other LAs)
E92000001,2015,Numbers of Dwellings,,19393000,Private Sector
E92000001,2012,Numbers of Dwellings,,1693000,Local-Authority (incl. owned by other LAs)
E92000001,2014,Numbers of Dwellings,,23372000,All tenure types
E92000001,2010,Numbers of Dwellings,,2242657,Private Registered Provider
E92000001,2014,Numbers of Dwellings,,19232000,Private Sector
E92000001,2012,Numbers of Dwellings,,18985000,Private Sector
E92000001,2012,Numbers of Dwellings,,2359000,Private Registered Provider
E92000001,2011,Numbers of Dwellings,,1725905,Local-Authority (incl. owned by other LAs)
E92000001,2013,Numbers of Dwellings,,2392000,Private Registered Provider
E92000001,2015,Numbers of Dwellings,,55000,Other Public Sector
E92000001,2011,Numbers of Dwellings,,18867000,Private Sector
E92000001,2013,Numbers of Dwellings,,1682000,Local-Authority (incl. owned by other LAs)
E92000001,2010,Numbers of Dwellings,,18744000,Private Sector
E92000001,2010,Numbers of Dwellings,,22839000,All tenure types
E92000001,2015,Numbers of Dwellings,,23543000,All tenure types
E92000001,2011,Numbers of Dwellings,,22976000,All tenure types
E92000001,2010,Numbers of Dwellings,,1785845,Local-Authority (incl. owned by other LAs)
E92000001,2012,Numbers of Dwellings,,23111000,All tenure types
E92000001,2015,Numbers of Dwellings,,2452000,Private Registered Provider
E92000001,2012,Numbers of Dwellings,,75000,Other Public Sector
E92000001,2013,Numbers of Dwellings,,73000,Other Public Sector
E92000001,2016,Numbers of Dwellings,,2494000,Private Registered Provider
E92000001,2016,Numbers of Dwellings,,57000,Other Public Sector
E07000198,2012,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2014,Numbers of Dwellings,,10,Other Public Sector
E07000198,2014,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2016,Numbers of Dwellings,,10,Other Public Sector
E07000198,2010,Numbers of Dwellings,,0,Other Public Sector
E07000198,2016,Numbers of Dwellings,,3640,Private Registered Provider
E07000198,2015,Numbers of Dwellings,,40360,Private Sector
E07000198,2015,Numbers of Dwellings,,10,Other Public Sector
E07000198,2016,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2011,Numbers of Dwellings,,43590,All tenure types
E07000198,2011,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2014,Numbers of Dwellings,,40170,Private Sector
E07000198,2014,Numbers of Dwellings,,3650,Private Registered Provider
E07000198,2013,Numbers of Dwellings,,43750,All tenure types
E07000198,2015,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2015,Numbers of Dwellings,,44110,All tenure types
E07000198,2012,Numbers of Dwellings,,43660,All tenure types
E07000198,2014,Numbers of Dwellings,,43830,All tenure types
E07000198,2015,Numbers of Dwellings,,3740,Private Registered Provider
E07000198,2016,Numbers of Dwellings,,40560,Private Sector
E07000198,2012,Numbers of Dwellings,,0,Other Public Sector
E07000198,2010,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2013,Numbers of Dwellings,,0,Local-Authority (incl. owned by other LAs)
E07000198,2010,Numbers of Dwellings,,3604,Private Registered Provider
E07000198,2010,Numbers of Dwellings,,39810,Private Sector
E07000198,2016,Numbers of Dwellings,,44210,All tenure types
E07000198,2011,Numbers of Dwellings,,3646,Private Registered Provider
E07000198,2011,Numbers of Dwellings,,39930,Private Sector
E07000198,2010,Numbers of Dwellings,,43410,All tenure types
E07000198,2013,Numbers of Dwellings,,40110,Private Sector
E07000198,2012,Numbers of Dwellings,,40050,Private Sector
E07000198,2011,Numbers of Dwellings,,6,Other Public Sector
E07000198,2012,Numbers of Dwellings,,3610,Private Registered Provider
E07000198,2013,Numbers of Dwellings,,10,Other Public Sector
E07000198,2013,Numbers of Dwellings,,3630,Private Registered Provider
E10000028,2014,Numbers of Dwellings,,240,Other Public Sector
E10000028,2013,Numbers of Dwellings,,370480,All tenure types
E10000028,2016,Numbers of Dwellings,,9570,Local-Authority (incl. owned by other LAs)
E10000028,2015,Numbers of Dwellings,,9630,Local-Authority (incl. owned by other LAs)
E10000028,2015,Numbers of Dwellings,,320650,Private Sector
E10000028,2013,Numbers of Dwellings,,9910,Local-Authority (incl. owned by other LAs)
E10000028,2012,Numbers of Dwellings,,368830,All tenure types
E10000028,2014,Numbers of Dwellings,,9870,Local-Authority (incl. owned by other LAs)
E10000028,2014,Numbers of Dwellings,,43040,Private Registered Provider
E10000028,2012,Numbers of Dwellings,,250,Other Public Sector
E10000028,2012,Numbers of Dwellings,,316030,Private Sector
E10000028,2013,Numbers of Dwellings,,317270,Private Sector
E10000028,2015,Numbers of Dwellings,,590,Other Public Sector
E10000028,2013,Numbers of Dwellings,,43060,Private Registered Provider
E10000028,2014,Numbers of Dwellings,,372130,All tenure types
E10000028,2015,Numbers of Dwellings,,43670,Private Registered Provider
E10000028,2012,Numbers of Dwellings,,9970,Local-Authority (incl. owned by other LAs)
E10000028,2012,Numbers of Dwellings,,42580,Private Registered Provider
E10000028,2016,Numbers of Dwellings,,43950,Private Registered Provider
E10000028,2015,Numbers of Dwellings,,374540,All tenure types
E10000028,2016,Numbers of Dwellings,,740,Other Public Sector
E10000028,2013,Numbers of Dwellings,,240,Other Public Sector
E10000028,2016,Numbers of Dwellings,,376390,All tenure types
E10000028,2014,Numbers of Dwellings,,318970,Private Sector
E10000028,2016,Numbers of Dwellings,,322130,Private Sector
E07000193,2010,Numbers of Dwellings,,48670,All tenure types
