time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,ReportGroup,Description,school_expenditure,OtherEdComm,cyps_spend,NetExpend,NetExpendpPupil,GrossExpend,GrossExpendpPupil
201920,Financial year,National,England,E92000001,,,,,,Yearly totals,Yearly totals,26717.9,3080.16,10530.8,22114.15783,5760.18,23661.65491,6162.29
201819,Financial year,National,England,E92000001,,,,,,Yearly totals,Yearly totals,27019.5,2919.76,9854.91,22202.50544,5465.85,23798.34376,5856.61
201718,Financial year,National,England,E92000001,,,,,,Yearly totals,Yearly totals,27428.7,2768.4,9419.01,23408.75962,5367.81,25023.78294,5737.55
201617,Financial year,National,England,E92000001,,,,,,Yearly totals,Yearly totals,28128,2997.68,9158.4,25088.27451,5388.00,26811.87838,5754.65
201516,Financial year,National,England,E92000001,,,,,,Yearly totals,Yearly totals,28957,2971.05,9012.32,25849.38239,5313.87,27523.94964,5657.01
201415,Financial year,National,England,E92000001,,,,,,Yearly totals,Yearly totals,29552.8,3176.03,8933.02,26394.14021,5212.50,28060.36129,5542.01
201920,Financial year,Regional,England,E92000001,North East,E12000001,,,,Yearly totals,Yearly totals,1249.68,185.139,605.162,1107.10590,5795.41,1172.88108,6140.53
201819,Financial year,Regional,England,E92000001,North East,E12000001,,,,Yearly totals,Yearly totals,1279,173.547,556.189,1120.48634,5467.61,1193.18074,5822.11
201718,Financial year,Regional,England,E92000001,North East,E12000001,,,,Yearly totals,Yearly totals,1320.13,160.187,586.091,1205.77665,5405.67,1280.58336,5745.95
201617,Financial year,Regional,England,E92000001,North East,E12000001,,,,Yearly totals,Yearly totals,1351.68,163.975,504.469,1275.07502,5382.95,1357.56020,5731.16
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Yearly totals,Yearly totals,1384.43,168.16,488.564,1320.62114,5305.80,1404.34706,5645.48
201415,Financial year,Regional,England,E92000001,North East,E12000001,,,,Yearly totals,Yearly totals,1422.97,176.335,471.105,1344.22918,5199.04,1423.81409,5505.98
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,Yearly totals,Yearly totals,48.9353,5.12034,27.6397,43.13126,5697.86,45.74305,6049.70
201819,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,Yearly totals,Yearly totals,47.954,6.57159,26.8863,42.87688,5509.63,45.40732,5830.45
201718,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,Yearly totals,Yearly totals,48.8659,5.77156,24.7903,43.04973,5394.84,46.20296,5798.86
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,Yearly totals,Yearly totals,49.1365,7.85444,23.5644,45.44186,5325.12,48.39682,5679.26
201516,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,Yearly totals,Yearly totals,51.3873,7.04858,22.2283,47.07227,5379.07,49.68099,5677.18
201415,Financial year,Local authority,England,E92000001,North East,E12000001,Hartlepool,805,E06000001,Yearly totals,Yearly totals,64.6818,7.60829,22.4955,57.12414,5257.31,60.12796,5560.53
201920,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,Yearly totals,Yearly totals,49.9582,10.8565,51.8059,31.40475,6724.41,33.09357,7099.10
201819,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,Yearly totals,Yearly totals,57.6618,9.95822,44.7485,31.78881,5420.55,33.20657,5666.07
