time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_phase,revenue_state,number_schools,PercSchools,total_revenue_balance,average_revenue_balance,B01,B02,B06,total_income,perc_BalanceofIncome,NumOverThresh,PercOverThresh,ValueOverThresh,AveValueOverThresh
201920,Financial year,National,E92000001,England,,,,,,Nursery,Deficit,81,21.0,-8.823425,-0.108931,3874.500000,-9051897.936035,224598.059631,53.474456,-16.5003,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Nursery,Surplus,304,79.0,36.308513,0.119436,12956821.995178,24922729.656231,-1571038.713628,202.738641,17.9090,218,56.6,22.2413,102024
201920,Financial year,National,E92000001,England,,,,,,Nursery,Total,385,100.0,27.485088,0.071390,12960696.495178,15870831.720195,-1346440.653997,256.213097,10.7274,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Primary,Deficit,1144,10.3,-74.033611,-0.064715,1162945.357280,-77666271.084267,2469715.115490,1480.473146,-5.0007,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Primary,Surplus,9883,89.1,1223.131321,0.123761,527412995.617236,665319251.134007,30399074.219618,14028.761716,8.7187,4608,41.5,380.2690,82524
201920,Financial year,National,E92000001,England,,,,,,Primary,Total,11097,100.0,1149.097710,0.103550,528575957.954515,587760277.082435,32761475.322414,15509.234862,7.4091,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Pupil referral unit,Deficit,43,20.7,-8.273423,-0.192405,71938.019531,-8336080.119736,-9280.509766,78.310892,-10.5648,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Pupil referral unit,Surplus,153,73.6,31.306687,0.204619,11353829.874299,19938280.851758,14576.040039,265.305609,11.8002,84,40.4,15.2217,181210
201920,Financial year,National,E92000001,England,,,,,,Pupil referral unit,Total,208,100.0,23.033264,0.110737,11425767.893831,11602200.732022,5295.530273,343.616501,6.7032,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Secondary,Deficit,221,26.8,-150.217926,-0.679719,843075.981445,-150887839.823730,-173161.826372,1158.574246,-12.9658,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Secondary,Surplus,601,72.8,275.227165,0.457949,116295196.158447,156343859.517052,2588109.263768,3815.250985,7.2139,328,39.7,128.1213,390614
201920,Financial year,National,E92000001,England,,,,,,Secondary,Total,826,100.0,125.009239,0.151343,117138272.139893,5456019.693322,2414947.437396,4973.825231,2.5133,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Special,Deficit,86,13.4,-25.012770,-0.290846,45001.228516,-25013235.965942,-44534.951721,227.425787,-10.9982,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Special,Surplus,552,86.0,156.873338,0.284191,64802446.299036,91056599.308049,1014292.195389,1670.542895,9.3906,303,47.2,54.7480,180687
201920,Financial year,National,E92000001,England,,,,,,Special,Total,642,100.0,131.860568,0.205390,64847447.527552,65911157.035232,1101963.550543,1897.968682,6.9475,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Total,Deficit,1575,12.0,-266.361154,-0.169118,2126835.086772,-270955324.929711,2467335.887262,2998.258527,-8.8839,:,:,:,:
201920,Financial year,National,E92000001,England,,,,,,Total,Surplus,11493,87.3,1722.847023,0.149904,732821289.944197,957580720.467097,32445013.005186,19982.599847,8.6217,5541,42.1,600.6013,108392
201920,Financial year,National,E92000001,England,,,,,,Total,Total,13158,100.0,1456.485869,0.110692,734948142.010968,686600486.263206,34937241.186629,22980.858374,6.3378,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Nursery,Deficit,3,9.7,-0.477883,-0.159294,3874.500000,-505702.546875,23945.149994,0.603717,-79.1568,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Nursery,Surplus,28,90.3,2.643519,0.094411,2363670.570557,377948.543152,-98099.808472,14.378077,18.3858,19,61.3,1.6816,88505
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Nursery,Total,31,100.0,2.165636,0.069859,2367545.070557,-127754.003723,-74154.658478,14.981794,14.4551,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Primary,Deficit,79,12.6,-4.252853,-0.053834,1820.000000,-4217644.662767,-37028.039551,79.621534,-5.3413,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Primary,Surplus,536,85.6,60.144432,0.112210,41543008.096497,17720324.439575,881099.227188,672.844053,8.9388,274,43.8,19.1640,69942
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Primary,Total,626,100.0,55.891579,0.089284,41544828.096497,13502679.776808,844071.187637,758.429572,7.3694,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Pupil referral unit,Deficit,6,50.0,-0.606520,-0.101087,0.000000,-606519.860703,0.000000,5.895031,-10.2887,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Pupil referral unit,Surplus,5,41.7,0.201899,0.040380,43213.730469,165004.966797,-6319.950195,5.890962,3.4273,0,0.0,0.0000,0
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Pupil referral unit,Total,12,100.0,-0.404621,-0.033718,43213.730469,-441514.893906,-6319.950195,17.937641,-2.2557,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Secondary,Deficit,23,39.7,-24.768447,-1.076889,113960.781250,-24815798.563965,-66609.877258,97.114640,-25.5043,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Secondary,Surplus,34,58.6,10.909976,0.320882,6527430.734375,4368377.626660,14167.439697,149.101467,7.3171,22,37.9,4.6726,212392
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Secondary,Total,58,100.0,-13.858472,-0.238939,6641391.515625,-20447420.937305,-52442.437561,248.382494,-5.5795,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Special,Deficit,6,15.4,-0.948832,-0.158139,0.000000,-948832.093750,0.000000,9.039871,-10.4961,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Special,Surplus,33,84.6,9.050377,0.274254,6543778.035156,2407552.541016,99046.642212,94.676551,9.5593,19,48.7,2.7296,143665
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Special,Total,39,100.0,8.101545,0.207732,6543778.035156,1458720.447266,99046.642212,103.716422,7.8112,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Total,Deficit,117,15.3,-31.054535,-0.265423,119655.281250,-31094497.728060,-79692.766815,192.274793,-16.1511,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Total,Surplus,636,83.0,82.950203,0.130425,57021101.167053,25039208.117200,889893.550430,936.891110,8.8538,334,43.6,28.2478,84574
201920,Financial year,Regional,E92000001,England,E12000001,North East,,,,Total,Total,766,100.0,51.895668,0.067749,57140756.448303,-6055289.610860,810200.783615,1143.447924,4.5385,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Nursery,Deficit,19,28.4,-1.640807,-0.086358,0.000000,-2244308.968262,603501.587891,7.821181,-20.9790,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Nursery,Surplus,48,71.6,2.925298,0.060944,778313.563782,2069410.227539,77573.976250,25.811275,11.3334,32,47.8,1.2417,38802
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Nursery,Total,67,100.0,1.284490,0.019171,778313.563782,-174898.740723,681075.564141,33.632455,3.8192,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Primary,Deficit,211,10.2,-11.180616,-0.052989,10338.600098,-11191547.283936,592.909986,243.255975,-4.5962,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Primary,Surplus,1841,89.3,177.027854,0.096159,67688927.527736,107104008.764966,2234917.523565,2438.605538,7.2594,730,35.4,34.7796,47643
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Primary,Total,2061,100.0,165.847238,0.080469,67699283.107833,95912461.481030,2235493.453551,2686.669149,6.1730,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Pupil referral unit,Deficit,8,21.1,-1.607449,-0.200931,0.000000,-1607449.460938,0.000000,18.299721,-8.7840,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Pupil referral unit,Surplus,30,78.9,3.425189,0.114173,1326631.981445,2098556.810547,0.000000,50.422847,6.7929,11,28.9,0.8402,76383
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Pupil referral unit,Total,38,100.0,1.817739,0.047835,1326631.981445,491107.349609,0.000000,68.722568,2.6450,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Secondary,Deficit,47,24.6,-36.031163,-0.766620,0.000000,-36108883.195313,77719.704102,223.993103,-16.0858,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Secondary,Surplus,144,75.4,50.320209,0.349446,16596486.559570,32449444.390640,1274278.597278,855.951896,5.8789,79,41.4,17.0952,216395
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Secondary,Total,191,100.0,14.289046,0.074812,16596486.559570,-3659438.804673,1351998.301379,1079.944999,1.3231,:,:,:,:
201920,Financial year,Regional,E92000001,England,E12000002,North West,,,,Special,Deficit,11,8.8,-3.454598,-0.314054,0.000000,-3454597.501953,0.000000,22.786232,-15.1609,:,:,:,:
