time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,ReportGroup,Description,AllocatedDSGFunding,Plannedspend,Net
201920,Financial year,National,England,E92000001,,,,,,DSG Funding Allocation,Central School Services,467.04136599,454.39512803,12.64623796
201920,Financial year,National,England,E92000001,,,,,,DSG Funding Allocation,Early Years,3605.52522218,3513.74245574,91.78276644
201920,Financial year,National,England,E92000001,,,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),5493.03899978,6086.6556114,-593.61661162
201920,Financial year,National,England,E92000001,,,,,,DSG Funding Allocation,Schools (after academy recoupment),16113.04623146,15949.01106036,164.0351711
201920,Financial year,National,England,E92000001,,,,,,DSG Funding Allocation,Total DSG,25678.65181941,26003.80425553,-325.15243612
201920,Financial year,Regional,England,E92000001,North East,E12000001,,,,DSG Funding Allocation,Central School Services,21.60873176,20.81386825,0.79486351
201920,Financial year,Regional,England,E92000001,North East,E12000001,,,,DSG Funding Allocation,Early Years,171.93727975,170.01928883,1.91799092
201920,Financial year,Regional,England,E92000001,North East,E12000001,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),245.98438054,269.16965157,-23.18527103
201920,Financial year,Regional,England,E92000001,North East,E12000001,,,,DSG Funding Allocation,Schools (after academy recoupment),766.10501913,764.03618977,2.06882936
201920,Financial year,Regional,England,E92000001,North East,E12000001,,,,DSG Funding Allocation,Total DSG,1205.63541118,1224.03899842,-18.40358724
201920,Financial year,Regional,England,E92000001,North West,E12000002,,,,DSG Funding Allocation,Central School Services,55.50752327,54.65526015,0.85226312
201920,Financial year,Regional,England,E92000001,North West,E12000002,,,,DSG Funding Allocation,Early Years,495.04037188,449.35197753,45.68839435
201920,Financial year,Regional,England,E92000001,North West,E12000002,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),733.58523901,797.61223399,-64.02699498
201920,Financial year,Regional,England,E92000001,North West,E12000002,,,,DSG Funding Allocation,Schools (after academy recoupment),2982.61192369,2890.02670006,92.58522363
201920,Financial year,Regional,England,E92000001,North West,E12000002,,,,DSG Funding Allocation,Total DSG,4266.74505785,4191.64617173,75.09888612
201920,Financial year,Regional,England,E92000001,Yorkshire and the Humber,E12000003,,,,DSG Funding Allocation,Central School Services,43.05384796,40.87540499,2.17844297
201920,Financial year,Regional,England,E92000001,Yorkshire and the Humber,E12000003,,,,DSG Funding Allocation,Early Years,351.63748338,342.05573263,9.58175075
201920,Financial year,Regional,England,E92000001,Yorkshire and the Humber,E12000003,,,,DSG Funding Allocation,High Needs (after deductions for academy and post school high needs place funding),463.71339052,529.9685868,-66.25519628
201920,Financial year,Regional,England,E92000001,Yorkshire and the Humber,E12000003,,,,DSG Funding Allocation,Schools (after academy recoupment),1413.59331667,1399.5794999,14.01381677
201920,Financial year,Regional,England,E92000001,Yorkshire and the Humber,E12000003,,,,DSG Funding Allocation,Total DSG,2271.99803853,2312.47922432,-40.48118579
201920,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,DSG Funding Allocation,Central School Services,44.85895114,45.69558965,-0.83663851
201920,Financial year,Regional,England,E92000001,East Midlands,E12000004,,,,DSG Funding Allocation,Early Years,280.1592686,275.99336425,4.16590435
