time_period,time_identifier,geographic_level,country_name,country_code,school_phase,expenditure_type,expenditure_description,expenditure,expenditure_per_pupil
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Teaching Staff (E01),12476.56,2519
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Supply teaching staff (E02),202.67,41
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Education support staff (E03),4697.78,948
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Premises staff (E04),583.81,118
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Administrative and clerical staff (E05),1391.36,281
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Catering staff (E06),114.45,23
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Cost of other staff (E07),503.03,102
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Indirect employee expenses (E08),151.34,31
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Development and training (E09),180.86,37
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Supply teacher insurance (E10),145.53,29
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Staff related insurance (E11),46.84,9
201516,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Building maintenance and improvement (E12),592.23,120
201516,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Grounds maintenance and improvement (E13),92.53,19
201516,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Cleaning and caretaking (E14),289.92,59
201516,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Water and sewerage (E15),90.12,18
201516,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Energy (E16),347.13,70
201516,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Rates (E17),309.52,62
201516,Financial year,National,England,E92000001,All LA maintained schools,Premises related expenditure,Other occupation costs (E18),189.94,38
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Learning resources (not ICT equipment) (E19),1172.65,237
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,ICT learning resources (E20),373.58,75
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Exam fees (E21),105.11,21
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Administrative supplies (E22),321.56,65
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Other insurance premiums (E23),147.08,30
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Special facilities (E24),152.31,31
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Catering supplies (E25),941.86,190
201516,Financial year,National,England,E92000001,All LA maintained schools,Staff related expenditure,Agency supply teaching staff (E26),554.64,112
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Bought in professional services – curriculum (E27),553.23,112
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,"Bought in professional services, other, not PFI (E28A)",x,x
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,"Bought in professional services, other, PFI (E28b)",x,x
201516,Financial year,National,England,E92000001,All LA maintained schools,Supplies and services expenditure,Total bought in professional services (E28a/b),619.44,125
201516,Financial year,National,England,E92000001,All LA maintained schools,Finance related expenditure,Loan interest (E29),2.83,1
201516,Financial year,National,England,E92000001,All LA maintained schools,Finance related expenditure,Direct revenue financing (revenue contributions to capital) (E30),204.96,41
