time_period,time_identifier,geographic_level,country_name,country_code,school_phase,income_type,income_description,income,income_per_pupil
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funds delegated by LA Pre16 (I01),21512.53,4343
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funds delegated by LA VIthForm (I02),681.01,5244
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Total funds delegated by LA (I01 & I02),22193.53,4480
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,SEN funding (I03),1465.59,296
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Funding minority ethnic pupils (I04),25.67,5
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Pupil premium (I05),1611.69,325
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other government grants (I06),123.51,25
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other grants payments (I07),204.33,41
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from lettings (I08a),x,x
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from facilities services (I08b),x,x
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Total income from lettings facilities services (I08ab),639.04,129
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income from catering (I09),272.19,55
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Receipts supply teacher insurance claims (I10),89.2,18
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Receipts other  insurance claims (I11),31.06,6
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Income contributions visits etc (I12),185.94,38
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Donations and/or private funds (I13),173.68,35
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Pupil focussed extended school funding (I15),15.72,3
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Community focussed school funding (I16),95.43,19
201516,Financial year,National,England,E92000001,All LA maintained schools,Self generated funding,Community focused facilities income (I17),79.12,16
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Coronavirus Job Retention Scheme (I18a),x,x
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Exceptional costs grant COVID-19 (I18b),x,x
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Income COVID-19 catch up package (I18c),x,x
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Other additional grants (I18d),563.22,114
201516,Financial year,National,England,E92000001,All LA maintained schools,Grant funding,Total additional grant (I18 total),563.22,114
201516,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital income (CI01),187.84,38
201516,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital voluntary private income (CI03),17.19,3
201516,Financial year,National,England,E92000001,All LA maintained schools,Capital funding,Capital direct revenue financing(CI04),180.12,36
201516,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total grant funding,26298.7,5309
201516,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total direct grants,22521.38,4546
201516,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total community grants,658.65,133
201516,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total targetted grants,3118.67,630
201516,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total self generated income,831.19,168
201516,Financial year,National,England,E92000001,All LA maintained schools,Total income,Total income,27563.97,5564
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Funds delegated by LA Pre16 (I01),187.6,7526
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Funds delegated by LA VIthForm (I02),low,low
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Total funds delegated by LA (I01 & I02),187.6,7526
201516,Financial year,National,England,E92000001,Nursery,Grant funding,SEN funding (I03),6.5,261
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Funding minority ethnic pupils (I04),low,low
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Pupil premium (I05),1.61,65
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Other government grants (I06),5.21,209
201516,Financial year,National,England,E92000001,Nursery,Grant funding,Other grants payments (I07),8.85,355
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from lettings (I08a),x,x
201516,Financial year,National,England,E92000001,Nursery,Self generated funding,Income from facilities services (I08b),x,x
