time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,school_phase,number_schools,number_schools_with_surplus,number_schools_with_deficit,PC_schools_with_surplus,PC_schools_with_deficit,total_revenue_balance,average_revenue_balance,revenue_balance_as_pc_total_income,total_revenue_reserve_schools_surplus,total_revenue_reserve_schools_deficit,number_schools_with_surplus_over_threshold,pc_schools_with_surplus_over_threshold,school_surplus_over_threshold,school_over_threshold_av_per_school,committed_revenue_balances(B01),uncommitted_revenue_balances(B02),devolved_formula_capital_balance(B03),other_capital_balances(B05),community_focussed_school_revenue_balance(B06),outstanding_balance_of_capital_loans_to_school(B07),opening_pupil_focussed_revenue_balance(OB01),opening_community_focussed_revenue_balance(OB02),opening_capital_balance(OB03),total_income
201516,Financial year,National,England,E92000001,,,,,,All LA maintained schools,16774,15621,1000,93.1,6,2086820460,124415,7.6,2206684277,-119863817,8074,51.7,1677025271,207707,1035153748,1015350096,137193458,47570259,36316616,x,2010699744,35755072,189988041,27563969208
201516,Financial year,National,England,E92000001,,,,,,Nursery,402,351,51,87.3,12.7,34319820,85373,12.2,36960434,-2640615,247,70.4,33867254,137114,14249672,15568660,3634014,24637,4501488,x,28313728,5879606,3788419,282046263
201516,Financial year,National,England,E92000001,,,,,,Primary,14026,13287,627,94.7,4.5,1522115275,108529,8.4,1545283952,-23168676,6684,50.3,1128208808,168792,756132971,739602944,99383578,24085812,26379361,x,1419938764,25056490,131305096,18081669834
201516,Financial year,National,England,E92000001,,,,,,PRU,283,229,33,80.9,11.7,40424475,142843,9.6,43053798,-2629323,140,61.1,36544675,261033,15737634,24637885,3454066,146309,48956,x,36846139,48415,3752350,422157576
201516,Financial year,National,England,E92000001,,,,,,Secondary,1247,1008,222,80.8,17.8,312272045,250419,4.6,394770490,-82498445,573,56.8,327761457,572010,163512520,145615700,19312529,18192658,3143825,x,352155883,3267534,34111730,6792774695
201516,Financial year,National,England,E92000001,,,,,,Special,816,746,67,91.4,8.2,177688845,217756,9,186615603,-8926758,430,57.6,150643078,350333,85520950,89924908,11409271,5120843,2242987,x,173445230,1503028,17030446,1985320840
201617,Financial year,National,England,E92000001,,,,,,All LA maintained schools,16106,14498,1461,90,9.1,1702027252,105683,6.4,1893691800,-191664549,6538,45.1,1376236794,210498,826317185,839437330,125587646,37371167,36272737,x,1977259991,34505906,178975201,26494425004
201617,Financial year,National,England,E92000001,,,,,,Nursery,402,328,73,81.6,18.2,29214185,72672,10.4,33041858,-3827674,215,65.5,29604189,137694,10446407,12958215,3120639,532358,5809563,x,29109261,4793343,4129152,280228798
201617,Financial year,National,England,E92000001,,,,,,Primary,13511,12461,954,92.2,7.1,1307230132,96753,7.4,1349361267,-42131134,5421,43.5,938862547,173190,634778189,647300139,93079938,19859905,25151804,x,1452078779,23480496,120618579,17602412679
201617,Financial year,National,England,E92000001,,,,,,PRU,261,196,47,75.1,18,33600599,128738,8.1,39375059,-5774460,116,59.2,33174330,285986,14313728,19172914,3031121,316300,113957,x,38110814,50599,3322121,416994388
201617,Financial year,National,England,E92000001,,,,,,Secondary,1158,830,304,71.7,26.3,183292431,158420,2.9,309717607,-126425176,431,51.9,248863390,577409,98608785,81109109,15833290,13529562,3574537,x,289703403,3913959,35513324,6238716233
201617,Financial year,National,England,E92000001,,,,,,Special,774,683,83,88.2,10.7,148689904,192106,7.6,162196009,-13506104,355,52,125732339,354176,68170077,78896952,10522658,3133042,1622876,x,168257734,2267509,15392024,1956072906
201718,Financial year,National,England,E92000001,,,,,,All LA maintained schools,15052,13336,1532,88.6,10.2,1560739554,103690,6.2,1793987126,-233247572,6194,46.4,1313880077,212121,784293144,739649004,116062210,31631979,36797406,x,1560969709,35385304,151995375,24988364236
201718,Financial year,National,England,E92000001,,,,,,Nursery,394,314,80,79.7,20.3,28774414,73032,10.3,33638277,-4863863,218,69.4,30509045,139950,10029019,15494397,3181400,547657,3250997,x,23470803,6102816,3725328,280701815
201718,Financial year,National,England,E92000001,,,,,,Primary,12656,11495,1019,90.8,8.1,1251986335,98924,7.5,1302858563,-50872228,5175,45,921268800,178023,605472685,618616725,86383235,17361103,27896925,x,1205053025,23969804,105815118,16739668979
201718,Financial year,National,England,E92000001,,,,,,PRU,243,176,47,72.4,19.3,26783090,110218,6.7,36490600,-9707510,109,61.9,32035282,293902,14505691,11844351,2870006,382472,433048,x,33492478,418383,3322710,397217251
201718,Financial year,National,England,E92000001,,,,,,Secondary,1037,705,313,68,30.2,109499499,105593,1.9,260856700,-151357201,354,50.2,206741300,584015,84779129,21534981,13805842,9319060,3185389,x,159165166,3313411,25893714,5646799766
201718,Financial year,National,England,E92000001,,,,,,Special,722,646,73,89.5,10.1,143696216,199025,7.5,160142986,-16446769,338,52.3,123325651,364869,69506619,72158550,9821726,4021687,2031047,x,139788238,1580891,13238506,1923976425
201819,Financial year,National,England,E92000001,,,,,,All LA maintained schools,13959,12459,1376,89.3,9.9,1541747233,110448,6.5,1775006638,-233259405,5998,48.1,1316456803,219483,827377263,681289678,218646590,46188352,33080292,x,1425486275,32160481,136771038,23882221770
201819,Financial year,National,England,E92000001,,,,,,Nursery,393,321,69,81.7,17.6,29760979,75728,10.4,36483480,-6722500,215,67,33280987,154795,12586876,15401022,4562125,988868,1773082,x,25164411,3409955,3721867,286107590
201819,Financial year,National,England,E92000001,,,,,,Primary,11750,10729,927,91.3,7.9,1239486028,105488,7.7,1291632069,-52146042,5032,46.9,928373085,184494,604897328,606480930,160190369,27571076,28107769,x,1143037954,25235544,96951873,16096352122
201819,Financial year,National,England,E92000001,,,,,,PRU,220,172,35,78.2,15.9,27781996,126282,7.1,34008350,-6226354,98,57,29102115,296960,12676471,15065233,3790538,433040,40291,x,26564972,34332,3402743,390952826
201819,Financial year,National,England,E92000001,,,,,,Secondary,916,645,260,70.4,28.4,105280290,114935,2,253128804,-147848514,326,50.5,201509108,618126,127176851,-23480867,34706233,11577018,1584305,x,96847336,1795904,19393509,5210238930
201819,Financial year,National,England,E92000001,,,,,,Special,680,592,85,87.1,12.5,139437941,205056,7.3,159753935,-20315994,327,55.2,124191508,379791,70039736,67823359,15397325,5618350,1574845,x,133871602,1684746,13301046,1898570302
201920,Financial year,National,England,E92000001,,,,,,All LA maintained schools,13158,11493,1575,87.3,12,1456485870,110692,6.2,1722847024,-266361154,5398,47,1280957196,237302,734948142,686600486,153675431,29397389,34937241,x,1447380694,32218222,250928378,23636414381
201920,Financial year,National,England,E92000001,,,,,,Nursery,384,304,80,79.2,20.8,27502336,71621,9.7,36308513,-8806177,204,67.1,33413248,163790,12960696,15888080,3910727,434311,-1346441,x,28112080,1555865,5513201,284741174
201920,Financial year,National,England,E92000001,,,,,,Primary,11098,9883,1145,89.1,10.3,1149080463,103539,7.2,1223131321,-74050858,4490,45.4,874081398,194673,528575958,587743029,113924576,16592935,32761475,x,1166551782,26271413,177438328,15929938557
201920,Financial year,National,England,E92000001,,,,,,PRU,208,153,43,73.6,20.7,23033264,110737,6,31306687,-8273423,83,54.2,26349265,317461,11425768,11602201,2835825,262081,5296,x,26958299,23855,3939087,384050362
201920,Financial year,National,England,E92000001,,,,,,Secondary,826,601,221,72.8,26.8,125009239,151343,2.5,275227165,-150217926,323,53.7,226586871,701507,117138272,5456020,21376367,8009811,2414947,x,92533958,2430289,43838446,5087626688
201920,Financial year,National,England,E92000001,,,,,,Special,642,552,86,86,13.4,131860568,205390,6.8,156873338,-25012770,298,54,120526414,404451,64847448,65911157,11627935,4098251,1101964,x,133224576,1936802,20199315,1950057600
202021,Financial year,National,England,E92000001,,,,,,All LA maintained schools,12655,11531,1059,91.1,8.4,2030946747,160486,8.6,2268350585,-237403837,7328,63.6,1918618460,261820,1003410733,1003700228,136520024,44020344,23835786,x,1352858535,33848939,175225758,23666031480
202021,Financial year,National,England,E92000001,,,,,,Nursery,382,287,94,75.1,24.6,26257983,68738,9.7,38484121,-12226139,214,74.6,36172822,169032,13225811,15526852,3923778,565479,-2494680,x,29249631,-1346049,4478610,271845634
202021,Financial year,National,England,E92000001,,,,,,Primary,10686,9929,711,92.9,6.7,1532717242,143432,9.6,1596350816,-63633574,6214,62.6,1321291766,212631,703223050,803624478,100859967,14660581,25869714,x,1077667439,32341376,125573242,15919813191
202021,Financial year,National,England,E92000001,,,,,,PRU,193,150,33,77.7,17.1,33446545,173298,8.9,39638737,-6192192,101,67.3,35751311,353973,16819133,16651140,2508424,158570,-23727,x,22602059,-120,2757055,375250560
202021,Financial year,National,England,E92000001,,,,,,Secondary,778,629,147,80.8,18.9,250994516,322615,4.9,378897099,-127902582,438,69.6,339516500,775152,180930398,70670733,17043301,24740213,-606614,x,97282502,1758878,26856738,5077907382
202021,Financial year,National,England,E92000001,,,,,,Special,616,536,74,87,12,187530461,304433,9.3,214979811,-27449350,361,67.4,185886062,514920,89212341,97227027,12184555,3895501,1091093,x,126056904,1094855,15560115,2021214713
202122,Financial year,National,England,E92000001,,,,,,All LA maintained schools,12221,11077,1075,90.6,8.8,2181446864,178500,9.1,2380069970,-198623106,6761,61,2020726690,298880,1098946834,1049580344,124924956,43439619,32919686,21740041,1991746347,27097904,174090051,24095652777
202122,Financial year,National,England,E92000001,,,,,,Nursery,381,267,113,70.1,29.7,21551244,56565,7.8,37699693,-16148448,204,76.4,35499527,174017,11954752,10381945,3953824,547411,-785453,6947,27697925,-1494828,4480530,275955223
202122,Financial year,National,England,E92000001,,,,,,Primary,10335,9507,783,92,7.6,1505681972,145688,9.3,1576575143,-70893171,5595,58.9,1282706227,229259,709453725,765159946,93830666,15232264,31068300,6937474,1476535804,26171021,111802679,16186908516
202122,Financial year,National,England,E92000001,,,,,,PRU,185,147,27,79.5,14.6,41539695,224539,10.9,48130255,-6590560,107,72.8,44428937,415224,18621110,22990233,2264056,149958,-71648,0,33215605,-25330,2535010,381193939
202122,Financial year,National,England,E92000001,,,,,,Secondary,727,628,94,86.4,12.9,391615258,538673,7.7,473100482,-81485224,483,76.9,440373837,911747,245500428,144536484,12926908,23423755,1578346,12377989,267964410,1356852,39663418,5118086319
202122,Financial year,National,England,E92000001,,,,,,Special,593,528,58,89,9.8,221058695,372780,10.4,244564397,-23505702,372,70.5,217718163,585264,113416820,106511735,11949502,4086231,1130140,2417630,186332604,1090189,15608415,2133508780
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,All LA maintained schools,953,866,80,90.9,8.4,100568262,105528,7.2,109779576,-9211314,483,55.8,85269460,176541,75184598,24215547,9087817,1017603,1168117,x,100245324,1253434,10715856,1403416455
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Nursery,35,31,4,88.6,11.4,2679960,76570,17.5,2796368,-116408,27,87.1,2720046,100742,2163965,326471,330388,-4284,189524,x,2653958,153611,444122,15305174
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Primary,763,711,49,93.2,6.4,77435639,101488,8.9,79140026,-1704387,389,54.7,61146591,157189,58786179,17720517,5977562,315953,928943,x,72971341,1083258,6721700,873848745
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,PRU,17,12,3,70.6,17.6,2506580,147446,10.5,2569021,-62441,7,58.3,2293641,327663,2030536,476044,227234,0,0,x,1517325,0,217801,23924965
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Secondary,94,69,23,73.4,24.5,9198597,97857,2.3,16505560,-7306963,38,55.1,12435247,327243,5505051,3809655,2110834,695174,-116109,x,14661641,-132202,2755557,393314794
201516,Financial year,Regional,England,E92000001,North East,E12000001,,,,Special,44,43,1,97.7,2.3,8747486,198807,9,8768601,-21115,22,51.2,6673936,303361,6698868,1882860,441799,10760,165758,x,8441059,148767,576677,97022777
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,All LA maintained schools,2779,2568,189,92.4,6.8,284608387,102414,6.4,306933154,-22324767,1119,43.6,207578749,185504,129018988,152353964,15618538,3873007,3235435,x,286758991,2547317,21242039,4460574369
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Nursery,69,59,10,85.5,14.5,2763813,40055,7.2,3377382,-613568,30,50.8,2811588,93720,1092004,1163231,271873,48043,508578,x,3177895,577887,370977,38473824
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Primary,2277,2137,127,93.9,5.6,199785491,87741,7.3,203865672,-4080181,884,41.4,127791803,144561,89921872,107668792,10325431,2040992,2194827,x,194109017,1860484,13453544,2743197003
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,PRU,47,36,5,76.6,10.6,3585256,76282,5.1,3933196,-347940,17,47.2,2514996,147941,1539396,2045861,557572,40269,0,x,3409922,0,626266,70073625
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Secondary,243,199,41,81.9,16.9,52150371,214611,4,68377817,-16227446,110,55.3,53421134,485647,24581458,27057351,2573079,1118461,511562,x,59650023,90553,3770075,1299138336
201516,Financial year,Regional,England,E92000001,North West,E12000002,,,,Special,143,137,6,95.8,4.2,26323455,184080,8.5,27379088,-1055632,78,56.9,21039227,269734,11884258,14418729,1890583,625243,20468,x,26412134,18393,3021178,309691581
