time_period,time_identifier,geographic_level,country_name,country_code,main_category,category_of_expenditure,early_years_establishments,primary_schools,secondary_schools,sen_and_special_schools,pupil_referral_units_and_alt_provision,post_16,gross_expenditure,income,net_expenditure,net_per_capita_expenditure
201516,Financial year,National,England,E92000001,Schools,1.1.3 Support to UPEG and bilingual learners,x,24.03,6.13,x,x,x,30.16,5.55,24.62,5
201516,Financial year,National,England,E92000001,Schools,1.2.4 Additional high needs targeted funding for mainstream schools and academies,0.15,28.39,17.24,x,x,x,45.78,0.16,45.62,4
201516,Financial year,National,England,E92000001,Schools,1.1.1 Contingencies,x,35.44,18.62,x,x,x,54.06,3.09,50.97,9
201516,Financial year,National,England,E92000001,Schools,1.2.3 Top-up and other funding – non-maintained and independent providers,9.4,73.71,117.95,576.05,12.09,150.75,939.95,16.72,923.23,71
201516,Financial year,National,England,E92000001,Other education and community,"2.1.2 SEN administration, assessment and coordination and monitoring",x,x,x,x,x,x,131.89,17.35,114.53,14
201516,Financial year,National,England,E92000001,Other education and community,"2.1.3 Independent Advice and Support Services (Parent partnership), guidance and information",x,x,x,x,x,x,18.97,2.85,16.12,2
201516,Financial year,National,England,E92000001,Schools,1.2.1 Top-up funding – maintained schools,18.53,414.42,156.73,858.54,139.06,x,1587.29,34.72,1552.57,120
201516,Financial year,National,England,E92000001,Schools,"1.2.2 Top-up funding – academies, free schools and colleges",1.73,85.53,150.04,182.46,25.52,120.26,565.53,4.53,561,43
201516,Financial year,National,England,E92000001,Other education and community,2.1.5 Home to school transport (pre 16): mainstream home to school transport expenditure,1.47,108.26,243.81,2.98,5.54,x,363.28,20.06,343.22,42
201516,Financial year,National,England,E92000001,Schools,"1.0.1 Individual Schools Budget, after academy recoupment",2463.25,14156.07,5989.48,918.15,195.28,x,23722.23,0,23722.23,4404
201516,Financial year,National,England,E92000001,Schools,"1.2.10 PFI/ BSF costs at special schools, AP/ PRUs and Post 16 institutions only",x,x,x,7.63,0.09,x,7.72,1.81,5.91,0
201516,Financial year,National,England,E92000001,Schools,1.1.2 Behaviour support services,x,26.99,4.14,x,x,x,31.12,1.82,29.3,5
201516,Financial year,National,England,E92000001,Schools,1.1.4 Free school meals eligibility,x,3.34,1.15,x,x,x,4.49,0.23,4.25,1
201516,Financial year,National,England,E92000001,Schools,1.1.5 Insurance,x,8.91,3.47,x,x,x,12.38,0.01,12.37,2
201516,Financial year,National,England,E92000001,Schools,1.1.6 Museum and Library services,x,2.84,0.08,x,x,x,2.92,0.14,2.78,1
201516,Financial year,National,England,E92000001,Schools,1.1.7 Licences/subscriptions,x,6.79,2.42,x,x,x,9.21,0.48,8.74,2
201516,Financial year,National,England,E92000001,Schools,1.1.8 Staff costs – supply cover excluding cover for facility time,x,23.84,6.92,x,x,x,30.76,0.39,30.37,6
201516,Financial year,National,England,E92000001,Schools,1.1.9 Staff costs – supply cover for facility time,x,8.81,3.84,x,x,x,12.65,1.2,11.45,2
201516,Financial year,National,England,E92000001,Schools,1.2.5 SEN support service,57.87,204.75,115.54,73.06,3.62,2.29,457.13,17.53,439.6,34
201516,Financial year,National,England,E92000001,Schools,1.2.6 Hospital education services,x,x,x,16.96,24.36,x,41.32,0.41,40.91,3
201516,Financial year,National,England,E92000001,Schools,1.2.7 Other alternative provision services,1.07,22.92,32.8,7.81,87.13,1.82,153.55,5.41,148.14,11
201516,Financial year,National,England,E92000001,Schools,1.2.8 Support for inclusion,11.1,64.66,39.33,36.15,3.77,2.5,157.5,6.77,150.73,12
201516,Financial year,National,England,E92000001,Schools,1.2.9 Special schools and PRUs in financial difficulty,x,x,x,3.12,0.7,x,3.83,0,3.83,0
201516,Financial year,National,England,E92000001,Schools,1.2.11 Direct payments (SEN and disability),0.25,0.73,0.25,3.01,0.02,0.01,4.28,0.36,3.91,0
201516,Financial year,National,England,E92000001,Schools,1.2.12 Carbon reduction commitment allowances (PRUs),x,x,x,x,0.1,x,0.1,0,0.1,0
201516,Financial year,National,England,E92000001,Schools,1.2.13 Therapies and other health related services,x,x,x,x,x,x,12.23,3.16,9.07,1
201516,Financial year,National,England,E92000001,Schools,1.3.1 Central expenditure on early years entitlement,206.29,x,x,x,x,x,206.29,6.15,200.14,17
201516,Financial year,National,England,E92000001,Schools,1.4.1 Contribution to combined expenditure,11.18,99.05,58.34,5.04,2.62,x,176.23,9.11,167.12,21
201516,Financial year,National,England,E92000001,Schools,1.4.2 School admissions,1.21,42.74,23.71,0.88,0.14,x,68.68,2.58,66.1,8
201516,Financial year,National,England,E92000001,Schools,1.4.3 Servicing of schools forums,0.25,2.58,1.49,0.18,0.02,x,4.52,low,4.52,1
201516,Financial year,National,England,E92000001,Schools,1.4.4 Termination of employment costs,0.68,16.52,14.33,1.17,0.12,x,32.81,0.36,32.45,4
201516,Financial year,National,England,E92000001,Schools,1.4.5 Falling Rolls Fund,low,1.62,5.53,0.02,0.04,x,7.21,0,7.21,1
201516,Financial year,National,England,E92000001,Schools,1.4.6 Capital expenditure from revenue (CERA),11.01,40.02,41.41,16.12,0.41,x,108.96,8.32,100.64,12
201516,Financial year,National,England,E92000001,Schools,1.4.7 Prudential borrowing costs,0.13,11.51,13.28,5.71,0.03,x,30.66,0,30.66,4
201516,Financial year,National,England,E92000001,Schools,1.4.8 Fees to independent schools without SEN,0,2.04,5.47,0.6,0.5,x,8.62,0,8.62,1
201516,Financial year,National,England,E92000001,Schools,1.4.9 Equal pay - back pay,0.11,3.85,2.61,0.22,low,x,6.8,0,6.8,1
201516,Financial year,National,England,E92000001,Schools,1.4.10 Pupil growth (includes infant class sizes for years prior to 2018-19),0.35,148.1,25.38,1.92,0.18,x,175.92,0.24,175.68,22
201516,Financial year,National,England,E92000001,Schools,1.4.11 SEN transport,0.03,3.25,2.21,20.83,1.32,0.11,27.76,0,27.76,3
201516,Financial year,National,England,E92000001,Schools,1.4.12 Exceptions agreed by Secretary of State,0.31,7.75,5.54,0.03,low,0,13.64,0,13.64,2
201516,Financial year,National,England,E92000001,Schools,1.4.14 Other Items,0.74,34.2,19.91,0.62,0.19,x,55.73,x,55.33,7
201516,Financial year,National,England,E92000001,Schools,1.7.1 Other Specific Grants,1.9,220.8,38.25,4.63,0.2,2.41,268.19,266.72,1.48,0
201516,Financial year,National,England,E92000001,Schools,1.8.1 TOTAL SCHOOLS EXPENDITURE (after academy recoupment),2797.55,15826.19,6923.6,2740.91,497.5,280.21,29065.96,395.22,28670.74,z
201516,Financial year,National,England,E92000001,Dedicated schools grant,1.9.1 Dedicated Schools Grant for year,x,x,x,x,x,x,27116.28,x,x,z
201516,Financial year,National,England,E92000001,Dedicated schools grant,1.9.2 Dedicated Schools Grant brought forward from previous year,x,x,x,x,x,x,1234.58,x,x,z
201516,Financial year,National,England,E92000001,Dedicated schools grant,1.9.3 Dedicated Schools Grant carried forward to next year,x,x,x,x,x,x,584.08,x,x,z
201516,Financial year,National,England,E92000001,Dedicated schools grant,1.9.4 Grant for maintained school 6th forms,x,x,x,x,x,x,705.89,x,x,z
201516,Financial year,National,England,E92000001,Dedicated schools grant,1.9.5 Local Authority additional contribution,x,x,x,x,x,x,24.69,x,x,z
201516,Financial year,National,England,E92000001,Dedicated schools grant,1.9.6 Total funding supporting the Schools Budget,x,x,x,x,x,x,29081.44,x,x,z
201516,Financial year,National,England,E92000001,Other education and community,2.0.1 Central support services,x,x,x,x,x,x,186.78,149.89,36.89,7
201516,Financial year,National,England,E92000001,Other education and community,2.0.2 Education welfare service,x,x,x,x,x,x,73.31,16.48,56.84,11
201516,Financial year,National,England,E92000001,Other education and community,2.0.3 School improvement,x,x,x,x,x,x,227.79,75.35,152.44,28
201516,Financial year,National,England,E92000001,Other education and community,2.0.4 Asset management - education,x,x,x,x,x,x,60.36,10.86,49.5,9
201516,Financial year,National,England,E92000001,Other education and community,2.0.5 Statutory/ Regulatory duties - education,x,x,x,x,x,x,297.15,78.9,218.25,41
201516,Financial year,National,England,E92000001,Other education and community,2.0.6 Premature retirement cost/ Redundancy costs (new provisions),x,x,x,x,x,x,23.34,0.78,22.56,4
201516,Financial year,National,England,E92000001,Other education and community,2.0.7 Monitoring national curriculum assessment,x,x,x,x,x,x,5.17,0.73,4.44,1
201516,Financial year,National,England,E92000001,Other education and community,2.1.1 Educational psychology service,x,x,x,x,x,x,127.49,20.96,106.53,13
201516,Financial year,National,England,E92000001,Other education and community,2.1.4 Home to school transport (pre 16): SEN transport expenditure,4.56,70.21,66.58,418.08,18.37,x,584.55,15.84,568.71,70
201516,Financial year,National,England,E92000001,Other education and community,2.1.6 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 16-18),x,x,x,x,x,58.86,58.86,2.08,56.79,7
201516,Financial year,National,England,E92000001,Other education and community,2.1.7 Home to post-16 provision: SEN/ LLDD transport expenditure (aged 19-25),x,x,x,x,x,19.65,19.65,0.39,19.26,2
201516,Financial year,National,England,E92000001,Other education and community,2.1.8 Home to post-16 provision transport: mainstream home to post-16 transport expenditure,x,x,x,x,x,31.04,31.04,11.93,19.11,2
201516,Financial year,National,England,E92000001,Other education and community,2.1.9 Supply of school places,x,x,x,x,x,x,29.71,5.45,24.26,3
