time_period,time_identifier,geographic_level,country_name,country_code,category_of_expenditure,description_of_expenditure,own_provision,private_provision,other_public_sector_provision,voluntary_provision,total_expenditure,income,net_current_expenditure,grants_inside_AEF,grants_outside_AEF,net_revenue_expenditure,per_capita_net_current_spend
201516,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.1 Spend on individual Sure Start Childrens Centres,393.79,55.73,22.18,76.79,548.49,80.86,467.63,5.29,0.76,461.58,40
201516,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.2 Spend for services delivered through Sure Start Childrens Centres,60.02,14.25,12.01,15.32,101.61,10.24,91.37,0.02,low,91.35,8
201516,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.3 Spend on management costs relating to Sure Start Childrens Centres,40.32,0.11,0.14,0.04,40.6,2.29,38.31,0.55,0.02,37.75,3
201516,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.4 Other spend on children under 5,139.92,5.29,0.96,7.08,153.25,22.94,130.32,2.62,0.04,127.65,11
201516,Financial year,National,England,E92000001,Sure Start and children aged under 5,3.0.5 Total Sure Start childrens centres and other spend on children under 5,634.05,75.38,35.29,99.23,843.95,116.32,727.63,8.48,0.82,718.33,63
201516,Financial year,National,England,E92000001,Children looked after,3.1.1 Residential care,342.4,696.81,24.2,39.79,1103.2,65.8,1037.4,6.12,0.54,1030.74,89
201516,Financial year,National,England,E92000001,Children looked after,3.1.2a Fostering services (excluding fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,National,England,E92000001,Children looked after,3.1.2b Fostering services (fees and allowances for LA foster carers),x,x,x,x,x,x,x,x,x,x,x
201516,Financial year,National,England,E92000001,Children looked after,3.1.2 Total Fostering services,845.47,649.55,21.16,51.41,1567.59,40.02,1527.57,26.48,1.25,1499.85,132
201516,Financial year,National,England,E92000001,Children looked after,3.1.3 Adoption services,266.4,27.52,14.99,7.04,315.95,33.8,282.16,14.13,3.21,264.82,24
201516,Financial year,National,England,E92000001,Children looked after,3.1.4 Special guardianship support,184.13,17.61,0.94,1.86,204.53,0.44,204.09,0.04,0,204.04,18
201516,Financial year,National,England,E92000001,Children looked after,3.1.5 Other children looked after services,122.96,82.75,11,12.37,229.08,16.25,212.83,19.83,0.59,192.41,18
201516,Financial year,National,England,E92000001,Children looked after,3.1.6 Short breaks (respite) for looked after disabled children,31.71,5,1.15,4.88,42.75,2.11,40.63,0.1,0.1,40.43,4
201516,Financial year,National,England,E92000001,Children looked after,3.1.7 Children placed with family and friends,78.13,8.05,0.7,1.97,88.85,0.59,88.26,0.06,0,88.2,8
201516,Financial year,National,England,E92000001,Children looked after,3.1.8 Education of looked after children,37.38,1.04,1.1,0.06,39.58,6.6,32.98,3.27,1.13,28.57,3
201516,Financial year,National,England,E92000001,Children looked after,3.1.9 Leaving care support services,195.76,73.76,5.35,17.22,292.09,9.99,282.1,11.06,0.62,270.43,24
201516,Financial year,National,England,E92000001,Children looked after,3.1.10 Asylum seeker services children,34.28,19.68,1.57,2.43,57.96,4.43,53.53,22.53,6.18,24.81,5
201516,Financial year,National,England,E92000001,Children looked after,3.1.11 Total Children Looked After,2138.6,1581.78,82.16,139.04,3941.59,180.04,3761.55,103.63,13.63,3644.3,324
201516,Financial year,National,England,E92000001,Other children and family services,3.2.1 Other children and families services,80.17,8.66,8.36,5.73,102.93,13.1,89.83,3.43,0.07,86.34,8
201516,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.1 Social work (including LA functions in relation to child protection),1854.93,32.8,23.79,4.02,1915.54,47.39,1868.15,28.02,2.2,1837.93,161
201516,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.2 Commissioning and Childrens Services Strategy,241.21,10.63,10.28,3.49,265.62,25.84,239.78,3.46,0.12,236.2,21
201516,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.3 Local Safeguarding Children Board,41.8,1.33,1.34,1.21,45.68,17.97,27.71,0.36,0.15,27.2,2
201516,Financial year,National,England,E92000001,Safeguarding children and young peoples services,3.3.4 Total Safeguarding Children and Young Peoples Services,2137.94,44.77,35.41,8.72,2226.84,91.2,2135.64,31.84,2.47,2101.33,184
201516,Financial year,National,England,E92000001,Family support services,3.4.1 Direct payments,64.84,31.28,0.54,1,97.66,7.45,90.21,0,0,90.21,8
201516,Financial year,National,England,E92000001,Family support services,3.4.2 Short breaks (respite) for disabled children,146.48,31.28,13.93,34.32,226.01,21.37,204.64,1.32,0.04,203.28,18
201516,Financial year,National,England,E92000001,Family support services,3.4.3 Other support for disabled children,34.66,3.52,0.45,1.89,40.53,3.12,37.4,0.75,low,36.66,3
201516,Financial year,National,England,E92000001,Family support services,3.4.4 Targeted family support,534.24,28.4,32.17,39.04,633.85,83.8,550.05,110.48,8.44,431.13,47
201516,Financial year,National,England,E92000001,Family support services,3.4.5 Universal family support,64.41,2.43,0.2,8.87,75.91,14.92,60.98,1.15,1.75,58.09,5
201516,Financial year,National,England,E92000001,Family support services,3.4.6 Total Family Support Services,844.63,96.9,47.29,85.12,1073.94,130.66,943.28,113.69,10.23,819.36,81
201516,Financial year,National,England,E92000001,Services for young people,3.5.1 Universal services for young people,234.77,15.28,5,17.37,272.42,35.73,236.69,2.29,1.07,233.33,20
201516,Financial year,National,England,E92000001,Services for young people,3.5.2 Targeted services for young people,211.45,19.17,3.08,21.87,255.56,30.09,225.47,4.34,2.75,218.38,19
201516,Financial year,National,England,E92000001,Services for young people,3.5.3 Total Services for young people,446.22,34.45,8.07,39.24,527.98,65.82,462.16,6.63,3.82,451.71,40
201516,Financial year,National,England,E92000001,Services for young people,"8a.1 Substance misuse services (Drugs, Alcohol and Volatile substances) (included in 3.5.1 and 3.5.2 above)",x,x,x,x,13.94,x,x,x,x,x,0
201516,Financial year,National,England,E92000001,Services for young people,8a.2 Teenage pregnancy services (included in 3.5.1 and 3.5.2 above),x,x,x,x,5.93,x,x,x,x,x,0
201516,Financial year,National,England,E92000001,Youth justice,3.6.1 Youth justice,x,x,x,x,295.07,123.41,171.67,x,x,x,15
