time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_st,Total_st_pc,Total_ehc,Total_ehc_pc,Total_all,Total_all_pc
2022,Calendar year,National,E92000001,England,"","","","","",Total,z,z,473255,100,473255,100
2022,Calendar year,National,E92000001,England,"","","","","",Under 5,z,z,18054,3.81486,18054,3.81486
2022,Calendar year,National,E92000001,England,"","","","","",Age 5 to 10,z,z,154940,32.7392,154940,32.73922
2022,Calendar year,National,E92000001,England,"","","","","",Age 11 to 15,z,z,167305,35.352,167305,35.35198
2022,Calendar year,National,E92000001,England,"","","","","",Age 16 to 19,z,z,98647,20.8444,98647,20.84437
2022,Calendar year,National,E92000001,England,"","","","","",Age 20 to 25,z,z,34309,7.24958,34309,7.24958
2022,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",Total,z,z,22060,100,22060,100
2022,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",Total,z,z,64506,100,64506,100
2022,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",Total,z,z,42072,100,42072,100
2022,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",Total,z,z,33402,100,33402,100
2022,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Total,z,z,49505,100,49505,100
2022,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Total,z,z,53263,100,53263,100
2022,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Total,z,z,78203,100,78203,100
2022,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Total,z,z,83307,100,83307,100
2022,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",Total,z,z,46937,100,46937,100
2022,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",Under 5,z,z,835,3.78513,835,3.78513
2022,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",Under 5,z,z,2836,4.39649,2836,4.39649
2022,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",Under 5,z,z,1685,4.00504,1685,4.00504
2022,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",Under 5,z,z,1169,3.49979,1169,3.49979
2022,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Under 5,z,z,1713,3.46026,1713,3.46026
2022,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Under 5,z,z,2096,3.93519,2096,3.93519
2022,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Under 5,z,z,3067,3.92184,3067,3.92184
2022,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Under 5,z,z,3070,3.68516,3070,3.68516
2022,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",Under 5,z,z,1583,3.37261,1583,3.37261
2022,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",Age 5 to 10,z,z,6911,31.3282,6911,31.3282
2022,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",Age 5 to 10,z,z,21147,32.783,21147,32.783
2022,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",Age 5 to 10,z,z,13202,31.3795,13202,31.37954
2022,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",Age 5 to 10,z,z,10660,31.9143,10660,31.91426
2022,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Age 5 to 10,z,z,15888,32.0937,15888,32.09373
2022,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Age 5 to 10,z,z,17420,32.7056,17420,32.70563
2022,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Age 5 to 10,z,z,27467,35.1227,27467,35.12269
2022,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Age 5 to 10,z,z,27389,32.8772,27389,32.87719
2022,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",Age 5 to 10,z,z,14856,31.6509,14856,31.65094
2022,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",Age 11 to 15,z,z,8335,37.7833,8335,37.78332
2022,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",Age 11 to 15,z,z,23012,35.6742,23012,35.6742
2022,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",Age 11 to 15,z,z,15041,35.7506,15041,35.75062
2022,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",Age 11 to 15,z,z,12261,36.7074,12261,36.70738
2022,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Age 11 to 15,z,z,17411,35.1702,17411,35.17018
2022,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Age 11 to 15,z,z,18469,34.6751,18469,34.6751
2022,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Age 11 to 15,z,z,26178,33.4744,26178,33.47442
2022,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Age 11 to 15,z,z,29490,35.3992,29490,35.39919
