time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_new_st,Total_new_st_pc,Total_new_ehc,Total_new_ehc_pc,Total_new_all,Total_new_all_pc
2021,Calendar year,National,E92000001,England,"","","","","",Total,z,z,62180,100,62180,100
2021,Calendar year,National,E92000001,England,"","","","","",Under 5,z,z,14428,23.2036,14428,23.2036
2021,Calendar year,National,E92000001,England,"","","","","",Age 5 to 10,z,z,28751,46.2383,28751,46.23834
2021,Calendar year,National,E92000001,England,"","","","","",Age 11 to 15,z,z,15845,25.4825,15845,25.48247
2021,Calendar year,National,E92000001,England,"","","","","",Age 16 to 19,z,z,2977,4.78771,2977,4.78771
2021,Calendar year,National,E92000001,England,"","","","","",Age 20 to 25,z,z,179,0.28787,179,0.28787
2021,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",Total,z,z,2929,100,2929,100
2021,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",Total,z,z,9049,100,9049,100
2021,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",Total,z,z,5568,100,5568,100
2021,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",Total,z,z,4252,100,4252,100
2021,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Total,z,z,5795,100,5795,100
2021,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Total,z,z,6985,100,6985,100
2021,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Total,z,z,9604,100,9604,100
2021,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",Total,z,z,11768,100,11768,100
2021,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",Total,z,z,6230,100,6230,100
2021,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",Under 5,z,z,648,22.1236,648,22.12359
2021,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",Under 5,z,z,2169,23.9695,2169,23.9695
2021,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",Under 5,z,z,1291,23.1861,1291,23.18606
2021,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",Under 5,z,z,813,19.1204,813,19.12041
2021,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",Under 5,z,z,1437,24.7972,1437,24.79724
2021,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",Under 5,z,z,1645,23.5505,1645,23.55047
2021,Calendar year,Regional,E92000001,England,E12000007,London,"","","",Under 5,z,z,2517,26.2078,2517,26.20783
