time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,MApprenEHC,MTrainEHC,MSuppIntEHC,WorkbasedEHC,Mres38week05EHC,Mres38week510EHC,Mres38week1115EHC,Mres38week1619EHC,Mres38week2025EHC,TotMres38weekEHC,Mres52week05EHC,Mres52week510EHC,Mres52week1115EHC,Mres52week1619EHC,Mres52week2025EHC,TotMres52weekEHC,Mres38week05,Mres38week510,Mres38week1115,Mres38week1619,TotMres38week,Mres52week05,Mres52week510,Mres52week1115,Mres52week1619,TotMres52week,DMO,DCO,DMODCOFunction
2022,Calendar year,National,E92000001,England,"","","","","",1056,693,2477,4226,1,179,776,703,398,2057,2,72,543,489,134,1240,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000001,North East,"","","",66,154,153,373,0,1,6,4,3,14,0,3,27,13,0,43,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000002,North West,"","","",121,101,449,671,0,2,33,34,19,88,0,13,78,51,12,154,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,"","","",98,80,257,435,0,5,65,53,31,154,1,6,32,34,9,82,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000004,East Midlands,"","","",46,103,83,232,0,2,31,29,9,71,0,2,37,30,4,73,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000005,West Midlands,"","","",92,32,225,349,0,0,19,30,35,84,0,6,37,41,15,99,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000006,East of England,"","","",114,55,225,394,0,85,159,68,15,327,0,9,63,57,7,136,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000007,London,"","","",102,63,597,762,1,11,131,124,79,346,1,5,51,61,41,159,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000008,South East,"","","",284,67,268,619,0,33,229,247,140,649,0,14,119,118,29,280,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Regional,E92000001,England,E12000009,South West,"","","",133,38,220,391,0,40,103,114,67,324,0,14,99,84,17,214,z,z,z,z,z,z,z,z,z,z,z,z,z
2022,Calendar year,Local authority,E92000001,England,E12000007,London,306,E09000008,Croydon,0,9,1,10,0,1,2,4,8,15,0,0,1,3,1,5,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,307,E09000009,Ealing,7,0,23,30,1,0,1,2,0,4,1,0,1,1,1,4,z,z,z,z,z,z,z,z,z,z,N,R,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,308,E09000010,Enfield,4,0,11,15,0,0,6,4,2,12,0,0,0,0,1,1,z,z,z,z,z,z,z,z,z,z,N,Y,Y
2022,Calendar year,Local authority,E92000001,England,E12000007,London,203,E09000011,Greenwich,2,4,0,6,0,0,5,3,6,14,0,0,0,2,1,3,z,z,z,z,z,z,z,z,z,z,Y,Y,N
2022,Calendar year,Local authority,E92000001,England,E12000007,London,204,E09000012,Hackney,0,0,43,43,0,0,5,5,0,10,0,0,0,0,2,2,z,z,z,z,z,z,z,z,z,z,Y,Y,N
