"Title","Sewerage Services; Sewage Sludge","Sewerage Services; Sewage Sludge","Sewerage Services; Sewage Sludge","Waste Collection, Treatment and Disposal Services; Materials Recovery Services","Non-Hazardous Waste; Collection Services of Non-Hazardous Waste","Hazardous Waste; Collection Services of Hazardous Waste","Treatment and Disposal Services of Non-Hazardous Waste","Treatment and Disposal Services of Hazardous Waste","Sorted Materials Recovery Services; Secondary Raw Materials","Wholesale and Retail Trade Services; Repair Services of Motor Vehicles and Motorcycles","Maintenance and Repair Services of Motor Vehicles","Maintenance and Repair Services of Motor Vehicles","Transportation and Storage Services","Land Transport Services and Transport Services via Pipelines","Passenger Rail Transport Services, Interurban","Passenger Rail Transport Services, Interurban","Freight Rail Transport Services","Freight Rail Transport Services","Other Passenger Land Transport Services","Other Passenger Land Transport Services N.E.C.","Freight Transport Services by Road and Removal Services","Freight Transport Services by Road","Water Transport Services","Sea and Coastal Passenger Water Transport Services","Sea and Coastal Passenger Water Transport Services","Sea and Coastal Freight Water Transport Services","Sea and Coastal Freight Water Transport Services","Air Transport Services","Passenger Air Transport Services","Passenger Air Transport Services","Warehousing and Support Services For Transportation","Warehousing and Storage Services","Warehousing and Storage Services","Support Services For Transportation","Cargo Handling Services","Other Transportation Support Services","Postal and Courier Services","Postal Services Under Universal Service Obligation","Postal Services Under Universal Service Obligation","Other Postal and Courier Services","Other Postal and Courier Services","Top Level SPPI, Sections H to U excl. Section K","Accommodation and Food Services","Accommodation Services","Hotel and Similar Accommodation Services","Hotel and Similar Accommodation Services","Holiday and Other Short Stay Accommodation Services","Holiday and Other Short Stay Accommodation Services","Food and Beverage Serving Services","Event Catering Services and Other Food Serving Services","Other Food Serving Services","Information and Communication Services","Publishing Services","Publishing Services of Books, Periodicals and Other Publishing Services","Book Publishing Services","Publishing Services of Newspapers","Publishing Services of Journals and Periodicals","Other Publishing Services","Motion Picture, Video and Television Programme Production Services, Sound Recording and Music Publishing","Sound Recording and Music Publishing Services","Sound Recording and Music Publishing Services","Telecommunications Services","Wired Telecommunications Services","Wired Telecommunications Services","Computer Programming, Consultancy and Related Services","Computer Programming, Consultancy and Related Services","Computer Programming Services","Computer Consultancy Services","Information Services","Data Processing, Hosting and Related Services; Web Portals","Data Processing, Hosting and Related Services","Financial and Insurance Services","Financial Services, Except Insurance and Pension Funding","Monetary Intermediation Services","Other Monetary Intermediation Services","Real Estate Services","Real Estate Services","Rental and Operating Services of Own or Leased Real Estate","Rental and Operating Services of Own or Leased Real Estate","Real Estate Services on a Fee or Contract Basis","Real Estate Agency Services on a Fee or Contract Basis","Professional, Scientific and Technical Services","Legal and Accounting Services","Legal Services","Legal Services","Accounting, Bookkeeping and Auditing Services; Tax Consulting Services","Accounting, Bookkeeping and Auditing Services; Tax Consulting Services","Services of Head Offices; Management Consulting Services","Management Consulting Services","Business and Other Management Consulting Services","Architectural and Engineering Services; Technical Testing and Analysis Services","Architectural and Engineering Services and Related Technical Consulting Services","Architectural Services","Engineering Services and Related Technical Consulting Services","Technical Testing and Analysis Services","Technical Testing and Analysis Services","Advertising and Market Research Services","Advertising Services","Services Provided by Advertising Agencies","Media Representation Services","Market Research and Public Opinion Polling Services","Market Research and Public Opinion Polling Services","Other Professional, Scientific and Technical Services","Photographic Services","Photographic Services","Translation and Interpretation Services","Translation and Interpretation Services","Administrative and Support Services","Rental and Leasing Services","Rental and Leasing Services of Other Machinery, Equipment and Tangible Goods","Rental and Leasing Services of Construction and Civil Engineering Machinery and Equipment","Employment Services","Services Provided by Employment Placement Agencies","Services Provided by Employment Placement Agencies","Temporary Employment Agency Services","Temporary Employment Agency Services","Security and Investigation Services","Private Security Services","Private Security Services","Security Systems Services","Security Systems Services","Services to Buildings and Landscape","Cleaning Services","General Cleaning Services of Buildings","Other Cleaning Services","Office Administrative, Office Support and Other Business Support Services","Office Administrative and Support Services","Combined Office Administrative Services","Photocopying, Document Preparation and Other Specialised Office Support Services","Business Support Services N.E.C.","Packaging Services","Education Services","Education Services","Other Education Services","Other Education Services N.E.C.","Other Services","Other Personal Services","Other Personal Services","Washing and (Dry-)Cleaning Services of Textile and Fur Products"
"CDID","HOZE","HOZF","HOZG","HOZL","HOZN","HP9B","HPGJ","HPMX","HPNN","HPSW","HPTD","HPTH","HPZY","HPZZ","HQ3A","HQ3B","HQ5K","HQ5L","HQBW","HQDB","HQDV","HQEB","HQGY","HQGZ","HQKQ","HQNS","HQNT","HQPZ","HQQC","HQQE","HQRA","HQRB","HQRC","HQRI","HQSG","HQSL","HQSR","HQSS","HQSU","HQTC","HQTD","HQTI","HQTJ","HQTK","HQTL","HQTM","HQTP","HQTQ","HQUF","HQUM","HQUS","HQVC","HQVF","HQVG","HQVH","HQWF","HQWL","HQWT","HQXZ","HQZG","HQZI","HR4K","HR4L","HR4M","HR6L","HR6M","HR6O","HRFE","HRV8","HRY6","HRY7","HS4X","HS4Y","HS4Z","HS54","HSFG","HSFH","HSFP","HSFQ","HSFT","HSFU","HSGG","HSGI","HSGK","HSGL","HSGV","HSGW","HSHG","HSHQ","HSHT","HSIH","HSII","HSIJ","HT3T","HT5M","HTCW","HUFD","HUFE","HUFF","HUFK","HUFR","HUFS","HUFZ","HV7E","HV7G","HZ7L","HZ7M","HZJ4","HZJ6","HZW2","HZW5","I24X","I24Y","I24Z","I275","I276","I29V","I29W","I29X","I2A5","I2A6","I2AB","I2AG","I2AH","I2AU","I2B8","I2BA","I2BB","I2BF","I2BQ","I2BW","I392","I393","I3A3","I3AE","I3ZO","I435","I436","I437"
"PreUnit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Release Date","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023","25-01-2023"
"Next release","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023","19 April 2023"
"Important Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2009","81.7","81.7","81.7","91.9","94.4","87.3","84.7","218.8","105.8","83.4","83.4","83.4","94.5","91.2","82.3","82.3","95.4","95.4","91.1","91.1","93.8","93.8","88.0","86.3","86.3","88.5","88.5","76.5","76.5","76.5","98.0","95.9","95.9","96.0","87.9","97.2","99.8","93.2","93.2","103.5","103.5","94.3","93.9","96.9","97.1","97.1","91.1","91.1","89.4","89.4","89.4","102.5","82.0","82.0","89.0","74.3","75.6","95.9","108.4","108.4","108.4","138.6","138.6","138.6","96.9","96.9","","96.8","96.2","96.2","96.2","","","","","95.7","95.7","100.8","100.8","83.4","83.4","90.3","","","","","","","","","92.3","","","","91.9","91.9","95.7","95.8","","96.7","94.3","94.3","94.3","86.5","86.5","99.3","99.3","97.2","93.5","93.5","93.5","96.4","87.6","87.6","96.7","96.7","104.2","104.2","104.2","94.2","94.2","95.7","95.7","95.6","99.2","98.3","96.9","94.7","98.9","98.6","98.6","92.3","92.3","92.3","92.3","95.7","95.7","95.7","95.7"
"2010","81.2","81.2","81.2","97.3","95.6","88.9","87.6","218.7","137.0","87.4","87.4","87.4","96.6","92.6","82.9","82.9","95.7","95.7","92.3","92.3","95.6","95.6","89.9","85.5","85.5","91.3","91.3","78.8","78.8","78.8","103.5","95.6","95.6","107.2","88.3","109.5","99.0","94.9","94.9","101.3","101.3","95.2","91.0","92.9","92.9","92.9","88.1","88.1","90.2","90.2","90.2","100.2","83.4","83.4","91.8","77.1","77.9","93.7","107.8","107.8","107.8","127.0","127.0","127.0","98.0","98.0","","97.8","96.2","96.2","96.2","","","","","95.1","95.1","100.2","100.2","82.6","82.6","94.2","89.4","88.9","88.9","90.3","90.3","","","","92.5","92.5","95.1","91.9","92.9","92.9","104.6","105.7","","106.7","94.4","94.4","94.0","86.4","86.4","99.0","99.0","97.3","92.9","92.9","92.9","96.8","89.0","89.0","97.0","97.0","103.4","103.4","103.4","99.4","99.4","96.0","96.0","95.9","99.7","97.8","95.8","94.9","96.6","98.6","98.6","92.9","92.9","92.9","92.9","96.2","96.2","96.2","96.2"
"2011","87.4","87.4","87.4","101.0","96.2","91.0","90.1","218.7","155.1","91.7","91.7","91.7","98.8","95.9","87.9","87.9","98.0","98.0","94.0","94.0","98.4","98.4","94.1","87.3","87.3","96.1","96.1","83.0","83.0","83.0","104.7","99.6","99.6","105.6","89.7","107.5","100.1","92.5","92.5","104.4","104.4","96.2","91.9","93.8","94.2","94.2","86.2","86.2","91.2","91.2","91.2","99.1","86.7","86.7","94.9","80.6","82.7","95.1","106.4","106.4","106.4","118.7","118.7","118.7","98.4","98.4","","98.1","96.1","96.1","96.1","","","","","95.6","95.6","100.6","100.6","83.6","83.6","95.2","91.1","90.6","90.6","92.0","92.0","99.2","99.2","99.2","92.8","92.8","92.0","92.9","93.4","93.4","103.5","104.5","98.8","105.0","95.3","95.3","94.3","88.7","88.7","99.0","99.0","97.8","96.6","96.6","96.6","97.0","89.7","89.7","97.2","97.2","102.7","102.6","102.6","103.6","103.6","96.9","96.9","96.9","99.7","97.2","96.9","94.6","98.9","97.0","97.0","93.8","93.8","93.8","93.8","97.2","97.2","97.2","97.2"
"2012","94.3","94.3","94.3","102.8","97.0","93.7","93.1","218.7","151.4","93.4","93.4","93.4","98.8","97.6","91.3","91.3","99.2","99.2","96.3","96.3","99.4","99.4","91.7","87.3","87.3","93.0","93.0","86.8","86.8","86.8","104.7","100.2","100.2","104.9","93.5","106.2","96.6","93.3","93.3","98.5","98.5","96.6","93.4","95.1","95.9","95.9","85.4","85.4","93.2","93.2","93.2","98.3","90.7","90.7","97.0","86.6","86.5","96.9","105.4","105.4","105.4","110.8","110.8","110.8","98.9","98.9","","98.6","96.9","96.9","96.9","","","","","96.1","96.1","100.6","100.6","85.8","85.8","96.0","92.8","92.6","92.6","93.3","93.3","101.8","101.8","101.8","96.5","96.4","97.5","96.2","96.7","96.7","96.3","96.4","99.9","91.9","95.5","95.5","94.4","89.1","89.1","98.9","98.9","98.5","95.5","95.5","95.5","98.0","93.5","93.5","98.0","98.0","103.0","103.0","103.0","104.1","104.1","97.3","97.3","97.3","99.3","98.1","97.4","97.7","97.2","98.0","98.0","94.0","94.0","94.0","94.0","97.3","97.3","97.3","97.3"
