time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,characteristic,number
2021,Reporting year,National,E92000001,England,,,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,33000
2021,Reporting year,National,E92000001,England,,,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,34060
2021,Reporting year,National,E92000001,England,,,,,,Net gain of children by responsible LA,-1060
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,2130
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,2280
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Net gain of children by responsible LA,-150
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,5720
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,5760
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Net gain of children by responsible LA,-40
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,2990
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,3170
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Net gain of children by responsible LA,-180
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,3170
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,2750
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Net gain of children by responsible LA,420
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,4930
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,4930
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Net gain of children by responsible LA,0
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,2640
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,2510
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Net gain of children by responsible LA,130
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,4900
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,6230
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,Net gain of children by responsible LA,-1330
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,4460
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,4230
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Net gain of children by responsible LA,230
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,2080
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,2230
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Net gain of children by responsible LA,-150
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,1230
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,2980
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Net gain of children by responsible LA,-1750
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,1. Children who are the responsibility of other LAs placed within this LA boundary,3670
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,2. Children who are the responsibility of this LA placed outside the LA boundary,3250
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Net gain of children by responsible LA,420
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,1. Children who are the responsibility of other LAs placed within this LA boundary,100
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,2. Children who are the responsibility of this LA placed outside the LA boundary,116
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Net gain of children by responsible LA,-16
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,1. Children who are the responsibility of other LAs placed within this LA boundary,106
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,2. Children who are the responsibility of this LA placed outside the LA boundary,298
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Net gain of children by responsible LA,-192
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,1. Children who are the responsibility of other LAs placed within this LA boundary,106
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,2. Children who are the responsibility of this LA placed outside the LA boundary,123
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Net gain of children by responsible LA,-17
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,1. Children who are the responsibility of other LAs placed within this LA boundary,233
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,2. Children who are the responsibility of this LA placed outside the LA boundary,203
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Net gain of children by responsible LA,30
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,1. Children who are the responsibility of other LAs placed within this LA boundary,155
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,2. Children who are the responsibility of this LA placed outside the LA boundary,136
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,841,Darlington,E06000005,Net gain of children by responsible LA,19
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,1. Children who are the responsibility of other LAs placed within this LA boundary,496
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,2. Children who are the responsibility of this LA placed outside the LA boundary,257
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,840,County Durham,E06000047,Net gain of children by responsible LA,239
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,1. Children who are the responsibility of other LAs placed within this LA boundary,234
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,2. Children who are the responsibility of this LA placed outside the LA boundary,122
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,929,Northumberland,E06000057,Net gain of children by responsible LA,112
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,1. Children who are the responsibility of other LAs placed within this LA boundary,128
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,2. Children who are the responsibility of this LA placed outside the LA boundary,367
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,391,Newcastle upon Tyne,E08000021,Net gain of children by responsible LA,-239
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,1. Children who are the responsibility of other LAs placed within this LA boundary,144
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,2. Children who are the responsibility of this LA placed outside the LA boundary,103
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,392,North Tyneside,E08000022,Net gain of children by responsible LA,41
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,1. Children who are the responsibility of other LAs placed within this LA boundary,68
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,2. Children who are the responsibility of this LA placed outside the LA boundary,144
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,Net gain of children by responsible LA,-76
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,394,Sunderland,E08000024,1. Children who are the responsibility of other LAs placed within this LA boundary,214
