time_period,time_identifier,geographic_level,country_code,country_name,CLA_group,characteristic,Number,Percentage
2021,Reporting year,National,E92000001,England,All placements,"1.i Placed inside the LA boundary, 20 miles or less from home",40990,51
2021,Reporting year,National,E92000001,England,All placements,"1.ii Placed outside the LA boundary, 20 miles or less from home",18580,23
2021,Reporting year,National,E92000001,England,All placements,"2.i Placed inside the LA boundary, more than 20 miles from home",3420,4
2021,Reporting year,National,E92000001,England,All placements,"2.ii Placed outside the LA boundary, more than 20 miles from home",13300,16
2021,Reporting year,National,E92000001,England,All placements,Distance not Known or not recorded,4570,6
2021,Reporting year,National,E92000001,England,All placements,Total,80850,100
2021,Reporting year,National,E92000001,England,Foster placements,1. Placed 20 miles or less from home,45260,79
2021,Reporting year,National,E92000001,England,Foster placements,2. Placed more than 20 miles from home,9920,17
2021,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2160,4
2021,Reporting year,National,E92000001,England,Living independently,1. Placed 20 miles or less from home,1010,54
2021,Reporting year,National,E92000001,England,Living independently,2. Placed more than 20 miles from home,220,12
2021,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,630,34
2021,Reporting year,National,E92000001,England,Other,1. Placed 20 miles or less from home,1110,58
2021,Reporting year,National,E92000001,England,Other,2. Placed more than 20 miles from home,790,41
2021,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,30,1
2021,Reporting year,National,E92000001,England,Placed for adoption,1. Placed 20 miles or less from home,950,42
2021,Reporting year,National,E92000001,England,Placed for adoption,2. Placed more than 20 miles from home,1100,49
2021,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,210,9
2021,Reporting year,National,E92000001,England,Placed with parents,1. Placed 20 miles or less from home,5480,93
2021,Reporting year,National,E92000001,England,Placed with parents,2. Placed more than 20 miles from home,420,7
2021,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,10,~
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. Placed 20 miles or less from home,5750,50
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Placed more than 20 miles from home,4260,37
2021,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",Distance not Known or not recorded,1530,13
2021,Reporting year,National,E92000001,England,Foster placements,"1.i Placed inside the LA boundary, 20 miles or less from home",30800,54
2021,Reporting year,National,E92000001,England,Foster placements,"1.ii Placed outside the LA boundary, 20 miles or less from home",14460,25
2021,Reporting year,National,E92000001,England,Foster placements,"2.i Placed inside the LA boundary, more than 20 miles from home",2630,5
2021,Reporting year,National,E92000001,England,Foster placements,"2.ii Placed outside the LA boundary, more than 20 miles from home",7290,13
2021,Reporting year,National,E92000001,England,Foster placements,Distance not Known or not recorded,2160,4
2021,Reporting year,National,E92000001,England,Foster placements,Total,57330,100
2021,Reporting year,National,E92000001,England,Living independently,"1.i Placed inside the LA boundary, 20 miles or less from home",740,40
2021,Reporting year,National,E92000001,England,Living independently,"1.ii Placed outside the LA boundary, 20 miles or less from home",270,14
2021,Reporting year,National,E92000001,England,Living independently,"2.i Placed inside the LA boundary, more than 20 miles from home",80,4
2021,Reporting year,National,E92000001,England,Living independently,"2.ii Placed outside the LA boundary, more than 20 miles from home",140,8
2021,Reporting year,National,E92000001,England,Living independently,Distance not Known or not recorded,630,34
2021,Reporting year,National,E92000001,England,Living independently,Total,1860,100
2021,Reporting year,National,E92000001,England,Other,"1.i Placed inside the LA boundary, 20 miles or less from home",730,38
2021,Reporting year,National,E92000001,England,Other,"1.ii Placed outside the LA boundary, 20 miles or less from home",390,20
2021,Reporting year,National,E92000001,England,Other,"2.i Placed inside the LA boundary, more than 20 miles from home",50,3
2021,Reporting year,National,E92000001,England,Other,"2.ii Placed outside the LA boundary, more than 20 miles from home",750,39
2021,Reporting year,National,E92000001,England,Other,Distance not Known or not recorded,30,1
2021,Reporting year,National,E92000001,England,Other,Total,1930,100
2021,Reporting year,National,E92000001,England,Placed for adoption,"1.i Placed inside the LA boundary, 20 miles or less from home",400,18
2021,Reporting year,National,E92000001,England,Placed for adoption,"1.ii Placed outside the LA boundary, 20 miles or less from home",550,24
2021,Reporting year,National,E92000001,England,Placed for adoption,"2.i Placed inside the LA boundary, more than 20 miles from home",170,7
2021,Reporting year,National,E92000001,England,Placed for adoption,"2.ii Placed outside the LA boundary, more than 20 miles from home",930,41
2021,Reporting year,National,E92000001,England,Placed for adoption,Distance not Known or not recorded,210,9
2021,Reporting year,National,E92000001,England,Placed for adoption,Total,2270,100
2021,Reporting year,National,E92000001,England,Placed with parents,"1.i Placed inside the LA boundary, 20 miles or less from home",4790,81
2021,Reporting year,National,E92000001,England,Placed with parents,"1.ii Placed outside the LA boundary, 20 miles or less from home",700,12
2021,Reporting year,National,E92000001,England,Placed with parents,"2.i Placed inside the LA boundary, more than 20 miles from home",60,1
2021,Reporting year,National,E92000001,England,Placed with parents,"2.ii Placed outside the LA boundary, more than 20 miles from home",370,6
2021,Reporting year,National,E92000001,England,Placed with parents,Distance not Known or not recorded,10,~
2021,Reporting year,National,E92000001,England,Placed with parents,Total,5910,100
