time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,population_count,population_estimate,number,rate_per_10000
2021,Reporting year,National,E92000001,England,,,,,,Children ceasing to be looked after each year,12093290,28010,23
2021,Reporting year,National,E92000001,England,,,,,,Children looked after at 31 March each year,12093290,80850,67
2021,Reporting year,National,E92000001,England,,,,,,Children starting to be looked after each year,12093290,28440,24
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children ceasing to be looked after each year,533640,2080,39
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children looked after at 31 March each year,533640,5790,108
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children starting to be looked after each year,533640,2120,40
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children ceasing to be looked after each year,1571580,4360,28
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children looked after at 31 March each year,1571580,15260,97
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children starting to be looked after each year,1571580,4450,28
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children ceasing to be looked after each year,1174360,2960,25
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children looked after at 31 March each year,1174360,9210,78
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children starting to be looked after each year,1174360,3150,27
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children ceasing to be looked after each year,1007900,2010,20
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children looked after at 31 March each year,1007900,6400,64
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children starting to be looked after each year,1007900,2300,23
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children ceasing to be looked after each year,1306330,2800,21
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children looked after at 31 March each year,1306330,11120,85
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children starting to be looked after each year,1306330,3210,25
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children ceasing to be looked after each year,1356370,2300,17
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children looked after at 31 March each year,1356370,6650,49
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children starting to be looked after each year,1356370,2210,16
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children ceasing to be looked after each year,2047600,4670,23
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children looked after at 31 March each year,2047600,9670,47
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children starting to be looked after each year,2047600,4250,21
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children ceasing to be looked after each year,1982610,4450,22
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children looked after at 31 March each year,1982610,10480,53
2021,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children starting to be looked after each year,1982610,4420,22
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children ceasing to be looked after each year,1112900,2380,21
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children looked after at 31 March each year,1112900,6270,56
2021,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children starting to be looked after each year,1112900,2330,21
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children ceasing to be looked after each year,760730,2000,26
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children looked after at 31 March each year,760730,4120,54
2021,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children starting to be looked after each year,760730,1820,24
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children ceasing to be looked after each year,1286860,2670,21
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children looked after at 31 March each year,1286860,5550,43
2021,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children starting to be looked after each year,1286860,2430,19
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children ceasing to be looked after each year,20108,100,50
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children looked after at 31 March each year,20108,346,172
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,805,Hartlepool,E06000001,Children starting to be looked after each year,20108,135,67
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children ceasing to be looked after each year,33129,278,84
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children looked after at 31 March each year,33129,570,172
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,806,Middlesbrough,E06000002,Children starting to be looked after each year,33129,227,69
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children ceasing to be looked after each year,27607,155,56
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children looked after at 31 March each year,27607,317,115
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,Children starting to be looked after each year,27607,126,46
2021,Reporting year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,Children ceasing to be looked after each year,44021,160,36
