time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,in_touch,number,percentage
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Local authority in touch with care leaver,11360,94
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Local authority not in touch with care leaver,580,5
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Total,12080,100
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Young person no longer requires services,110,1
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Young person refuses contact,40,~
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Local authority in touch with care leaver,29710,91
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Local authority not in touch with care leaver,1740,5
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Total,32500,100
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Young person no longer requires services,660,2
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Young person refuses contact,390,1
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Local authority in touch with care leaver,510,96
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Local authority not in touch with care leaver,20,4
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Total,530,100
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Young person no longer requires services,c,c
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Local authority in touch with care leaver,1360,93
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Local authority not in touch with care leaver,70,5
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Total,1460,100
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Young person no longer requires services,20,2
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,19 to 21 years,Young person refuses contact,10,~
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Local authority in touch with care leaver,1630,96
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Local authority not in touch with care leaver,50,3
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Total,1700,100
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Young person no longer requires services,10,1
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,17 to 18 years,Young person refuses contact,10,~
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Local authority in touch with care leaver,4160,95
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Local authority not in touch with care leaver,140,3
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Total,4380,100
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Young person no longer requires services,40,1
2021,Reporting year,Regional,E92000001,England,E12000002,North West,,,,19 to 21 years,Young person refuses contact,40,1
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Local authority in touch with care leaver,1000,95
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Local authority not in touch with care leaver,40,4
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Total,1060,100
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Young person no longer requires services,10,1
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,Local authority in touch with care leaver,2530,93
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,Local authority not in touch with care leaver,120,4
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,Total,2730,100
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,Young person no longer requires services,60,2
2021,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,19 to 21 years,Young person refuses contact,20,1
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,Local authority in touch with care leaver,810,97
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,Local authority not in touch with care leaver,10,2
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,Total,840,100
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,Young person no longer requires services,10,1
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,17 to 18 years,Young person refuses contact,c,c
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,Local authority in touch with care leaver,2210,93
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,Local authority not in touch with care leaver,50,2
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,Total,2360,100
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,Young person no longer requires services,80,3
2021,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,19 to 21 years,Young person refuses contact,30,1
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Local authority in touch with care leaver,1230,96
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Local authority not in touch with care leaver,50,4
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Total,1280,100
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Young person no longer requires services,10,~
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,17 to 18 years,Young person refuses contact,0,0
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Local authority in touch with care leaver,3310,92
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Local authority not in touch with care leaver,180,5
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Total,3580,100
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Young person no longer requires services,50,1
2021,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,19 to 21 years,Young person refuses contact,40,1
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Local authority in touch with care leaver,1120,94
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Local authority not in touch with care leaver,60,5
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Total,1200,100
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Young person no longer requires services,20,1
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,17 to 18 years,Young person refuses contact,0,0
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Local authority in touch with care leaver,2980,91
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Local authority not in touch with care leaver,210,6
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Total,3300,100
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Young person no longer requires services,50,2
2021,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,19 to 21 years,Young person refuses contact,50,2
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Local authority in touch with care leaver,2420,94
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Local authority not in touch with care leaver,130,5
2021,Reporting year,Regional,E92000001,England,E12000007,London,,,,17 to 18 years,Total,2570,100
