time_period,time_identifier,geographic_level,country_code,country_name,CLA_group,characteristic,Number,Percent
2018,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,41280,79
2018,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8070,15
2018,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,3830,57
2018,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,900,13
2018,Reporting year,National,E92000001,England,Other,1. 20 miles or less,800,82
2018,Reporting year,National,E92000001,England,Other,2. Over 20 miles,140,14
2018,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1790,47
2018,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1580,41
2018,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,5430,91
2018,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,470,8
2018,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,2030,52
2018,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1790,46
2018,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,30,33
2018,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,50,56
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",1. 20 miles or less,6320,53
2018,Reporting year,National,E92000001,England,"Secure units, childrens homes and semi-independent living accommodation",2. Over 20 miles,4140,35
2019,Reporting year,National,E92000001,England,Foster Placements,1. 20 miles or less,41330,78
2019,Reporting year,National,E92000001,England,Foster Placements,2. Over 20 miles,8390,16
2019,Reporting year,National,E92000001,England,Living Independently,1. 20 miles or less,3640,53
2019,Reporting year,National,E92000001,England,Living Independently,2. Over 20 miles,930,14
2019,Reporting year,National,E92000001,England,Other,1. 20 miles or less,1160,81
2019,Reporting year,National,E92000001,England,Other,2. Over 20 miles,240,16
2019,Reporting year,National,E92000001,England,Placed for Adoption,1. 20 miles or less,1700,46
2019,Reporting year,National,E92000001,England,Placed for Adoption,2. Over 20 miles,1610,43
2019,Reporting year,National,E92000001,England,Placed with Parents,1. 20 miles or less,5940,92
2019,Reporting year,National,E92000001,England,Placed with Parents,2. Over 20 miles,470,7
2019,Reporting year,National,E92000001,England,Residential placements,1. 20 miles or less,2040,53
2019,Reporting year,National,E92000001,England,Residential placements,2. Over 20 miles,1760,46
2019,Reporting year,National,E92000001,England,Residential schools,1. 20 miles or less,40,38
2019,Reporting year,National,E92000001,England,Residential schools,2. Over 20 miles,50,58
