time_period,time_identifier,geographic_level,country_code,country_name,missing_status,characteristic,number
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Females,1650
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Males,2220
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Total children who were away from placement without authorisation during the year,3870
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Females,1580
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Males,2020
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Total children who were away from placement without authorisation during the year,3600
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Females,1460
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Males,1930
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Total children who were away from placement without authorisation during the year,3390
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Females,1160
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Males,1440
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation by gender,Total children who were away from placement without authorisation during the year,2600
2018,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,104250
2019,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,106640
2020,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,108670
2021,Reporting year,National,E92000001,England,Children away from placement without authorisation,All children looked after during the year,108070
2018,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,1 to 4 years,10
2018,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,10 to 15 years,5080
2018,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,16 years and over,10560
2018,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,5 to 9 years,20
2018,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Total incidents,15670
2018,Reporting year,National,E92000001,England,Age of children who were away from placement without authorisation,Under 1 year,c
