time_period,time_identifier,geographic_level,country_code,country_name,cla_group,characteristic,number,percentage
2021,Reporting year,National,E92000001,England,Age group,1 to 4 years,11670,14
2021,Reporting year,National,E92000001,England,Age group,10 to 15 years,31330,39
2021,Reporting year,National,E92000001,England,Age group,16 years and over,18900,23
2021,Reporting year,National,E92000001,England,Age group,5 to 9 years,15020,19
2021,Reporting year,National,E92000001,England,Age group,Total children,80850,100
2021,Reporting year,National,E92000001,England,Age group,Under 1 year,3930,5
2021,Reporting year,National,E92000001,England,Category of need,N1. Abuse or neglect,53620,66
2021,Reporting year,National,E92000001,England,Category of need,N2. Child's disability,2080,3
2021,Reporting year,National,E92000001,England,Category of need,N3. Parental illness or disability,2290,3
2021,Reporting year,National,E92000001,England,Category of need,N4. Family in acute stress,6110,8
2021,Reporting year,National,E92000001,England,Category of need,N5. Family dysfunction,11240,14
2021,Reporting year,National,E92000001,England,Category of need,N6. Socially unacceptable behaviour,1000,1
2021,Reporting year,National,E92000001,England,Category of need,N7. Low income,90,~
2021,Reporting year,National,E92000001,England,Category of need,N8. Absent parenting,4420,5
2021,Reporting year,National,E92000001,England,Category of need,Total children,80850,100
2021,Reporting year,National,E92000001,England,Ethnicity,1. Total White,60420,75
2021,Reporting year,National,E92000001,England,Ethnicity,1a. White British,56600,70
2021,Reporting year,National,E92000001,England,Ethnicity,1b. White Irish,200,~
2021,Reporting year,National,E92000001,England,Ethnicity,1c. Traveller of Irish Heritage,160,~
2021,Reporting year,National,E92000001,England,Ethnicity,1d. Gypsy Roma,550,1
2021,Reporting year,National,E92000001,England,Ethnicity,1e. Any other White background,2910,4
2021,Reporting year,National,E92000001,England,Ethnicity,2. Total Mixed or Multiple ethnic groups,8270,10
2021,Reporting year,National,E92000001,England,Ethnicity,2a. White and Black Caribbean,2810,3
2021,Reporting year,National,E92000001,England,Ethnicity,2b. White and Black African,950,1
2021,Reporting year,National,E92000001,England,Ethnicity,2c. White and Asian,1710,2
2021,Reporting year,National,E92000001,England,Ethnicity,2d. Any other Mixed background,2800,3
2021,Reporting year,National,E92000001,England,Ethnicity,3. Total Asian or Asian British,3530,4
2021,Reporting year,National,E92000001,England,Ethnicity,3a. Indian,320,~
2021,Reporting year,National,E92000001,England,Ethnicity,3b. Pakistani,1020,1
2021,Reporting year,National,E92000001,England,Ethnicity,3c. Bangladeshi,430,1
2021,Reporting year,National,E92000001,England,Ethnicity,3d. Chinese,100,~
2021,Reporting year,National,E92000001,England,Ethnicity,3e. Any other Asian background,1670,2
2021,Reporting year,National,E92000001,England,Ethnicity,"4. Total Black, African, Caribbean or Black British",5520,7
2021,Reporting year,National,E92000001,England,Ethnicity,4a. Caribbean,1400,2
2021,Reporting year,National,E92000001,England,Ethnicity,4b. African,2880,4
2021,Reporting year,National,E92000001,England,Ethnicity,4c. Any other Black background,1230,2
2021,Reporting year,National,E92000001,England,Ethnicity,5. Total other ethnic group,2570,3
2021,Reporting year,National,E92000001,England,Ethnicity,6. Total refused or information not yet available,560,1
2021,Reporting year,National,E92000001,England,Ethnicity,6a. Refused,50,~
2021,Reporting year,National,E92000001,England,Ethnicity,6b. Information not yet obtained,510,1
2021,Reporting year,National,E92000001,England,Ethnicity,Total children,80850,100
2021,Reporting year,National,E92000001,England,Gender,Female,35800,44
2021,Reporting year,National,E92000001,England,Gender,Male,45050,56
2021,Reporting year,National,E92000001,England,Gender,Total children,80850,100
2021,Reporting year,National,E92000001,England,Legal status,Care orders,63530,79
2021,Reporting year,National,E92000001,England,Legal status,Detained for child protection,60,~
2021,Reporting year,National,E92000001,England,Legal status,Placement order granted,4660,6
2021,Reporting year,National,E92000001,England,Legal status,Total children,80850,100
2021,Reporting year,National,E92000001,England,Legal status,Voluntary agreements under S20 CA 1989,12340,15
2021,Reporting year,National,E92000001,England,Legal status,Youth justice legal statuses,270,~
2021,Reporting year,National,E92000001,England,Motherhood status,All mothers aged 12 or over looked after at 31 March,230,1
2021,Reporting year,National,E92000001,England,Motherhood status,All females aged 12 or over looked after at 31 March,17750,100
2021,Reporting year,National,E92000001,England,Placement,1. Total foster placements,57330,71
2021,Reporting year,National,E92000001,England,Placement,1a Total foster placements inside council boundary,34380,43
2021,Reporting year,National,E92000001,England,Placement,1a.1 Total foster placements inside council boundary with relative or friend,8580,11
2021,Reporting year,National,E92000001,England,Placement,1a.1i With relative or friend who is also approved adopter (FFA) or concurrent planning,20,~
2021,Reporting year,National,E92000001,England,Placement,1a.1ii With relative or friend not FFA/concurrent planning,8560,11
2021,Reporting year,National,E92000001,England,Placement,1a.2 Total foster placements inside council boundary with other foster carer,25800,32
2021,Reporting year,National,E92000001,England,Placement,1a.2i With other foster carer who is also approved adopter (FFA) or concurrent planning,130,~
2021,Reporting year,National,E92000001,England,Placement,1a.2ii With other foster carer not FFA/concurrent planning,25670,32
2021,Reporting year,National,E92000001,England,Placement,1b Total foster placements outside council boundary,22960,28
2021,Reporting year,National,E92000001,England,Placement,1b.1 Total foster placements outside council boundary with relative or friend,3850,5
